FN,FP,TN,TP,sr,t
37.2,4.8,1.2,148.8,1,870
0.0,12.0,0.0,180.0,1,900
0.0,19.0,0.0,173.0,1,930
16.5,24.3,2.7,148.5,1,960
16.5,24.3,2.7,148.5,1,960
31.4,28.0,7.0,125.6,1,990
31.4,28.0,7.0,125.6,1,990
29.4,36.0,9.0,117.6,1,1020
29.4,36.0,9.0,117.6,1,1020
14.0,46.8,5.2,126.0,1,1050
66.0,30.0,30.0,66.0,1,1080
26.4,48.0,12.0,105.6,1,1080
37.2,47.6,20.4,86.8,1,1110
49.6,40.8,27.2,74.4,1,1110
34.5,53.9,23.1,80.5,1,1140
23.0,61.6,15.4,92.0,1,1140
21.6,67.2,16.8,86.4,1,1170
67.2,28.8,67.2,28.8,1,1200
38.4,57.6,38.4,57.6,1,1200
44.0,52.0,52.0,44.0,1,1230
35.2,62.4,41.6,52.8,1,1230
49.8,43.6,65.4,33.2,1,1260
40.5,55.5,55.5,40.5,1,1290
22.8,81.2,34.8,53.2,1,1320
42.0,48.8,73.2,28.0,1,1380
33.5,62.5,62.5,33.5,1,1410
48.8,26.2,104.8,12.2,1,1680
50.4,13.6,122.4,5.6,1,1770
26.0,70.0,70.0,26.0,1,1830
40.5,14.7,132.3,4.5,1,1890
42.0,0.0,150.0,0.0,1,1920
28.0,31.4,125.6,7.0,1,1980
19.2,64.0,96.0,12.8,1,2040
22.5,16.7,150.3,2.5,1,2100
19.8,17.0,153.0,2.2,1,2130
17.1,17.3,155.7,1.9,1,2160
12.6,17.8,160.2,1.4,1,2190
8.1,18.3,164.7,0.9,1,2280
3.0,0.0,189.0,0.0,1,2430
18.6,5.4,0.6,167.4,2,870
36.0,9.6,2.4,144.0,2,900
34.6,15.2,3.8,138.4,2,930
66.0,16.2,10.8,99.0,2,960
49.5,18.9,8.1,115.5,2,960
78.5,17.5,17.5,78.5,2,990
94.2,14.0,21.0,62.8,2,990
58.8,27.0,18.0,88.2,2,1020
29.4,36.0,9.0,117.6,2,1020
42.0,36.4,15.6,98.0,2,1050
79.2,24.0,36.0,52.8,2,1080
105.6,12.0,48.0,26.4,2,1080
74.4,27.2,40.8,49.6,2,1110
74.4,27.2,40.8,49.6,2,1110
57.5,38.5,38.5,57.5,2,1140
92.0,15.4,61.6,23.0,2,1140
75.6,25.2,58.8,32.4,2,1170
67.2,28.8,67.2,28.8,2,1200
67.2,28.8,67.2,28.8,2,1200
79.2,10.4,93.6,8.8,2,1230
61.6,31.2,72.8,26.4,2,1230
74.7,10.9,98.1,8.3,2,1260
64.8,22.2,88.8,16.2,2,1290
68.4,11.6,104.4,7.6,2,1320
