FN,FP,TN,TP,sr,t
0.0,65.0,0.0,2495.0,1,0.38149656410256394
0.0,129.0,0.0,2431.0,1,0.430814923076923
236.7,173.7,19.3,2130.3,1,0.4619041025641029
0.0,257.0,0.0,2303.0,1,0.478987974358975
223.9,288.9,32.1,2015.1,1,0.5058564358974361
652.5,269.5,115.5,1522.5,1,0.514777717948718
211.1,404.1,44.9,1899.9,1,0.5204095384615379
0.0,513.0,0.0,2047.0,1,0.528053435897436
793.2,346.2,230.8,1189.8,1,0.566343743589744
383.8,512.8,128.2,1535.2,1,0.6127008205128199
185.5,634.5,70.5,1669.5,1,0.637905282051282
537.3,538.3,230.7,1253.7,1,0.732406631578947
172.7,749.7,83.3,1554.3,1,0.7536931794871801
498.9,627.9,269.1,1164.1,1,0.908881051282052
799.5,480.5,480.5,799.5,1,0.925648461538462
614.0,615.0,410.0,921.0,1,1.24142602702703
735.5,544.5,544.5,735.5,1,1.26169766666667
562.8,691.8,461.2,844.2,1,2.01560021052632
671.5,608.5,608.5,671.5,1,2.05687823076923
767.4,512.4,768.6,511.6,1,2.08937425641026
850.5,403.5,941.5,364.5,1,2.15586665
575.5,704.5,704.5,575.5,1,3.1989695384615398
434.8,883.8,589.2,652.2,1,3.25657023076923
511.5,768.5,768.5,511.5,1,5.81297530769231
383.6,960.6,640.4,575.4,1,5.84338264102564
447.5,832.5,832.5,447.5,1,6.48749235897436
498.6,691.6,1037.4,332.4,1,6.5250941025641
690.3,179.3,1613.7,76.7,1,10.6980868974359
632.7,185.7,1671.3,70.3,1,10.7357454871795
575.1,192.1,1728.9,63.9,1,10.8896856153846
460.0,397.0,1588.0,115.0,1,10.9212218421053
408.8,409.8,1639.2,102.2,1,19.898601564102602
402.3,211.3,1901.7,44.7,1,19.9770086666667
344.7,217.7,1959.3,38.3,1,21.174593277777802
319.0,0.0,2241.0,0.0,1,21.2547994864865
204.0,461.0,1844.0,51.0,1,37.5557710769231
191.0,0.0,2369.0,0.0,1,37.7354408461539
114.3,243.3,2189.7,12.7,1,38.7889927567568
63.0,0.0,2497.0,0.0,1,38.9492308421053
57.4,45.6,19.4,2437.6,26,0.38149656410256394
176.0,49.0,80.0,2255.0,26,0.430814923076923
287.7,123.9,69.1,2079.3,26,0.4619041025641029
300.8,151.4,105.6,2002.2,26,0.478987974358975
212.2,232.4,88.6,2026.8,26,0.5058564358974361
301.5,219.3,165.7,1873.5,26,0.514777717948718
335.7,221.5,227.5,1775.3,26,0.5204095384615379
236.0,211.4,301.6,1811.0,26,0.528053435897436
284.0,198.6,378.4,1699.0,26,0.566343743589744
86.3,157.7,483.3,1832.7,26,0.6127008205128199
215.9,282.5,422.5,1639.1,26,0.637905282051282
175.8,128.8,640.2,1615.2,26,0.732406631578947
268.5,160.7,672.3,1458.5,26,0.7536931794871801
