FN,FP,TN,TP,sr,t
0.0,5.0,0.0,175.0,1,3065
0.0,10.0,0.0,170.0,1,3138
0.0,14.0,0.0,166.0,1,3154
0.0,19.0,0.0,161.0,1,3161
15.7,20.7,2.3,141.3,1,3177
30.4,22.4,5.6,121.6,1,3216
14.8,28.8,3.2,133.2,1,3238
57.2,22.2,14.8,85.8,1,3268
55.6,24.6,16.4,83.4,1,3299
26.8,36.8,9.2,107.2,1,3336
78.0,20.0,30.0,52.0,1,3398
50.0,33.0,22.0,75.0,1,3451
60.5,29.5,29.5,60.5,1,3532
58.0,32.0,32.0,58.0,1,4705
56.0,34.0,34.0,56.0,1,4787
32.1,51.1,21.9,74.9,1,4894
20.6,61.6,15.4,82.4,1,4907
49.0,41.0,41.0,49.0,1,4951
56.4,34.4,51.6,37.6,1,5045
44.5,45.5,45.5,44.5,1,5186
34.0,57.0,38.0,51.0,1,5220
64.0,20.0,80.0,16.0,1,5233
60.8,20.8,83.2,15.2,1,5241
35.5,54.5,54.5,35.5,1,5295
46.9,33.9,79.1,20.1,1,5310
42.7,35.7,83.3,18.3,1,5328
46.4,24.4,97.6,11.6,1,5342
37.1,38.1,88.9,15.9,1,5361
34.3,39.3,91.7,14.7,1,5419
26.4,54.4,81.6,17.6,1,5449
16.0,84.0,56.0,24.0,1,5465
28.0,29.0,116.0,7.0,1,5499
27.9,14.9,134.1,3.1,1,5515
15.6,61.6,92.4,10.4,1,14627
17.6,31.6,126.4,4.4,1,14667
15.3,16.3,146.7,1.7,1,14744
11.7,16.7,150.3,1.3,1,14852
8.0,0.0,172.0,0.0,1,16399
4.0,0.0,176.0,0.0,1,16442
0.0,5.0,0.0,175.0,2,3065
17.0,9.0,1.0,153.0,2,3138
16.6,12.6,1.4,149.4,2,3154
0.0,19.0,0.0,161.0,2,3161
47.1,16.1,6.9,109.9,2,3177
45.6,19.6,8.4,106.4,2,3216
44.4,22.4,9.6,103.6,2,3238
57.2,22.2,14.8,85.8,2,3268
55.6,24.6,16.4,83.4,2,3299
107.2,9.2,36.8,26.8,2,3336
91.0,15.0,35.0,39.0,2,3398
62.5,27.5,27.5,62.5,2,3451
48.4,35.4,23.6,72.6,2,3532
69.6,25.6,38.4,46.4,2,4705
89.6,13.6,54.4,22.4,2,4787
85.6,14.6,58.4,21.4,2,4894
82.4,15.4,61.6,20.6,2,4907
58.8,32.8,49.2,39.2,2,4951
65.8,25.8,60.2,28.2,2,5045
80.1,9.1,81.9,8.9,2,5186
51.0,38.0,57.0,34.0,2,5220
64.0,20.0,80.0,16.0,2,5233
68.4,10.4,93.6,7.6,2,5241
49.7,32.7,76.3,21.3,2,5295
67.0,0.0,113.0,0.0,2,5310
54.9,11.9,107.1,6.1,2,5328
46.4,24.4,97.6,11.6,2,5342
42.4,25.4,101.6,10.6,2,5361
44.1,13.1,117.9,4.9,2,5419
39.6,13.6,122.4,4.4,2,5449
40.0,0.0,140.0,0.0,2,5465
28.0,29.0,116.0,7.0,2,5499
31.0,0.0,149.0,0.0,2,5515
26.0,0.0,154.0,0.0,2,14627
22.0,0.0,158.0,0.0,2,14667
17.0,0.0,163.0,0.0,2,14744
13.0,0.0,167.0,0.0,2,14852
