FN,FP,TN,TP,sr,t
0.0,58.0,0.0,2246.0,1,6773.4578571428565
218.8,104.4,11.6,1969.2,1,6979.7807142857155
426.2,138.4,34.6,1704.8,1,7264.4617857142875
207.3,207.9,23.1,1865.7,1,7395.054999999998
604.5,202.3,86.7,1410.5,1,7596.398214285714
0.0,346.0,0.0,1958.0,1,7815.8617857142835
190.0,363.6,40.4,1710.0,1,7937.0025
184.3,414.9,46.1,1658.7,1,8447.814285714283
892.5,259.5,259.5,892.5,1,8802.333928571428
518.1,403.9,173.1,1208.9,1,8938.154642857144
334.0,507.2,126.8,1336.0,1,9179.054642857143
0.0,692.0,0.0,1612.0,1,9560.767142857143
155.5,674.1,74.9,1399.5,1,9629.681785714289
449.1,564.9,242.1,1047.9,1,9697.493214285714
431.7,605.5,259.5,1007.3,1,9817.643928571428
552.8,553.2,368.8,829.2,1,9896.94214285714
662.0,490.0,490.0,662.0,1,9985.245714285717
380.1,725.9,311.1,886.9,1,10049.314285714288
362.7,766.5,328.5,846.3,1,10175.52607142857
575.5,576.5,576.5,575.5,1,10259.974999999997
547.0,605.0,605.0,547.0,1,10379.507142857143
621.6,507.2,760.8,414.4,1,10457.592857142856
587.4,530.0,795.0,391.6,1,10546.846428571429
460.5,691.5,691.5,460.5,1,10607.560714285712
776.7,144.1,1296.9,86.3,1,10674.835714285711
564.2,449.4,1048.6,241.8,1,10788.810714285712
448.2,622.8,934.2,298.8,1,10851.35357142857
345.5,806.5,806.5,345.5,1,10970.621428571429
506.4,334.2,1336.8,126.6,1,11234.271428571428
345.0,691.6,1037.4,230.0,1,11315.592857142856
362.6,535.8,1250.2,155.4,1,11592.964285714279
322.0,553.2,1290.8,138.0,1,11656.392857142857
322.4,380.2,1520.8,80.6,1,11821.678571428567
276.0,391.8,1567.2,69.0,1,12473.907142857144
258.3,201.7,1815.3,28.7,1,13082.996428571429
230.0,0.0,2074.0,0.0,1,13508.696428571431
154.8,213.2,1918.8,17.2,1,14499.135714285716
103.5,218.9,1970.1,11.5,1,15826.046428571422
51.3,224.7,2022.3,5.7,1,19289.51785714286
130.5,26.9,31.1,2115.5,24,6773.4578571428565
114.1,99.7,16.3,2073.9,24,6979.7807142857155
115.3,127.3,45.7,2015.7,24,7264.4617857142875
219.0,136.0,95.0,1854.0,24,7395.054999999998
188.4,180.8,108.2,1826.6,24,7596.398214285714
285.9,197.1,148.9,1672.1,24,7815.8617857142835
179.4,196.2,207.8,1720.6,24,7937.0025
260.8,255.0,206.0,1582.2,24,8447.814285714283
397.6,196.6,322.4,1387.4,24,8802.333928571428
330.4,259.2,317.8,1396.6,24,8938.154642857144
407.3,198.1,435.9,1262.7,24,9179.054642857143
402.4,261.6,430.4,1209.6,24,9560.767142857143
399.2,322.4,426.6,1155.8,24,9629.681785714289
435.9,236.1,570.9,1061.1,24,9697.493214285714
312.1,201.7,663.3,1126.9,24,9817.643928571428
416.7,228.1,693.9,965.3,24,9896.94214285714
312.9,315.3,664.7,1011.1,24,9985.245714285717
385.2,293.4,743.6,881.8,24,10049.314285714288
337.5,226.3,868.7,871.5,24,10175.52607142857
387.9,251.5,901.5,763.1,24,10259.974999999997
448.7,181.9,1028.1,645.3,24,10379.507142857143
321.3,250.6,1017.4,714.7,24,10457.592857142856
292.1,234.3,1090.7,686.9,24,10546.846428571429
402.2,180.2,1202.8,518.8,24,10607.560714285712
268.0,143.2,1297.8,595.0,24,10674.835714285711
290.8,154.4,1343.6,515.2,24,10788.810714285712
356.4,146.6,1410.4,390.6,24,10851.35357142857
201.8,252.4,1360.6,489.2,24,10970.621428571429
290.1,196.3,1474.7,342.9,24,11234.271428571428
248.3,164.5,1564.5,326.7,24,11315.592857142856
270.5,152.9,1633.1,247.5,24,11592.964285714279
185.5,144.3,1699.7,274.5,24,11656.392857142857
197.1,154.5,1746.5,205.9,24,11821.678571428567
192.3,86.1,1872.9,152.7,24,12473.907142857144
178.3,95.9,1921.1,108.7,24,13082.996428571429
152.7,67.9,2006.1,77.3,24,13508.696428571431
129.2,72.4,2059.6,42.8,24,14499.135714285716
101.8,45.6,2143.4,13.2,24,15826.046428571422
54.1,25.9,2221.1,2.9,24,19289.51785714286
125.8,30.6,27.4,2120.2,47,6773.4578571428565
111.7,68.5,47.5,2076.3,47,6979.7807142857155
112.5,95.3,77.7,2018.5,47,7264.4617857142875
164.0,118.6,112.4,1909.0,47,7395.054999999998
125.8,149.4,139.6,1889.2,47,7596.398214285714
241.1,139.0,207.0,1716.9,47,7815.8617857142835
271.1,158.3,245.7,1628.9,47,7937.0025
249.4,242.8,218.2,1593.6,47,8447.814285714283
310.8,222.1,296.9,1474.2,47,8802.333928571428
315.9,223.5,353.5,1411.1,47,8938.154642857144
342.3,206.7,427.3,1327.7,47,9179.054642857143
323.4,238.3,453.7,1288.6,47,9560.767142857143
348.5,209.1,539.9,1206.5,47,9629.681785714289
265.8,212.2,594.8,1231.2,47,9697.493214285714
336.5,193.7,671.3,1102.5,47,9817.643928571428
322.3,210.8,711.2,1059.7,47,9896.94214285714
318.2,239.1,740.9,1005.8,47,9985.245714285717
277.7,265.1,771.9,989.3,47,10049.314285714288
325.3,212.2,882.8,883.7,47,10175.52607142857
330.6,201.6,951.4,820.4,47,10259.974999999997
282.7,195.5,1014.5,811.3,47,10379.507142857143
247.3,193.3,1074.7,788.7,47,10457.592857142856
283.4,193.0,1132.0,695.6,47,10546.846428571429
206.3,183.5,1199.5,714.7,47,10607.560714285712
228.5,138.7,1302.3,634.5,47,10674.835714285711
269.6,161.6,1336.4,536.4,47,10788.810714285712
274.6,148.7,1408.3,472.4,47,10851.35357142857
144.1,162.4,1450.6,546.9,47,10970.621428571429
250.6,151.9,1519.1,382.4,47,11234.271428571428
234.2,160.8,1568.2,340.8,47,11315.592857142856
243.8,114.8,1671.2,274.2,47,11592.964285714279
194.3,103.6,1740.4,265.7,47,11656.392857142857
178.1,50.7,1850.3,224.9,47,11821.678571428567
150.6,80.4,1878.6,194.4,47,12473.907142857144
125.9,92.9,1924.1,161.1,47,13082.996428571429
124.3,108.7,1965.3,105.7,47,13508.696428571431
106.8,78.8,2053.2,65.2,47,14499.135714285716
84.7,54.9,2134.1,30.3,47,15826.046428571422
43.6,28.6,2218.4,13.4,47,19289.51785714286
95.3,32.1,25.9,2150.7,70,6773.4578571428565
67.9,64.3,51.7,2120.1,70,6979.7807142857155
83.6,104.7,68.3,2047.4,70,7264.4617857142875
178.7,91.5,139.5,1894.3,70,7395.054999999998
155.5,141.2,147.8,1859.5,70,7596.398214285714
199.5,136.1,209.9,1758.5,70,7815.8617857142835
248.2,147.8,256.2,1651.8,70,7937.0025
203.3,174.0,287.0,1639.7,70,8447.814285714283
266.0,186.2,332.8,1519.0,70,8802.333928571428
271.6,191.6,385.4,1455.4,70,8938.154642857144
293.0,185.3,448.7,1377.0,70,9179.054642857143
227.5,182.3,509.7,1384.5,70,9560.767142857143
287.5,156.8,592.2,1267.5,70,9629.681785714289
267.8,197.9,609.1,1229.2,70,9697.493214285714
270.5,211.8,653.2,1168.5,70,9817.643928571428
278.2,212.4,709.6,1103.8,70,9896.94214285714
258.0,226.9,753.1,1066.0,70,9985.245714285717
313.4,202.0,835.0,953.6,70,10049.314285714288
268.2,137.6,957.4,940.8,70,10175.52607142857
272.8,173.3,979.7,878.2,70,10259.974999999997
246.2,188.0,1022.0,847.8,70,10379.507142857143
232.4,179.0,1089.0,803.6,70,10457.592857142856
199.2,152.8,1172.2,779.8,70,10546.846428571429
215.9,143.8,1239.2,705.1,70,10607.560714285712
213.7,89.7,1351.3,649.3,70,10674.835714285711
245.8,126.0,1372.0,560.2,70,10788.810714285712
212.6,117.3,1439.7,534.4,70,10851.35357142857
163.4,111.0,1502.0,527.6,70,10970.621428571429
189.4,109.0,1562.0,443.6,70,11234.271428571428
181.9,107.9,1621.1,393.1,70,11315.592857142856
158.3,123.8,1662.2,359.7,70,11592.964285714279
171.2,111.4,1732.6,288.8,70,11656.392857142857
127.0,71.0,1830.0,276.0,70,11821.678571428567
138.9,92.1,1866.9,206.1,70,12473.907142857144
119.9,86.8,1930.2,167.1,70,13082.996428571429
114.6,54.5,2019.5,115.4,70,13508.696428571431
97.5,82.3,2049.7,74.5,70,14499.135714285716
77.6,26.2,2162.8,37.4,70,15826.046428571422
35.9,46.1,2200.9,21.1,70,19289.51785714286
52.6,29.0,29.0,2193.4,93,6773.4578571428565
85.1,44.9,71.1,2102.9,93,6979.7807142857155
102.1,94.4,78.6,2028.9,93,7264.4617857142875
145.8,83.3,147.7,1927.2,93,7395.054999999998
160.0,131.3,157.7,1855.0,93,7596.398214285714
184.7,146.6,199.4,1773.3,93,7815.8617857142835
197.1,150.6,253.4,1702.9,93,7937.0025
221.3,157.2,303.8,1621.7,93,8447.814285714283
247.5,192.6,326.4,1537.5,93,8802.333928571428
217.0,160.5,416.5,1510.0,93,8938.154642857144
239.8,181.8,452.2,1430.2,93,9179.054642857143
266.7,140.0,552.0,1345.3,93,9560.767142857143
246.9,177.6,571.4,1308.1,93,9629.681785714289
220.3,188.0,619.0,1276.7,93,9697.493214285714
181.6,156.2,708.8,1257.4,93,9817.643928571428
270.4,184.9,737.1,1111.6,93,9896.94214285714
244.4,186.3,793.7,1079.6,93,9985.245714285717
250.2,174.0,863.0,1016.8,93,10049.314285714288
220.7,141.9,953.1,988.3,93,10175.52607142857
265.7,158.9,994.1,885.3,93,10259.974999999997
259.7,164.4,1045.6,834.3,93,10379.507142857143
227.6,131.2,1136.8,808.4,93,10457.592857142856
196.7,128.1,1196.9,782.3,93,10546.846428571429
198.9,137.0,1246.0,722.1,93,10607.560714285712
154.0,164.1,1276.9,709.0,93,10674.835714285711
186.0,118.0,1380.0,620.0,93,10788.810714285712
152.8,115.4,1441.6,594.2,93,10851.35357142857
140.7,108.2,1504.8,550.3,93,10970.621428571429
181.6,141.8,1529.2,451.4,93,11234.271428571428
173.3,118.3,1610.7,401.7,93,11315.592857142856
