FN,FP,TN,TP,sr,t
0.0,1726.0,0.0,67275.0,1,405.03703703703695
0.0,3451.0,0.0,65550.0,1,435.93
6382.3,4660.2,517.8,57440.7,1,458.73
6209.9,6211.8,690.2,55889.1,1,466.56000000000006
12074.4,6903.2,1725.8,48297.6,1,498.1212121212122
5865.0,9315.9,1035.1,52785.0,1,505.69696969696975
17076.9,8454.6,3623.4,39846.1,1,516.3939393939394
16557.9,9665.6,4142.4,38635.1,1,552.8416666666667
10694.2,12424.0,3106.0,42776.8,1,562.0083333333333
5175.0,15525.9,1725.1,46575.0,1,575.1166666666667
10003.8,15185.6,3796.4,40015.2,1,610.2153846153848
14490.0,14490.7,6210.3,33810.0,1,634.676923076923
9315.0,17940.8,4485.2,37260.0,1,678.7238095238098
22425.0,12075.5,12075.5,22425.0,1,737.3955555555556
25875.0,10350.4,15525.6,17250.0,1,976.7266666666666
20700.0,13800.5,13800.5,20700.0,1,1058.9727272727273
11902.5,20528.2,8797.8,27772.5,1,1104.3454545454547
11385.0,21735.7,9315.3,26565.0,1,1151.3416666666665
25356.8,9833.1,22943.9,10867.2,1,1193.1569444444444
17250.0,17250.5,17250.5,17250.0,1,1244.48
22940.4,10868.7,25360.3,9831.6,1,1304.0384615384614
21733.6,11385.9,26567.1,9314.4,1,1353.4765432098766
11730.0,23805.6,15870.4,17595.0,1,1395.4178571428574
11039.6,24841.2,16560.8,16559.4,1,1423.639285714286
15525.0,17250.4,25875.6,10350.0,1,1472.0597701149427
16905.0,13455.3,31395.7,7245.0,1,1515.572222222222
11212.5,23288.0,23288.0,11212.5,1,1590.0739583333334
12420.0,19320.4,28980.6,8280.0,1,1656.5029411764706
15180.0,10005.2,40020.8,3795.0,1,1757.9074074074076
12075.0,15525.3,36225.7,5175.0,1,1843.138888888889
10867.5,16042.8,37433.2,4657.5,1,1921.598245614036
12420.0,5520.1,49680.9,1380.0,1,2001.9504273504278
9660.0,11385.2,45540.8,2415.0,1,2092.0
9315.0,5865.1,52785.9,1035.0,1,2218.376515151515
7762.5,6037.6,54338.4,862.5,1,2344.3043478260865
6210.0,6210.1,55890.9,690.0,1,2946.427222222222
5175.0,0.0,63826.0,0.0,1,3740.362162162162
3105.0,6555.1,58995.9,345.0,1,4857.656140350877
1552.5,6727.6,60548.4,172.5,1,6404.30569105691
1674.3,1182.5,543.5,65600.7,691,405.03703703703695
3229.9,2095.0,1356.0,62320.1,691,435.93
4488.8,2991.6,2186.4,59334.2,691,458.73
5313.1,3642.8,3259.2,56785.9,691,466.56000000000006
6271.6,4297.4,4331.6,54100.4,691,498.1212121212122
6647.6,5299.4,5051.6,52002.4,691,505.69696969696975
8098.1,6183.0,5895.0,48824.9,691,516.3939393939394
9982.4,6584.0,7224.0,45210.6,691,552.8416666666667
10394.5,7314.2,8215.8,43076.5,691,562.0083333333333
10600.2,8274.7,8976.3,41149.8,691,575.1166666666667
11680.0,8625.4,10356.6,38339.0,691,610.2153846153848
12730.0,9313.5,11387.5,35570.0,691,634.676923076923
13783.2,9618.8,12807.2,32791.8,691,678.7238095238098
14360.7,10550.8,13600.2,30489.3,691,737.3955555555556
14835.5,10381.8,15494.2,28289.5,691,976.7266666666666
14100.1,10720.3,16880.7,27299.9,691,1058.9727272727273
13706.5,9570.2,19755.8,25968.5,691,1104.3454545454547
13016.3,9179.8,21871.2,24933.7,691,1151.3416666666665
12040.8,8514.1,24262.9,24183.2,691,1193.1569444444444
11266.4,7968.8,26532.2,23233.6,691,1244.48
10533.1,7485.6,28743.4,22238.9,691,1304.0384615384614
10038.2,6909.4,31043.6,21009.8,691,1353.4765432098766
9732.5,6385.3,33290.7,19592.5,691,1395.4178571428574
8813.1,5863.5,35538.5,18785.9,691,1423.639285714286
7947.0,5696.5,37429.5,17928.0,691,1472.0597701149427
7169.9,4984.0,39867.0,16980.1,691,1515.572222222222
6411.2,4380.7,42195.3,16013.8,691,1590.0739583333334
5704.7,4221.4,44079.6,14995.3,691,1656.5029411764706
5502.3,3805.5,46220.5,13472.7,691,1757.9074074074076
5057.2,3368.4,48382.6,12192.8,691,1843.138888888889
4594.6,2946.0,50530.0,10930.4,691,1921.598245614036
4023.0,2581.6,52619.4,9777.0,691,2001.9504273504278
3520.2,2529.7,54396.3,8554.8,691,2092.0
3849.9,2557.4,56093.6,6500.1,691,2218.376515151515
3003.0,2326.8,58049.2,5622.0,691,2344.3043478260865
2677.7,2049.9,60051.1,4222.3,691,2946.427222222222
2165.7,1666.2,62159.8,3009.3,691,3740.362162162162
1258.1,747.9,64803.1,2191.9,691,4857.656140350877
324.1,327.2,66948.8,1400.9,691,6404.30569105691
1399.1,1177.8,548.2,65875.9,1381,405.03703703703695
2852.7,1916.8,1534.2,62697.3,1381,435.93
4339.6,2893.8,2284.2,59483.4,1381,458.73
5207.1,3456.1,3445.9,56891.9,1381,466.56000000000006
5801.2,4271.0,4358.0,54570.8,1381,498.1212121212122
6869.0,4879.3,5471.7,51781.0,1381,505.69696969696975
7850.7,6022.3,6055.7,49072.3,1381,516.3939393939394
9443.0,6505.6,7302.4,45750.0,1381,552.8416666666667
10128.7,7253.3,8276.7,43342.3,1381,562.0083333333333
10991.6,7777.6,9473.4,40758.4,1381,575.1166666666667
11645.0,8343.7,10638.3,38374.0,1381,610.2153846153848
12647.2,9077.1,11623.9,35652.8,1381,634.676923076923
13275.6,9887.2,12538.8,33299.4,1381,678.7238095238098
14725.4,10065.4,14085.6,30124.6,1381,737.3955555555556
14772.2,10462.2,15413.8,28352.8,1381,976.7266666666666
14351.2,9973.7,17627.3,27048.8,1381,1058.9727272727273
13208.8,9619.8,19706.2,26466.2,1381,1104.3454545454547
12488.4,9292.9,21758.1,25461.6,1381,1151.3416666666665
11898.1,8632.3,24144.7,24325.9,1381,1193.1569444444444
11065.4,7974.3,26526.7,23434.6,1381,1244.48
10138.7,7564.1,28664.9,22633.3,1381,1304.0384615384614
9556.4,6979.4,30973.6,21491.6,1381,1353.4765432098766
9007.0,6689.3,32986.7,20318.0,1381,1395.4178571428574
8068.9,5837.7,35564.3,19530.1,1381,1423.639285714286
7592.8,5300.5,37825.5,18282.2,1381,1472.0597701149427
6792.9,4486.9,40364.1,17357.1,1381,1515.572222222222
5897.0,4110.6,42465.4,16528.0,1381,1590.0739583333334
5749.2,3967.1,44333.9,14950.8,1381,1656.5029411764706
5263.7,3588.3,46437.7,13711.3,1381,1757.9074074074076
4674.0,3179.6,48571.4,12576.0,1381,1843.138888888889
4386.9,2658.7,50817.3,11138.1,1381,1921.598245614036
3698.6,2494.7,52706.3,10101.4,1381,2001.9504273504278
3213.3,2338.9,54587.1,8861.7,1381,2092.0
3255.3,2393.4,56257.6,7094.7,1381,2218.376515151515
2956.0,2005.0,58371.0,5669.0,1381,2344.3043478260865
2768.7,1868.1,60232.9,4131.3,1381,2946.427222222222
2172.1,1443.3,62382.7,3002.9,1381,3740.362162162162
1110.6,802.2,64748.8,2339.4,1381,4857.656140350877
259.9,273.1,67002.9,1465.1,1381,6404.30569105691
1488.8,1078.4,647.6,65786.2,2071,405.03703703703695
2748.5,1918.0,1533.0,62801.5,2071,435.93
3969.8,2932.2,2245.8,59853.2,2071,458.73
4872.0,3514.5,3387.5,57227.0,2071,466.56000000000006
5883.1,4009.9,4619.1,54488.9,2071,498.1212121212122
6894.1,4828.7,5522.3,51755.9,2071,505.69696969696975
8047.8,5637.6,6440.4,48875.2,2071,516.3939393939394
9344.5,6457.1,7350.9,45848.5,2071,552.8416666666667
10173.5,7206.5,8323.5,43297.5,2071,562.0083333333333
10903.3,7709.7,9541.3,40846.7,2071,575.1166666666667
11514.2,8273.1,10708.9,38504.8,2071,610.2153846153848
12659.4,8839.4,11861.6,35640.6,2071,634.676923076923
13319.0,9676.2,12749.8,33256.0,2071,678.7238095238098
14434.5,10118.5,14032.5,30415.5,2071,737.3955555555556
14816.6,10296.5,15579.5,28308.4,2071,976.7266666666666
14132.3,10071.5,17529.5,27267.7,2071,1058.9727272727273
13391.7,9343.4,19982.6,26283.3,2071,1104.3454545454547
12565.1,8997.3,22053.7,25384.9,2071,1151.3416666666665
11802.5,8451.5,24325.5,24421.5,2071,1193.1569444444444
11229.2,7636.0,26865.0,23270.8,2071,1244.48
10421.8,7259.2,28969.8,22350.2,2071,1304.0384615384614
9619.5,6804.5,31148.5,21428.5,2071,1353.4765432098766
9011.8,6372.7,33303.3,20313.2,2071,1395.4178571428574
8106.6,5688.6,35713.4,19492.4,2071,1423.639285714286
7460.4,5090.0,38036.0,18414.6,2071,1472.0597701149427
6625.6,4582.8,40268.2,17524.4,2071,1515.572222222222
5879.0,4157.2,42418.8,16546.0,2071,1590.0739583333334
5475.4,3885.4,44415.6,15224.6,2071,1656.5029411764706
5066.2,3507.7,46518.3,13908.8,2071,1757.9074074074076
4505.8,3068.7,48682.3,12744.2,2071,1843.138888888889
4092.0,2685.8,50790.2,11433.0,2071,1921.598245614036
3288.8,2480.2,52720.8,10511.2,2071,2001.9504273504278
3053.9,2206.2,54719.8,9021.1,2071,2092.0
3160.1,2228.3,56422.7,7189.9,2071,2218.376515151515
2735.2,1971.6,58404.4,5889.8,2071,2344.3043478260865
2637.9,1872.0,60229.0,4262.1,2071,2946.427222222222
2188.9,1332.7,62493.3,2986.1,2071,3740.362162162162
1066.0,784.2,64766.8,2384.0,2071,4857.656140350877
249.3,204.2,67071.8,1475.7,2071,6404.30569105691
1503.5,1025.9,700.1,65771.5,2761,405.03703703703695
2594.4,1925.2,1525.8,62955.6,2761,435.93
4098.9,2847.9,2330.1,59724.1,2761,458.73
4835.9,3465.2,3436.8,57263.1,2761,466.56000000000006
5714.3,4073.2,4555.8,54657.7,2761,498.1212121212122
6951.5,4703.6,5647.4,51698.5,2761,505.69696969696975
8007.3,5674.8,6403.2,48915.7,2761,516.3939393939394
9274.2,6286.1,7521.9,45918.8,2761,552.8416666666667
9988.3,7203.0,8327.0,43482.7,2761,562.0083333333333
11029.2,7447.9,9803.1,40720.8,2761,575.1166666666667
11632.2,8072.2,10909.8,38386.8,2761,610.2153846153848
12748.1,8689.7,12011.3,35551.9,2761,634.676923076923
13736.2,9276.2,13149.8,32838.8,2761,678.7238095238098
14366.6,10148.6,14002.4,30483.4,2761,737.3955555555556
14873.4,10081.6,15794.4,28251.6,2761,976.7266666666666
14183.0,9987.2,17613.8,27217.0,2761,1058.9727272727273
13308.0,9346.4,19979.6,26367.0,2761,1104.3454545454547
12695.4,8824.1,22226.9,25254.6,2761,1151.3416666666665
12049.1,8153.8,24623.2,24174.9,2761,1193.1569444444444
11075.3,7739.8,26761.2,23424.7,2761,1244.48
10499.6,7078.4,29150.6,22272.4,2761,1304.0384615384614
9748.7,6588.5,31364.5,21299.3,2761,1353.4765432098766
8962.5,6213.8,33462.2,20362.5,2761,1395.4178571428574
7975.7,5670.1,35731.9,19623.3,2761,1423.639285714286
7395.7,5032.1,38093.9,18479.3,2761,1472.0597701149427
6492.8,4693.0,40158.0,17657.2,2761,1515.572222222222
5822.6,4004.2,42571.8,16602.4,2761,1590.0739583333334
5340.7,3910.5,44390.5,15359.3,2761,1656.5029411764706
5047.0,3466.5,46559.5,13928.0,2761,1757.9074074074076
4363.7,3069.8,48681.2,12886.3,2761,1843.138888888889
3969.3,2614.5,50861.5,11555.7,2761,1921.598245614036
3278.9,2447.8,52753.2,10521.1,2761,2001.9504273504278
3098.2,2066.5,54859.5,8976.8,2761,2092.0
3037.1,2100.1,56550.9,7312.9,2761,2218.376515151515
2599.1,2065.1,58310.9,6025.9,2761,2344.3043478260865
2522.2,1947.8,60153.2,4377.8,2761,2946.427222222222
2079.9,1410.1,62415.9,3095.1,2761,3740.362162162162
1063.3,745.0,64806.0,2386.7,2761,4857.656140350877
168.8,184.8,67091.2,1556.2,2761,6404.30569105691
1474.7,1014.3,711.7,65800.3,3451,405.03703703703695
2674.9,1809.2,1641.8,62875.1,3451,435.93
3907.6,2814.3,2363.7,59915.4,3451,458.73
4841.7,3394.6,3507.4,57257.3,3451,466.56000000000006
5757.3,3975.3,4653.7,54614.7,3451,498.1212121212122
6837.2,4702.9,5648.1,51812.8,3451,505.69696969696975
7986.2,5526.1,6551.9,48936.8,3451,516.3939393939394
9030.0,6346.9,7461.1,46163.0,3451,552.8416666666667
10078.8,7096.5,8433.5,43392.2,3451,562.0083333333333
10878.9,7600.5,9650.5,40871.1,3451,575.1166666666667
11607.4,8133.8,10848.2,38411.6,3451,610.2153846153848
12690.4,8687.9,12013.1,35609.6,3451,634.676923076923
13617.5,9329.4,13096.6,32957.5,3451,678.7238095238098
14413.8,9965.8,14185.2,30436.2,3451,737.3955555555556
14649.1,10316.5,15559.5,28475.9,3451,976.7266666666666
14297.0,9721.4,17879.6,27103.0,3451,1058.9727272727273
13376.4,9184.4,20141.6,26298.6,3451,1104.3454545454547
12531.5,8829.8,22221.2,25418.5,3451,1151.3416666666665
11492.8,8578.0,24199.0,24731.2,3451,1193.1569444444444
10957.4,7758.0,26743.0,23542.6,3451,1244.48
10507.5,7075.7,29153.3,22264.5,3451,1304.0384615384614
9540.3,6740.8,31212.2,21507.7,3451,1353.4765432098766
8824.7,6308.0,33368.0,20500.3,3451,1395.4178571428574
7939.6,5586.0,35816.0,19659.4,3451,1423.639285714286
7438.3,4983.7,38142.3,18436.7,3451,1472.0597701149427
6433.6,4615.9,40235.1,17716.4,3451,1515.572222222222
5885.2,3931.9,42644.1,16539.8,3451,1590.0739583333334
5406.6,3787.3,44513.7,15293.4,3451,1656.5029411764706
5021.9,3442.9,46583.1,13953.1,3451,1757.9074074074076
4324.3,3048.5,48702.5,12925.7,3451,1843.138888888889
3920.4,2583.1,50892.9,11604.6,3451,1921.598245614036
3450.3,2199.4,53001.6,10349.7,3451,2001.9504273504278
3008.9,2080.6,54845.4,9066.1,3451,2092.0
2915.7,2045.3,56605.7,7434.3,3451,2218.376515151515
2638.7,1961.5,58414.5,5986.3,3451,2344.3043478260865
2641.8,1810.7,60290.3,4258.2,3451,2946.427222222222
2027.0,1383.1,62442.9,3148.0,3451,3740.362162162162
1082.6,727.3,64823.7,2367.4,3451,4857.656140350877
196.9,163.7,67112.3,1528.1,3451,6404.30569105691
1377.3,1026.4,699.6,65897.7,4141,405.03703703703695
2579.0,1805.0,1646.0,62971.0,4141,435.93
3950.5,2688.6,2489.4,59872.5,4141,458.73
4923.6,3321.6,3580.4,57175.4,4141,466.56000000000006
5796.9,3906.1,4722.9,54575.1,4141,498.1212121212122
6806.1,4728.6,5622.4,51843.9,4141,505.69696969696975
8003.1,5537.6,6540.4,48919.9,4141,516.3939393939394
8950.7,6345.0,7463.0,46242.3,4141,552.8416666666667
10228.7,6878.7,8651.3,43242.3,4141,562.0083333333333
10846.8,7498.1,9752.9,40903.2,4141,575.1166666666667
11721.9,7896.8,11085.2,38297.1,4141,610.2153846153848
12628.0,8683.1,12017.9,35672.0,4141,634.676923076923
13561.6,9342.2,13083.8,33013.4,4141,678.7238095238098
14378.6,10038.6,14112.4,30471.4,4141,737.3955555555556
14758.9,10108.5,15767.5,28366.1,4141,976.7266666666666
14323.7,9627.3,17973.7,27076.3,4141,1058.9727272727273
13350.1,9206.8,20119.2,26324.9,4141,1104.3454545454547
12507.4,8862.0,22189.0,25442.6,4141,1151.3416666666665
12052.0,8052.9,24724.1,24172.0,4141,1193.1569444444444
11218.2,7496.0,27005.0,23281.8,4141,1244.48
10462.6,6996.3,29232.7,22309.4,4141,1304.0384615384614
9662.7,6596.0,31357.0,21385.3,4141,1353.4765432098766
9061.2,5984.3,33691.7,20263.8,4141,1395.4178571428574
8008.4,5474.6,35927.4,19590.6,4141,1423.639285714286
7312.9,5007.8,38118.2,18562.1,4141,1472.0597701149427
6543.9,4450.4,40400.6,17606.1,4141,1515.572222222222
5860.0,3915.8,42660.2,16565.0,4141,1590.0739583333334
5443.0,3719.2,44581.8,15257.0,4141,1656.5029411764706
4971.3,3448.1,46577.9,14003.7,4141,1757.9074074074076
4249.4,3053.3,48697.7,13000.6,4141,1843.138888888889
3894.1,2508.0,50968.0,11630.9,4141,1921.598245614036
3323.2,2231.4,52969.6,10476.8,4141,2001.9504273504278
2935.9,2017.5,54908.5,9139.1,4141,2092.0
2928.9,2038.7,56612.3,7421.1,4141,2218.376515151515
2785.0,1810.6,58565.4,5840.0,4141,2344.3043478260865
2572.1,1829.1,60271.9,4327.9,4141,2946.427222222222
2034.4,1384.9,62441.1,3140.6,4141,3740.362162162162
1072.8,696.8,64854.2,2377.2,4141,4857.656140350877
184.3,138.5,67137.5,1540.7,4141,6404.30569105691
1514.2,939.8,786.2,65760.8,4831,405.03703703703695
2618.4,1758.1,1692.9,62931.6,4831,435.93
4040.9,2675.5,2502.5,59782.1,4831,458.73
4947.3,3223.2,3678.8,57151.7,4831,466.56000000000006
5718.4,3962.1,4666.9,54653.6,4831,498.1212121212122
6802.3,4683.2,5667.8,51847.7,4831,505.69696969696975
7909.2,5506.4,6571.6,49013.8,4831,516.3939393939394
9244.9,6068.6,7739.4,45948.1,4831,552.8416666666667
10099.7,6936.9,8593.1,43371.3,4831,562.0083333333333
10897.7,7363.8,9887.2,40852.3,4831,575.1166666666667
11696.7,7930.6,11051.4,38322.3,4831,610.2153846153848
12642.3,8664.8,12036.2,35657.7,4831,634.676923076923
13571.6,9239.4,13186.6,33003.4,4831,678.7238095238098
14679.0,9652.8,14498.2,30171.0,4831,737.3955555555556
14802.5,10070.3,15805.7,28322.5,4831,976.7266666666666
14157.6,9799.2,17801.8,27242.4,4831,1058.9727272727273
13439.7,9067.2,20258.8,26235.3,4831,1104.3454545454547
12700.7,8589.6,22461.4,25249.3,4831,1151.3416666666665
11826.7,8132.9,24644.1,24397.3,4831,1193.1569444444444
11035.0,7627.2,26873.8,23465.0,4831,1244.48
10401.0,7013.0,29216.0,22371.0,4831,1304.0384615384614
9607.2,6576.6,31376.4,21440.8,4831,1353.4765432098766
9035.1,6045.8,33630.2,20289.9,4831,1395.4178571428574
7951.8,5468.7,35933.3,19647.2,4831,1423.639285714286
7372.1,4939.5,38186.5,18502.9,4831,1472.0597701149427
6598.7,4390.5,40460.5,17551.3,4831,1515.572222222222
5817.6,3923.5,42652.5,16607.4,4831,1590.0739583333334
5422.4,3687.8,44613.2,15277.6,4831,1656.5029411764706
5020.1,3355.6,46670.4,13954.9,4831,1757.9074074074076
4352.1,2893.4,48857.6,12897.9,4831,1843.138888888889
3821.5,2572.8,50903.2,11703.5,4831,1921.598245614036
3381.5,2200.5,53000.5,10418.5,4831,2001.9504273504278
2932.8,1915.0,55011.0,9142.2,4831,2092.0
2832.9,2081.8,56569.2,7517.1,4831,2218.376515151515
2700.8,1863.0,58513.0,5924.2,4831,2344.3043478260865
2551.4,1826.5,60274.5,4348.6,4831,2946.427222222222
2012.8,1379.3,62446.7,3162.2,4831,3740.362162162162
1053.5,715.1,64835.9,2396.5,4831,4857.656140350877
189.5,139.3,67136.7,1535.5,4831,6404.30569105691
1357.1,952.7,773.3,65917.9,5521,405.03703703703695
2717.3,1705.9,1745.1,62832.7,5521,435.93
3830.0,2692.9,2485.1,59993.0,5521,458.73
4823.8,3273.8,3628.2,57275.2,5521,466.56000000000006
5691.1,3949.9,4679.1,54680.9,5521,498.1212121212122
6783.5,4628.0,5723.0,51866.5,5521,505.69696969696975
7941.0,5414.1,6663.9,48982.0,5521,516.3939393939394
9000.3,6163.3,7644.7,46192.7,5521,552.8416666666667
10288.1,6755.7,8774.3,43182.9,5521,562.0083333333333
11074.5,7193.8,10057.2,40675.5,5521,575.1166666666667
11648.7,7908.4,11073.6,38370.3,5521,610.2153846153848
12675.3,8550.8,12150.2,35624.7,5521,634.676923076923
13477.0,9317.7,13108.3,33098.0,5521,678.7238095238098
14574.5,9729.6,14421.4,30275.5,5521,737.3955555555556
14971.9,9862.1,16013.9,28153.1,5521,976.7266666666666
14336.4,9562.8,18038.2,27063.6,5521,1058.9727272727273
13377.0,9065.7,20260.3,26298.0,5521,1104.3454545454547
12646.5,8603.0,22448.0,25303.5,5521,1151.3416666666665
11955.8,7976.6,24800.4,24268.2,5521,1193.1569444444444
11148.1,7423.2,27077.8,23351.9,5521,1244.48
10411.4,7036.4,29192.6,22360.6,5521,1304.0384615384614
9639.1,6528.1,31424.9,21408.9,5521,1353.4765432098766
8939.9,6050.7,33625.3,20385.1,5521,1395.4178571428574
7957.8,5485.9,35916.1,19641.2,5521,1423.639285714286
7294.5,4971.1,38154.9,18580.5,5521,1472.0597701149427
6550.3,4425.4,40425.6,17599.7,5521,1515.572222222222
5830.4,3874.8,42701.2,16594.6,5521,1590.0739583333334
5458.1,3643.7,44657.3,15241.9,5521,1656.5029411764706
4896.6,3437.3,46588.7,14078.4,5521,1757.9074074074076
4387.4,2857.7,48893.3,12862.6,5521,1843.138888888889
3771.4,2558.4,50917.6,11753.6,5521,1921.598245614036
3188.6,2308.8,52892.2,10611.4,5521,2001.9504273504278
2948.8,1882.4,55043.6,9126.2,5521,2092.0
2801.1,1999.8,56651.2,7548.9,5521,2218.376515151515
2670.3,1861.8,58514.2,5954.7,5521,2344.3043478260865
2554.7,1828.7,60272.3,4345.3,5521,2946.427222222222
1964.5,1378.3,62447.7,3210.5,5521,3740.362162162162
1056.8,688.2,64862.8,2393.2,5521,4857.656140350877
170.0,123.8,67152.2,1555.0,5521,6404.30569105691
1336.8,952.0,774.0,65938.2,6211,405.03703703703695
2530.1,1765.1,1685.9,63019.9,6211,435.93
3936.6,2628.6,2549.4,59886.4,6211,458.73
4725.4,3276.9,3625.1,57373.6,6211,466.56000000000006
5728.8,3862.8,4766.2,54643.2,6211,498.1212121212122
6834.1,4549.0,5802.0,51815.9,6211,505.69696969696975
7953.5,5339.5,6738.5,48969.5,6211,516.3939393939394
9132.9,6032.4,7775.6,46060.1,6211,552.8416666666667
10093.7,6834.7,8695.3,43377.3,6211,562.0083333333333
10970.2,7240.7,10010.3,40779.8,6211,575.1166666666667
11585.9,7923.9,11058.1,38433.1,6211,610.2153846153848
12762.6,8414.1,12286.9,35537.4,6211,634.676923076923
13739.8,9005.7,13420.3,32835.2,6211,678.7238095238098
14488.5,9764.7,14386.3,30361.5,6211,737.3955555555556
14872.0,9943.4,15932.6,28253.0,6211,976.7266666666666
14271.7,9577.7,18023.3,27128.3,6211,1058.9727272727273
13541.3,8894.3,20431.7,26133.7,6211,1104.3454545454547
12637.0,8566.5,22484.5,25313.0,6211,1151.3416666666665
