FN,FP,TN,TP,sr,t
0.0,338.0,0.0,13147.0,1,21.682
1281.0,607.5,67.5,11529.0,1,21.941
2494.4,810.4,202.6,9977.6,1,22.249000000000002
1213.5,1215.0,135.0,10921.5,1,22.464000000000002
0.0,1686.0,0.0,11799.0,1,22.674
2292.4,1618.4,404.6,9169.6,1,22.875
2225.0,1888.0,472.0,8900.0,1,23.156
1078.5,2430.0,270.0,9706.5,1,23.397
1044.9,2732.4,303.6,9404.1,1,23.689
3033.9,2360.4,1011.6,7079.1,1,23.914
2932.8,2596.3,1112.7,6843.2,1,24.25
2831.7,2832.2,1213.8,6607.3,1,24.643
4551.0,2191.5,2191.5,4551.0,1,25.176
3506.0,2832.0,1888.0,5259.0,1,25.909000000000002
2528.4,3539.9,1517.1,5899.6,1,26.388
2426.7,3777.2,1618.8,5662.3,1,27.068
4651.8,2292.8,3439.2,3101.2,1,27.871
5932.8,1213.8,4855.2,1483.2,1,28.662
2831.6,3843.6,2562.4,4247.4,1,29.551
3370.5,3372.0,3372.0,3370.5,1,30.396
3202.5,3540.0,3540.0,3202.5,1,31.2
3640.8,2966.8,4450.2,2427.2,1,31.9
2292.4,4652.4,3101.6,3438.6,1,32.867
2696.5,4046.0,4046.0,2696.5,1,33.649
4550.4,842.9,7586.1,505.6,1,34.982
3302.6,2630.1,6136.9,1415.4,1,36.14
3504.8,1820.8,7283.2,876.2,1,37.357
2831.5,2832.0,6608.0,1213.5,1,39.013000000000005
2595.6,2933.1,6843.9,1112.4,1,41.394
3371.0,0.0,10114.0,0.0,1,42.576
2730.6,1045.1,9405.9,303.4,1,43.701
1887.2,3236.7,7552.3,808.8,1,45.168
1651.3,3337.8,7788.2,707.7,1,46.952
1617.6,2292.6,9170.4,404.4,1,49.398999999999994
1685.0,0.0,11800.0,0.0,1,52.981
1348.0,0.0,12137.0,0.0,1,58.173
909.9,1247.4,11226.6,101.1,1,64.203
606.6,1281.1,11529.9,67.4,1,69.488
337.0,0.0,13148.0,0.0,1,77.494
375.0,253.5,84.5,12772.0,135,21.682
801.7,389.0,286.0,12008.3,135,21.941
686.5,619.5,393.5,11785.5,135,22.249000000000002
904.4,681.1,668.9,11230.6,135,22.464000000000002
1089.8,708.9,977.1,10709.2,135,22.674
1156.2,841.7,1181.3,10305.8,135,22.875
1028.4,1097.1,1262.9,10096.6,135,23.156
1188.6,1016.5,1683.5,9596.4,135,23.397
1350.3,959.2,2076.8,9098.7,135,23.689
1353.8,1048.1,2323.9,8759.2,135,23.914
1340.4,680.1,3028.9,8435.6,135,24.25
1196.1,842.7,3203.3,8242.9,135,24.643
1233.0,1133.7,3249.3,7869.0,135,25.176
1378.5,891.5,3828.5,7386.5,135,25.909000000000002
1479.4,862.6,4194.4,6948.6,135,26.388
1508.3,891.3,4504.7,6580.7,135,27.068
1504.2,921.9,4810.1,6248.8,135,27.871
1363.3,711.2,5357.8,6052.7,135,28.662
1588.8,897.1,5508.9,5490.2,135,29.551
1490.4,945.4,5798.6,5250.6,135,30.396
1245.5,1041.7,6038.3,5159.5,135,31.2
1155.6,955.9,6461.1,4912.4,135,31.9
1312.3,977.7,6776.3,4418.7,135,32.867
1323.5,823.0,7269.0,4069.5,135,33.649
1076.6,890.3,7538.7,3979.4,135,34.982
1087.7,930.0,7837.0,3630.3,135,36.14
1231.0,1018.9,8085.1,3150.0,135,37.357
1283.0,1020.7,8419.3,2762.0,135,39.013000000000005
