FN,FP,TN,TP,sr,t
0.0,87.0,0.0,3369.0,1,127.14200000000001
0.0,173.0,0.0,3283.0,1,146.784
1278.4,156.0,104.0,1917.6,1,161.565
622.0,276.8,69.2,2488.0,1,173.891
604.6,346.4,86.6,2418.4,1,185.75599999999997
881.1,363.3,155.7,2055.9,1,197.015
570.2,484.0,121.0,2280.8,1,205.10299999999998
276.4,622.8,69.2,2487.6,1,214.959
535.6,622.4,155.6,2142.4,1,222.62099999999998
777.3,605.5,259.5,1813.7,1,231.72099999999998
751.5,665.7,285.3,1753.5,1,241.138
483.8,829.6,207.4,1935.2,1,246.171
932.8,674.4,449.6,1399.2,1,254.862
673.8,847.0,363.0,1572.2,1,262.707
863.6,778.2,518.8,1295.4,1,270.16
1243.8,553.2,829.8,829.2,1,279.184
794.8,881.4,587.6,1192.2,1,287.014
760.0,933.6,622.4,1140.0,1,295.097
907.0,821.0,821.0,907.0,1,302.13599999999997
1036.2,691.6,1037.4,690.8,1,312.586
656.4,1089.0,726.0,984.6,1,321.889
466.5,1330.7,570.3,1088.5,1,330.30699999999996
1321.2,198.8,1789.2,146.8,1,340.32099999999997
967.4,622.2,1451.8,414.6,1,350.175
777.0,864.4,1296.6,518.0,1,361.425
846.3,674.1,1572.9,362.7,1,376.219
673.8,933.2,1399.8,449.2,1,387.087
621.6,968.0,1452.0,414.4,1,404.142
760.0,501.2,2004.8,190.0,1,426.843
690.4,518.6,2074.4,172.6,1,445.48800000000006
310.8,1607.4,1071.6,466.2,1,475.07
207.3,1935.5,829.5,483.7,1,515.107
604.0,0.0,2852.0,0.0,1,568.7919999999999
414.4,587.6,2350.4,103.6,1,852.556
387.9,302.5,2722.5,43.1,1,1501.64
310.5,311.1,2799.9,34.5,1,1902.79
233.1,319.7,2877.3,25.9,1,2283.97
172.0,0.0,3284.0,0.0,1,2799.9
86.0,0.0,3370.0,0.0,1,3270.26
74.1,74.7,12.3,3294.9,35,127.14200000000001
190.9,84.9,88.1,3092.1,35,146.784
149.9,163.9,96.1,3046.1,35,161.565
163.0,168.2,177.8,2947.0,35,173.891
292.6,149.3,283.7,2730.4,35,185.75599999999997
347.3,238.1,280.9,2589.7,35,197.015
359.6,258.6,346.4,2491.4,35,205.10299999999998
241.5,273.9,418.1,2522.5,35,214.959
435.5,317.7,460.3,2242.5,35,222.62099999999998
469.4,260.0,605.0,2121.6,35,231.72099999999998
396.9,323.7,627.3,2108.1,35,241.138
432.1,374.3,662.7,1986.9,35,246.171
485.5,327.3,796.7,1846.5,35,254.862
574.5,380.3,829.7,1671.5,35,262.707
583.8,377.2,919.8,1575.2,35,270.16
617.3,336.1,1046.9,1455.7,35,279.184
533.6,401.7,1067.3,1453.4,35,287.014
488.0,336.1,1219.9,1412.0,35,295.097
521.7,403.5,1238.5,1292.3,35,302.13599999999997
535.4,321.7,1407.3,1191.6,35,312.586
503.9,368.6,1446.4,1137.1,35,321.889
569.7,285.5,1615.5,985.3,35,330.30699999999996
423.7,402.5,1585.5,1044.3,35,340.32099999999997
501.6,205.4,1868.6,880.4,35,350.175
487.2,274.8,1886.2,807.8,35,361.425
408.4,184.0,2063.0,800.6,35,376.219
296.6,222.8,2110.2,826.4,35,387.087
276.4,197.6,2222.4,759.6,35,404.142
230.3,175.7,2330.3,719.7,35,426.843
299.0,184.2,2408.8,564.0,35,445.48800000000006
245.0,82.0,2597.0,532.0,35,475.07
145.0,43.2,2721.8,546.0,35,515.107
126.4,18.0,2834.0,477.6,35,568.7919999999999
83.6,37.2,2900.8,434.4,35,852.556
73.4,106.8,2918.2,357.6,35,1501.64
93.5,102.5,3008.5,251.5,35,1902.79
128.7,100.1,3096.9,130.3,35,2283.97
143.3,44.5,3239.5,28.7,35,2799.9
64.0,45.2,3324.8,22.0,35,3270.26
63.7,52.9,34.1,3305.3,69,127.14200000000001
105.5,73.3,99.7,3177.5,69,146.784
179.3,94.9,165.1,3016.7,69,161.565
124.3,159.1,186.9,2985.7,69,173.891
187.3,136.7,296.3,2835.7,69,185.75599999999997
250.4,181.6,337.4,2686.6,69,197.015
300.1,197.5,407.5,2550.9,69,205.10299999999998
297.7,207.5,484.5,2466.3,69,214.959
362.0,195.1,582.9,2316.0,69,222.62099999999998
384.9,323.3,541.7,2206.1,69,231.72099999999998
376.2,254.2,696.8,2128.8,69,241.138
384.0,267.7,769.3,2035.0,69,246.171
381.4,294.4,829.6,1950.6,69,254.862
411.1,298.4,911.6,1834.9,69,262.707
430.5,346.9,950.1,1728.5,69,270.16
424.6,283.2,1099.8,1648.4,69,279.184
412.8,305.8,1163.2,1574.2,69,287.014
404.9,234.9,1321.1,1495.1,69,295.097
336.8,284.9,1357.1,1477.2,69,302.13599999999997
335.6,328.6,1400.4,1391.4,69,312.586
391.6,226.7,1588.3,1249.4,69,321.889
327.1,256.5,1644.5,1227.9,69,330.30699999999996
372.4,266.1,1721.9,1095.6,69,340.32099999999997
311.0,218.3,1855.7,1071.0,69,350.175
334.4,215.9,1945.1,960.6,69,361.425
279.5,235.3,2011.7,929.5,69,376.219
275.6,191.2,2141.8,847.4,69,387.087
240.5,171.5,2248.5,795.5,69,404.142
212.5,115.0,2391.0,737.5,69,426.843
202.4,109.0,2484.0,660.6,69,445.48800000000006
172.1,92.6,2586.4,604.9,69,475.07
165.5,82.4,2682.6,525.5,69,515.107
69.5,28.3,2823.7,534.5,69,568.7919999999999
68.3,37.5,2900.5,449.7,69,852.556
102.3,44.5,2980.5,328.7,69,1501.64
102.5,62.4,3048.6,242.5,69,1902.79
100.2,49.8,3147.2,158.8,69,2283.97
102.2,21.8,3262.2,69.8,69,2799.9
52.0,30.8,3339.2,34.0,69,3270.26
71.2,43.9,43.1,3297.8,103,127.14200000000001
75.0,76.2,96.8,3208.0,103,146.784
119.7,102.5,157.5,3076.3,103,161.565
132.4,147.2,198.8,2977.6,103,173.891
181.7,141.2,291.8,2841.3,103,185.75599999999997
228.4,170.6,348.4,2708.6,103,197.015
272.1,141.5,463.5,2578.9,103,205.10299999999998
207.9,228.4,463.6,2556.1,103,214.959
333.2,222.8,555.2,2344.8,103,222.62099999999998
285.0,238.4,626.6,2306.0,103,231.72099999999998
268.5,217.9,733.1,2236.5,103,241.138
326.1,222.8,814.2,2092.9,103,246.171
283.7,334.2,789.8,2048.3,103,254.862
394.2,256.7,953.3,1851.8,103,262.707
387.6,245.6,1051.4,1771.4,103,270.16
338.9,268.9,1114.1,1734.1,103,279.184
356.3,213.9,1255.1,1630.7,103,287.014
325.4,214.6,1341.4,1574.6,103,295.097
310.6,234.7,1407.3,1503.4,103,302.13599999999997
370.4,181.7,1547.3,1356.6,103,312.586
272.3,281.1,1533.9,1368.7,103,321.889
275.8,205.5,1695.5,1279.2,103,330.30699999999996
275.9,197.6,1790.4,1192.1,103,340.32099999999997
287.3,242.5,1831.5,1094.7,103,350.175
282.5,135.2,2025.8,1012.5,103,361.425
207.3,138.8,2108.2,1001.7,103,376.219
214.7,174.4,2158.6,908.3,103,387.087
216.3,148.9,2271.1,819.7,103,404.142
197.9,105.3,2400.7,752.1,103,426.843
160.6,79.3,2513.7,702.4,103,445.48800000000006
116.5,106.1,2572.9,660.5,103,475.07
110.1,68.3,2696.7,580.9,103,515.107
74.5,43.3,2808.7,529.5,103,568.7919999999999
46.2,33.4,2904.6,471.8,103,852.556
60.1,55.9,2969.1,370.9,103,1501.64
97.5,36.9,3074.1,247.5,103,1902.79
92.0,35.0,3162.0,167.0,103,2283.97
67.9,65.9,3218.1,104.1,103,2799.9
50.0,15.6,3354.4,36.0,103,3270.26
82.2,42.0,45.0,3286.8,137,127.14200000000001
88.0,76.2,96.8,3195.0,137,146.784
90.9,113.7,146.3,3105.1,137,161.565
146.9,81.5,264.5,2963.1,137,173.891
195.4,124.0,309.0,2827.6,137,185.75599999999997
201.5,151.1,367.9,2735.5,137,197.015
252.2,129.8,475.2,2598.8,137,205.10299999999998
255.3,150.2,541.8,2508.7,137,214.959
293.9,155.6,622.4,2384.1,137,222.62099999999998
300.4,200.9,664.1,2290.6,137,231.72099999999998
321.9,201.1,749.9,2183.1,137,241.138
267.3,208.3,828.7,2151.7,137,246.171
314.6,234.5,889.5,2017.4,137,254.862
313.9,213.9,996.1,1932.1,137,262.707
283.3,254.1,1042.9,1875.7,137,270.16
322.6,189.8,1193.2,1750.4,137,279.184
291.9,234.5,1234.5,1695.1,137,287.014
264.3,219.3,1336.7,1635.7,137,295.097
312.8,157.1,1484.9,1501.2,137,302.13599999999997
273.0,243.3,1485.7,1454.0,137,312.586
268.9,204.6,1610.4,1372.1,137,321.889
274.3,175.0,1726.0,1280.7,137,330.30699999999996
289.7,156.0,1832.0,1178.3,137,340.32099999999997
303.7,161.3,1912.7,1078.3,137,350.175
267.8,126.1,2034.9,1027.2,137,361.425
216.3,132.2,2114.8,992.7,137,376.219
191.7,138.1,2194.9,931.3,137,387.087
179.0,88.2,2331.8,857.0,137,404.142
136.4,85.2,2420.8,813.6,137,426.843
163.7,46.8,2546.2,699.3,137,445.48800000000006
126.4,75.8,2603.2,650.6,137,475.07
110.2,66.8,2698.2,580.8,137,515.107
55.0,32.6,2819.4,549.0,137,568.7919999999999
27.7,26.9,2911.1,490.3,137,852.556
