FN,FP,TN,TP,sr,t
0.0,4236.0,0.0,162739.0,1,470.5
15843.0,7690.5,854.5,142587.0,1,484.0
0.0,13172.0,0.0,153803.0,1,487.5
30021.4,13494.4,3373.6,120085.6,1,490.5
29204.6,16761.6,4190.4,116818.4,1,501.0
42573.3,17544.8,7519.2,99337.7,1,530.5
55088.0,17553.0,11702.0,82632.0,1,546.5
13327.5,30330.0,3370.0,119947.5,1,555.5
25834.0,30244.0,7561.0,103336.0,1,557.5
37223.7,30027.2,12868.8,86855.3,1,559.5
24131.8,37052.8,9263.2,96527.2,1,561.0
34997.1,35222.6,15095.4,81659.9,1,563.5
45051.2,32608.2,21738.8,67576.8,1,569.0
65109.6,23383.6,35075.4,43406.4,1,579.0
41723.6,37599.6,25066.4,62585.4,1,601.0
20023.4,53486.4,13371.6,80093.6,1,632.5
19198.0,56788.0,14197.0,76792.0,1,656.5
27549.3,52600.8,22543.2,64281.7,1,693.0
35054.4,47603.4,31735.6,52581.6,1,731.5
41738.0,41749.5,41749.5,41738.0,1,772.5
39642.0,43845.5,43845.5,39642.0,1,807.5
45031.2,36769.2,55153.8,30020.8,1,819.5
35415.0,48072.5,48072.5,35415.0,1,830.0
40050.0,40090.0,60135.0,26700.0,1,844.0
50088.8,20872.8,83491.2,12522.2,1,870.5
52595.1,10853.6,97682.4,5843.9,1,927.0
27126.0,56361.5,56361.5,27126.0,1,1055.5
40069.6,23377.6,93510.4,10017.4,1,1259.5
32141.9,36317.4,84740.6,13775.1,1,1504.0
25045.8,50092.8,75139.2,16697.2,1,1698.0
26296.9,38822.4,90585.6,11270.1,1,1910.5
30054.6,13358.1,120222.9,3339.4,1,2388.0
23373.6,27551.6,110206.4,5843.4,1,2853.5
20036.0,28386.0,113544.0,5009.0,1,3307.0
20870.0,0.0,146105.0,0.0,1,3764.5
16696.0,0.0,150279.0,0.0,1,4552.0
12522.0,0.0,154453.0,0.0,1,5253.5
7509.6,15863.1,142767.9,834.4,1,5875.0
3754.8,16280.3,146522.7,417.2,1,6579.5
1091.6,748.0,3488.0,161647.4,1670,470.5
3282.7,2227.1,6317.9,155147.3,1670,484.0
5006.0,3327.4,9844.6,148797.0,1670,487.5
3969.9,2473.4,14394.6,146137.1,1670,490.5
1708.2,913.2,20038.8,144314.8,1670,501.0
1801.5,1269.4,23794.6,140109.5,1670,530.5
2225.3,1702.3,27552.7,135494.7,1670,546.5
6051.4,3539.7,30160.3,127223.6,1670,555.5
8244.3,5590.0,32215.0,120925.7,1670,557.5
8911.5,6400.4,36495.6,115167.5,1670,559.5
8147.2,5996.9,40319.1,112511.8,1670,561.0
6553.7,5414.7,44903.3,110103.3,1670,563.5
4797.2,3280.2,51066.8,107830.8,1670,569.0
3787.4,2457.2,56001.8,104728.6,1670,579.0
3073.7,1861.6,60804.4,101235.3,1670,601.0
2975.4,1539.2,65318.8,97141.6,1670,632.5
2681.9,1826.6,69158.4,93308.1,1670,656.5
2917.6,2333.5,72810.5,88913.4,1670,693.0
3859.8,2309.0,77030.0,83776.2,1670,731.5
3756.7,2645.3,80853.7,79719.3,1670,772.5
4930.6,3304.8,84386.2,74353.4,1670,807.5
6716.1,4281.7,87641.3,68335.9,1670,819.5
5880.1,4499.0,91646.0,64949.9,1670,830.0
5148.9,3332.0,96893.0,61601.1,1670,844.0
4278.0,2950.8,101413.2,58333.0,1670,870.5
2880.0,2082.4,106453.6,55559.0,1670,927.0
2950.0,2414.9,110308.1,51302.0,1670,1055.5
2691.2,2055.2,114832.8,47395.8,1670,1259.5
3579.4,2359.3,118698.7,42337.6,1670,1504.0
4001.3,2710.5,122521.5,37741.7,1670,1698.0
3580.5,2267.4,127140.6,33986.5,1670,1910.5
3240.0,2260.2,131320.8,30154.0,1670,2388.0
3313.8,2849.5,134908.5,25903.2,1670,2853.5
3766.7,2652.1,139277.9,21278.3,1670,3307.0
2667.9,2258.3,143846.7,18202.1,1670,3764.5
2684.4,2075.3,148203.7,14011.6,1670,4552.0
3113.0,2477.3,151975.7,9409.0,1670,5253.5
3597.8,2436.1,156194.9,4746.2,1670,5875.0
