FN,FP,TN,TP,sr,t
99.8,23.4,2.6,898.2,1,203.53
0.0,52.0,0.0,972.0,1,206.22666666666697
94.7,69.3,7.7,852.3,1,211.27333333333303
92.1,92.7,10.3,828.9,1,213.99666666666698
89.5,116.1,12.9,805.5,1,215.47
86.9,139.5,15.5,782.1,1,216.91333333333301
84.4,162.0,18.0,759.6,1,218.296666666667
163.8,164.0,41.0,655.2,1,219.62666666666698
237.9,161.7,69.3,555.1,1,221.333333333333
383.5,128.5,128.5,383.5,1,223.33666666666699
371.0,141.0,141.0,371.0,1,225.62
214.8,215.6,92.4,501.2,1,227.64
207.3,233.1,99.9,483.7,1,229.206666666667
332.5,179.5,179.5,332.5,1,230.68666666666698
255.6,231.0,154.0,383.4,1,231.75666666666697
368.4,164.0,246.0,245.6,1,232.7
235.2,261.6,174.4,352.8,1,233.793333333333
281.5,230.5,230.5,281.5,1,234.69666666666697
268.5,243.5,243.5,268.5,1,235.85
357.7,153.9,359.1,153.3,1,236.95
291.6,215.2,322.8,194.4,1,238.24666666666698
322.0,169.2,394.8,138.0,1,239.926666666667
348.0,117.8,471.2,87.0,1,241.69333333333302
163.6,369.0,246.0,245.4,1,243.52333333333303
306.4,128.2,512.8,76.6,1,245.49666666666698
250.6,199.8,466.2,107.4,1,246.94
166.0,346.0,346.0,166.0,1,247.99333333333303
276.3,71.7,645.3,30.7,1,248.97
168.6,297.2,445.8,112.4,1,249.66333333333301
204.0,153.8,615.2,51.0,1,250.53333333333302
207.0,79.4,714.6,23.0,1,251.31
121.8,328.4,492.6,81.2,1,252.14
161.1,84.5,760.5,17.9,1,253.15
137.7,87.1,783.9,15.3,1,254.393333333333
114.3,89.7,807.3,12.7,1,256.226666666667
71.4,276.6,645.4,30.6,1,259.5
76.0,0.0,948.0,0.0,1,262.113333333333
50.0,0.0,974.0,0.0,1,264.18
22.5,99.9,899.1,2.5,1,266.32333333333304
24.7,25.1,0.9,973.3,11,203.53
0.0,52.0,0.0,972.0,11,206.22666666666697
162.2,47.2,29.8,784.8,11,211.27333333333303
207.2,54.2,48.8,713.8,11,213.99666666666698
78.4,92.2,36.8,816.6,11,215.47
92.9,94.3,60.7,776.1,11,216.91333333333301
208.1,93.7,86.3,635.9,11,218.296666666667
204.4,89.4,115.6,614.6,11,219.62666666666698
143.2,105.4,125.6,649.8,11,221.333333333333
234.5,107.5,149.5,532.5,11,223.33666666666699
173.2,122.4,159.6,568.8,11,225.62
204.1,128.1,179.9,511.9,11,227.64
227.5,112.5,220.5,463.5,11,229.206666666667
143.6,195.4,163.6,521.4,11,230.68666666666698
132.2,133.2,251.8,506.8,11,231.75666666666697
241.9,127.1,282.9,372.1,11,232.7
228.1,113.7,322.3,359.9,11,233.793333333333
285.1,131.7,329.3,277.9,11,234.69666666666697
166.1,128.3,358.7,370.9,11,235.85
178.4,166.6,346.4,332.6,11,236.95
201.6,99.6,438.4,284.4,11,238.24666666666698
178.7,166.7,397.3,281.3,11,239.926666666667
246.7,106.1,482.9,188.3,11,241.69333333333302
181.2,117.8,497.2,227.8,11,243.52333333333303
176.0,125.8,515.2,207.0,11,245.49666666666698
212.6,149.0,517.0,145.4,11,246.94
166.7,141.9,550.1,165.3,11,247.99333333333303
200.2,98.0,619.0,106.8,11,248.97
147.7,148.3,594.7,133.3,11,249.66333333333301
159.6,135.0,634.0,95.4,11,250.53333333333302
137.9,138.3,655.7,92.1,11,251.31
159.2,109.8,711.2,43.8,11,252.14
149.5,111.3,733.7,29.5,11,253.15
103.1,154.9,716.1,49.9,11,254.393333333333
123.8,22.4,874.6,3.2,11,256.226666666667
87.8,62.6,859.4,14.2,11,259.5
71.5,21.1,926.9,4.5,11,262.113333333333
43.7,44.9,929.1,6.3,11,264.18
25.0,0.0,999.0,0.0,11,266.32333333333304
72.3,21.5,4.5,925.7,21,203.53
28.0,41.6,10.4,944.0,21,206.22666666666697
138.0,35.8,41.2,809.0,21,211.27333333333303
76.9,51.9,51.1,844.1,21,213.99666666666698
85.2,60.6,68.4,809.8,21,215.47
93.0,43.2,111.8,776.0,21,216.91333333333301
99.3,61.7,118.3,744.7,21,218.296666666667
68.5,43.1,161.9,750.5,21,219.62666666666698
74.0,84.2,146.8,719.0,21,221.333333333333
107.7,89.5,167.5,659.3,21,223.33666666666699
148.4,84.8,197.2,593.6,21,225.62
166.2,96.6,211.4,549.8,21,227.64
134.9,96.7,236.3,556.1,21,229.206666666667
148.2,97.6,261.4,516.8,21,230.68666666666698
201.6,129.0,256.0,437.4,21,231.75666666666697
126.9,101.7,308.3,487.1,21,232.7
172.6,128.6,307.4,415.4,21,233.793333333333
110.5,97.9,363.1,452.5,21,234.69666666666697
205.7,78.3,408.7,331.3,21,235.85
128.3,154.9,358.1,382.7,21,236.95
190.3,94.7,443.3,295.7,21,238.24666666666698
194.0,79.6,484.4,266.0,21,239.926666666667
140.3,114.9,474.1,294.7,21,241.69333333333302
142.4,98.2,516.8,266.6,21,243.52333333333303
177.4,56.8,584.2,205.6,21,245.49666666666698
144.6,106.6,559.4,213.4,21,246.94
166.1,102.9,589.1,165.9,21,247.99333333333303
163.6,125.4,591.6,143.4,21,248.97
149.7,95.9,647.1,131.3,21,249.66333333333301
152.0,133.8,635.2,103.0,21,250.53333333333302
103.0,167.4,626.6,127.0,21,251.31
114.4,109.8,711.2,88.6,21,252.14
133.4,69.6,775.4,45.6,21,253.15
108.7,83.7,787.3,44.3,21,254.393333333333
77.0,78.0,819.0,50.0,21,256.226666666667
69.9,70.3,851.7,32.1,21,259.5
53.8,80.2,867.8,22.2,21,262.113333333333
45.9,34.3,939.7,4.1,21,264.18
25.0,0.0,999.0,0.0,21,266.32333333333304
45.5,20.3,5.7,952.5,31,203.53
60.8,16.8,35.2,911.2,31,206.22666666666697
76.4,38.2,38.8,870.6,31,211.27333333333303
46.9,28.3,74.7,874.1,31,213.99666666666698
57.2,39.0,90.0,837.8,31,215.47
52.7,28.5,126.5,816.3,31,216.91333333333301
72.8,35.2,144.8,771.2,31,218.296666666667
115.3,54.7,150.3,703.7,31,219.62666666666698
