FN,FP,TN,TP,sr,t
0.0,1737.0,0.0,67264.0,1,37.128
6544.9,3196.8,355.2,58904.1,1,37.386
12764.0,4144.8,1036.2,51056.0,1,37.45
6208.3,6226.2,691.8,55874.7,1,37.761
12074.8,6901.6,1725.4,48299.2,1,38.581
11718.2,8328.0,2082.0,46872.8,1,38.661
5691.5,10877.4,1208.6,51223.5,1,38.82
11038.6,11046.4,2761.6,44154.4,1,39.025
5347.4,13974.3,1552.7,48126.6,1,39.213
5172.9,15544.8,1727.2,46556.1,1,39.59
15003.9,13291.6,5696.4,35009.1,1,39.822
19314.8,12428.4,8285.6,28972.2,1,40.213
18622.8,13466.4,8977.6,27934.2,1,40.401
22403.0,12097.5,12097.5,22403.0,1,40.66
17240.8,15539.4,10359.6,25861.2,1,41.24100000000001
12419.7,19321.4,8280.6,28979.3,1,41.869
3966.6,26401.5,2933.5,35699.4,1,43.871
18975.0,15525.5,15525.5,18975.0,1,45.578
7245.0,26220.8,6555.2,28980.0,1,45.867
10306.5,24252.2,10393.8,24048.5,1,45.933
19622.4,14518.8,21778.2,13081.6,1,45.981
15476.5,19024.0,19024.0,15476.5,1,46.06399999999999
26389.8,3967.9,35711.1,2932.2,1,47.011
19306.0,12426.3,28994.7,8274.0,1,47.075
25869.0,0.0,43132.0,0.0,1,47.112
14477.4,17948.8,26923.2,9651.6,1,47.124
20178.9,4658.0,41922.0,2242.1,1,47.235
14437.5,14512.8,33863.2,6187.5,1,47.285
13273.4,15011.7,35027.3,5688.6,1,47.368
15492.6,5178.7,46608.3,1721.4,1,48.101000000000006
15519.0,0.0,53482.0,0.0,1,48.496
8265.6,22090.0,33135.0,5510.4,1,49.749
7225.2,22783.6,34175.4,4816.8,1,49.86
7239.4,17597.7,41061.3,3102.6,1,50.111
7728.3,6041.4,54372.6,858.7,1,50.955
5519.2,12420.4,49681.6,1379.8,1,51.148
4597.2,6389.3,57503.7,510.8,1,51.56399999999999
3426.0,0.0,65575.0,0.0,1,51.76300000000001
1722.0,0.0,67279.0,0.0,1,53.646
956.1,515.9,1221.1,66307.9,691,37.128
2025.3,1508.6,2043.4,63423.7,691,37.386
3169.8,2001.8,3179.2,60650.2,691,37.45
3890.1,2887.2,4030.8,58192.9,691,37.761
5104.1,3313.6,5313.4,55269.9,691,38.581
5368.8,4169.8,6240.2,53222.2,691,38.661
5533.1,4419.8,7666.2,51381.9,691,38.82
6189.7,4170.0,9638.0,49003.3,691,39.025
6630.3,4558.6,10968.4,46843.7,691,39.213
6155.4,4192.9,13079.1,45573.6,691,39.59
5846.4,4021.0,14967.0,44166.6,691,39.822
5138.0,4217.2,16496.8,43149.0,691,40.213
4757.6,3167.9,19276.1,41799.4,691,40.401
3959.9,2791.3,21403.7,40846.1,691,40.66
3028.4,2218.4,23680.6,40073.6,691,41.24100000000001
2038.6,1459.2,26142.8,39360.4,691,41.869
1087.4,706.6,28628.4,38578.6,691,43.871
1025.0,494.8,30556.2,36925.0,691,45.578
1752.6,1104.2,31671.8,34472.4,691,45.867
3451.3,1950.4,32695.6,30903.7,691,45.933
3841.6,2446.5,33850.5,28862.4,691,45.981
4729.9,3084.4,34963.6,26223.1,691,46.06399999999999
5189.9,3881.0,35798.0,24132.1,691,47.011
5489.1,4269.3,37151.7,22090.9,691,47.075
5775.9,4782.9,38349.1,20093.1,691,47.112
6354.8,4802.9,40069.1,17774.2,691,47.124
6235.9,4737.6,41842.4,16185.1,691,47.235
8148.7,5278.7,43097.3,12476.3,691,47.285
8486.2,6083.1,43955.9,10475.8,691,47.368
8714.6,6627.7,45159.3,8499.4,691,48.101000000000006
8981.5,6218.1,47263.9,6537.5,691,48.496
7947.2,5836.9,49388.1,5828.8,691,49.749
7301.0,4781.7,52177.3,4741.0,691,49.86
5940.1,4309.1,54349.9,4401.9,691,50.111
4659.8,3797.3,56616.7,3927.2,691,50.955
3837.5,2942.5,59159.5,3061.5,691,51.148
2828.5,2159.6,61733.4,2279.5,691,51.56399999999999
2120.0,1213.8,64361.2,1306.0,691,51.76300000000001
957.4,708.9,66570.1,764.6,691,53.646
656.9,343.6,1393.4,66607.1,1381,37.128
1840.5,1289.4,2262.6,63608.5,1381,37.386
2977.6,1853.0,3328.0,60842.4,1381,37.45
3597.8,2627.6,4290.4,58485.2,1381,37.761
4876.2,3115.6,5511.4,55497.8,1381,38.581
5424.4,3657.3,6752.7,53166.6,1381,38.661
5635.6,3919.2,8166.8,51279.4,1381,38.82
6016.0,3918.9,9889.1,49177.0,1381,39.025
6348.8,4544.3,10982.7,47125.2,1381,39.213
5647.7,4227.8,13044.2,46081.3,1381,39.59
5424.7,3946.9,15041.1,44588.3,1381,39.822
5363.3,3659.2,17054.8,42923.7,1381,40.213
4549.4,3082.2,19361.8,42007.6,1381,40.401
3800.5,2645.7,21549.3,41005.5,1381,40.66
2975.6,2049.3,23849.7,40126.4,1381,41.24100000000001
1998.7,1416.1,26185.9,39400.3,1381,41.869
989.4,812.9,28522.1,38676.6,1381,43.871
779.1,501.8,30549.2,37170.9,1381,45.578
1655.5,987.4,31788.6,34569.5,1381,45.867
2935.4,1974.6,32671.4,31419.6,1381,45.933
3259.6,2393.9,33903.1,29444.4,1381,45.981
4375.7,2939.9,35108.1,26577.3,1381,46.06399999999999
4821.6,3344.1,36334.9,24500.4,1381,47.011
5310.8,3725.5,37695.5,22269.2,1381,47.075
5943.0,4086.1,39045.9,19926.0,1381,47.112
6191.4,4491.2,40380.8,17937.6,1381,47.124
6040.6,4724.0,41856.0,16380.4,1381,47.235
7376.1,5273.8,43102.2,13248.9,1381,47.285
8338.3,5494.5,44544.5,10623.7,1381,47.368
8970.9,6051.9,45735.1,8243.1,1381,48.101000000000006
8720.0,6243.1,47238.9,6799.0,1381,48.496
7736.2,5753.2,49471.8,6039.8,1381,49.749
6976.6,4704.6,52254.4,5065.4,1381,49.86
5814.8,4213.4,54445.6,4527.2,1381,50.111
4845.2,3514.8,56899.2,3741.8,1381,50.955
4050.1,2626.4,59475.6,2848.9,1381,51.148
2903.7,1957.2,61935.8,2204.3,1381,51.56399999999999
1832.9,1404.3,64170.7,1593.1,1381,51.76300000000001
909.0,657.7,66621.3,813.0,1381,53.646
529.5,386.6,1350.4,66734.5,2071,37.128
1639.9,1199.7,2352.3,63809.1,2071,37.386
2754.1,1918.8,3262.2,61065.9,2071,37.45
3743.1,2361.0,4557.0,58339.9,2071,37.761
4527.6,3097.9,5529.1,55846.4,2071,38.581
5226.7,3820.6,6589.4,53364.3,2071,38.661
5671.8,3724.4,8361.6,51243.2,2071,38.82
5757.9,4089.7,9718.3,49435.1,2071,39.025
6183.0,4528.9,10998.1,47291.0,2071,39.213
5660.7,4086.6,13185.4,46068.3,2071,39.59
5482.5,3681.4,15306.6,44530.5,2071,39.822
5383.3,3573.8,17140.2,42903.7,2071,40.213
4358.5,3037.2,19406.8,42198.5,2071,40.401
3843.0,2650.5,21544.5,40963.0,2071,40.66
3017.3,1951.6,23947.4,40084.7,2071,41.24100000000001
1912.2,1437.3,26164.7,39486.8,2071,41.869
1020.2,636.9,28698.1,38645.8,2071,43.871
734.0,500.6,30550.4,37216.0,2071,45.578
1589.0,912.5,31863.5,34636.0,2071,45.867
2829.0,1878.5,32767.5,31526.0,2071,45.933
3239.0,2236.8,34060.2,29465.0,2071,45.981
4345.5,2836.2,35211.8,26607.5,2071,46.06399999999999
4917.1,3270.3,36408.7,24404.9,2071,47.011
5285.2,3493.9,37927.1,22294.8,2071,47.075
5769.6,3985.1,39146.9,20099.4,2071,47.112
6187.0,4271.2,40600.8,17942.0,2071,47.124
6075.1,4480.5,42099.5,16345.9,2071,47.235
7343.4,5109.9,43266.1,13281.6,2071,47.285
8294.1,5380.4,44658.6,10667.9,2071,47.368
