FN,FP,TN,TP,sr,t
0.0,114.0,0.0,4439.0,1,13.161712663408801
0.0,228.0,0.0,4325.0,1,13.3019009572118
842.2,273.6,68.4,3368.8,1,13.4100699787362
409.7,410.4,45.6,3687.3,1,13.502753092236302
398.3,513.0,57.0,3584.7,1,13.585310859993301
0.0,683.0,0.0,3870.0,1,13.656660305674
375.6,717.3,79.7,3380.4,1,13.735652724356198
728.4,728.8,182.2,2913.6,1,13.803859817649501
705.6,820.0,205.0,2822.4,1,13.868760774471701
682.8,911.2,227.8,2731.2,1,13.9298584757918
1320.0,751.8,501.2,1980.0,1,13.9793948030038
956.1,956.2,409.8,2230.9,1,14.032251164870901
1536.5,740.0,740.0,1536.5,1,14.087353831559
1183.6,956.4,637.6,1775.4,1,14.1357554046641
853.5,1195.6,512.4,1991.5,1,14.181506849053
819.3,1275.4,546.6,1911.7,1,14.233252060704999
261.7,1742.4,193.6,2355.3,1,14.2883841314639
1502.4,819.6,1229.4,1001.6,1,14.3370638554921
1434.0,865.2,1297.8,956.0,1,14.3946865425751
227.6,2049.3,227.7,2048.4,1,14.440960814602402
1729.6,478.2,1912.8,432.4,1,14.4851959908869
1433.6,751.5,1753.5,614.4,1,14.5248682442103
967.5,1309.0,1309.0,967.5,1,14.582000293012
1274.7,819.6,1912.4,546.3,1,14.6307274187917
1194.9,853.8,1992.2,512.1,1,14.6787817819126
955.8,1184.0,1776.0,637.2,1,14.745784301286301
1035.3,922.2,2151.8,443.7,1,14.807564681287
1228.5,318.8,2869.2,136.5,1,14.8784780444677
626.0,1650.5,1650.5,626.0,1,14.962337800647099
682.8,1366.0,2049.0,455.2,1,15.0421285922947
1024.0,0.0,3529.0,0.0,1,15.131159980365801
637.0,1092.9,2550.1,273.0,1,15.222434323308498
636.8,751.4,3005.6,159.2,1,15.306174550999
613.8,387.1,3483.9,68.2,1,15.402332552061699
569.0,0.0,3984.0,0.0,1,15.5099957880809
455.0,0.0,4098.0,0.0,1,15.637958571596501
341.0,0.0,4212.0,0.0,1,15.788930159674802
204.3,432.6,3893.4,22.7,1,15.957013968601599
113.0,0.0,4440.0,0.0,1,16.1266534040717
208.8,102.7,11.3,4230.2,46,13.161712663408801
177.7,207.6,20.4,4147.3,46,13.3019009572118
342.5,310.2,31.8,3868.5,46,13.4100699787362
574.6,377.7,78.3,3522.4,46,13.502753092236302
625.2,447.5,122.5,3357.8,46,13.585310859993301
847.9,505.8,177.2,3022.1,46,13.656660305674
772.3,606.1,190.9,2983.7,46,13.735652724356198
792.0,681.0,230.0,2850.0,46,13.803859817649501
787.7,756.7,268.3,2740.3,46,13.868760774471701
1269.6,599.3,539.7,2144.4,46,13.9298584757918
1121.3,698.6,554.4,2178.7,46,13.9793948030038
1038.7,752.4,613.6,2148.3,46,14.032251164870901
1128.2,762.6,717.4,1944.8,46,14.087353831559
1164.2,752.4,841.6,1794.8,46,14.1357554046641
1238.2,769.3,938.7,1606.8,46,14.181506849053
1116.1,854.7,967.3,1614.9,46,14.233252060704999
1172.4,889.7,1046.3,1444.6,46,14.2883841314639
1073.9,938.8,1110.2,1430.1,46,14.3370638554921
1217.5,844.3,1318.7,1172.5,46,14.3946865425751
1130.8,913.4,1363.6,1145.2,46,14.440960814602402
1197.5,887.1,1503.9,964.5,46,14.4851959908869
1147.2,863.8,1641.2,900.8,46,14.5248682442103
1045.5,864.6,1753.4,889.5,46,14.582000293012
