FN,FP,TN,TP,sr,t
6724.3,1582.2,175.8,60518.7,1,0.9477971
6554.5,3110.4,345.6,58990.5,1,0.9494951
6381.8,4664.7,518.3,57436.2,1,0.9509588
0.0,6904.0,0.0,62097.0,1,0.9558617
6036.2,7775.1,863.9,54325.8,1,0.9576936
0.0,10351.0,0.0,58650.0,1,0.958223
5692.4,10869.3,1207.7,51231.6,1,0.9595231
11037.2,11052.0,2763.0,44148.8,1,0.9626299
16041.6,10870.3,4658.7,37430.4,1,0.9717459
25874.5,8626.0,8626.0,25874.5,1,0.9743744
20007.6,11389.2,7592.8,30011.4,1,0.9774503
33808.6,6210.9,14492.1,14489.4,1,0.979886
23287.5,11213.0,11213.0,23287.5,1,0.9818595
8970.0,19320.8,4830.2,35880.0,1,0.9834542
21547.5,12953.0,12953.0,21547.5,1,0.9840431
8278.6,22086.4,5521.6,33114.4,1,0.9846777
19824.5,14676.0,14676.0,19824.5,1,0.9856748
22763.4,12424.8,18637.2,15175.6,1,0.9880867
10859.7,22961.4,9840.6,25339.3,1,0.9883193
20695.2,13803.6,20705.4,13796.8,1,0.9885573
16382.5,18118.0,18118.0,16382.5,1,0.9887554
12418.8,22772.4,15181.6,18628.2,1,0.9888916
17594.4,15870.8,23806.2,11729.6,1,0.9890652
16553.4,16564.8,24847.2,11035.6,1,0.9892844
18107.6,12939.9,30193.1,7760.4,1,0.9902838
12046.5,22454.0,22454.0,12046.5,1,0.990412
11210.5,23290.0,23290.0,11210.5,1,0.9904746
16440.0,9690.2,38760.8,4110.0,1,0.9905815
13279.7,15009.0,35021.0,5691.3,1,0.990698
13800.0,10350.2,41400.8,3450.0,1,0.9913425
12407.2,10698.4,42793.6,3101.8,1,0.9932978
12380.4,5524.5,49720.5,1375.6,1,0.9955505
9657.6,11385.8,45543.2,2414.4,1,0.9956448
9309.6,5865.7,52791.3,1034.4,1,0.9958088
7749.9,6039.0,54351.0,861.1,1,0.9965574
6198.3,6211.4,55902.6,688.7,1,0.9966414
4656.6,6382.7,57444.3,517.4,1,0.9966801
3420.0,0.0,65581.0,0.0,1,0.9967362
1720.0,0.0,67281.0,0.0,1,0.9973459
976.9,753.0,1005.0,66266.1,691,0.9477971
2045.9,1452.8,2003.2,63499.1,691,0.9494951
2834.2,2424.2,2758.8,60983.8,691,0.9509588
3674.3,2955.0,3949.0,58422.7,691,0.9558617
5506.1,3788.2,4850.8,54855.9,691,0.9576936
5984.0,4582.2,5768.8,52666.0,691,0.958223
7072.6,5253.9,6823.1,49851.4,691,0.9595231
7683.7,5943.1,7871.9,47502.3,691,0.9626299
8373.3,6076.8,9452.2,45098.7,691,0.9717459
7330.2,5763.0,11489.0,44418.8,691,0.9743744
6797.7,4746.0,14236.0,43221.3,691,0.9774503
5674.7,4213.9,16489.1,42623.3,691,0.979886
5330.7,3500.7,18925.3,41244.3,691,0.9818595
5049.9,3007.5,21143.5,39800.1,691,0.9834542
3984.4,2798.4,23107.6,39110.6,691,0.9840431
2932.0,1882.5,25725.5,38461.0,691,0.9846777
2312.8,1397.5,27954.5,37336.2,691,0.9856748
2250.9,1320.8,29741.2,35688.1,691,0.9880867
3597.6,2403.9,30398.1,32601.4,691,0.9883193
4663.6,3059.7,31449.3,29828.4,691,0.9885573
5248.4,3624.2,32611.8,27516.6,691,0.9887554
5981.3,4106.8,33847.2,25065.7,691,0.9888916
5781.9,4813.4,34863.6,23542.1,691,0.9890652
5275.8,3828.3,37583.7,22313.2,691,0.9892844
6092.3,4134.0,38999.0,19775.7,691,0.9902838
6734.1,4836.7,40071.3,17358.9,691,0.990412
7968.6,5454.4,41125.6,14452.4,691,0.9904746
8997.0,5922.2,42528.8,11553.0,691,0.9905815
9090.6,6389.8,43640.2,9880.4,691,0.990698
9259.0,6669.7,45081.3,7991.0,691,0.9913425
8690.9,6511.1,46980.9,6818.1,691,0.9932978
8101.7,5795.0,49450.0,5654.3,691,0.9955505
6814.2,5223.3,51705.7,5257.8,691,0.9956448
6136.4,4343.6,54313.4,4207.6,691,0.9958088
5037.4,3656.1,56733.9,3573.6,691,0.9965574
4157.4,2791.0,59323.0,2729.6,691,0.9966414
3116.7,2260.9,61566.1,2057.3,691,0.9966801
2154.7,1464.1,64116.9,1265.3,691,0.9967362
1136.6,811.6,66469.4,583.4,691,0.9973459
907.3,674.2,1083.8,66335.7,1381,0.9477971
2051.8,1386.9,2069.1,63493.2,1381,0.9494951
2897.6,2128.2,3054.8,60920.4,1381,0.9509588
3843.3,2784.1,4119.9,58253.7,1381,0.9558617
5153.9,3829.0,4810.0,55208.1,1381,0.9576936
5973.3,4370.1,5980.9,52676.7,1381,0.958223
7066.7,4918.5,7158.5,49857.3,1381,0.9595231
7883.5,5588.4,8226.6,47302.5,1381,0.9626299
8503.3,5876.7,9652.3,44968.7,1381,0.9717459
7432.9,5448.0,11804.0,44316.1,1381,0.9743744
6577.8,4680.0,14302.0,43441.2,1381,0.9774503
5550.9,4173.4,16529.6,42747.1,1381,0.979886
4976.7,3638.4,18787.6,41598.3,1381,0.9818595
4484.7,3131.1,21019.9,40365.3,1381,0.9834542
3611.1,2477.5,23428.5,39483.9,1381,0.9840431
2852.9,1804.5,25803.5,38540.1,1381,0.9846777
2144.1,1302.0,28050.0,37504.9,1381,0.9856748
1797.4,1259.0,29803.0,36141.6,1381,0.9880867
3465.1,2162.6,30639.4,32733.9,1381,0.9883193
4110.8,2899.0,31610.0,30381.2,1381,0.9885573
5072.3,3392.1,32843.9,27692.7,1381,0.9887554
5475.7,3709.3,34244.7,25571.3,1381,0.9888916
5799.1,3982.8,35694.2,23524.9,1381,0.9890652
5113.9,3390.8,38021.2,22475.1,1381,0.9892844
5744.4,3834.3,39298.7,20123.6,1381,0.9902838
6255.3,4715.3,40192.7,17837.7,1381,0.990412
7733.7,5438.1,41141.9,14687.3,1381,0.9904746
8162.1,5970.1,42480.9,12387.9,1381,0.9905815
9016.9,5936.3,44093.7,9954.1,1381,0.990698
9041.3,6519.5,45231.5,8208.7,1381,0.9913425
8481.4,6525.4,46966.6,7027.6,1381,0.9932978
8012.1,5561.9,49683.1,5743.9,1381,0.9955505
7026.3,4857.1,52071.9,5045.7,1381,0.9956448
6042.1,4150.3,54506.7,4301.9,1381,0.9958088
5188.1,3319.9,57070.1,3422.9,1381,0.9965574
3921.1,2931.1,59182.9,2965.9,1381,0.9966414
2888.9,2230.9,61596.1,2285.1,1381,0.9966801
1990.3,1376.7,64204.3,1429.7,1381,0.9967362
1020.2,812.8,66468.2,699.8,1381,0.9973459
900.5,653.3,1104.7,66342.5,2071,0.9477971
1897.2,1390.7,2065.3,63647.8,2071,0.9494951
2896.1,2088.2,3094.8,60921.9,2071,0.9509588
3820.8,2658.1,4245.9,58276.2,2071,0.9558617
5195.7,3555.9,5083.1,55166.3,2071,0.9576936
6112.1,4113.3,6237.7,52537.9,2071,0.958223
6894.7,5019.6,7057.4,50029.3,2071,0.9595231
7965.9,5516.2,8298.8,47220.1,2071,0.9626299
8499.6,5846.7,9682.3,44972.4,2071,0.9717459
7519.8,5304.1,11947.9,44229.2,2071,0.9743744
6809.7,4402.0,14580.0,43209.3,2071,0.9774503
5554.6,4022.6,16680.4,42743.4,2071,0.979886
5061.0,3530.7,18895.3,41514.0,2071,0.9818595
4443.5,3018.9,21132.1,40406.5,2071,0.9834542
3497.5,2391.8,23514.2,39597.5,2071,0.9840431
2708.2,1608.2,25999.8,38684.8,2071,0.9846777
2019.0,1284.6,28067.4,37630.0,2071,0.9856748
1855.3,1185.4,29876.6,36083.7,2071,0.9880867
3034.9,2160.6,30641.4,33164.1,2071,0.9883193
3912.6,2838.9,31670.1,30579.4,2071,0.9885573
4977.7,3317.1,32918.9,27787.3,2071,0.9887554
5317.3,3645.0,34309.0,25729.7,2071,0.9888916
5776.4,3731.5,35945.5,23547.6,2071,0.9890652
5055.4,3392.2,38019.8,22533.6,2071,0.9892844
5426.6,3793.3,39339.7,20441.4,2071,0.9902838
6425.8,4473.6,40434.4,17667.2,2071,0.990412
7494.9,5045.0,41535.0,14926.1,2071,0.9904746
8082.6,5675.7,42775.3,12467.4,2071,0.9905815
8508.3,6386.0,43644.0,10462.7,2071,0.990698
9158.3,6382.3,45368.7,8091.7,2071,0.9913425
8721.1,6188.9,47303.1,6787.9,2071,0.9932978
7937.3,5518.8,49726.2,5818.7,2071,0.9955505
6870.6,4916.5,52012.5,5201.4,2071,0.9956448
5887.1,4159.0,54498.0,4456.9,2071,0.9958088
4843.5,3570.7,56819.3,3767.5,2071,0.9965574
3901.1,2865.9,59248.1,2985.9,2071,0.9966414
3025.1,2008.2,61818.8,2148.9,2071,0.9966801
1927.2,1356.6,64224.4,1492.8,2071,0.9967362
1032.5,773.4,66507.6,687.5,2071,0.9973459
925.4,581.8,1176.2,66317.6,2761,0.9477971
1830.5,1342.8,2113.2,63714.5,2761,0.9494951
2838.5,2039.0,3144.0,60979.5,2761,0.9509588
3866.9,2582.4,4321.6,58230.1,2761,0.9558617
5015.6,3671.7,4967.3,55346.4,2761,0.9576936
6015.3,4200.5,6150.5,52634.7,2761,0.958223
6951.5,4827.0,7250.0,49972.5,2761,0.9595231
7983.4,5416.1,8398.9,47202.6,2761,0.9626299
8622.5,5694.2,9834.8,44849.5,2761,0.9717459
7520.0,5226.6,12025.4,44229.0,2761,0.9743744
6379.7,4729.2,14252.8,43639.3,2761,0.9774503
5657.4,3928.3,16774.7,42640.6,2761,0.979886
5005.9,3447.2,18978.8,41569.1,2761,0.9818595
4348.4,2916.1,21234.9,40501.6,2761,0.9834542
3554.3,2218.7,23687.3,39540.7,2761,0.9840431
2673.2,1677.2,25930.8,38719.8,2761,0.9846777
2021.8,1218.8,28133.2,37627.2,2761,0.9856748
1695.0,1245.8,29816.2,36244.0,2761,0.9880867
3187.5,2033.1,30768.9,33011.5,2761,0.9883193
4127.9,2575.2,31933.8,30364.1,2761,0.9885573
4796.1,3243.8,32992.2,27968.9,2761,0.9887554
5458.7,3470.9,34483.1,25588.3,2761,0.9888916
5657.6,3674.4,36002.6,23666.4,2761,0.9890652
4933.2,3441.1,37970.9,22655.8,2761,0.9892844
5408.8,3704.4,39428.6,20459.2,2761,0.9902838
6301.7,4375.6,40532.4,17791.3,2761,0.990412
7255.3,5110.8,41469.2,15165.7,2761,0.9904746
8019.1,5687.6,42763.4,12530.9,2761,0.9905815
8880.9,5972.0,44058.0,10090.1,2761,0.990698
9093.1,6364.0,45387.0,8156.9,2761,0.9913425
8693.9,6188.3,47303.7,6815.1,2761,0.9932978
7794.9,5619.8,49625.2,5961.1,2761,0.9955505
6824.3,4933.9,51995.1,5247.7,2761,0.9956448
5948.2,4064.8,54592.2,4395.8,2761,0.9958088
4820.5,3573.1,56816.9,3790.5,2761,0.9965574
3985.7,2696.2,59417.8,2901.3,2761,0.9966414
2998.8,1983.9,61843.1,2175.2,2761,0.9966801
1978.7,1264.0,64317.0,1441.3,2761,0.9967362
1046.3,651.8,66629.2,673.7,2761,0.9973459
904.6,596.0,1162.0,66338.4,3451,0.9477971
1830.1,1367.6,2088.4,63714.9,3451,0.9494951
2898.4,1973.5,3209.5,60919.6,3451,0.9509588
3833.6,2571.4,4332.6,58263.4,3451,0.9558617
5030.1,3555.1,5083.9,55331.9,3451,0.9576936
5976.3,4169.3,6181.7,52673.7,3451,0.958223
6933.0,4876.8,7200.2,49991.0,3451,0.9595231
7955.5,5433.8,8381.2,47230.5,3451,0.9626299
8353.3,5907.4,9621.6,45118.7,3451,0.9717459
7374.1,5340.7,11911.3,44374.9,3451,0.9743744
6498.8,4605.9,14376.1,43520.2,3451,0.9774503
5638.8,3867.2,16835.8,42659.2,3451,0.979886
4909.1,3424.8,19001.2,41665.9,3451,0.9818595
4240.9,2944.9,21206.1,40609.1,3451,0.9834542
3423.4,2216.8,23689.2,39671.6,3451,0.9840431
2487.6,1690.9,25917.1,38905.4,3451,0.9846777
1932.7,1250.4,28101.6,37716.3,3451,0.9856748
1777.7,1163.0,29899.0,36161.3,3451,0.9880867
3034.4,2037.1,30764.9,33164.6,3451,0.9883193
3881.9,2704.6,31804.4,30610.1,3451,0.9885573
4809.7,3163.4,33072.6,27955.3,3451,0.9887554
5153.3,3545.3,34408.7,25893.7,3451,0.9888916
5499.1,3666.2,36010.8,23824.9,3451,0.9890652
4828.3,3512.7,37899.3,22760.7,3451,0.9892844
5541.7,3623.1,39509.9,20326.3,3451,0.9902838
6547.4,4120.7,40787.3,17545.6,3451,0.990412
7166.3,5168.3,41411.7,15254.7,3451,0.9904746
8112.8,5480.1,42970.9,12437.2,3451,0.9905815
8920.5,5847.4,44182.6,10050.5,3451,0.990698
9091.7,6301.1,45449.9,8158.3,3451,0.9913425
8701.0,6152.4,47339.6,6808.0,3451,0.9932978
8016.9,5379.9,49865.1,5739.1,3451,0.9955505
6993.9,4722.4,52206.6,5078.1,3451,0.9956448
5907.5,4064.7,54592.3,4436.5,3451,0.9958088
4999.1,3358.2,57031.8,3611.9,3451,0.9965574
3985.1,2656.8,59457.2,2901.9,3451,0.9966414
2907.6,2052.2,61774.8,2266.4,3451,0.9966801
1930.8,1200.3,64380.7,1489.2,3451,0.9967362
1028.7,703.6,66577.4,691.3,3451,0.9973459
927.1,609.3,1148.7,66315.9,4141,0.9477971
1807.6,1335.9,2120.1,63737.4,4141,0.9494951
2876.0,1956.8,3226.2,60942.0,4141,0.9509588
3799.8,2590.9,4313.1,58297.2,4141,0.9558617
5124.5,3351.9,5287.1,55237.5,4141,0.9576936
6021.5,4111.8,6239.2,52628.5,4141,0.958223
7095.5,4695.2,7381.8,49828.5,4141,0.9595231
7983.2,5375.1,8439.9,47202.8,4141,0.9626299
8411.0,5825.0,9704.0,45061.0,4141,0.9717459
7561.8,5081.9,12170.1,44187.2,4141,0.9743744
6621.9,4424.7,14557.3,43397.1,4141,0.9774503
5560.7,3923.0,16780.0,42737.3,4141,0.979886
4898.2,3353.3,19072.7,41676.8,4141,0.9818595
4142.9,2949.7,21201.3,40707.1,4141,0.9834542
3402.5,2187.5,23718.5,39692.5,4141,0.9840431
2453.1,1620.6,25987.4,38939.9,4141,0.9846777
1926.5,1175.1,28176.9,37722.5,4141,0.9856748
1732.2,1182.3,29879.7,36206.8,4141,0.9880867
3079.8,1933.5,30868.5,33119.2,4141,0.9883193
3899.8,2587.5,31921.5,30592.2,4141,0.9885573
4770.8,3128.0,33108.0,27994.2,4141,0.9887554
5209.6,3417.9,34536.1,25837.4,4141,0.9888916
