FN,FP,TN,TP,sr,t
0.0,1736.0,0.0,67265.0,1,8.07
0.0,3465.0,0.0,65536.0,1,8.73
6378.3,4696.2,521.8,57404.7,1,9.28
0.0,6927.0,0.0,62074.0,1,9.61
12073.4,6907.2,1726.8,48293.6,1,9.94
23460.0,6210.6,4140.4,35190.0,1,10.22
5688.3,10906.2,1211.8,51194.7,1,11.14
16559.7,9661.4,4140.6,38639.3,1,11.53
21389.2,9316.8,6211.2,32083.8,1,11.79
15520.5,12086.2,5179.8,36214.5,1,12.14
20008.8,11387.4,7591.6,30013.2,1,12.95
24143.5,10357.0,10357.0,24143.5,1,14.25
23280.0,11220.5,11220.5,23280.0,1,14.73
17939.6,14491.2,9660.8,26909.4,1,16.51
21555.5,12945.0,12945.0,21555.5,1,21.75
16538.8,16592.4,11061.6,24808.2,1,23.42
19831.5,14669.0,14669.0,19831.5,1,24.45
34142.4,3106.5,27958.5,3793.6,1,25.45
18109.0,16391.5,16391.5,18109.0,1,26.77
24141.6,10353.9,24159.1,10346.4,1,28.11
22929.9,10873.2,25370.8,9827.1,1,29.81
21723.1,11390.4,26577.6,9309.9,1,30.9
23458.4,7935.6,31742.4,5864.6,1,31.87
22076.0,8281.2,33124.8,5519.0,1,32.81
20688.8,8628.0,34512.0,5172.2,1,33.74
12070.5,22430.0,22430.0,12070.5,1,34.84
13452.6,18632.0,27948.0,8968.4,1,36.06
18619.2,4831.3,43481.7,2068.8,1,37.91
11384.4,20010.8,30016.2,7589.6,1,39.61
13790.4,10352.6,41410.4,3447.6,1,43.19
12415.2,10696.4,42785.6,3103.8,1,44.41
12405.6,5521.7,49695.3,1378.4,1,46.1
12065.0,0.0,56936.0,0.0,1,47.12
10336.0,0.0,58665.0,0.0,1,48.54
7762.5,6037.6,54338.4,862.5,1,51.25
6207.3,6210.4,55893.6,689.7,1,68.89
4656.6,6382.7,57444.3,517.4,1,88.05
3450.0,0.0,65551.0,0.0,1,118.28
1552.5,6727.6,60548.4,172.5,1,155.67
1743.5,1015.5,720.5,65521.5,691,8.07
2343.2,1811.1,1653.9,63192.8,691,8.73
3669.1,2607.4,2610.6,60113.9,691,9.28
4935.5,3470.5,3456.5,57138.5,691,9.61
6041.1,4179.9,4454.1,54325.9,691,9.94
6259.8,4810.6,5540.4,52390.2,691,10.22
7358.6,5667.5,6450.5,49524.4,691,11.14
8582.7,6556.1,7245.9,46616.3,691,11.53
10260.8,6839.3,8688.7,43212.2,691,11.79
10177.3,8026.5,9239.5,41557.7,691,12.14
11731.8,8031.8,10947.2,38290.2,691,12.95
12349.0,9029.5,11684.5,35938.0,691,14.25
12778.9,10334.6,12106.4,33781.1,691,14.73
14543.4,10329.1,13822.9,30305.6,691,16.51
14483.2,10832.2,15057.8,28627.8,691,21.75
13823.7,10460.0,17194.0,27523.3,691,23.42
13973.6,8906.8,20431.2,25689.4,691,24.45
12494.1,9298.8,21766.2,25441.9,691,25.45
11384.6,9008.3,23774.7,24833.4,691,26.77
10891.8,8332.4,26180.6,23596.2,691,28.11
10090.7,7779.0,28465.0,22666.3,691,29.81
9758.0,6609.6,31358.4,21275.0,691,30.9
9216.6,5897.0,33781.0,20106.4,691,31.87
8192.6,6090.1,35315.9,19402.4,691,32.81
7653.7,5569.6,37570.4,18207.3,691,33.74
6698.9,4828.8,40031.2,17442.1,691,34.84
6320.9,4262.9,42317.1,16100.1,691,36.06
5630.7,3967.0,44346.0,15057.3,691,37.91
5098.4,3824.2,46202.8,13875.6,691,39.61
4939.1,3490.1,48272.9,12298.9,691,43.19
4305.1,2938.4,50543.6,11213.9,691,44.41
4633.5,2932.4,52284.6,9150.5,691,46.1
3920.8,3231.5,53704.5,8144.2,691,47.12
4182.3,2351.7,56313.3,6153.7,691,48.54
2625.4,2316.8,58059.2,5999.6,691,51.25
2621.4,2178.2,59925.8,4275.6,691,68.89
2129.3,1679.3,62147.7,3044.7,691,88.05
1135.9,879.4,64671.6,2314.1,691,118.28
483.3,497.3,66778.7,1241.7,691,155.67
1398.9,987.8,748.2,65866.1,1381,8.07
2343.1,1577.7,1887.3,63192.9,1381,8.73
3535.2,2546.5,2671.5,60247.8,1381,9.28
4920.8,3280.5,3646.5,57153.2,1381,9.61
5728.4,4025.4,4608.6,54638.6,1381,9.94
6120.0,4674.3,5676.7,52530.0,1381,10.22
7236.7,5359.7,6758.3,49646.3,1381,11.14
8512.6,6182.9,7619.1,46686.4,1381,11.53
9780.5,6996.5,8531.5,43692.5,1381,11.79
10522.2,7448.1,9817.9,41212.8,1381,12.14
11334.3,8089.2,10889.8,38687.7,1381,12.95
12114.1,9035.0,11679.0,36172.9,1381,14.25
13012.7,9901.1,12539.9,33547.3,1381,14.73
14358.1,10343.8,13808.2,30490.9,1381,16.51
14706.4,10453.1,15436.9,28404.6,1381,21.75
13825.7,10024.2,17629.8,27521.3,1381,23.42
13406.5,9305.3,20032.7,26256.5,1381,24.45
12580.1,8896.9,22168.1,25355.9,1381,25.45
11498.5,8428.5,24354.5,24719.5,1381,26.77
10845.5,7849.9,26663.1,23642.5,1381,28.11
10086.6,7407.3,28836.7,22670.4,1381,29.81
9641.3,6366.4,31601.6,21391.7,1381,30.9
8579.7,6081.4,33596.6,20743.3,1381,31.87
7661.4,5906.2,35499.8,19933.6,1381,32.81
7244.0,5166.5,37973.5,18617.0,1381,33.74
6506.0,4462.5,40397.5,17635.0,1381,34.84
6100.7,3937.7,42642.3,16320.3,1381,36.06
5329.5,3912.9,44400.1,15358.5,1381,37.91
5033.1,3629.7,46397.3,13940.9,1381,39.61
4727.6,3245.6,48517.4,12510.4,1381,43.19
4154.9,2624.7,50857.3,11364.1,1381,44.41
3971.9,2704.4,52512.6,9812.1,1381,46.1
3819.6,2666.4,54269.6,8245.4,1381,47.12
3290.3,2570.4,56094.6,7045.7,1381,48.54
2717.8,2057.2,58318.8,5907.2,1381,51.25
2704.7,1960.3,60143.7,4192.3,1381,68.89
2168.3,1517.9,62309.1,3005.7,1381,88.05
1129.3,728.3,64822.7,2320.7,1381,118.28
284.5,276.7,66999.3,1440.5,1381,155.67
1300.9,947.9,788.1,65964.1,2071,8.07
2281.0,1604.9,1860.1,63255.0,2071,8.73
3374.8,2373.9,2844.1,60408.2,2071,9.28
4441.1,3307.1,3619.9,57632.9,2071,9.61
5609.4,3961.0,4673.0,54757.6,2071,9.94
6214.2,4530.2,5820.8,52435.8,2071,10.22
7172.6,5276.0,6842.0,49710.4,2071,11.14
8493.4,5914.5,7887.5,46705.6,2071,11.53
9682.2,6805.8,8722.2,43790.8,2071,11.79
10363.8,7332.4,9933.6,41371.2,2071,12.14
11033.3,8230.5,10748.5,38988.7,2071,12.95
12242.9,8818.2,11895.8,36044.1,2071,14.25
13196.5,9635.7,12805.3,33363.5,2071,14.73
14776.0,9805.4,14346.6,30073.0,2071,16.51
14540.2,10546.7,15343.3,28570.8,2071,21.75
13948.9,9831.0,17823.0,27398.1,2071,23.42
12924.1,9578.6,19759.4,26738.9,2071,24.45
12438.5,8827.4,22237.6,25497.5,2071,25.45
11723.9,8092.2,24690.8,24494.1,2071,26.77
10810.0,7827.6,26685.4,23678.0,2071,28.11
9880.1,7495.9,28748.1,22876.9,2071,29.81
9329.4,6527.7,31440.3,21703.6,2071,30.9
8740.6,5780.5,33897.5,20582.4,2071,31.87
7896.0,5469.6,35936.4,19699.0,2071,32.81
7202.4,5068.5,38071.5,18658.6,2071,33.74
6385.7,4600.6,40259.4,17755.3,2071,34.84
5972.0,3924.7,42655.3,16449.0,2071,36.06
5453.4,3628.3,44684.7,15234.6,2071,37.91
4988.7,3427.4,46599.6,13985.3,2071,39.61
4555.1,3164.2,48598.8,12682.9,2071,43.19
3914.3,2622.1,50859.9,11604.7,2071,44.41
3730.7,2667.5,52549.5,10053.3,2071,46.1
3610.0,2595.7,54340.3,8455.0,2071,47.12
3265.5,2395.8,56269.2,7070.5,2071,48.54
2725.3,1831.4,58544.6,5899.7,2071,51.25
2607.2,1921.8,60182.2,4289.8,2071,68.89
2036.4,1459.3,62367.7,3137.6,2071,88.05
1007.7,757.4,64793.6,2442.3,2071,118.28
279.2,161.4,67114.6,1445.8,2071,155.67
1240.6,873.2,862.8,66024.4,2761,8.07
2269.7,1588.9,1876.1,63266.3,2761,8.73
3283.9,2303.1,2914.9,60499.1,2761,9.28
4359.5,3117.9,3809.1,57714.5,2761,9.61
5448.6,3969.9,4664.1,54918.4,2761,9.94
