FN,FP,TN,TP,sr,t
6724.5,1580.4,175.6,60520.5,1,52.09
6553.2,3122.1,346.9,58978.8,1,55.37
12758.0,4168.8,1042.2,51032.0,1,57.67
0.0,6904.0,0.0,62097.0,1,67.03
0.0,8626.0,0.0,60375.0,1,68.87
5863.1,9333.0,1037.0,52767.9,1,69.61
22766.0,7251.6,4834.4,34149.0,1,72.43
5518.1,12438.0,1382.0,49662.9,1,88.64
5347.1,13977.0,1553.0,48123.9,1,107.07
15524.7,12076.4,5175.6,36224.3,1,108.99
15005.4,13288.1,5694.9,35012.6,1,121.95
19320.0,12420.6,8280.4,28980.0,1,133.15
13968.3,15708.0,6732.0,32592.7,1,135.08
8966.0,19336.8,4834.2,35864.0,1,142.97
8623.8,20705.6,5176.4,34495.2,1,144.9
16558.0,16563.6,11042.4,24837.0,1,150.72
27764.1,8801.4,20536.6,11898.9,1,157.23
11385.0,21735.7,9315.3,26565.0,1,165.3
18081.5,16419.0,16419.0,18081.5,1,182.91
24116.4,10364.7,24184.3,10335.6,1,190.94
6554.6,28982.4,7245.6,26218.4,1,221.11
21697.9,11401.2,26602.8,9299.1,1,223.96
20524.7,11904.0,27776.0,8796.3,1,236.51
19310.2,12424.5,28990.5,8275.8,1,240.02
18112.5,12937.8,30188.2,7762.5,1,289.17
9647.6,26929.2,17952.8,14471.4,1,352.49
15696.1,13973.4,32604.6,6726.9,1,399.01
14434.0,14514.3,33866.7,6186.0,1,417.38
17065.8,5003.9,45035.1,1896.2,1,430.17
10336.8,20709.2,31063.8,6891.2,1,455.36
13966.2,5348.3,48134.7,1551.8,1,459.39
12417.3,5520.4,49683.6,1379.7,1,485.21
12072.0,0.0,56929.0,0.0,1,526.01
9289.8,5867.9,52811.1,1032.2,1,534.73
8619.0,0.0,60382.0,0.0,1,574.56
4827.9,18631.2,43472.8,2069.1,1,580.87
4652.1,6383.2,57448.8,516.9,1,612.38
3449.0,0.0,65552.0,0.0,1,657.89
1721.0,0.0,67280.0,0.0,1,779.44
1017.2,732.2,1023.8,66227.8,691,52.09
2131.1,1476.3,1992.7,63400.9,691,55.37
3035.2,2390.1,2820.9,60754.8,691,57.67
