FN,FP,TN,TP,sr,t
13141.2,2636.0,659.0,52564.8,1,2.6666666666666665
6146.6,6781.5,753.5,55319.4,1,3.0
0.0,7535.0,0.0,61466.0,1,3.0
6146.6,6781.5,753.5,55319.4,1,3.0
11181.4,10475.2,2618.8,44725.6,1,3.333333333333333
11181.4,10475.2,2618.8,44725.6,1,3.333333333333333
22362.8,7856.4,5237.6,33544.2,1,3.333333333333333
25679.5,8821.0,8821.0,25679.5,1,3.6666666666666665
15407.7,12349.4,5292.6,35951.3,1,3.6666666666666665
15407.7,12349.4,5292.6,35951.3,1,3.6666666666666665
14467.8,14542.5,6232.5,33758.2,1,4.0
14467.8,14542.5,6232.5,33758.2,1,4.0
18522.4,13617.0,9078.0,27783.6,1,4.333333333333333
22405.0,12095.5,12095.5,22405.0,1,4.666666666666667
16989.6,15916.2,10610.8,25484.4,1,6.333333333333332
16533.2,16600.8,11067.2,24799.8,1,6.666666666666668
23666.4,11822.8,17734.2,15777.6,1,7.0
15086.4,18771.0,12514.0,22629.6,1,7.333333333333332
21444.0,13304.4,19956.6,14296.0,1,7.666666666666668
27332.8,6967.0,27868.0,6833.2,1,8.0
16092.0,18408.5,18408.5,16092.0,1,8.333333333333334
15092.5,19408.0,19408.0,15092.5,1,8.666666666666666
16305.0,16730.4,25095.6,10870.0,1,9.0
21740.0,8365.2,33460.8,5435.0,1,9.0
7726.2,30272.9,12974.1,18027.8,1,9.333333333333334
11793.0,22707.5,22707.5,11793.0,1,9.666666666666666
20178.9,4658.0,41922.0,2242.1,1,10.0
14113.4,14651.7,34187.3,6048.6,1,10.666666666666666
16471.8,5069.9,45629.1,1830.2,1,11.333333333333336
11942.0,15582.3,36358.7,5118.0,1,11.666666666666664
11895.2,10826.4,43305.6,2973.8,1,12.333333333333336
12267.0,5537.1,49833.9,1363.0,1,12.666666666666664
10667.7,5714.8,51433.2,1185.3,1,13.333333333333336
6048.0,23568.4,35352.6,4032.0,1,14.333333333333336
6772.8,12107.0,48428.0,1693.2,1,15.333333333333336
6198.3,6211.4,55902.6,688.7,1,19.0
4611.6,6387.7,57489.3,512.4,1,24.33333333333333
3347.0,0.0,65654.0,0.0,1,31.33333333333333
1715.0,0.0,67286.0,0.0,1,41.0
3274.6,1729.0,1566.0,62431.4,691,2.6666666666666665
5354.0,4020.2,3514.8,56112.0,691,3.0
5424.5,4073.2,3461.8,56041.5,691,3.0
5506.4,3959.2,3575.8,55959.6,691,3.0
9381.5,6256.5,6837.5,46525.5,691,3.333333333333333
8894.4,6633.9,6460.1,47012.6,691,3.333333333333333
9236.9,6380.0,6714.0,46670.1,691,3.333333333333333
11550.6,8035.4,9606.6,39808.4,691,3.6666666666666665
10902.1,8311.7,9330.3,40456.9,691,3.6666666666666665
10917.6,8439.4,9202.6,40441.4,691,3.6666666666666665
12813.5,8977.6,11797.4,35412.5,691,4.0
12709.7,9163.0,11612.0,35516.3,691,4.0
13950.0,9678.4,13016.6,32356.0,691,4.333333333333333
14191.9,10909.2,13281.8,30618.1,691,4.666666666666667
14480.7,10485.9,16041.1,27993.3,691,6.333333333333332
14181.8,10463.6,17204.4,27151.2,691,6.666666666666668
13058.1,9814.2,19742.8,26385.9,691,7.0
12356.1,9280.9,22004.1,25359.9,691,7.333333333333332
11453.0,8940.2,24320.8,24287.0,691,7.666666666666668
11128.9,7709.0,27126.0,23037.1,691,8.0
9961.0,7282.6,29534.4,22223.0,691,8.333333333333334
9597.2,6603.9,32212.1,20587.8,691,8.666666666666666
8062.8,5463.9,36362.1,19112.2,691,9.0
8107.8,5632.6,36193.4,19067.2,691,9.0
7761.2,4984.3,38262.7,17992.8,691,9.333333333333334
6610.0,4456.0,40959.0,16976.0,691,9.666666666666666
5486.8,4550.3,42029.7,16934.2,691,10.0
5839.0,3742.0,45097.0,14323.0,691,10.666666666666666
5134.3,3708.6,46990.4,13167.7,691,11.333333333333336
4548.8,3262.2,48678.8,12511.2,691,11.666666666666664
3813.8,2604.4,51527.6,11055.2,691,12.333333333333336
3808.9,2371.0,53000.0,9821.1,691,12.666666666666664
3312.7,2202.0,54946.0,8540.3,691,13.333333333333336
3468.8,2672.6,56248.4,6611.2,691,14.333333333333336
3103.2,2208.9,58326.1,5362.8,691,15.333333333333336
2656.0,2052.2,60061.8,4231.0,691,19.0
2079.4,1735.1,62141.9,3044.6,691,24.33333333333333
992.3,921.3,64732.7,2354.7,691,31.33333333333333
313.2,457.5,66828.5,1401.8,691,41.0
2661.4,1747.5,1547.5,63044.6,1381,2.6666666666666665
5308.5,3729.7,3805.3,56157.5,1381,3.0
5574.7,3740.2,3794.8,55891.3,1381,3.0
5110.5,3842.0,3693.0,56355.5,1381,3.0
8935.1,6029.0,7065.0,46971.9,1381,3.333333333333333
8640.0,6226.5,6867.5,47267.0,1381,3.333333333333333
8609.0,6178.3,6915.7,47298.0,1381,3.333333333333333
11395.0,7812.6,9829.4,39964.0,1381,3.6666666666666665
10901.4,8150.4,9491.6,40457.6,1381,3.6666666666666665
11293.4,7815.0,9827.0,40065.6,1381,3.6666666666666665
12808.4,8878.9,11896.1,35417.6,1381,4.0
12899.5,8833.5,11941.5,35326.5,1381,4.0
13454.2,9931.8,12763.2,32851.8,1381,4.333333333333333
14406.8,10305.2,13885.8,30403.2,1381,4.666666666666667
14566.6,10025.2,16501.8,27907.4,1381,6.333333333333332
14140.3,10061.3,17606.7,27192.7,1381,6.666666666666668
13361.2,9180.7,20376.3,26082.8,1381,7.0
12304.5,8908.2,22376.8,25411.5,1381,7.333333333333332
11580.5,8123.3,25137.7,24159.5,1381,7.666666666666668
10886.2,7518.9,27316.1,23279.8,1381,8.0
9708.5,7398.1,29418.9,22475.5,1381,8.333333333333334
9131.6,6807.8,32008.2,21053.4,1381,8.666666666666666
7621.5,5592.8,36233.2,19553.5,1381,9.0
7609.5,5566.6,36259.4,19565.5,1381,9.0
7272.1,4831.1,38415.9,18481.9,1381,9.333333333333334
6255.0,4377.5,41037.5,17331.0,1381,9.666666666666666
5971.1,3946.7,42633.3,16449.9,1381,10.0
5296.7,3726.8,45112.2,14865.3,1381,10.666666666666666
4986.3,3497.2,47201.8,13315.7,1381,11.333333333333336
4269.8,3103.7,48837.3,12790.2,1381,11.666666666666664
3758.4,2564.7,51567.3,11110.6,1381,12.333333333333336
3433.3,2319.6,53051.4,10196.7,1381,12.666666666666664
3150.2,2014.7,55133.3,8702.8,1381,13.333333333333336
3252.9,2333.9,56587.1,6827.1,1381,14.333333333333336
2833.4,2140.7,58394.3,5632.6,1381,15.333333333333336
2554.9,1960.2,60153.8,4332.1,1381,19.0
2237.5,1448.5,62428.5,2886.5,1381,24.33333333333333
1099.9,723.9,64930.1,2247.1,1381,31.33333333333333
244.7,311.0,66975.0,1470.3,1381,41.0
2607.3,1813.5,1481.5,63098.7,2071,2.6666666666666665
5038.5,3734.0,3801.0,56427.5,2071,3.0
5087.0,3717.2,3817.8,56379.0,2071,3.0
5151.7,3682.9,3852.1,56314.3,2071,3.0
8530.9,6070.7,7023.3,47376.1,2071,3.333333333333333
8803.0,5981.2,7112.8,47104.0,2071,3.333333333333333
8655.0,6059.7,7034.3,47252.0,2071,3.333333333333333
10946.3,7810.9,9831.1,40412.7,2071,3.6666666666666665
10903.5,7935.4,9706.6,40455.5,2071,3.6666666666666665
11138.6,7714.9,9927.1,40220.4,2071,3.6666666666666665
12482.4,9084.9,11690.1,35743.6,2071,4.0
12719.4,8946.9,11828.1,35506.6,2071,4.0
13932.8,9295.2,13399.8,32373.2,2071,4.333333333333333
14313.8,10484.5,13706.5,30496.2,2071,4.666666666666667
14309.9,10188.9,16338.1,28164.1,2071,6.333333333333332
14072.8,10053.7,17614.3,27260.2,2071,6.666666666666668
13219.1,9249.0,20308.0,26224.9,2071,7.0
12496.5,8708.7,22576.3,25219.5,2071,7.333333333333332
11410.9,8115.1,25145.9,24329.1,2071,7.666666666666668
10685.7,7701.6,27133.4,23480.3,2071,8.0
10041.1,6888.5,29928.5,22142.9,2071,8.333333333333334
9362.7,6249.7,32566.3,20822.3,2071,8.666666666666666
7534.2,5439.0,36387.0,19640.8,2071,9.0
7699.9,5221.3,36604.7,19475.1,2071,9.0
7108.4,4812.9,38434.1,18645.6,2071,9.333333333333334
6043.9,4338.3,41076.7,17542.1,2071,9.666666666666666
5582.5,4020.2,42559.8,16838.5,2071,10.0
5320.9,3499.3,45339.7,14841.1,2071,10.666666666666666
4797.0,3373.6,47325.4,13505.0,2071,11.333333333333336
4175.0,2898.0,49043.0,12885.0,2071,11.666666666666664
3583.3,2492.6,51639.4,11285.7,2071,12.333333333333336
3322.2,2206.8,53164.2,10307.8,2071,12.666666666666664
3027.5,1987.7,55160.3,8825.5,2071,13.333333333333336
