FN,FP,TN,TP,sr,t
0.0,1728.0,0.0,67273.0,1,146.95454545454547
0.0,3452.0,0.0,65549.0,1,148.97272727272727
6382.0,4662.9,518.1,57438.0,1,149.96666666666667
12420.0,5520.8,1380.2,49680.0,1,150.54166666666666
6037.5,7763.4,862.6,54337.5,1,150.97391304347823
11727.6,8290.4,2072.6,46910.4,1,151.35
5692.5,10868.4,1207.6,51232.5,1,151.70882352941175
16560.0,9660.7,4140.3,38640.0,1,152.04285714285714
10693.6,12426.4,3106.6,42774.4,1,152.34444444444443
20694.8,10358.4,6905.6,31042.2,1,152.63333333333333
15000.9,13298.6,5699.4,35002.1,1,152.9
4830.0,18630.9,2070.1,43470.0,1,153.1529411764706
4656.8,20189.7,2243.3,41911.2,1,153.39
26910.0,9660.4,14490.6,17940.0,1,153.63023255813954
12937.5,18113.2,7762.8,30187.5,1,153.85333333333338
16560.0,16560.6,11040.4,24840.0,1,154.06666666666666
15869.6,17596.2,11730.8,23804.4,1,154.26530612244895
15177.6,18634.2,12422.8,22766.4,1,154.45999999999995
14487.2,19669.8,13113.2,21730.8,1,154.65
27600.0,6900.2,27600.8,6900.0,1,154.83124999999995
13110.0,21735.6,14490.4,19665.0,1,155.01194029850745
12419.2,22771.8,15181.2,18628.8,1,155.19333333333333
14661.5,19839.0,19839.0,14661.5,1,155.38
11040.0,24840.6,16560.4,16560.0,1,155.56774193548392
20696.0,8626.2,34504.8,5174.0,1,155.75454545454545
14490.0,17940.4,26910.6,9660.0,1,155.94285714285712
20182.5,4657.6,41918.4,2242.5,1,156.1409090909091
12418.8,19321.2,28981.8,8279.2,1,156.32666666666668
13282.5,15007.8,35018.2,5692.5,1,156.49677419354836
8625.0,25875.5,25875.5,8625.0,1,156.6691176470588
10867.5,16042.8,37433.2,4657.5,1,156.84333333333333
11040.0,11040.2,44160.8,2760.0,1,157.02608695652177
10867.5,5692.6,51233.4,1207.5,1,157.22702702702705
9315.0,5865.1,52785.9,1035.0,1,157.4506329113924
7761.6,6037.7,54339.3,862.4,1,157.69333333333333
6210.0,6210.1,55890.9,690.0,1,157.98999999999995
5172.0,0.0,63829.0,0.0,1,158.31428571428572
3450.0,0.0,65551.0,0.0,1,158.72666666666666
1724.0,0.0,67277.0,0.0,1,159.25238095238097
1787.5,955.6,772.4,65485.5,691,146.95454545454547
2952.1,1975.8,1476.2,62596.9,691,148.97272727272727
4119.9,2994.6,2186.4,59700.1,691,149.96666666666667
5814.5,3685.9,3215.1,56285.5,691,150.54166666666666
6922.2,4605.3,4020.7,53452.8,691,150.97391304347823
8121.0,5125.8,5237.2,50517.0,691,151.35
8974.0,5851.6,6224.4,47951.0,691,151.70882352941175
9676.6,6517.9,7283.1,45523.4,691,152.04285714285714
10048.1,7047.9,8485.1,43419.9,691,152.34444444444443
10640.7,7689.9,9574.1,41096.3,691,152.63333333333333
11925.9,8000.4,10997.6,38077.1,691,152.9
12149.6,8607.1,12093.9,36150.4,691,153.1529411764706
13104.1,8561.5,13871.5,33463.9,691,153.39
13503.4,8852.7,15298.3,31346.6,691,153.63023255813954
12892.8,9553.6,16322.4,30232.2,691,153.85333333333338
13342.1,9644.6,17956.4,28057.9,691,154.06666666666666
13682.2,9672.0,19655.0,25991.8,691,154.26530612244895
13801.8,9808.2,21248.8,24142.2,691,154.45999999999995
13236.4,10135.6,22647.4,22981.6,691,154.65
13696.0,9661.8,24839.2,20804.0,691,154.83124999999995
13541.9,9753.8,26472.2,19233.1,691,155.01194029850745
13022.0,9781.1,28171.9,18026.0,691,155.19333333333333
12937.4,8809.0,30869.0,16385.6,691,155.38
11915.1,8885.2,32515.8,15684.9,691,155.56774193548392
11574.0,8205.3,34925.7,14296.0,691,155.75454545454545
10721.8,8158.2,36692.8,13428.2,691,155.94285714285712
10317.4,7152.9,39423.1,12107.6,691,156.1409090909091
9382.9,6889.8,41413.2,11315.1,691,156.32666666666668
8778.7,6234.3,43791.7,10196.3,691,156.49677419354836
7585.1,6223.4,45527.6,9664.9,691,156.6691176470588
7109.5,5270.9,48205.1,8415.5,691,156.84333333333333
6451.2,4470.6,50730.4,7348.8,691,157.02608695652177
5774.5,3906.2,53019.8,6300.5,691,157.22702702702705
4917.5,3568.4,55082.6,5432.5,691,157.4506329113924
4358.6,3056.9,57320.1,4265.4,691,157.69333333333333
3613.7,2587.4,59513.6,3286.3,691,157.98999999999995
2797.0,2254.4,61574.6,2375.0,691,158.31428571428572
2242.3,1415.6,64135.4,1207.7,691,158.72666666666666
1241.0,923.8,66353.2,483.0,691,159.25238095238097
1280.4,921.7,806.3,65992.6,1381,146.95454545454547
2805.4,1689.7,1762.3,62743.6,1381,148.97272727272727
3864.3,2822.9,2358.1,59955.7,1381,149.96666666666667
5680.5,3601.4,3299.6,56419.5,1381,150.54166666666666
6659.7,4375.1,4250.9,53715.3,1381,150.97391304347823
7833.7,4883.2,5479.8,50804.3,1381,151.35
8007.6,5742.0,6334.0,48917.4,1381,151.70882352941175
8901.6,6403.8,7397.2,46298.4,1381,152.04285714285714
9904.3,6888.3,8644.7,43563.7,1381,152.34444444444443
10392.3,7341.7,9922.3,41344.7,1381,152.63333333333333
11242.3,7816.9,11181.1,38760.7,1381,152.9
12103.4,7937.2,12763.8,36196.6,1381,153.1529411764706
11869.5,8496.9,13936.1,34698.5,1381,153.39
12693.5,8702.9,15448.1,32156.5,1381,153.63023255813954
13256.8,8907.9,16968.1,29868.2,1381,153.85333333333338
13237.3,9339.4,18261.6,28162.7,1381,154.06666666666666
13420.8,9701.8,19625.2,26253.2,1381,154.26530612244895
13468.3,9516.6,21540.4,24475.7,1381,154.45999999999995
13348.5,9423.6,23359.4,22869.5,1381,154.65
13534.0,9152.3,25348.7,20966.0,1381,154.83124999999995
12892.1,9278.7,26947.3,19882.9,1381,155.01194029850745
12971.4,9060.6,28892.4,18076.6,1381,155.19333333333333
12089.1,9169.2,30508.8,17233.9,1381,155.38
11849.8,8317.3,33083.7,15750.2,1381,155.56774193548392
11471.9,8134.0,34997.0,14398.1,1381,155.75454545454545
10447.1,7903.3,36947.7,13702.9,1381,155.94285714285712
10044.4,7028.2,39547.8,12380.6,1381,156.1409090909091
9447.0,6427.1,41875.9,11251.0,1381,156.32666666666668
8795.3,5868.5,44157.5,10179.7,1381,156.49677419354836
7890.1,5277.9,46473.1,9359.9,1381,156.6691176470588
7165.9,4674.5,48801.5,8359.1,1381,156.84333333333333
6192.9,4376.7,50824.3,7607.1,1381,157.02608695652177
5632.0,3709.7,53216.3,6443.0,1381,157.22702702702705
4973.1,3416.3,55234.7,5376.9,1381,157.4506329113924
4229.4,2900.6,57476.4,4394.6,1381,157.69333333333333
3548.7,2509.3,59591.7,3351.3,1381,157.98999999999995
2992.5,1920.8,61908.2,2179.5,1381,158.31428571428572
2096.5,1497.0,64054.0,1353.5,1381,158.72666666666666
1197.1,873.0,66404.0,526.9,1381,159.25238095238097
1289.4,845.7,882.3,65983.6,2071,146.95454545454547
2512.1,1815.1,1636.9,63036.9,2071,148.97272727272727
