FN,FP,TN,TP,sr,t
58.8,27.0,18.0,88.2,1,1020
58.8,27.0,18.0,88.2,2,1020
0.0,45.0,0.0,147.0,3,1020
35.6,32.6,12.4,111.4,4,1020
55.5,17.3,27.7,91.5,5,1020
35.2,27.4,17.6,111.8,6,1020
38.6,24.4,20.6,108.4,7,1020
34.7,25.3,19.7,112.3,8,1020
48.3,16.5,28.5,98.7,9,1020
36.5,21.5,23.5,110.5,10,1020
19.8,20.0,25.0,127.2,11,1020
27.9,20.9,24.1,119.1,12,1020
29.9,13.3,31.7,117.1,13,1020
20.5,16.7,28.3,126.5,14,1020
27.5,11.7,33.3,119.5,15,1020
21.8,18.0,27.0,125.2,16,1020
20.3,11.7,33.3,126.7,17,1020
15.4,18.8,26.2,131.6,18,1020
11.5,12.5,32.5,135.5,19,1020
30.7,7.7,37.3,116.3,20,1020
18.4,9.8,35.2,128.6,21,1020
15.8,14.0,31.0,131.2,22,1020
17.2,6.6,38.4,129.8,23,1020
11.5,10.1,34.9,135.5,24,1020
17.5,11.7,33.3,129.5,25,1020
25.5,5.3,39.7,121.5,26,1020
14.1,11.1,33.9,132.9,27,1020
16.4,11.0,34.0,130.6,28,1020
14.1,11.9,33.1,132.9,29,1020
24.5,10.3,34.7,122.5,30,1020
25.0,7.8,37.2,122.0,31,1020
16.0,9.0,36.0,131.0,32,1020
10.6,12.4,32.6,136.4,33,1020
19.3,7.1,37.9,127.7,34,1020
12.0,7.2,37.8,135.0,35,1020
9.3,8.3,36.7,137.7,36,1020
18.5,9.1,35.9,128.5,37,1020
17.2,7.8,37.2,129.8,38,1020
14.9,8.3,36.7,132.1,39,1020
13.3,6.7,38.3,133.7,40,1020
11.6,11.4,33.6,135.4,41,1020
11.5,8.9,36.1,135.5,42,1020
13.3,7.1,37.9,133.7,43,1020
9.9,7.3,37.7,137.1,44,1020
14.1,10.3,34.7,132.9,45,1020
12.8,8.0,37.0,134.2,46,1020
18.8,6.6,38.4,128.2,47,1020
12.4,9.4,35.6,134.6,48,1020
12.5,6.3,38.7,134.5,49,1020
9.9,11.3,33.7,137.1,50,1020
14.9,8.7,36.3,132.1,51,1020
13.0,6.8,38.2,134.0,52,1020
13.9,8.1,36.9,133.1,53,1020
11.2,7.4,37.6,135.8,54,1020
17.2,6.2,38.8,129.8,55,1020
9.9,8.1,36.9,137.1,56,1020
12.9,7.1,37.9,134.1,57,1020
7.7,8.7,36.3,139.3,58,1020
12.9,9.7,35.3,134.1,59,1020
7.9,8.3,36.7,139.1,60,1020
11.9,6.5,38.5,135.1,61,1020
18.5,6.7,38.3,128.5,62,1020
12.9,7.3,37.7,134.1,63,1020
11.4,7.0,38.0,135.6,64,1020
12.8,5.8,39.2,134.2,65,1020
9.9,6.8,38.2,137.1,66,1020
12.4,6.4,38.6,134.6,67,1020
11.4,6.4,38.6,135.6,68,1020
13.5,7.1,37.9,133.5,69,1020
10.1,7.9,37.1,136.9,70,1020
13.5,6.1,38.9,133.5,71,1020
9.8,6.4,38.6,137.2,72,1020
11.5,7.9,37.1,135.5,73,1020
14.1,6.5,38.5,132.9,74,1020
9.4,6.8,38.2,137.6,75,1020
15.0,6.2,38.8,132.0,76,1020
10.4,7.6,37.4,136.6,77,1020
11.6,7.4,37.6,135.4,78,1020
13.8,5.4,39.6,133.2,79,1020
13.8,5.4,39.6,133.2,80,1020
8.8,6.4,38.6,138.2,81,1020
10.0,6.2,38.8,137.0,82,1020
8.5,5.7,39.3,138.5,83,1020
12.1,5.7,39.3,134.9,84,1020
11.8,6.0,39.0,135.2,85,1020
9.5,6.7,38.3,137.5,86,1020
