FN,FP,TN,TP,sr,t
0.0,2700.0,0.0,10785.0,1,23.397
1154.8,946.4,1753.6,9630.2,135,23.397
1016.0,760.9,1939.1,9769.0,269,23.397
958.2,472.7,2227.3,9826.8,403,23.397
721.0,549.3,2150.7,10064.0,537,23.397
651.8,508.8,2191.2,10133.2,671,23.397
646.5,397.9,2302.1,10138.5,805,23.397
599.4,354.9,2345.1,10185.6,939,23.397
547.4,425.4,2274.6,10237.6,1073,23.397
575.6,335.7,2364.3,10209.4,1207,23.397
515.9,354.5,2345.5,10269.1,1341,23.397
480.8,313.2,2386.8,10304.2,1475,23.397
457.0,292.0,2408.0,10328.0,1609,23.397
471.0,275.7,2424.3,10314.0,1743,23.397
411.2,286.5,2413.5,10373.8,1877,23.397
425.3,236.8,2463.2,10359.7,2011,23.397
383.6,267.7,2432.3,10401.4,2145,23.397
366.6,243.8,2456.2,10418.4,2279,23.397
409.6,231.4,2468.6,10375.4,2413,23.397
366.2,195.2,2504.8,10418.8,2547,23.397
353.3,202.9,2497.1,10431.7,2681,23.397
324.5,195.7,2504.3,10460.5,2815,23.397
354.2,188.8,2511.2,10430.8,2949,23.397
321.0,187.1,2512.9,10464.0,3083,23.397
355.1,183.0,2517.0,10429.9,3217,23.397
290.6,151.6,2548.4,10494.4,3351,23.397
295.3,160.9,2539.1,10489.7,3485,23.397
299.9,174.5,2525.5,10485.1,3619,23.397
301.9,139.3,2560.7,10483.1,3753,23.397
299.7,146.1,2553.9,10485.3,3887,23.397
285.6,147.3,2552.7,10499.4,4021,23.397
278.6,142.6,2557.4,10506.4,4155,23.397
267.4,146.8,2553.2,10517.6,4289,23.397
280.8,130.1,2569.9,10504.2,4423,23.397
278.7,128.4,2571.6,10506.3,4557,23.397
249.4,129.7,2570.3,10535.6,4691,23.397
272.7,142.3,2557.7,10512.3,4825,23.397
267.2,131.4,2568.6,10517.8,4959,23.397
252.4,125.9,2574.1,10532.6,5093,23.397
241.9,129.0,2571.0,10543.1,5227,23.397
251.1,118.3,2581.7,10533.9,5361,23.397
246.1,107.3,2592.7,10538.9,5495,23.397
237.4,110.3,2589.7,10547.6,5629,23.397
239.6,118.7,2581.3,10545.4,5763,23.397
235.2,112.7,2587.3,10549.8,5897,23.397
232.1,110.9,2589.1,10552.9,6031,23.397
228.3,111.3,2588.7,10556.7,6165,23.397
225.7,106.2,2593.8,10559.3,6299,23.397
227.8,108.6,2591.4,10557.2,6433,23.397
215.0,98.1,2601.9,10570.0,6567,23.397
210.7,109.6,2590.4,10574.3,6701,23.397
214.9,97.4,2602.6,10570.1,6835,23.397
205.1,98.1,2601.9,10579.9,6969,23.397
207.4,92.0,2608.0,10577.6,7103,23.397
206.3,89.7,2610.3,10578.7,7237,23.397
199.0,91.9,2608.1,10586.0,7371,23.397
208.6,94.6,2605.4,10576.4,7505,23.397
195.5,100.1,2599.9,10589.5,7639,23.397
199.3,95.1,2604.9,10585.7,7773,23.397
185.9,86.6,2613.4,10599.1,7907,23.397
192.5,87.4,2612.6,10592.5,8041,23.397
188.4,86.4,2613.6,10596.6,8175,23.397
193.2,81.8,2618.2,10591.8,8309,23.397
183.5,79.5,2620.5,10601.5,8443,23.397
183.9,78.6,2621.4,10601.1,8577,23.397
180.3,80.9,2619.1,10604.7,8711,23.397
182.4,74.1,2625.9,10602.6,8845,23.397
180.6,73.7,2626.3,10604.4,8979,23.397
174.7,76.5,2623.5,10610.3,9113,23.397
173.3,71.6,2628.4,10611.7,9247,23.397
171.9,72.1,2627.9,10613.1,9381,23.397
167.7,69.2,2630.8,10617.3,9515,23.397
161.5,71.4,2628.6,10623.5,9649,23.397
167.7,69.6,2630.4,10617.3,9783,23.397
159.0,66.7,2633.3,10626.0,9917,23.397
168.9,61.9,2638.1,10616.1,10051,23.397
157.4,64.3,2635.7,10627.6,10185,23.397
160.5,62.2,2637.8,10624.5,10319,23.397
156.8,59.7,2640.3,10628.2,10453,23.397
156.3,55.6,2644.4,10628.7,10587,23.397
152.6,59.9,2640.1,10632.4,10721,23.397
147.3,55.2,2644.8,10637.7,10855,23.397
143.2,55.8,2644.2,10641.8,10989,23.397
143.7,55.1,2644.9,10641.3,11123,23.397
146.1,47.6,2652.4,10638.9,11257,23.397
139.4,54.6,2645.4,10645.6,11391,23.397
143.1,53.2,2646.8,10641.9,11525,23.397
142.8,45.1,2654.9,10642.2,11659,23.397
136.9,46.8,2653.2,10648.1,11793,23.397
137.2,43.2,2656.8,10647.8,11927,23.397
134.5,39.8,2660.2,10650.5,12061,23.397
130.4,37.9,2662.1,10654.6,12195,23.397
125.4,39.8,2660.2,10659.6,12329,23.397
123.9,33.3,2666.7,10661.1,12463,23.397
122.6,33.0,2667.0,10662.4,12597,23.397
125.9,38.3,2661.7,10659.1,12731,23.397
120.7,31.3,2668.7,10664.3,12865,23.397
117.7,28.1,2671.9,10667.3,12999,23.397
117.6,27.8,2672.2,10667.4,13133,23.397
112.8,26.7,2673.3,10672.2,13267,23.397
114.3,24.8,2675.2,10670.7,13401,23.397
