FN,FP,TN,TP,sr,t
22080.0,8280.6,5520.4,33120.0,1,152.04285714285714
10183.5,6382.5,7418.5,45016.5,691,152.04285714285714
9131.2,6159.7,7641.3,46068.8,1381,152.04285714285714
8926.8,6231.6,7569.4,46273.2,2071,152.04285714285714
8886.6,5939.2,7861.8,46313.4,2761,152.04285714285714
8637.8,5922.1,7878.9,46562.2,3451,152.04285714285714
8863.0,5772.4,8028.6,46337.0,4141,152.04285714285714
8677.5,5763.8,8037.2,46522.5,4831,152.04285714285714
8589.6,5759.7,8041.3,46610.4,5521,152.04285714285714
8413.1,5644.3,8156.7,46786.9,6211,152.04285714285714
8711.7,5574.2,8226.8,46488.3,6901,152.04285714285714
8421.7,5552.3,8248.7,46778.3,7591,152.04285714285714
8496.7,5505.8,8295.2,46703.3,8281,152.04285714285714
8434.5,5412.9,8388.1,46765.5,8971,152.04285714285714
8303.2,5455.1,8345.9,46896.8,9661,152.04285714285714
8498.9,5275.4,8525.6,46701.1,10351,152.04285714285714
8309.8,5315.7,8485.3,46890.2,11041,152.04285714285714
8296.8,5286.7,8514.3,46903.2,11731,152.04285714285714
8153.7,5369.2,8431.8,47046.3,12421,152.04285714285714
8094.7,5245.5,8555.5,47105.3,13111,152.04285714285714
8187.8,5175.8,8625.2,47012.2,13801,152.04285714285714
8009.1,5197.6,8603.4,47190.9,14491,152.04285714285714
8199.3,5092.2,8708.8,47000.7,15181,152.04285714285714
8052.3,5142.9,8658.1,47147.7,15871,152.04285714285714
8005.2,5096.0,8705.0,47194.8,16561,152.04285714285714
8100.7,5035.9,8765.1,47099.3,17251,152.04285714285714
8044.6,4953.5,8847.5,47155.4,17941,152.04285714285714
8027.4,4944.4,8856.6,47172.6,18631,152.04285714285714
8010.0,4888.2,8912.8,47190.0,19321,152.04285714285714
7946.7,4913.4,8887.6,47253.3,20011,152.04285714285714
7886.2,4873.2,8927.8,47313.8,20701,152.04285714285714
7866.3,4877.3,8923.7,47333.7,21391,152.04285714285714
7874.6,4796.7,9004.3,47325.4,22081,152.04285714285714
7809.2,4798.0,9003.0,47390.8,22771,152.04285714285714
7778.4,4795.0,9006.0,47421.6,23461,152.04285714285714
7842.0,4705.7,9095.3,47358.0,24151,152.04285714285714
7765.5,4672.5,9128.5,47434.5,24841,152.04285714285714
7728.9,4669.7,9131.3,47471.1,25531,152.04285714285714
7712.9,4651.6,9149.4,47487.1,26221,152.04285714285714
7722.5,4586.4,9214.6,47477.5,26911,152.04285714285714
7641.7,4613.1,9187.9,47558.3,27601,152.04285714285714
7681.2,4557.8,9243.2,47518.8,28291,152.04285714285714
7711.9,4497.4,9303.6,47488.1,28981,152.04285714285714
7626.7,4489.8,9311.2,47573.3,29671,152.04285714285714
7593.6,4493.6,9307.4,47606.4,30361,152.04285714285714
7546.3,4471.9,9329.1,47653.7,31051,152.04285714285714
7632.8,4384.8,9416.2,47567.2,31741,152.04285714285714
7517.3,4385.5,9415.5,47682.7,32431,152.04285714285714
7501.5,4361.1,9439.9,47698.5,33121,152.04285714285714
7529.6,4340.6,9460.4,47670.4,33811,152.04285714285714
7546.3,4303.5,9497.5,47653.7,34501,152.04285714285714
7502.9,4263.7,9537.3,47697.1,35191,152.04285714285714
7462.0,4232.8,9568.2,47738.0,35881,152.04285714285714
7480.6,4193.9,9607.1,47719.4,36571,152.04285714285714
7402.8,4227.5,9573.5,47797.2,37261,152.04285714285714
7451.1,4128.0,9673.0,47748.9,37951,152.04285714285714
7387.8,4139.9,9661.1,47812.2,38641,152.04285714285714
7366.3,4116.5,9684.5,47833.7,39331,152.04285714285714
7370.2,4060.4,9740.6,47829.8,40021,152.04285714285714
7312.0,4072.6,9728.4,47888.0,40711,152.04285714285714
7323.6,4024.4,9776.6,47876.4,41401,152.04285714285714
7308.6,3980.8,9820.2,47891.4,42091,152.04285714285714
7333.4,3916.3,9884.7,47866.6,42781,152.04285714285714
7385.6,3841.8,9959.2,47814.4,43471,152.04285714285714
7306.1,3860.7,9940.3,47893.9,44161,152.04285714285714
7285.9,3841.6,9959.4,47914.1,44851,152.04285714285714
7314.0,3797.3,10003.7,47886.0,45541,152.04285714285714
7319.3,3741.5,10059.5,47880.7,46231,152.04285714285714
7326.0,3692.5,10108.5,47874.0,46921,152.04285714285714
7325.5,3650.8,10150.2,47874.5,47611,152.04285714285714
7315.3,3620.9,10180.1,47884.7,48301,152.04285714285714
7328.0,3562.6,10238.4,47872.0,48991,152.04285714285714
7332.5,3516.1,10284.9,47867.5,49681,152.04285714285714
7364.6,3432.2,10368.8,47835.4,50371,152.04285714285714
7381.6,3382.9,10418.1,47818.4,51061,152.04285714285714
7397.9,3351.7,10449.3,47802.1,51751,152.04285714285714
7407.1,3286.8,10514.2,47792.9,52441,152.04285714285714
7430.5,3210.7,10590.3,47769.5,53131,152.04285714285714
7459.6,3153.9,10647.1,47740.4,53821,152.04285714285714
7489.7,3075.9,10725.1,47710.3,54511,152.04285714285714
7514.2,3020.6,10780.4,47685.8,55201,152.04285714285714
7585.0,2918.8,10882.2,47615.0,55891,152.04285714285714
7607.9,2848.7,10952.3,47592.1,56581,152.04285714285714
7671.3,2754.8,11046.2,47528.7,57271,152.04285714285714
7705.9,2665.6,11135.4,47494.1,57961,152.04285714285714
7783.7,2562.3,11238.7,47416.3,58651,152.04285714285714
7844.9,2455.8,11345.2,47355.1,59341,152.04285714285714
7923.5,2340.5,11460.5,47276.5,60031,152.04285714285714
8010.4,2251.0,11550.0,47189.6,60721,152.04285714285714
8108.2,2097.5,11703.5,47091.8,61411,152.04285714285714
8169.1,2010.0,11791.0,47030.9,62101,152.04285714285714
8291.7,1855.5,11945.5,46908.3,62791,152.04285714285714
8379.4,1733.0,12068.0,46820.6,63481,152.04285714285714
8501.5,1588.5,12212.5,46698.5,64171,152.04285714285714
8636.8,1429.4,12371.6,46563.2,64861,152.04285714285714
8782.0,1257.4,12543.6,46418.0,65551,152.04285714285714
8932.3,1073.7,12727.3,46267.7,66241,152.04285714285714
9092.8,898.7,12902.3,46107.2,66931,152.04285714285714
9255.1,713.0,13088.0,45944.9,67621,152.04285714285714
9438.7,505.6,13295.4,45761.3,68311,152.04285714285714
9644.9,278.7,13522.3,45555.1,69001,152.04285714285714
