FN,FP,TN,TP,sr,t
50085.6,33399.6,50099.4,33390.4,1,772.5
4028.1,2685.7,80813.3,79447.9,1670,772.5
2886.9,2294.5,81204.5,80589.1,3339,772.5
2648.1,1986.4,81512.6,80827.9,5008,772.5
2427.8,1757.3,81741.7,81048.2,6677,772.5
2463.4,1533.2,81965.8,81012.6,8346,772.5
2310.8,1489.0,82010.0,81165.2,10015,772.5
2241.7,1407.6,82091.4,81234.3,11684,772.5
2126.5,1442.5,82056.5,81349.5,13353,772.5
2123.2,1348.7,82150.3,81352.8,15022,772.5
2066.0,1302.9,82196.1,81410.0,16691,772.5
2019.2,1304.6,82194.4,81456.8,18360,772.5
1930.4,1292.3,82206.7,81545.6,20029,772.5
1908.7,1267.2,82231.8,81567.3,21698,772.5
1932.3,1230.1,82268.9,81543.7,23367,772.5
1854.4,1197.2,82301.8,81621.6,25036,772.5
1833.4,1212.8,82286.2,81642.6,26705,772.5
1790.7,1197.6,82301.4,81685.3,28374,772.5
1825.1,1159.4,82339.6,81650.9,30043,772.5
1760.2,1159.4,82339.6,81715.8,31712,772.5
1806.5,1128.5,82370.5,81669.5,33381,772.5
1746.9,1109.4,82389.6,81729.1,35050,772.5
1748.2,1096.8,82402.2,81727.8,36719,772.5
1704.6,1112.1,82386.9,81771.4,38388,772.5
1670.3,1124.1,82374.9,81805.7,40057,772.5
1668.9,1090.3,82408.7,81807.1,41726,772.5
1648.1,1101.3,82397.7,81827.9,43395,772.5
1690.3,1048.5,82450.5,81785.7,45064,772.5
1617.4,1071.7,82427.3,81858.6,46733,772.5
1612.2,1058.8,82440.2,81863.8,48402,772.5
1603.0,1048.1,82450.9,81873.0,50071,772.5
1583.7,1045.5,82453.5,81892.3,51740,772.5
1541.8,1061.7,82437.3,81934.2,53409,772.5
1591.2,992.6,82506.4,81884.8,55078,772.5
1557.6,990.5,82508.5,81918.4,56747,772.5
1521.1,1015.7,82483.3,81954.9,58416,772.5
1512.7,1000.1,82498.9,81963.3,60085,772.5
1524.0,979.8,82519.2,81952.0,61754,772.5
1491.2,995.0,82504.0,81984.8,63423,772.5
1495.6,954.7,82544.3,81980.4,65092,772.5
1489.2,942.3,82556.7,81986.8,66761,772.5
1455.3,965.1,82533.9,82020.7,68430,772.5
1475.4,936.2,82562.8,82000.6,70099,772.5
1429.4,950.6,82548.4,82046.6,71768,772.5
1445.3,942.7,82556.3,82030.7,73437,772.5
1422.3,953.9,82545.1,82053.7,75106,772.5
1422.2,897.4,82601.6,82053.8,76775,772.5
1410.3,897.9,82601.1,82065.7,78444,772.5
1347.7,922.8,82576.2,82128.3,80113,772.5
1382.1,891.4,82607.6,82093.9,81782,772.5
1396.7,892.5,82606.5,82079.3,83451,772.5
1381.2,885.4,82613.6,82094.8,85120,772.5
1387.1,869.2,82629.8,82088.9,86789,772.5
1340.7,884.9,82614.1,82135.3,88458,772.5
1342.8,856.5,82642.5,82133.2,90127,772.5
1327.4,891.3,82607.7,82148.6,91796,772.5
1343.6,829.0,82670.0,82132.4,93465,772.5
1302.7,875.6,82623.4,82173.3,95134,772.5
1312.1,833.3,82665.7,82163.9,96803,772.5
1292.8,844.7,82654.3,82183.2,98472,772.5
1295.7,833.9,82665.1,82180.3,100141,772.5
1289.2,816.5,82682.5,82186.8,101810,772.5
1289.5,810.2,82688.8,82186.5,103479,772.5
1264.7,809.9,82689.1,82211.3,105148,772.5
1272.3,815.0,82684.0,82203.7,106817,772.5
1282.6,786.1,82712.9,82193.4,108486,772.5
1282.1,761.0,82738.0,82193.9,110155,772.5
1261.5,760.7,82738.3,82214.5,111824,772.5
1240.7,792.2,82706.8,82235.3,113493,772.5
1247.0,760.7,82738.3,82229.0,115162,772.5
1237.0,752.5,82746.5,82239.0,116831,772.5
1233.7,760.1,82738.9,82242.3,118500,772.5
1219.3,760.4,82738.6,82256.7,120169,772.5
1208.2,755.7,82743.3,82267.8,121838,772.5
1230.1,730.2,82768.8,82245.9,123507,772.5
1189.9,735.3,82763.7,82286.1,125176,772.5
1199.5,719.8,82779.2,82276.5,126845,772.5
1178.2,735.8,82763.2,82297.8,128514,772.5
1165.0,736.8,82762.2,82311.0,130183,772.5
1171.9,712.8,82786.2,82304.1,131852,772.5
1209.4,696.4,82802.6,82266.6,133521,772.5
1191.1,691.0,82808.0,82284.9,135190,772.5
1153.3,697.2,82801.8,82322.7,136859,772.5
1160.2,683.7,82815.3,82315.8,138528,772.5
1154.5,694.7,82804.3,82321.5,140197,772.5
1163.3,673.4,82825.6,82312.7,141866,772.5
1144.5,665.4,82833.6,82331.5,143535,772.5
1151.9,663.3,82835.7,82324.1,145204,772.5
1141.3,662.8,82836.2,82334.7,146873,772.5
1161.9,640.2,82858.8,82314.1,148542,772.5
1135.6,643.6,82855.4,82340.4,150211,772.5
1124.1,633.9,82865.1,82351.9,151880,772.5
1156.4,609.8,82889.2,82319.6,153549,772.5
1137.7,613.5,82885.5,82338.3,155218,772.5
1115.8,620.3,82878.7,82360.2,156887,772.5
1098.7,626.8,82872.2,82377.3,158556,772.5
1133.0,593.7,82905.3,82343.0,160225,772.5
1119.9,596.8,82902.2,82356.1,161894,772.5
1115.5,588.5,82910.5,82360.5,163563,772.5
1143.7,555.4,82943.6,82332.3,165232,772.5
1126.6,558.4,82940.6,82349.4,166901,772.5
