FN,FP,TN,TP,sr,t
306.6,205.2,307.8,204.4,1,236.95
243.3,167.5,345.5,267.7,11,236.95
117.4,144.0,369.0,393.6,21,236.95
100.8,69.8,443.2,410.2,31,236.95
71.8,44.0,469.0,439.2,41,236.95
64.7,52.9,460.1,446.3,51,236.95
58.8,19.8,493.2,452.2,61,236.95
60.8,29.8,483.2,450.2,71,236.95
63.6,32.6,480.4,447.4,81,236.95
57.1,22.9,490.1,453.9,91,236.95
48.2,22.0,491.0,462.8,101,236.95
47.8,28.0,485.0,463.2,111,236.95
52.9,25.9,487.1,458.1,121,236.95
34.0,26.2,486.8,477.0,131,236.95
45.9,27.3,485.7,465.1,141,236.95
56.4,27.0,486.0,454.6,151,236.95
39.2,25.8,487.2,471.8,161,236.95
44.3,23.7,489.3,466.7,171,236.95
36.9,25.9,487.1,474.1,181,236.95
45.1,20.5,492.5,465.9,191,236.95
41.4,24.0,489.0,469.6,201,236.95
47.1,24.1,488.9,463.9,211,236.95
31.2,26.6,486.4,479.8,221,236.95
42.1,19.9,493.1,468.9,231,236.95
31.2,25.4,487.6,479.8,241,236.95
32.3,22.1,490.9,478.7,251,236.95
36.0,21.4,491.6,475.0,261,236.95
41.1,17.7,495.3,469.9,271,236.95
35.1,18.5,494.5,475.9,281,236.95
35.6,19.8,493.2,475.4,291,236.95
40.4,21.0,492.0,470.6,301,236.95
37.6,19.8,493.2,473.4,311,236.95
32.4,22.6,490.4,478.6,321,236.95
32.0,19.0,494.0,479.0,331,236.95
34.1,18.5,494.5,476.9,341,236.95
32.5,21.1,491.9,478.5,351,236.95
36.3,21.7,491.3,474.7,361,236.95
32.5,17.1,495.9,478.5,371,236.95
32.8,17.8,495.2,478.2,381,236.95
32.2,16.2,496.8,478.8,391,236.95
28.8,16.0,497.0,482.2,401,236.95
30.9,19.7,493.3,480.1,411,236.95
32.6,13.2,499.8,478.4,421,236.95
34.5,12.7,500.3,476.5,431,236.95
32.5,14.3,498.7,478.5,441,236.95
28.0,14.0,499.0,483.0,451,236.95
27.5,12.3,500.7,483.5,461,236.95
26.8,15.6,497.4,484.2,471,236.95
31.3,13.9,499.1,479.7,481,236.95
32.1,10.5,502.5,478.9,491,236.95
26.3,13.3,499.7,484.7,501,236.95
30.1,11.7,501.3,480.9,511,236.95
24.3,13.7,499.3,486.7,521,236.95
29.4,12.8,500.2,481.6,531,236.95
25.2,11.2,501.8,485.8,541,236.95
26.2,10.8,502.2,484.8,551,236.95
24.8,11.4,501.6,486.2,561,236.95
26.2,12.6,500.4,484.8,571,236.95
23.9,11.9,501.1,487.1,581,236.95
25.8,12.2,500.8,485.2,591,236.95
24.4,9.0,504.0,486.6,601,236.95
24.5,9.1,503.9,486.5,611,236.95
23.5,9.7,503.3,487.5,621,236.95
21.6,10.8,502.2,489.4,631,236.95
23.6,7.6,505.4,487.4,641,236.95
21.8,8.8,504.2,489.2,651,236.95
22.0,8.2,504.8,489.0,661,236.95
20.1,10.9,502.1,490.9,671,236.95
21.4,8.8,504.2,489.6,681,236.95
21.2,8.4,504.6,489.8,691,236.95
20.9,7.7,505.3,490.1,701,236.95
17.8,8.8,504.2,493.2,711,236.95
20.5,7.5,505.5,490.5,721,236.95
20.2,8.6,504.4,490.8,731,236.95
19.8,7.4,505.6,491.2,741,236.95
22.0,5.8,507.2,489.0,751,236.95
17.7,8.1,504.9,493.3,761,236.95
17.9,7.3,505.7,493.1,771,236.95
18.0,6.4,506.6,493.0,781,236.95
17.4,6.8,506.2,493.6,791,236.95
17.6,7.2,505.8,493.4,801,236.95
17.6,7.4,505.6,493.4,811,236.95
18.3,6.5,506.5,492.7,821,236.95
17.9,6.3,506.7,493.1,831,236.95
17.3,6.1,506.9,493.7,841,236.95
16.8,6.2,506.8,494.2,851,236.95
14.7,7.7,505.3,496.3,861,236.95
16.8,4.8,508.2,494.2,871,236.95
16.3,5.7,507.3,494.7,881,236.95
17.7,5.5,507.5,493.3,891,236.95
16.7,5.1,507.9,494.3,901,236.95
15.6,4.8,508.2,495.4,911,236.95
17.0,3.2,509.8,494.0,921,236.95
14.8,4.0,509.0,496.2,931,236.95
16.1,3.1,509.9,494.9,941,236.95
16.6,3.6,509.4,494.4,951,236.95
15.7,2.5,510.5,495.3,961,236.95
16.7,1.7,511.3,494.3,971,236.95
16.8,1.4,511.6,494.2,981,236.95
15.1,1.9,511.1,495.9,991,236.95
15.1,1.1,511.9,495.9,1001,236.95
16.3,0.9,512.1,494.7,1011,236.95
15.8,0.2,512.8,495.2,1021,236.95
