FN,FP,TN,TP,sr,t
1138.0,1138.5,1138.5,1138.0,1,14.440960814602402
1103.3,869.6,1407.4,1172.7,46,14.440960814602402
1058.0,763.5,1513.5,1218.0,91,14.440960814602402
1009.9,807.5,1469.5,1266.1,136,14.440960814602402
956.4,708.1,1568.9,1319.6,181,14.440960814602402
887.8,728.0,1549.0,1388.2,226,14.440960814602402
985.0,623.5,1653.5,1291.0,271,14.440960814602402
935.7,650.9,1626.1,1340.3,316,14.440960814602402
953.6,585.1,1691.9,1322.4,361,14.440960814602402
905.1,591.3,1685.7,1370.9,406,14.440960814602402
898.6,588.3,1688.7,1377.4,451,14.440960814602402
889.0,585.0,1692.0,1387.0,496,14.440960814602402
878.3,588.1,1688.9,1397.7,541,14.440960814602402
901.1,556.0,1721.0,1374.9,586,14.440960814602402
835.2,562.9,1714.1,1440.8,631,14.440960814602402
903.1,536.5,1740.5,1372.9,676,14.440960814602402
846.1,543.1,1733.9,1429.9,721,14.440960814602402
824.5,518.6,1758.4,1451.5,766,14.440960814602402
834.8,519.9,1757.1,1441.2,811,14.440960814602402
799.3,527.6,1749.4,1476.7,856,14.440960814602402
783.6,521.3,1755.7,1492.4,901,14.440960814602402
800.4,497.7,1779.3,1475.6,946,14.440960814602402
753.0,513.5,1763.5,1523.0,991,14.440960814602402
768.5,462.2,1814.8,1507.5,1036,14.440960814602402
773.7,487.2,1789.8,1502.3,1081,14.440960814602402
747.1,464.8,1812.2,1528.9,1126,14.440960814602402
729.0,476.6,1800.4,1547.0,1171,14.440960814602402
711.4,491.3,1785.7,1564.6,1216,14.440960814602402
722.0,445.5,1831.5,1554.0,1261,14.440960814602402
721.9,445.4,1831.6,1554.1,1306,14.440960814602402
719.7,452.1,1824.9,1556.3,1351,14.440960814602402
682.0,453.4,1823.6,1594.0,1396,14.440960814602402
675.1,451.4,1825.6,1600.9,1441,14.440960814602402
659.6,462.4,1814.6,1616.4,1486,14.440960814602402
666.6,424.8,1852.2,1609.4,1531,14.440960814602402
671.5,417.3,1859.7,1604.5,1576,14.440960814602402
636.8,438.5,1838.5,1639.2,1621,14.440960814602402
657.7,428.5,1848.5,1618.3,1666,14.440960814602402
640.9,424.7,1852.3,1635.1,1711,14.440960814602402
608.5,429.5,1847.5,1667.5,1756,14.440960814602402
605.6,420.4,1856.6,1670.4,1801,14.440960814602402
612.5,397.0,1880.0,1663.5,1846,14.440960814602402
611.3,415.9,1861.1,1664.7,1891,14.440960814602402
587.2,419.0,1858.0,1688.8,1936,14.440960814602402
595.7,389.1,1887.9,1680.3,1981,14.440960814602402
607.8,409.9,1867.1,1668.2,2026,14.440960814602402
601.3,379.6,1897.4,1674.7,2071,14.440960814602402
580.6,392.0,1885.0,1695.4,2116,14.440960814602402
572.6,390.7,1886.3,1703.4,2161,14.440960814602402
548.1,402.8,1874.2,1727.9,2206,14.440960814602402
555.1,391.7,1885.3,1720.9,2251,14.440960814602402
543.9,403.3,1873.7,1732.1,2296,14.440960814602402
559.1,374.8,1902.2,1716.9,2341,14.440960814602402
553.8,370.9,1906.1,1722.2,2386,14.440960814602402
525.0,391.4,1885.6,1751.0,2431,14.440960814602402
528.1,375.7,1901.3,1747.9,2476,14.440960814602402
524.9,367.7,1909.3,1751.1,2521,14.440960814602402
511.6,367.7,1909.3,1764.4,2566,14.440960814602402
507.9,375.4,1901.6,1768.1,2611,14.440960814602402
509.3,369.6,1907.4,1766.7,2656,14.440960814602402
517.9,361.3,1915.7,1758.1,2701,14.440960814602402
506.4,350.7,1926.3,1769.6,2746,14.440960814602402
513.7,358.9,1918.1,1762.3,2791,14.440960814602402
478.7,373.7,1903.3,1797.3,2836,14.440960814602402
491.1,357.5,1919.5,1784.9,2881,14.440960814602402
501.4,354.1,1922.9,1774.6,2926,14.440960814602402
493.2,342.4,1934.6,1782.8,2971,14.440960814602402
479.7,352.0,1925.0,1796.3,3016,14.440960814602402
