FN,FP,TN,TP,sr,t
357.7,614.7,1434.3,153.3,1,19.898601564102602
63.8,167.2,1881.8,447.2,26,19.898601564102602
63.9,45.7,2003.3,447.1,51,19.898601564102602
6.3,0.9,2048.1,504.7,76,19.898601564102602
0.0,1.0,2048.0,511.0,101,19.898601564102602
0.0,1.0,2048.0,511.0,126,19.898601564102602
0.0,1.0,2048.0,511.0,151,19.898601564102602
0.0,1.0,2048.0,511.0,176,19.898601564102602
1.5,0.9,2048.1,509.5,201,19.898601564102602
0.0,1.0,2048.0,511.0,226,19.898601564102602
0.0,1.0,2048.0,511.0,251,19.898601564102602
4.6,0.8,2048.2,506.4,276,19.898601564102602
0.0,1.0,2048.0,511.0,301,19.898601564102602
1.5,0.9,2048.1,509.5,326,19.898601564102602
0.0,1.0,2048.0,511.0,351,19.898601564102602
1.5,0.9,2048.1,509.5,376,19.898601564102602
3.0,0.8,2048.2,508.0,401,19.898601564102602
0.0,1.0,2048.0,511.0,426,19.898601564102602
3.1,0.9,2048.1,507.9,451,19.898601564102602
4.5,0.7,2048.3,506.5,476,19.898601564102602
3.0,0.8,2048.2,508.0,501,19.898601564102602
4.6,0.8,2048.2,506.4,526,19.898601564102602
4.5,0.7,2048.3,506.5,551,19.898601564102602
0.0,1.0,2048.0,511.0,576,19.898601564102602
4.5,0.7,2048.3,506.5,601,19.898601564102602
1.5,0.9,2048.1,509.5,626,19.898601564102602
4.4,0.6,2048.4,506.6,651,19.898601564102602
2.2,0.8,2048.2,508.8,676,19.898601564102602
0.7,0.9,2048.1,510.3,701,19.898601564102602
5.1,0.5,2048.5,505.9,726,19.898601564102602
2.2,0.8,2048.2,508.8,751,19.898601564102602
3.7,0.7,2048.3,507.3,776,19.898601564102602
2.2,0.8,2048.2,508.8,801,19.898601564102602
0.7,0.9,2048.1,510.3,826,19.898601564102602
0.0,1.0,2048.0,511.0,851,19.898601564102602
2.1,0.7,2048.3,508.9,876,19.898601564102602
1.4,0.8,2048.2,509.6,901,19.898601564102602
0.7,0.9,2048.1,510.3,926,19.898601564102602
3.6,0.6,2048.4,507.4,951,19.898601564102602
2.1,0.7,2048.3,508.9,976,19.898601564102602
1.0,0.8,2048.2,510.0,1001,19.898601564102602
1.4,0.8,2048.2,509.6,1026,19.898601564102602
1.4,0.8,2048.2,509.6,1051,19.898601564102602
0.0,1.0,2048.0,511.0,1076,19.898601564102602
0.7,0.9,2048.1,510.3,1101,19.898601564102602
2.1,0.7,2048.3,508.9,1126,19.898601564102602
0.7,0.9,2048.1,510.3,1151,19.898601564102602
1.0,0.8,2048.2,510.0,1176,19.898601564102602
1.7,0.7,2048.3,509.3,1201,19.898601564102602
1.4,0.8,2048.2,509.6,1226,19.898601564102602
0.7,0.9,2048.1,510.3,1251,19.898601564102602
2.1,0.7,2048.3,508.9,1276,19.898601564102602
0.7,0.9,2048.1,510.3,1301,19.898601564102602
1.4,0.8,2048.2,509.6,1326,19.898601564102602
1.4,0.8,2048.2,509.6,1351,19.898601564102602
1.7,0.7,2048.3,509.3,1376,19.898601564102602
2.0,0.6,2048.4,509.0,1401,19.898601564102602
0.0,1.0,2048.0,511.0,1426,19.898601564102602
1.3,0.7,2048.3,509.7,1451,19.898601564102602
1.0,0.8,2048.2,510.0,1476,19.898601564102602
0.9,0.7,2048.3,510.1,1501,19.898601564102602
2.0,0.6,2048.4,509.0,1526,19.898601564102602
1.3,0.7,2048.3,509.7,1551,19.898601564102602
0.6,0.8,2048.2,510.4,1576,19.898601564102602
