FN,FP,TN,TP,sr,t
24.5,43.5,101.5,10.5,1,5499
31.5,14.5,130.5,3.5,2,5499
35.0,0.0,145.0,0.0,3,5499
29.7,15.7,129.3,5.3,4,5499
22.3,20.3,124.7,12.7,5,5499
22.8,21.8,123.2,12.2,6,5499
18.9,30.7,114.3,16.1,7,5499
15.8,27.0,118.0,19.2,8,5499
27.4,9.8,135.2,7.6,9,5499
20.1,20.8,124.2,14.9,10,5499
19.9,18.8,126.2,15.1,11,5499
22.6,14.6,130.4,12.4,12,5499
14.2,14.2,130.8,20.8,13,5499
14.2,6.8,138.2,20.8,14,5499
14.4,11.8,133.2,20.6,15,5499
17.2,8.4,136.6,17.8,16,5499
15.4,9.2,135.8,19.6,17,5499
12.6,17.7,127.3,22.4,18,5499
13.1,5.7,139.3,21.9,19,5499
8.0,9.1,135.9,27.0,20,5499
9.9,12.3,132.7,25.1,21,5499
11.7,4.3,140.7,23.3,22,5499
9.3,6.7,138.3,25.7,23,5499
5.6,4.0,141.0,29.4,24,5499
10.8,8.7,136.3,24.2,25,5499
7.1,2.7,142.3,27.9,26,5499
5.0,0.0,145.0,30.0,27,5499
4.4,1.8,143.2,30.6,28,5499
6.4,7.6,137.4,28.6,29,5499
4.5,0.7,144.3,30.5,30,5499
7.0,1.4,143.6,28.0,31,5499
3.5,4.1,140.9,31.5,32,5499
4.2,3.6,141.4,30.8,33,5499
4.0,2.6,142.4,31.0,34,5499
4.1,1.9,143.1,30.9,35,5499
3.2,4.6,140.4,31.8,36,5499
3.4,6.0,139.0,31.6,37,5499
4.5,0.7,144.3,30.5,38,5499
4.4,1.8,143.2,30.6,39,5499
4.5,2.2,142.8,30.5,40,5499
4.2,1.2,143.8,30.8,41,5499
4.0,1.8,143.2,31.0,42,5499
4.4,1.0,144.0,30.6,43,5499
3.4,3.2,141.8,31.6,44,5499
3.2,5.3,139.7,31.8,45,5499
4.0,1.4,143.6,31.0,46,5499
5.1,3.8,141.2,29.9,47,5499
3.0,3.8,141.2,32.0,48,5499
4.5,1.5,143.5,30.5,49,5499
2.7,2.5,142.5,32.3,50,5499
3.3,2.7,142.3,31.7,51,5499
3.7,2.3,142.7,31.3,52,5499
3.2,3.2,141.8,31.8,53,5499
2.9,2.5,142.5,32.1,54,5499
3.6,3.0,142.0,31.4,55,5499
3.7,2.2,142.8,31.3,56,5499
3.9,1.9,143.1,31.1,57,5499
3.0,2.6,142.4,32.0,58,5499
3.2,2.0,143.0,31.8,59,5499
3.1,3.1,141.9,31.9,60,5499
4.5,1.5,143.5,30.5,61,5499
3.9,2.3,142.7,31.1,62,5499
3.8,1.1,143.9,31.2,63,5499
4.5,0.9,144.1,30.5,64,5499
3.7,2.1,142.9,31.3,65,5499
3.8,2.6,142.4,31.2,66,5499
2.2,4.2,140.8,32.8,67,5499
3.5,3.7,141.3,31.5,68,5499
3.3,1.9,143.1,31.7,69,5499
3.2,3.8,141.2,31.8,70,5499
2.9,1.7,143.3,32.1,71,5499
