FN,FP,TN,TP,sr,t
12398.4,5522.5,49702.5,1377.6,1,49.749
7801.0,6029.9,49195.1,5975.0,691,49.749
8043.6,5574.8,49650.2,5732.4,1381,49.749
7998.2,5437.3,49787.7,5777.8,2071,49.749
7917.8,5469.1,49755.9,5858.2,2761,49.749
8090.2,5263.4,49961.6,5685.8,3451,49.749
8021.9,5291.5,49933.5,5754.1,4141,49.749
7900.5,5396.1,49828.9,5875.5,4831,49.749
7868.8,5423.4,49801.6,5907.2,5521,49.749
7935.3,5341.9,49883.1,5840.7,6211,49.749
7935.1,5280.8,49944.2,5840.9,6901,49.749
7933.3,5265.8,49959.2,5842.7,7591,49.749
7979.6,5225.1,49999.9,5796.4,8281,49.749
7971.9,5221.1,50003.9,5804.1,8971,49.749
7940.4,5227.6,49997.4,5835.6,9661,49.749
8007.7,5169.1,50055.9,5768.3,10351,49.749
8046.8,5118.7,50106.3,5729.2,11041,49.749
8064.8,5097.4,50127.6,5711.2,11731,49.749
8081.1,5065.5,50159.5,5694.9,12421,49.749
8052.2,5082.4,50142.6,5723.8,13111,49.749
8046.3,5092.0,50133.0,5729.7,13801,49.749
8090.9,5029.1,50195.9,5685.1,14491,49.749
8146.6,4973.3,50251.7,5629.4,15181,49.749
8085.9,5040.3,50184.7,5690.1,15871,49.749
8077.7,5030.3,50194.7,5698.3,16561,49.749
8096.3,5022.6,50202.4,5679.7,17251,49.749
8156.3,4945.1,50279.9,5619.7,17941,49.749
8216.1,4899.3,50325.7,5559.9,18631,49.749
8170.0,4929.1,50295.9,5606.0,19321,49.749
8226.0,4873.1,50351.9,5550.0,20011,49.749
8167.9,4923.4,50301.6,5608.1,20701,49.749
8224.5,4864.1,50360.9,5551.5,21391,49.749
8225.1,4860.9,50364.1,5550.9,22081,49.749
8217.8,4857.7,50367.3,5558.2,22771,49.749
8272.8,4805.4,50419.6,5503.2,23461,49.749
8245.9,4839.2,50385.8,5530.1,24151,49.749
8294.0,4780.8,50444.2,5482.0,24841,49.749
8298.7,4776.7,50448.3,5477.3,25531,49.749
8302.5,4766.6,50458.4,5473.5,26221,49.749
8311.9,4758.1,50466.9,5464.1,26911,49.749
8297.8,4770.0,50455.0,5478.2,27601,49.749
8327.5,4736.9,50488.1,5448.5,28291,49.749
8368.9,4692.5,50532.5,5407.1,28981,49.749
8412.3,4648.3,50576.7,5363.7,29671,49.749
8389.6,4671.3,50553.7,5386.4,30361,49.749
8396.8,4665.2,50559.8,5379.2,31051,49.749
8365.0,4689.7,50535.3,5411.0,31741,49.749
8433.4,4621.6,50603.4,5342.6,32431,49.749
8447.3,4613.0,50612.0,5328.7,33121,49.749
8460.6,4593.6,50631.4,5315.4,33811,49.749
8524.0,4528.0,50697.0,5252.0,34501,49.749
8462.1,4593.7,50631.3,5313.9,35191,49.749
8516.1,4534.9,50690.1,5259.9,35881,49.749
8496.7,4554.0,50671.0,5279.3,36571,49.749
8543.8,4504.3,50720.7,5232.2,37261,49.749
8600.8,4446.4,50778.6,5175.2,37951,49.749
8608.8,4439.6,50785.4,5167.2,38641,49.749
8639.7,4406.6,50818.4,5136.3,39331,49.749
8598.6,4447.7,50777.3,5177.4,40021,49.749
8708.8,4342.2,50882.8,5067.2,40711,49.749
8700.5,4344.9,50880.1,5075.5,41401,49.749
8749.2,4294.8,50930.2,5026.8,42091,49.749
8730.6,4315.3,50909.7,5045.4,42781,49.749
8830.4,4212.0,51013.0,4945.6,43471,49.749
8802.4,4239.1,50985.9,4973.6,44161,49.749
8893.8,4150.1,51074.9,4882.2,44851,49.749
8926.1,4114.3,51110.7,4849.9,45541,49.749
8967.9,4073.7,51151.3,4808.1,46231,49.749
9012.3,4030.4,51194.6,4763.7,46921,49.749
9045.0,3996.0,51229.0,4731.0,47611,49.749
9084.9,3952.7,51272.3,4691.1,48301,49.749
9116.7,3923.8,51301.2,4659.3,48991,49.749
9211.8,3823.5,51401.5,4564.2,49681,49.749
9248.3,3788.0,51437.0,4527.7,50371,49.749
9321.5,3715.3,51509.7,4454.5,51061,49.749
9401.4,3632.8,51592.2,4374.6,51751,49.749
9499.6,3536.6,51688.4,4276.4,52441,49.749
9564.0,3470.8,51754.2,4212.0,53131,49.749
9607.6,3427.1,51797.9,4168.4,53821,49.749
9707.0,3325.3,51899.7,4069.0,54511,49.749
9847.1,3183.9,52041.1,3928.9,55201,49.749
9879.4,3154.1,52070.9,3896.6,55891,49.749
9989.3,3042.9,52182.1,3786.7,56581,49.749
10100.6,2930.8,52294.2,3675.4,57271,49.749
10220.9,2810.7,52414.3,3555.1,57961,49.749
10354.5,2675.2,52549.8,3421.5,58651,49.749
10449.4,2580.3,52644.7,3326.6,59341,49.749
10566.3,2463.1,52761.9,3209.7,60031,49.749
10733.2,2294.8,52930.2,3042.8,60721,49.749
10854.2,2175.1,53049.9,2921.8,61411,49.749
11026.2,2001.6,53223.4,2749.8,62101,49.749
11212.2,1815.7,53409.3,2563.8,62791,49.749
11340.0,1686.8,53538.2,2436.0,63481,49.749
11530.2,1495.6,53729.4,2245.8,64171,49.749
11705.1,1319.6,53905.4,2070.9,64861,49.749
11902.6,1123.1,54101.9,1873.4,65551,49.749
12121.6,904.1,54320.9,1654.4,66241,49.749
12315.2,709.5,54515.5,1460.8,66931,49.749
12538.8,484.9,54740.1,1237.2,67621,49.749
12764.4,259.5,54965.5,1011.6,68311,49.749
13012.8,10.3,55214.7,763.2,69001,49.749
