FN,FP,TN,TP,sr,t
12380.4,5524.5,49720.5,1375.6,1,0.9955505
8327.3,5568.8,49676.2,5428.7,691,0.9955505
7862.6,5664.0,49581.0,5893.4,1381,0.9955505
8081.9,5454.7,49790.3,5674.1,2071,0.9955505
7993.0,5477.9,49767.1,5763.0,2761,0.9955505
7894.9,5514.4,49730.6,5861.1,3451,0.9955505
8037.1,5343.3,49901.7,5718.9,4141,0.9955505
8076.4,5258.6,49986.4,5679.6,4831,0.9955505
7977.5,5301.3,49943.7,5778.5,5521,0.9955505
7908.3,5394.1,49850.9,5847.7,6211,0.9955505
7945.3,5304.0,49941.0,5810.7,6901,0.9955505
7944.7,5290.4,49954.6,5811.3,7591,0.9955505
8038.5,5197.6,50047.4,5717.5,8281,0.9955505
7965.7,5247.5,49997.5,5790.3,8971,0.9955505
8070.3,5136.7,50108.3,5685.7,9661,0.9955505
8038.9,5140.3,50104.7,5717.1,10351,0.9955505
8000.2,5162.3,50082.7,5755.8,11041,0.9955505
8146.7,5023.5,50221.5,5609.3,11731,0.9955505
8048.2,5102.1,50142.9,5707.8,12421,0.9955505
7984.6,5151.3,50093.7,5771.4,13111,0.9955505
8075.5,5067.5,50177.5,5680.5,13801,0.9955505
8045.5,5095.1,50149.9,5710.5,14491,0.9955505
8096.0,5027.0,50218.0,5660.0,15181,0.9955505
8163.8,4944.8,50300.2,5592.2,15871,0.9955505
8110.1,4999.4,50245.6,5645.9,16561,0.9955505
8139.4,4963.0,50282.0,5616.6,17251,0.9955505
8182.4,4909.4,50335.6,5573.6,17941,0.9955505
8234.4,4855.8,50389.2,5521.6,18631,0.9955505
8018.1,5056.0,50189.0,5737.9,19321,0.9955505
8181.8,4897.1,50347.9,5574.2,20011,0.9955505
8144.2,4922.7,50322.3,5611.8,20701,0.9955505
8212.7,4854.1,50390.9,5543.3,21391,0.9955505
8197.3,4870.6,50374.4,5558.7,22081,0.9955505
8262.9,4793.6,50451.4,5493.1,22771,0.9955505
8290.0,4771.6,50473.4,5466.0,23461,0.9955505
8228.2,4825.9,50419.1,5527.8,24151,0.9955505
8225.4,4818.4,50426.6,5530.6,24841,0.9955505
8259.6,4777.4,50467.6,5496.4,25531,0.9955505
8318.6,4715.2,50529.8,5437.4,26221,0.9955505
8318.5,4719.6,50525.4,5437.5,26911,0.9955505
8259.4,4772.1,50472.9,5496.6,27601,0.9955505
8283.8,4748.1,50496.9,5472.2,28291,0.9955505
8335.8,4689.2,50555.8,5420.2,28981,0.9955505
8315.9,4710.5,50534.5,5440.1,29671,0.9955505
8352.7,4667.0,50578.0,5403.3,30361,0.9955505
8350.1,4668.7,50576.3,5405.9,31051,0.9955505
8404.2,4614.8,50630.2,5351.8,31741,0.9955505
8455.9,4565.3,50679.7,5300.1,32431,0.9955505
8417.5,4601.2,50643.8,5338.5,33121,0.9955505
8450.7,4561.8,50683.2,5305.3,33811,0.9955505
8454.1,4560.9,50684.1,5301.9,34501,0.9955505
8485.1,4521.6,50723.4,5270.9,35191,0.9955505
8485.3,4525.6,50719.4,5270.7,35881,0.9955505
8492.8,4512.1,50732.9,5263.2,36571,0.9955505
8558.4,4449.5,50795.5,5197.6,37261,0.9955505
8523.3,4477.7,50767.3,5232.7,37951,0.9955505
8564.8,4438.0,50807.0,5191.2,38641,0.9955505
8532.4,4470.6,50774.4,5223.6,39331,0.9955505
8656.7,4344.8,50900.2,5099.3,40021,0.9955505
8679.5,4321.7,50923.3,5076.5,40711,0.9955505
8697.6,4301.9,50943.1,5058.4,41401,0.9955505
8737.9,4259.7,50985.3,5018.1,42091,0.9955505
8699.5,4297.5,50947.5,5056.5,42781,0.9955505
8760.8,4234.6,51010.4,4995.2,43471,0.9955505
8799.9,4192.3,51052.7,4956.1,44161,0.9955505
8812.4,4180.8,51064.2,4943.6,44851,0.9955505
8854.8,4134.4,51110.6,4901.2,45541,0.9955505
8944.8,4042.9,51202.1,4811.2,46231,0.9955505
8988.3,4004.3,51240.7,4767.7,46921,0.9955505
9002.5,3986.2,51258.8,4753.5,47611,0.9955505
9051.3,3938.3,51306.7,4704.7,48301,0.9955505
9094.3,3893.1,51351.9,4661.7,48991,0.9955505
9184.6,3800.2,51444.8,4571.4,49681,0.9955505
9225.7,3758.8,51486.2,4530.3,50371,0.9955505
9298.7,3687.7,51557.3,4457.3,51061,0.9955505
9399.1,3584.7,51660.3,4356.9,51751,0.9955505
9409.9,3573.7,51671.3,4346.1,52441,0.9955505
9505.4,3475.9,51769.1,4250.6,53131,0.9955505
9596.0,3385.6,51859.4,4160.0,53821,0.9955505
9662.7,3317.3,51927.7,4093.3,54511,0.9955505
9785.0,3193.5,52051.5,3971.0,55201,0.9955505
9844.3,3134.5,52110.5,3911.7,55891,0.9955505
9960.9,3018.0,52227.0,3795.1,56581,0.9955505
10049.4,2924.9,52320.1,3706.6,57271,0.9955505
10216.0,2760.6,52484.4,3540.0,57961,0.9955505
10278.2,2696.8,52548.2,3477.8,58651,0.9955505
10415.3,2561.2,52683.8,3340.7,59341,0.9955505
10528.2,2446.8,52798.2,3227.8,60031,0.9955505
10667.8,2306.5,52938.5,3088.2,60721,0.9955505
10812.2,2161.2,53083.8,2943.8,61411,0.9955505
10964.9,2008.0,53237.0,2791.1,62101,0.9955505
11144.1,1828.7,53416.3,2611.9,62791,0.9955505
11299.0,1670.6,53574.4,2457.0,63481,0.9955505
11491.8,1477.9,53767.1,2264.2,64171,0.9955505
11651.9,1316.2,53928.8,2104.1,64861,0.9955505
11846.0,1122.2,54122.8,1910.0,65551,0.9955505
12048.9,917.6,54327.4,1707.1,66241,0.9955505
12248.9,717.6,54527.4,1507.1,66931,0.9955505
12483.3,481.6,54763.4,1272.7,67621,0.9955505
12714.3,249.6,54995.4,1041.7,68311,0.9955505
12960.3,2.1,55242.9,795.7,69001,0.9955505
