FN,FP,TN,TP,sr,t
8270.4,22086.8,33130.2,5513.6,1,46.1
4325.3,2981.3,52235.7,9458.7,691,46.1
3913.4,2744.7,52472.3,9870.6,1381,46.1
3841.4,2772.2,52444.8,9942.6,2071,46.1
3862.7,2538.3,52678.7,9921.3,2761,46.1
3720.7,2562.1,52654.9,10063.3,3451,46.1
3756.4,2497.7,52719.3,10027.6,4141,46.1
3715.3,2442.5,52774.5,10068.7,4831,46.1
3676.3,2441.2,52775.8,10107.7,5521,46.1
3635.0,2459.9,52757.1,10149.0,6211,46.1
3675.7,2425.0,52792.0,10108.3,6901,46.1
3638.7,2406.7,52810.3,10145.3,7591,46.1
3619.6,2320.6,52896.4,10164.4,8281,46.1
3637.3,2274.0,52943.0,10146.7,8971,46.1
3570.3,2385.9,52831.1,10213.7,9661,46.1
3572.9,2356.5,52860.5,10211.1,10351,46.1
3511.1,2366.9,52850.1,10272.9,11041,46.1
3547.6,2312.1,52904.9,10236.4,11731,46.1
3501.7,2350.7,52866.3,10282.3,12421,46.1
3496.1,2334.6,52882.4,10287.9,13111,46.1
3540.8,2276.1,52940.9,10243.2,13801,46.1
3547.1,2260.2,52956.8,10236.9,14491,46.1
3555.3,2228.3,52988.7,10228.7,15181,46.1
3548.6,2222.2,52994.8,10235.4,15871,46.1
3547.0,2205.4,53011.6,10237.0,16561,46.1
3494.7,2238.3,52978.7,10289.3,17251,46.1
3511.5,2243.4,52973.6,10272.5,17941,46.1
3521.7,2210.7,53006.3,10262.3,18631,46.1
3551.0,2168.6,53048.4,10233.0,19321,46.1
3541.9,2162.8,53054.2,10242.1,20011,46.1
3514.0,2174.0,53043.0,10270.0,20701,46.1
3544.6,2129.8,53087.2,10239.4,21391,46.1
3537.4,2145.1,53071.9,10246.6,22081,46.1
3529.9,2136.6,53080.4,10254.1,22771,46.1
3542.1,2125.8,53091.2,10241.9,23461,46.1
3544.9,2131.4,53085.6,10239.1,24151,46.1
3537.1,2102.3,53114.7,10246.9,24841,46.1
3563.5,2063.2,53153.8,10220.5,25531,46.1
3521.0,2098.0,53119.0,10263.0,26221,46.1
3548.8,2075.0,53142.0,10235.2,26911,46.1
3543.5,2073.4,53143.6,10240.5,27601,46.1
3565.8,2044.4,53172.6,10218.2,28291,46.1
3546.2,2070.2,53146.8,10237.8,28981,46.1
3543.4,2053.9,53163.1,10240.6,29671,46.1
3533.5,2059.0,53158.0,10250.5,30361,46.1
3559.9,2037.8,53179.2,10224.1,31051,46.1
3522.9,2066.2,53150.8,10261.1,31741,46.1
3572.6,2011.0,53206.0,10211.4,32431,46.1
3550.4,2028.1,53188.9,10233.6,33121,46.1
3561.9,2008.9,53208.1,10222.1,33811,46.1
3561.4,1994.9,53222.1,10222.6,34501,46.1
3572.3,1977.1,53239.9,10211.7,35191,46.1
3596.1,1961.1,53255.9,10187.9,35881,46.1
3585.9,1952.8,53264.2,10198.1,36571,46.1
3587.2,1955.9,53261.1,10196.8,37261,46.1
3582.6,1956.3,53260.7,10201.4,37951,46.1
3607.5,1920.7,53296.3,10176.5,38641,46.1
3607.9,1920.1,53296.9,10176.1,39331,46.1
3615.7,1907.0,53310.0,10168.3,40021,46.1
3599.8,1912.8,53304.2,10184.2,40711,46.1
3620.9,1892.9,53324.1,10163.1,41401,46.1
3664.0,1844.1,53372.9,10120.0,42091,46.1
3651.6,1857.1,53359.9,10132.4,42781,46.1
3663.9,1834.8,53382.2,10120.1,43471,46.1
3678.8,1816.0,53401.0,10105.2,44161,46.1
3699.6,1794.5,53422.5,10084.4,44851,46.1
3688.2,1808.3,53408.7,10095.8,45541,46.1
3736.8,1748.5,53468.5,10047.2,46231,46.1
3715.9,1767.7,53449.3,10068.1,46921,46.1
3734.6,1743.0,53474.0,10049.4,47611,46.1
3743.6,1728.5,53488.5,10040.4,48301,46.1
3760.3,1708.8,53508.2,10023.7,48991,46.1
3795.6,1664.3,53552.7,9988.4,49681,46.1
3804.0,1658.4,53558.6,9980.0,50371,46.1
3865.8,1595.9,53621.1,9918.2,51061,46.1
3865.3,1591.8,53625.2,9918.7,51751,46.1
3885.8,1561.9,53655.1,9898.2,52441,46.1
3921.7,1525.1,53691.9,9862.3,53131,46.1
3959.6,1488.2,53728.8,9824.4,53821,46.1
3978.5,1461.3,53755.7,9805.5,54511,46.1
4022.2,1410.5,53806.5,9761.8,55201,46.1
4044.1,1392.5,53824.5,9739.9,55891,46.1
4081.7,1348.8,53868.2,9702.3,56581,46.1
4124.8,1302.7,53914.3,9659.2,57271,46.1
4178.6,1248.8,53968.2,9605.4,57961,46.1
4195.1,1222.2,53994.8,9588.9,58651,46.1
4248.0,1168.4,54048.6,9536.0,59341,46.1
4318.9,1092.5,54124.5,9465.1,60031,46.1
4385.1,1023.7,54193.3,9398.9,60721,46.1
4420.3,989.7,54227.3,9363.7,61411,46.1
4488.3,913.3,54303.7,9295.7,62101,46.1
4551.7,846.9,54370.1,9232.3,62791,46.1
4608.0,790.8,54426.2,9176.0,63481,46.1
4666.4,727.3,54489.7,9117.6,64171,46.1
4752.3,640.6,54576.4,9031.7,64861,46.1
4821.0,568.3,54648.7,8963.0,65551,46.1
4882.2,504.7,54712.3,8901.8,66241,46.1
4984.3,401.3,54815.7,8799.7,66931,46.1
5079.7,301.5,54915.5,8704.3,67621,46.1
5167.2,214.6,55002.4,8616.8,68311,46.1
5265.8,115.8,55101.2,8518.2,69001,46.1
