FN,FP,TN,TP,sr,t
204.7,461.7,51.3,1842.3,1,0.528053435897436
384.1,180.3,332.7,1662.9,26,0.528053435897436
190.6,146.8,366.2,1856.4,51,0.528053435897436
143.7,125.5,387.5,1903.3,76,0.528053435897436
125.4,92.0,421.0,1921.6,101,0.528053435897436
74.1,73.5,439.5,1972.9,126,0.528053435897436
103.5,66.1,446.9,1943.5,151,0.528053435897436
90.1,45.5,467.5,1956.9,176,0.528053435897436
54.7,35.7,477.3,1992.3,201,0.528053435897436
70.9,39.1,473.9,1976.1,226,0.528053435897436
38.8,31.6,481.4,2008.2,251,0.528053435897436
71.2,43.8,469.2,1975.8,276,0.528053435897436
49.9,16.1,496.9,1997.1,301,0.528053435897436
46.2,41.0,472.0,2000.8,326,0.528053435897436
55.7,33.7,479.3,1991.3,351,0.528053435897436
35.3,29.9,483.1,2011.7,376,0.528053435897436
44.8,29.0,484.0,2002.2,401,0.528053435897436
54.9,34.7,478.3,1992.1,426,0.528053435897436
21.1,14.5,498.5,2025.9,451,0.528053435897436
38.7,32.3,480.7,2008.3,476,0.528053435897436
32.0,22.6,490.4,2015.0,501,0.528053435897436
21.6,14.8,498.2,2025.4,526,0.528053435897436
19.6,16.6,496.4,2027.4,551,0.528053435897436
30.5,22.1,490.9,2016.5,576,0.528053435897436
23.7,14.9,498.1,2023.3,601,0.528053435897436
20.1,12.3,500.7,2026.9,626,0.528053435897436
21.0,13.6,499.4,2026.0,651,0.528053435897436
39.1,25.1,487.9,2007.9,676,0.528053435897436
23.4,11.2,501.8,2023.6,701,0.528053435897436
31.5,20.9,492.1,2015.5,726,0.528053435897436
23.0,9.9,503.1,2024.0,751,0.528053435897436
20.8,11.6,501.4,2026.2,776,0.528053435897436
22.1,13.5,499.5,2024.9,801,0.528053435897436
25.2,12.4,500.6,2021.8,826,0.528053435897436
13.0,11.4,501.6,2034.0,851,0.528053435897436
20.2,12.2,500.8,2026.8,876,0.528053435897436
14.9,10.1,502.9,2032.1,901,0.528053435897436
24.0,18.0,495.0,2023.0,926,0.528053435897436
24.8,17.6,495.4,2022.2,951,0.528053435897436
16.7,8.7,504.3,2030.3,976,0.528053435897436
13.6,8.6,504.4,2033.4,1001,0.528053435897436
20.2,10.7,502.3,2026.8,1026,0.528053435897436
15.4,6.7,506.3,2031.6,1051,0.528053435897436
16.8,5.0,508.0,2030.2,1076,0.528053435897436
14.1,9.7,503.3,2032.9,1101,0.528053435897436
18.8,9.8,503.2,2028.2,1126,0.528053435897436
16.0,10.1,502.9,2031.0,1151,0.528053435897436
17.6,6.8,506.2,2029.4,1176,0.528053435897436
13.9,7.9,505.1,2033.1,1201,0.528053435897436
13.0,8.1,504.9,2034.0,1226,0.528053435897436
17.3,7.9,505.1,2029.7,1251,0.528053435897436
14.0,6.0,507.0,2033.0,1276,0.528053435897436
13.0,5.9,507.1,2034.0,1301,0.528053435897436
14.6,3.9,509.1,2032.4,1326,0.528053435897436
14.2,7.2,505.8,2032.8,1351,0.528053435897436
13.9,4.1,508.9,2033.1,1376,0.528053435897436
13.7,6.7,506.3,2033.3,1401,0.528053435897436
12.7,5.3,507.7,2034.3,1426,0.528053435897436
12.8,4.6,508.4,2034.2,1451,0.528053435897436
13.0,6.1,506.9,2034.0,1476,0.528053435897436
10.9,6.2,506.8,2036.1,1501,0.528053435897436
12.7,6.5,506.5,2034.3,1526,0.528053435897436
11.8,5.9,507.1,2035.2,1551,0.528053435897436
11.9,5.6,507.4,2035.1,1576,0.528053435897436
11.1,5.9,507.1,2035.9,1601,0.528053435897436
14.2,4.9,508.1,2032.8,1626,0.528053435897436
11.4,4.1,508.9,2035.6,1651,0.528053435897436
10.3,5.5,507.5,2036.7,1676,0.528053435897436
9.2,4.5,508.5,2037.8,1701,0.528053435897436
11.5,5.4,507.6,2035.5,1726,0.528053435897436
11.9,5.3,507.7,2035.1,1751,0.528053435897436
10.7,5.4,507.6,2036.3,1776,0.528053435897436
11.1,4.0,509.0,2035.9,1801,0.528053435897436
12.7,4.2,508.8,2034.3,1826,0.528053435897436
12.4,4.4,508.6,2034.6,1851,0.528053435897436
11.1,4.6,508.4,2035.9,1876,0.528053435897436
11.4,3.4,509.6,2035.6,1901,0.528053435897436
11.0,3.8,509.2,2036.0,1926,0.528053435897436
10.6,3.0,510.0,2036.4,1951,0.528053435897436
10.2,4.2,508.8,2036.8,1976,0.528053435897436
9.6,2.2,510.8,2037.4,2001,0.528053435897436
10.4,4.1,508.9,2036.6,2026,0.528053435897436
9.3,2.9,510.1,2037.7,2051,0.528053435897436
9.3,2.3,510.7,2037.7,2076,0.528053435897436
9.5,3.0,510.0,2037.5,2101,0.528053435897436
12.2,3.6,509.4,2034.8,2126,0.528053435897436
10.3,2.4,510.6,2036.7,2151,0.528053435897436
9.3,3.4,509.6,2037.7,2176,0.528053435897436
9.6,3.2,509.8,2037.4,2201,0.528053435897436
9.0,2.6,510.4,2038.0,2226,0.528053435897436
9.0,3.3,509.7,2038.0,2251,0.528053435897436
8.4,2.6,510.4,2038.6,2276,0.528053435897436
8.7,3.7,509.3,2038.3,2301,0.528053435897436
10.4,2.8,510.2,2036.6,2326,0.528053435897436
9.3,2.2,510.8,2037.7,2351,0.528053435897436
8.6,2.0,511.0,2038.4,2376,0.528053435897436
9.4,2.2,510.8,2037.6,2401,0.528053435897436
7.8,2.0,511.0,2039.2,2426,0.528053435897436
9.2,1.9,511.1,2037.8,2451,0.528053435897436
8.9,1.9,511.1,2038.1,2476,0.528053435897436
9.8,1.5,511.5,2037.2,2501,0.528053435897436
8.5,1.7,511.3,2038.5,2526,0.528053435897436
8.9,1.4,511.6,2038.1,2551,0.528053435897436
