FN,FP,TN,TP,sr,t
11038.6,11046.4,2761.6,44154.4,1,39.025
5866.1,4458.1,9349.9,49326.9,691,39.025
5895.8,4038.1,9769.9,49297.2,1381,39.025
5924.1,3913.6,9894.4,49268.9,2071,39.025
5735.0,3943.0,9865.0,49458.0,2761,39.025
5606.8,4053.5,9754.5,49586.2,3451,39.025
5668.0,3966.6,9841.4,49525.0,4141,39.025
5728.0,3896.1,9911.9,49465.0,4831,39.025
5751.7,3813.1,9994.9,49441.3,5521,39.025
5726.8,3791.1,10016.9,49466.2,6211,39.025
5759.8,3782.3,10025.7,49433.2,6901,39.025
5748.1,3772.0,10036.0,49444.9,7591,39.025
5714.5,3770.4,10037.6,49478.5,8281,39.025
5697.6,3772.3,10035.7,49495.4,8971,39.025
5807.6,3659.5,10148.5,49385.4,9661,39.025
5800.5,3654.4,10153.6,49392.5,10351,39.025
5725.7,3744.5,10063.5,49467.3,11041,39.025
5711.4,3729.4,10078.6,49481.6,11731,39.025
5785.8,3636.0,10172.0,49407.2,12421,39.025
5770.5,3655.2,10152.8,49422.5,13111,39.025
5756.8,3670.4,10137.6,49436.2,13801,39.025
5798.6,3605.7,10202.3,49394.4,14491,39.025
5766.5,3629.2,10178.8,49426.5,15181,39.025
5730.5,3679.7,10128.3,49462.5,15871,39.025
5794.0,3599.7,10208.3,49399.0,16561,39.025
5836.0,3552.3,10255.7,49357.0,17251,39.025
5852.4,3529.9,10278.1,49340.6,17941,39.025
5849.7,3515.1,10292.9,49343.3,18631,39.025
5814.5,3553.8,10254.2,49378.5,19321,39.025
5833.6,3531.9,10276.1,49359.4,20011,39.025
5842.0,3528.5,10279.5,49351.0,20701,39.025
5911.4,3453.7,10354.3,49281.6,21391,39.025
5856.4,3495.3,10312.7,49336.6,22081,39.025
5858.9,3496.3,10311.7,49334.1,22771,39.025
5872.4,3474.2,10333.8,49320.6,23461,39.025
5893.7,3446.3,10361.7,49299.3,24151,39.025
5894.3,3444.2,10363.8,49298.7,24841,39.025
5942.8,3395.1,10412.9,49250.2,25531,39.025
5902.6,3429.8,10378.2,49290.4,26221,39.025
5948.1,3388.3,10419.7,49244.9,26911,39.025
5971.8,3362.2,10445.8,49221.2,27601,39.025
5983.5,3347.2,10460.8,49209.5,28291,39.025
5966.6,3363.5,10444.5,49226.4,28981,39.025
5969.4,3355.9,10452.1,49223.6,29671,39.025
5964.1,3365.7,10442.3,49228.9,30361,39.025
5964.3,3363.2,10444.8,49228.7,31051,39.025
6026.4,3293.3,10514.7,49166.6,31741,39.025
6019.3,3301.0,10507.0,49173.7,32431,39.025
6039.7,3274.6,10533.4,49153.3,33121,39.025
6034.8,3280.7,10527.3,49158.2,33811,39.025
6053.7,3260.5,10547.5,49139.3,34501,39.025
6093.1,3219.7,10588.3,49099.9,35191,39.025
6093.5,3214.3,10593.7,49099.5,35881,39.025
6047.6,3261.6,10546.4,49145.4,36571,39.025
6132.1,3178.1,10629.9,49060.9,37261,39.025
6126.3,3183.6,10624.4,49066.7,37951,39.025
6163.4,3140.9,10667.1,49029.6,38641,39.025
6155.0,3152.6,10655.4,49038.0,39331,39.025
6178.9,3127.8,10680.2,49014.1,40021,39.025
6181.0,3123.3,10684.7,49012.0,40711,39.025
6212.2,3091.3,10716.7,48980.8,41401,39.025
6223.9,3082.1,10725.9,48969.1,42091,39.025
6278.0,3026.8,10781.2,48915.0,42781,39.025
6272.4,3028.3,10779.7,48920.6,43471,39.025
6299.7,3002.3,10805.7,48893.3,44161,39.025
6329.9,2969.8,10838.2,48863.1,44851,39.025
6366.0,2931.1,10876.9,48827.0,45541,39.025
6384.3,2914.9,10893.1,48808.7,46231,39.025
6431.8,2865.5,10942.5,48761.2,46921,39.025
6469.0,2824.8,10983.2,48724.0,47611,39.025
6498.2,2798.3,11009.7,48694.8,48301,39.025
6555.7,2739.2,11068.8,48637.3,48991,39.025
6565.6,2728.5,11079.5,48627.4,49681,39.025
6597.5,2697.3,11110.7,48595.5,50371,39.025
6644.6,2650.4,11157.6,48548.4,51061,39.025
6679.5,2616.0,11192.0,48513.5,51751,39.025
6766.9,2526.9,11281.1,48426.1,52441,39.025
6819.0,2474.0,11334.0,48374.0,53131,39.025
6870.9,2423.0,11385.0,48322.1,53821,39.025
6926.7,2365.8,11442.2,48266.3,54511,39.025
6992.3,2298.9,11509.1,48200.7,55201,39.025
7073.6,2217.7,11590.3,48119.4,55891,39.025
7136.8,2153.2,11654.8,48056.2,56581,39.025
7207.6,2082.2,11725.8,47985.4,57271,39.025
7308.0,1980.6,11827.4,47885.0,57961,39.025
7370.3,1918.6,11889.4,47822.7,58651,39.025
7467.3,1823.1,11984.9,47725.7,59341,39.025
7536.8,1753.0,12055.0,47656.2,60031,39.025
7647.8,1639.0,12169.0,47545.2,60721,39.025
7777.2,1510.6,12297.4,47415.8,61411,39.025
7851.5,1436.5,12371.5,47341.5,62101,39.025
7972.3,1314.3,12493.7,47220.7,62791,39.025
8085.9,1200.9,12607.1,47107.1,63481,39.025
8207.7,1079.4,12728.6,46985.3,64171,39.025
8330.3,955.5,12852.5,46862.7,64861,39.025
8492.4,793.6,13014.4,46700.6,65551,39.025
8623.6,661.8,13146.2,46569.4,66241,39.025
8773.9,510.9,13297.1,46419.1,66931,39.025
8933.8,350.7,13457.3,46259.2,67621,39.025
9106.4,177.6,13630.4,46086.6,68311,39.025
9280.0,4.0,13804.0,45913.0,69001,39.025
