FN,FP,TN,TP,sr,t
35.2,62.4,41.6,52.8,1,1230
61.6,31.2,72.8,26.4,2,1230
44.0,52.0,52.0,44.0,3,1230
56.7,29.5,74.5,31.3,4,1230
35.2,30.4,73.6,52.8,5,1230
43.1,31.9,72.1,44.9,6,1230
44.8,30.4,73.6,43.2,7,1230
40.7,23.1,80.9,47.3,8,1230
48.7,18.3,85.7,39.3,9,1230
41.5,20.7,83.3,46.5,10,1230
25.8,14.6,89.4,62.2,11,1230
31.0,19.8,84.2,57.0,12,1230
33.3,15.7,88.3,54.7,13,1230
26.8,23.6,80.4,61.2,14,1230
25.5,13.5,90.5,62.5,15,1230
40.3,13.9,90.1,47.7,16,1230
25.6,19.2,84.8,62.4,17,1230
24.4,16.4,87.6,63.6,18,1230
18.0,15.6,88.4,70.0,19,1230
22.3,7.9,96.1,65.7,20,1230
30.7,11.5,92.5,57.3,21,1230
22.9,10.9,93.1,65.1,22,1230
17.8,7.4,96.6,70.2,23,1230
25.6,13.6,90.4,62.4,24,1230
19.0,6.2,97.8,69.0,25,1230
16.7,13.5,90.5,71.3,26,1230
19.5,5.1,98.9,68.5,27,1230
17.1,12.3,91.7,70.9,28,1230
21.4,6.2,97.8,66.6,29,1230
16.9,5.3,98.7,71.1,30,1230
18.0,11.6,92.4,70.0,31,1230
14.2,13.0,91.0,73.8,32,1230
18.6,6.6,97.4,69.4,33,1230
17.0,8.2,95.8,71.0,34,1230
14.8,10.8,93.2,73.2,35,1230
12.9,12.1,91.9,75.1,36,1230
14.5,9.7,94.3,73.5,37,1230
16.0,7.2,96.8,72.0,38,1230
13.8,12.2,91.8,74.2,39,1230
13.0,12.2,91.8,75.0,40,1230
14.6,9.4,94.6,73.4,41,1230
14.6,7.4,96.6,73.4,42,1230
16.0,5.2,98.8,72.0,43,1230
13.1,10.3,93.7,74.9,44,1230
14.1,9.3,94.7,73.9,45,1230
13.4,8.2,95.8,74.6,46,1230
14.4,7.6,96.4,73.6,47,1230
11.4,8.6,95.4,76.6,48,1230
13.6,7.6,96.4,74.4,49,1230
12.7,8.7,95.3,75.3,50,1230
12.0,10.4,93.6,76.0,51,1230
13.2,8.4,95.6,74.8,52,1230
13.0,7.4,96.6,75.0,53,1230
12.9,6.1,97.9,75.1,54,1230
11.9,9.1,94.9,76.1,55,1230
12.9,8.5,95.5,75.1,56,1230
12.5,6.1,97.9,75.5,57,1230
12.1,6.1,97.9,75.9,58,1230
14.2,7.4,96.6,73.8,59,1230
14.9,7.3,96.7,73.1,60,1230
14.5,5.3,98.7,73.5,61,1230
12.7,5.9,98.1,75.3,62,1230
13.7,6.1,97.9,74.3,63,1230
11.7,7.3,96.7,76.3,64,1230
13.3,6.9,97.1,74.7,65,1230
14.1,2.9,101.1,73.9,66,1230
12.4,4.8,99.2,75.6,67,1230
13.0,5.4,98.6,75.0,68,1230
12.6,6.2,97.8,75.4,69,1230
12.1,7.3,96.7,75.9,70,1230
12.0,4.8,99.2,76.0,71,1230
13.8,4.6,99.4,74.2,72,1230
13.5,5.5,98.5,74.5,73,1230
11.9,6.3,97.7,76.1,74,1230
12.8,5.2,98.8,75.2,75,1230
11.0,6.2,97.8,77.0,76,1230
11.5,5.5,98.5,76.5,77,1230
9.3,5.7,98.3,78.7,78,1230
12.1,3.7,100.3,75.9,79,1230
11.6,5.6,98.4,76.4,80,1230
10.8,7.2,96.8,77.2,81,1230
11.1,7.1,96.9,76.9,82,1230
11.2,7.2,96.8,76.8,83,1230
11.4,5.0,99.0,76.6,84,1230
11.4,4.6,99.4,76.6,85,1230
11.0,4.8,99.2,77.0,86,1230
9.8,5.4,98.6,78.2,87,1230
11.3,4.9,99.1,76.7,88,1230
12.9,4.5,99.5,75.1,89,1230
11.6,5.0,99.0,76.4,90,1230
11.1,3.9,100.1,76.9,91,1230
8.4,8.2,95.8,79.6,92,1230
9.8,6.6,97.4,78.2,93,1230
9.2,5.4,98.6,78.8,94,1230
10.9,5.3,98.7,77.1,95,1230
10.3,3.5,100.5,77.7,96,1230
9.8,5.4,98.6,78.2,97,1230
7.5,5.5,98.5,80.5,98,1230
9.6,5.2,98.8,78.4,99,1230
11.3,3.5,100.5,76.7,100,1230
9.0,6.4,97.6,79.0,101,1230
10.0,3.8,100.2,78.0,102,1230
9.0,4.2,99.8,79.0,103,1230
10.1,2.3,101.7,77.9,104,1230
10.6,3.8,100.2,77.4,105,1230
10.7,4.9,99.1,77.3,106,1230
9.0,4.4,99.6,79.0,107,1230
10.8,4.0,100.0,77.2,108,1230
10.0,5.0,99.0,78.0,109,1230
10.1,2.7,101.3,77.9,110,1230
9.9,4.3,99.7,78.1,111,1230
8.9,3.5,100.5,79.1,112,1230
8.4,5.2,98.8,79.6,113,1230
9.8,4.0,100.0,78.2,114,1230
10.3,1.9,102.1,77.7,115,1230
9.6,3.0,101.0,78.4,116,1230
10.2,3.0,101.0,77.8,117,1230
9.7,3.7,100.3,78.3,118,1230
8.0,4.6,99.4,80.0,119,1230
9.6,3.8,100.2,78.4,120,1230
9.4,2.4,101.6,78.6,121,1230
9.0,3.8,100.2,79.0,122,1230
9.5,2.7,101.3,78.5,123,1230
8.3,4.3,99.7,79.7,124,1230
9.5,3.3,100.7,78.5,125,1230
7.7,5.3,98.7,80.3,126,1230
9.0,2.2,101.8,79.0,127,1230
8.2,3.6,100.4,79.8,128,1230
7.9,3.3,100.7,80.1,129,1230
9.7,1.9,102.1,78.3,130,1230
9.7,2.5,101.5,78.3,131,1230
8.9,3.5,100.5,79.1,132,1230
6.5,4.3,99.7,81.5,133,1230
7.9,3.1,100.9,80.1,134,1230
7.3,2.3,101.7,80.7,135,1230
7.6,4.2,99.8,80.4,136,1230
7.8,2.6,101.4,80.2,137,1230
6.8,2.8,101.2,81.2,138,1230
8.1,3.1,100.9,79.9,139,1230
7.9,3.3,100.7,80.1,140,1230
