FN,FP,TN,TP,sr,t
44.5,45.5,45.5,44.5,1,5186
71.2,18.2,72.8,17.8,2,5186
26.7,63.7,27.3,62.3,3,5186
52.2,19.6,71.4,36.8,4,5186
29.6,6.6,84.4,59.4,5,5186
8.4,19.6,71.4,80.6,6,5186
0.0,1.0,90.0,89.0,7,5186
3.5,0.9,90.1,85.5,8,5186
5.3,0.9,90.1,83.7,9,5186
0.0,1.0,90.0,89.0,10,5186
0.0,1.0,90.0,89.0,11,5186
9.7,0.8,90.2,79.3,12,5186
2.9,0.9,90.1,86.1,13,5186
5.9,0.9,90.1,83.1,14,5186
7.3,0.7,90.3,81.7,15,5186
5.3,0.9,90.1,83.7,16,5186
7.0,0.8,90.2,82.0,17,5186
0.0,1.0,90.0,89.0,18,5186
0.0,1.0,90.0,89.0,19,5186
0.0,1.0,90.0,89.0,20,5186
1.9,0.9,90.1,87.1,21,5186
0.0,1.0,90.0,89.0,22,5186
0.0,1.0,90.0,89.0,23,5186
0.0,1.0,90.0,89.0,24,5186
1.1,0.9,90.1,87.9,25,5186
0.0,1.0,90.0,89.0,26,5186
1.4,0.9,90.1,87.6,27,5186
4.0,0.7,90.3,85.0,28,5186
0.0,1.0,90.0,89.0,29,5186
0.0,1.0,90.0,89.0,30,5186
3.7,0.8,90.2,85.3,31,5186
1.7,0.9,90.1,87.3,32,5186
4.3,0.7,90.3,84.7,33,5186
1.1,0.9,90.1,87.9,34,5186
1.1,0.9,90.1,87.9,35,5186
0.9,0.9,90.1,88.1,36,5186
0.9,0.9,90.1,88.1,37,5186
2.2,0.8,90.2,86.8,38,5186
3.1,0.7,90.3,85.9,39,5186
2.9,0.7,90.3,86.1,40,5186
3.0,0.7,90.3,86.0,41,5186
3.4,0.7,90.3,85.6,42,5186
0.5,0.9,90.1,88.5,43,5186
0.9,0.9,90.1,88.1,44,5186
0.9,0.9,90.1,88.1,45,5186
3.2,0.6,90.4,85.8,46,5186
0.9,0.9,90.1,88.1,47,5186
3.0,0.8,90.2,86.0,48,5186
3.1,0.6,90.4,85.9,49,5186
2.1,0.8,90.2,86.9,50,5186
2.9,0.7,90.3,86.1,51,5186
1.4,0.9,90.1,87.6,52,5186
2.2,0.8,90.2,86.8,53,5186
3.3,0.7,90.3,85.7,54,5186
2.0,0.8,90.2,87.0,55,5186
2.5,0.7,90.3,86.5,56,5186
1.7,0.8,90.2,87.3,57,5186
1.3,0.7,90.3,87.7,58,5186
1.3,0.8,90.2,87.7,59,5186
0.7,0.8,90.2,88.3,60,5186
1.4,0.8,90.2,87.6,61,5186
0.9,0.9,90.1,88.1,62,5186
1.5,0.8,90.2,87.5,63,5186
0.5,0.9,90.1,88.5,64,5186
2.5,0.7,90.3,86.5,65,5186
0.5,0.9,90.1,88.5,66,5186
0.9,0.9,90.1,88.1,67,5186
1.6,0.8,90.2,87.4,68,5186
0.5,0.9,90.1,88.5,69,5186
0.9,0.9,90.1,88.1,70,5186
0.7,0.8,90.2,88.3,71,5186
0.8,0.8,90.2,88.2,72,5186
