FN,FP,TN,TP,sr,t
1036.2,691.6,1037.4,690.8,1,312.586
448.8,347.9,1381.1,1278.2,35,312.586
391.8,327.8,1401.2,1335.2,69,312.586
371.2,208.6,1520.4,1355.8,103,312.586
273.7,238.5,1490.5,1453.3,137,312.586
260.4,203.3,1525.7,1466.6,171,312.586
260.5,179.2,1549.8,1466.5,205,312.586
253.3,137.5,1591.5,1473.7,239,312.586
234.7,146.6,1582.4,1492.3,273,312.586
225.2,130.8,1598.2,1501.8,307,312.586
208.8,131.8,1597.2,1518.2,341,312.586
197.9,137.5,1591.5,1529.1,375,312.586
206.8,122.3,1606.7,1520.2,409,312.586
201.1,115.8,1613.2,1525.9,443,312.586
201.1,98.5,1630.5,1525.9,477,312.586
179.9,122.2,1606.8,1547.1,511,312.586
179.9,107.7,1621.3,1547.1,545,312.586
175.3,102.6,1626.4,1551.7,579,312.586
173.5,98.3,1630.7,1553.5,613,312.586
160.3,104.5,1624.5,1566.7,647,312.586
151.2,112.8,1616.2,1575.8,681,312.586
167.5,86.4,1642.6,1559.5,715,312.586
161.9,85.9,1643.1,1565.1,749,312.586
164.0,85.1,1643.9,1563.0,783,312.586
142.0,88.7,1640.3,1585.0,817,312.586
146.9,77.4,1651.6,1580.1,851,312.586
143.0,76.7,1652.3,1584.0,885,312.586
138.8,85.6,1643.4,1588.2,919,312.586
129.7,88.0,1641.0,1597.3,953,312.586
122.6,78.6,1650.4,1604.4,987,312.586
130.6,83.5,1645.5,1596.4,1021,312.586
137.8,75.9,1653.1,1589.2,1055,312.586
141.1,72.7,1656.3,1585.9,1089,312.586
132.5,74.4,1654.6,1594.5,1123,312.586
123.1,67.9,1661.1,1603.9,1157,312.586
121.0,66.5,1662.5,1606.0,1191,312.586
128.4,66.0,1663.0,1598.6,1225,312.586
114.9,71.4,1657.6,1612.1,1259,312.586
111.8,73.5,1655.5,1615.2,1293,312.586
124.2,59.7,1669.3,1602.8,1327,312.586
117.8,61.2,1667.8,1609.2,1361,312.586
107.0,69.6,1659.4,1620.0,1395,312.586
109.0,60.8,1668.2,1618.0,1429,312.586
104.2,61.0,1668.0,1622.8,1463,312.586
103.2,60.5,1668.5,1623.8,1497,312.586
99.6,65.1,1663.9,1627.4,1531,312.586
104.3,58.7,1670.3,1622.7,1565,312.586
105.6,59.6,1669.4,1621.4,1599,312.586
101.4,56.3,1672.7,1625.6,1633,312.586
102.8,45.0,1684.0,1624.2,1667,312.586
96.3,51.8,1677.2,1630.7,1701,312.586
82.6,59.4,1669.6,1644.4,1735,312.586
90.2,50.1,1678.9,1636.8,1769,312.586
92.7,51.4,1677.6,1634.3,1803,312.586
92.8,47.5,1681.5,1634.2,1837,312.586
90.9,45.4,1683.6,1636.1,1871,312.586
83.5,47.0,1682.0,1643.5,1905,312.586
77.1,47.0,1682.0,1649.9,1939,312.586
83.9,48.3,1680.7,1643.1,1973,312.586
81.7,42.0,1687.0,1645.3,2007,312.586
79.6,46.4,1682.6,1647.4,2041,312.586
78.8,40.9,1688.1,1648.2,2075,312.586
80.6,39.5,1689.5,1646.4,2109,312.586
78.9,41.6,1687.4,1648.1,2143,312.586
74.0,36.2,1692.8,1653.0,2177,312.586
78.5,33.6,1695.4,1648.5,2211,312.586
74.3,37.8,1691.2,1652.7,2245,312.586
77.2,34.1,1694.9,1649.8,2279,312.586
73.5,36.0,1693.0,1653.5,2313,312.586
71.2,36.6,1692.4,1655.8,2347,312.586
71.9,30.2,1698.8,1655.1,2381,312.586
69.4,31.1,1697.9,1657.6,2415,312.586
69.5,31.3,1697.7,1657.5,2449,312.586
65.6,28.3,1700.7,1661.4,2483,312.586
65.1,31.8,1697.2,1661.9,2517,312.586
60.8,32.6,1696.4,1666.2,2551,312.586
63.5,26.0,1703.0,1663.5,2585,312.586
61.5,25.8,1703.2,1665.5,2619,312.586
60.2,28.4,1700.6,1666.8,2653,312.586
58.4,26.4,1702.6,1668.6,2687,312.586
59.4,24.6,1704.4,1667.6,2721,312.586
62.1,23.4,1705.6,1664.9,2755,312.586
58.3,25.8,1703.2,1668.7,2789,312.586
53.4,27.1,1701.9,1673.6,2823,312.586
54.4,22.2,1706.8,1672.6,2857,312.586
52.2,22.4,1706.6,1674.8,2891,312.586
56.2,19.5,1709.5,1670.8,2925,312.586
49.5,22.8,1706.2,1677.5,2959,312.586
49.5,19.1,1709.9,1677.5,2993,312.586
50.6,16.9,1712.1,1676.4,3027,312.586
49.9,16.9,1712.1,1677.1,3061,312.586
49.0,17.4,1711.6,1678.0,3095,312.586
49.4,16.5,1712.5,1677.6,3129,312.586
47.9,14.8,1714.2,1679.1,3163,312.586
46.5,12.9,1716.1,1680.5,3197,312.586
44.4,12.5,1716.5,1682.6,3231,312.586
43.5,11.5,1717.5,1683.5,3265,312.586
44.1,9.5,1719.5,1682.9,3299,312.586
42.6,9.4,1719.6,1684.4,3333,312.586
42.9,9.8,1719.2,1684.1,3367,312.586
42.6,7.5,1721.5,1684.4,3401,312.586
41.0,7.3,1721.7,1686.0,3435,312.586
