FN,FP,TN,TP,sr,t
2156.8,2157.8,8631.2,539.2,1,45.168
1240.3,1099.2,9689.8,1455.7,135,45.168
953.5,792.8,9996.2,1742.5,269,45.168
900.7,561.1,10227.9,1795.3,403,45.168
869.1,496.7,10292.3,1826.9,537,45.168
721.2,594.7,10194.3,1974.8,671,45.168
689.8,408.9,10380.1,2006.2,805,45.168
596.3,434.6,10354.4,2099.7,939,45.168
543.0,329.4,10459.6,2153.0,1073,45.168
458.6,334.3,10454.7,2237.4,1207,45.168
435.0,249.5,10539.5,2261.0,1341,45.168
466.9,252.3,10536.7,2229.1,1475,45.168
416.1,270.3,10518.7,2279.9,1609,45.168
405.2,245.9,10543.1,2290.8,1743,45.168
352.9,193.6,10595.4,2343.1,1877,45.168
331.0,188.1,10600.9,2365.0,2011,45.168
329.3,176.9,10612.1,2366.7,2145,45.168
316.6,176.6,10612.4,2379.4,2279,45.168
310.6,150.0,10639.0,2385.4,2413,45.168
291.6,159.0,10630.0,2404.4,2547,45.168
237.0,119.5,10669.5,2459.0,2681,45.168
228.8,136.6,10652.4,2467.2,2815,45.168
239.7,140.4,10648.6,2456.3,2949,45.168
225.4,111.3,10677.7,2470.6,3083,45.168
225.1,111.7,10677.3,2470.9,3217,45.168
223.9,115.2,10673.8,2472.1,3351,45.168
212.0,92.5,10696.5,2484.0,3485,45.168
198.0,100.6,10688.4,2498.0,3619,45.168
192.4,83.9,10705.1,2503.6,3753,45.168
199.0,104.7,10684.3,2497.0,3887,45.168
178.1,93.2,10695.8,2517.9,4021,45.168
178.0,78.6,10710.4,2518.0,4155,45.168
171.3,85.2,10703.8,2524.7,4289,45.168
170.7,82.3,10706.7,2525.3,4423,45.168
169.7,77.5,10711.5,2526.3,4557,45.168
171.7,70.9,10718.1,2524.3,4691,45.168
161.3,84.0,10705.0,2534.7,4825,45.168
167.4,74.1,10714.9,2528.6,4959,45.168
160.3,72.5,10716.5,2535.7,5093,45.168
163.3,68.2,10720.8,2532.7,5227,45.168
150.0,68.9,10720.1,2546.0,5361,45.168
152.5,62.2,10726.8,2543.5,5495,45.168
147.0,67.2,10721.8,2549.0,5629,45.168
149.0,68.4,10720.6,2547.0,5763,45.168
155.1,67.6,10721.4,2540.9,5897,45.168
138.9,71.9,10717.1,2557.1,6031,45.168
143.8,65.4,10723.6,2552.2,6165,45.168
137.2,62.3,10726.7,2558.8,6299,45.168
136.1,59.7,10729.3,2559.9,6433,45.168
143.6,58.1,10730.9,2552.4,6567,45.168
130.4,63.1,10725.9,2565.6,6701,45.168
138.5,60.5,10728.5,2557.5,6835,45.168
134.6,59.4,10729.6,2561.4,6969,45.168
129.9,61.1,10727.9,2566.1,7103,45.168
134.6,59.6,10729.4,2561.4,7237,45.168
129.3,57.9,10731.1,2566.7,7371,45.168
123.6,58.5,10730.5,2572.4,7505,45.168
120.1,56.7,10732.3,2575.9,7639,45.168
121.3,58.1,10730.9,2574.7,7773,45.168
128.1,53.1,10735.9,2567.9,7907,45.168
122.3,50.4,10738.6,2573.7,8041,45.168
119.7,52.9,10736.1,2576.3,8175,45.168
123.3,49.3,10739.7,2572.7,8309,45.168
118.5,48.4,10740.6,2577.5,8443,45.168
118.8,49.4,10739.6,2577.2,8577,45.168
106.0,45.1,10743.9,2590.0,8711,45.168
108.4,50.0,10739.0,2587.6,8845,45.168
103.9,48.4,10740.6,2592.1,8979,45.168
120.3,45.6,10743.4,2575.7,9113,45.168
98.8,42.8,10746.2,2597.2,9247,45.168
103.3,47.1,10741.9,2592.7,9381,45.168
101.8,48.2,10740.8,2594.2,9515,45.168
106.4,41.2,10747.8,2589.6,9649,45.168
99.1,46.6,10742.4,2596.9,9783,45.168
97.7,39.8,10749.2,2598.3,9917,45.168
98.8,37.5,10751.5,2597.2,10051,45.168
101.6,38.3,10750.7,2594.4,10185,45.168
98.5,40.6,10748.4,2597.5,10319,45.168
93.3,41.4,10747.6,2602.7,10453,45.168
97.4,34.7,10754.3,2598.6,10587,45.168
90.3,37.9,10751.1,2605.7,10721,45.168
92.6,37.7,10751.3,2603.4,10855,45.168
85.4,40.4,10748.6,2610.6,10989,45.168
88.2,37.7,10751.3,2607.8,11123,45.168
84.9,37.7,10751.3,2611.1,11257,45.168
85.7,36.3,10752.7,2610.3,11391,45.168
85.7,33.8,10755.2,2610.3,11525,45.168
83.4,34.0,10755.0,2612.6,11659,45.168
82.9,36.0,10753.0,2613.1,11793,45.168
80.6,30.1,10758.9,2615.4,11927,45.168
79.6,31.1,10757.9,2616.4,12061,45.168
78.1,34.2,10754.8,2617.9,12195,45.168
77.6,28.2,10760.8,2618.4,12329,45.168
76.8,29.9,10759.1,2619.2,12463,45.168
75.7,28.3,10760.7,2620.3,12597,45.168
75.5,26.8,10762.2,2620.5,12731,45.168
73.3,28.5,10760.5,2622.7,12865,45.168
75.9,25.4,10763.6,2620.1,12999,45.168
71.0,26.1,10762.9,2625.0,13133,45.168
69.2,26.3,10762.7,2626.8,13267,45.168
70.8,24.4,10764.6,2625.2,13401,45.168
