FN,FP,TN,TP,sr,t
30054.6,13358.1,120222.9,3339.4,1,2388.0
3096.3,2085.0,131496.0,30297.7,1670,2388.0
2064.4,1717.1,131863.9,31329.6,3339,2388.0
1568.8,1158.5,132422.5,31825.2,5008,2388.0
1359.3,1073.0,132508.0,32034.7,6677,2388.0
1315.1,973.0,132608.0,32078.9,8346,2388.0
1135.6,839.1,132741.9,32258.4,10015,2388.0
1082.7,755.9,132825.1,32311.3,11684,2388.0
987.2,730.7,132850.3,32406.8,13353,2388.0
930.0,689.2,132891.8,32464.0,15022,2388.0
853.8,634.8,132946.2,32540.2,16691,2388.0
856.9,593.8,132987.2,32537.1,18360,2388.0
757.5,568.7,133012.3,32636.5,20029,2388.0
714.2,555.7,133025.3,32679.8,21698,2388.0
731.3,535.7,133045.3,32662.7,23367,2388.0
695.3,474.8,133106.2,32698.7,25036,2388.0
637.7,486.1,133094.9,32756.3,26705,2388.0
630.1,433.7,133147.3,32763.9,28374,2388.0
602.4,431.1,133149.9,32791.6,30043,2388.0
623.3,425.0,133156.0,32770.7,31712,2388.0
580.2,395.6,133185.4,32813.8,33381,2388.0
572.8,394.7,133186.3,32821.2,35050,2388.0
539.6,381.9,133199.1,32854.4,36719,2388.0
532.2,366.2,133214.8,32861.8,38388,2388.0
515.1,360.0,133221.0,32878.9,40057,2388.0
511.7,339.5,133241.5,32882.3,41726,2388.0
471.0,366.8,133214.2,32923.0,43395,2388.0
457.7,339.3,133241.7,32936.3,45064,2388.0
477.0,310.6,133270.4,32917.0,46733,2388.0
449.5,320.0,133261.0,32944.5,48402,2388.0
455.3,305.7,133275.3,32938.7,50071,2388.0
450.1,296.7,133284.3,32943.9,51740,2388.0
417.4,293.9,133287.1,32976.6,53409,2388.0
422.5,295.7,133285.3,32971.5,55078,2388.0
413.6,280.3,133300.7,32980.4,56747,2388.0
403.4,277.5,133303.5,32990.6,58416,2388.0
407.0,266.9,133314.1,32987.0,60085,2388.0
382.4,269.9,133311.1,33011.6,61754,2388.0
389.3,245.6,133335.4,33004.7,63423,2388.0
381.2,248.0,133333.0,33012.8,65092,2388.0
369.2,238.7,133342.3,33024.8,66761,2388.0
361.4,244.9,133336.1,33032.6,68430,2388.0
370.9,219.9,133361.1,33023.1,70099,2388.0
351.1,240.7,133340.3,33042.9,71768,2388.0
350.9,228.1,133352.9,33043.1,73437,2388.0
354.5,219.0,133362.0,33039.5,75106,2388.0
344.1,222.9,133358.1,33049.9,76775,2388.0
341.3,228.4,133352.6,33052.7,78444,2388.0
343.0,209.3,133371.7,33051.0,80113,2388.0
331.3,210.3,133370.7,33062.7,81782,2388.0
326.7,216.5,133364.5,33067.3,83451,2388.0
334.2,196.4,133384.6,33059.8,85120,2388.0
332.0,192.2,133388.8,33062.0,86789,2388.0
314.6,190.5,133390.5,33079.4,88458,2388.0
312.7,198.9,133382.1,33081.3,90127,2388.0
317.4,188.2,133392.8,33076.6,91796,2388.0
308.4,186.0,133395.0,33085.6,93465,2388.0
307.9,174.6,133406.4,33086.1,95134,2388.0
307.6,175.0,133406.0,33086.4,96803,2388.0
293.7,184.1,133396.9,33100.3,98472,2388.0
299.3,176.6,133404.4,33094.7,100141,2388.0
291.1,168.5,133412.5,33102.9,101810,2388.0
291.9,170.7,133410.3,33102.1,103479,2388.0
295.6,165.7,133415.3,33098.4,105148,2388.0
286.1,166.1,133414.9,33107.9,106817,2388.0
280.8,164.3,133416.7,33113.2,108486,2388.0
292.7,159.0,133422.0,33101.3,110155,2388.0
273.8,162.8,133418.2,33120.2,111824,2388.0
269.2,164.1,133416.9,33124.8,113493,2388.0
269.5,155.2,133425.8,33124.5,115162,2388.0
273.5,150.7,133430.3,33120.5,116831,2388.0
265.4,151.4,133429.6,33128.6,118500,2388.0
268.7,141.6,133439.4,33125.3,120169,2388.0
273.6,137.0,133444.0,33120.4,121838,2388.0
258.8,140.1,133440.9,33135.2,123507,2388.0
265.8,136.3,133444.7,33128.2,125176,2388.0
255.4,138.3,133442.7,33138.6,126845,2388.0
257.0,139.7,133441.3,33137.0,128514,2388.0
252.8,139.4,133441.6,33141.2,130183,2388.0
252.4,129.7,133451.3,33141.6,131852,2388.0
248.2,127.9,133453.1,33145.8,133521,2388.0
251.4,123.2,133457.8,33142.6,135190,2388.0
247.4,124.2,133456.8,33146.6,136859,2388.0
252.8,120.4,133460.6,33141.2,138528,2388.0
240.7,125.1,133455.9,33153.3,140197,2388.0
237.7,124.2,133456.8,33156.3,141866,2388.0
233.3,118.9,133462.1,33160.7,143535,2388.0
239.3,116.4,133464.6,33154.7,145204,2388.0
233.2,115.1,133465.9,33160.8,146873,2388.0
228.0,119.1,133461.9,33166.0,148542,2388.0
233.5,110.6,133470.4,33160.5,150211,2388.0
229.0,108.9,133472.1,33165.0,151880,2388.0
222.8,110.2,133470.8,33171.2,153549,2388.0
231.6,100.5,133480.5,33162.4,155218,2388.0
214.9,109.4,133471.6,33179.1,156887,2388.0
219.6,104.1,133476.9,33174.4,158556,2388.0
222.2,100.8,133480.2,33171.8,160225,2388.0
218.7,101.3,133479.7,33175.3,161894,2388.0
214.0,98.9,133482.1,33180.0,163563,2388.0
210.1,101.2,133479.8,33183.9,165232,2388.0
207.0,99.8,133481.2,33187.0,166901,2388.0
