FN,FP,TN,TP,sr,t
182.7,82.1,738.9,20.3,1,252.14
133.2,186.2,634.8,69.8,11,252.14
138.2,88.8,732.2,64.8,21,252.14
146.9,65.5,755.5,56.1,31,252.14
120.4,96.6,724.4,82.6,41,252.14
120.5,83.9,737.1,82.5,51,252.14
115.9,90.5,730.5,87.1,61,252.14
116.4,73.4,747.6,86.6,71,252.14
103.6,83.0,738.0,99.4,81,252.14
105.1,66.9,754.1,97.9,91,252.14
104.9,61.9,759.1,98.1,101,252.14
89.2,67.8,753.2,113.8,111,252.14
96.3,69.3,751.7,106.7,121,252.14
108.8,61.0,760.0,94.2,131,252.14
97.0,69.2,751.8,106.0,141,252.14
84.2,54.8,766.2,118.8,151,252.14
92.0,60.6,760.4,111.0,161,252.14
94.5,46.7,774.3,108.5,171,252.14
88.6,44.8,776.2,114.4,181,252.14
105.0,58.8,762.2,98.0,191,252.14
82.0,59.0,762.0,121.0,201,252.14
89.4,51.6,769.4,113.6,211,252.14
90.1,50.7,770.3,112.9,221,252.14
100.6,48.0,773.0,102.4,231,252.14
96.5,46.7,774.3,106.5,241,252.14
88.0,48.6,772.4,115.0,251,252.14
83.2,49.8,771.2,119.8,261,252.14
87.5,32.7,788.3,115.5,271,252.14
74.4,39.0,782.0,128.6,281,252.14
91.4,42.4,778.6,111.6,291,252.14
81.9,43.9,777.1,121.1,301,252.14
61.8,41.2,779.8,141.2,311,252.14
81.6,36.2,784.8,121.4,321,252.14
74.3,52.9,768.1,128.7,331,252.14
78.8,42.8,778.2,124.2,341,252.14
66.5,44.3,776.7,136.5,351,252.14
77.7,42.9,778.1,125.3,361,252.14
81.7,53.1,767.9,121.3,371,252.14
70.0,45.8,775.2,133.0,381,252.14
69.7,39.9,781.1,133.3,391,252.14
67.3,43.9,777.1,135.7,401,252.14
61.0,35.6,785.4,142.0,411,252.14
58.0,36.8,784.2,145.0,421,252.14
64.6,39.8,781.2,138.4,431,252.14
61.5,34.1,786.9,141.5,441,252.14
59.2,38.8,782.2,143.8,451,252.14
62.0,35.2,785.8,141.0,461,252.14
62.0,34.8,786.2,141.0,471,252.14
61.8,33.8,787.2,141.2,481,252.14
59.1,30.3,790.7,143.9,491,252.14
59.5,33.9,787.1,143.5,501,252.14
59.6,38.0,783.0,143.4,511,252.14
58.9,25.9,795.1,144.1,521,252.14
60.8,33.0,788.0,142.2,531,252.14
56.2,28.4,792.6,146.8,541,252.14
59.9,31.7,789.3,143.1,551,252.14
53.7,28.7,792.3,149.3,561,252.14
49.4,26.4,794.6,153.6,571,252.14
57.8,30.2,790.8,145.2,581,252.14
50.4,26.0,795.0,152.6,591,252.14
54.3,24.5,796.5,148.7,601,252.14
51.5,25.9,795.1,151.5,611,252.14
54.4,23.0,798.0,148.6,621,252.14
51.2,21.8,799.2,151.8,631,252.14
48.4,20.8,800.2,154.6,641,252.14
49.4,23.0,798.0,153.6,651,252.14
50.9,21.3,799.7,152.1,661,252.14
50.7,24.3,796.7,152.3,671,252.14
47.4,23.4,797.6,155.6,681,252.14
47.6,24.0,797.0,155.4,691,252.14
46.5,20.7,800.3,156.5,701,252.14
47.2,21.2,799.8,155.8,711,252.14
44.1,18.9,802.1,158.9,721,252.14
42.9,19.1,801.9,160.1,731,252.14
41.2,17.6,803.4,161.8,741,252.14
45.6,19.4,801.6,157.4,751,252.14
44.1,16.5,804.5,158.9,761,252.14
44.1,18.3,802.7,158.9,771,252.14
45.3,17.5,803.5,157.7,781,252.14
46.5,17.5,803.5,156.5,791,252.14
38.8,17.6,803.4,164.2,801,252.14
40.0,14.2,806.8,163.0,811,252.14
42.6,13.8,807.2,160.4,821,252.14
40.6,16.2,804.8,162.4,831,252.14
37.4,15.0,806.0,165.6,841,252.14
41.3,14.7,806.3,161.7,851,252.14
36.2,15.8,805.2,166.8,861,252.14
38.0,13.0,808.0,165.0,871,252.14
40.1,13.1,807.9,162.9,881,252.14
37.7,11.1,809.9,165.3,891,252.14
36.2,10.4,810.6,166.8,901,252.14
37.5,10.1,810.9,165.5,911,252.14
39.0,10.0,811.0,164.0,921,252.14
37.0,8.6,812.4,166.0,931,252.14
37.3,8.1,812.9,165.7,941,252.14
38.0,7.8,813.2,165.0,951,252.14
35.2,7.6,813.4,167.8,961,252.14
37.3,5.1,815.9,165.7,971,252.14
35.1,5.9,815.1,167.9,981,252.14
37.7,3.7,817.3,165.3,991,252.14
36.6,2.2,818.8,166.4,1001,252.14
37.0,1.2,819.8,166.0,1011,252.14
37.6,0.2,820.8,165.4,1021,252.14
