FN,FP,TN,TP,sr,t
13797.0,0.0,55204.0,0.0,1,485.21
5986.5,4024.3,51179.7,7810.5,691,485.21
5628.8,4177.2,51026.8,8168.2,1381,485.21
5532.8,4060.6,51143.4,8264.2,2071,485.21
5727.8,3811.0,51393.0,8069.2,2761,485.21
5589.1,3931.0,51273.0,8207.9,3451,485.21
5673.2,3753.5,51450.5,8123.8,4141,485.21
5616.3,3790.3,51413.7,8180.7,4831,485.21
5643.2,3744.9,51459.1,8153.8,5521,485.21
5520.3,3850.0,51354.0,8276.7,6211,485.21
5619.0,3750.3,51453.7,8178.0,6901,485.21
5665.5,3708.7,51495.3,8131.5,7591,485.21
5668.1,3656.5,51547.5,8128.9,8281,485.21
5694.8,3643.1,51560.9,8102.2,8971,485.21
5690.6,3653.8,51550.2,8106.4,9661,485.21
5606.3,3691.4,51512.6,8190.7,10351,485.21
5646.0,3638.6,51565.4,8151.0,11041,485.21
5649.3,3611.9,51592.1,8147.7,11731,485.21
5636.2,3607.6,51596.4,8160.8,12421,485.21
5622.0,3619.6,51584.4,8175.0,13111,485.21
5663.5,3592.5,51611.5,8133.5,13801,485.21
5685.7,3526.1,51677.9,8111.3,14491,485.21
5637.8,3577.0,51627.0,8159.2,15181,485.21
5678.9,3529.6,51674.4,8118.1,15871,485.21
5674.4,3530.3,51673.7,8122.6,16561,485.21
5738.0,3458.9,51745.1,8059.0,17251,485.21
5678.7,3496.9,51707.1,8118.3,17941,485.21
5714.2,3455.0,51749.0,8082.8,18631,485.21
5725.9,3435.2,51768.8,8071.1,19321,485.21
5706.2,3459.6,51744.4,8090.8,20011,485.21
5691.1,3472.3,51731.7,8105.9,20701,485.21
5743.9,3401.2,51802.8,8053.1,21391,485.21
5759.6,3387.2,51816.8,8037.4,22081,485.21
5705.0,3426.6,51777.4,8092.0,22771,485.21
5756.7,3377.8,51826.2,8040.3,23461,485.21
5765.4,3370.2,51833.8,8031.6,24151,485.21
5779.5,3345.8,51858.2,8017.5,24841,485.21
5779.8,3332.0,51872.0,8017.2,25531,485.21
5760.4,3363.1,51840.9,8036.6,26221,485.21
5802.5,3302.2,51901.8,7994.5,26911,485.21
5807.7,3292.1,51911.9,7989.3,27601,485.21
5828.6,3273.6,51930.4,7968.4,28291,485.21
5805.1,3295.9,51908.1,7991.9,28981,485.21
5838.1,3256.6,51947.4,7958.9,29671,485.21
5860.2,3233.8,51970.2,7936.8,30361,485.21
5791.9,3298.5,51905.5,8005.1,31051,485.21
5823.0,3262.7,51941.3,7974.0,31741,485.21
5841.5,3247.2,51956.8,7955.5,32431,485.21
5821.5,3257.4,51946.6,7975.5,33121,485.21
5910.4,3165.7,52038.3,7886.6,33811,485.21
5907.2,3174.4,52029.6,7889.8,34501,485.21
5892.8,3177.3,52026.7,7904.2,35191,485.21
5908.8,3173.4,52030.6,7888.2,35881,485.21
5953.3,3118.7,52085.3,7843.7,36571,485.21
5932.0,3135.6,52068.4,7865.0,37261,485.21
5955.6,3112.8,52091.2,7841.4,37951,485.21
5941.4,3124.1,52079.9,7855.6,38641,485.21
5967.7,3098.8,52105.2,7829.3,39331,485.21
5972.5,3092.8,52111.2,7824.5,40021,485.21
6020.2,3044.3,52159.7,7776.8,40711,485.21
6046.0,3016.9,52187.1,7751.0,41401,485.21
6013.5,3049.4,52154.6,7783.5,42091,485.21
6088.6,2972.0,52232.0,7708.4,42781,485.21
6109.6,2949.1,52254.9,7687.4,43471,485.21
6126.7,2932.0,52272.0,7670.3,44161,485.21
6145.9,2912.0,52292.0,7651.1,44851,485.21
6168.4,2887.7,52316.3,7628.6,45541,485.21
6163.9,2893.0,52311.0,7633.1,46231,485.21
6260.9,2796.1,52407.9,7536.1,46921,485.21
6280.6,2775.2,52428.8,7516.4,47611,485.21
6300.6,2754.4,52449.6,7496.4,48301,485.21
6338.3,2713.1,52490.9,7458.7,48991,485.21
6410.6,2639.7,52564.3,7386.4,49681,485.21
6400.5,2650.6,52553.4,7396.5,50371,485.21
6462.6,2589.0,52615.0,7334.4,51061,485.21
6485.5,2566.0,52638.0,7311.5,51751,485.21
6519.9,2530.1,52673.9,7277.1,52441,485.21
6603.4,2445.5,52758.5,7193.6,53131,485.21
6662.0,2386.6,52817.4,7135.0,53821,485.21
6716.6,2332.6,52871.4,7080.4,54511,485.21
6777.6,2269.2,52934.8,7019.4,55201,485.21
6828.6,2217.1,52986.9,6968.4,55891,485.21
6917.4,2127.9,53076.1,6879.6,56581,485.21
7011.1,2034.2,53169.8,6785.9,57271,485.21
7064.2,1980.0,53224.0,6732.8,57961,485.21
7152.4,1890.8,53313.2,6644.6,58651,485.21
7233.2,1809.8,53394.2,6563.8,59341,485.21
7330.9,1712.7,53491.3,6466.1,60031,485.21
7412.0,1630.0,53574.0,6385.0,60721,485.21
7521.7,1518.3,53685.7,6275.3,61411,485.21
7619.6,1421.8,53782.2,6177.4,62101,485.21
7731.6,1308.4,53895.6,6065.4,62791,485.21
7845.0,1195.1,54008.9,5952.0,63481,485.21
7974.1,1063.7,54140.3,5822.9,64171,485.21
8122.7,917.1,54286.9,5674.3,64861,485.21
8247.3,790.3,54413.7,5549.7,65551,485.21
8373.2,663.7,54540.3,5423.8,66241,485.21
8532.0,505.0,54699.0,5265.0,66931,485.21
8672.5,363.2,54840.8,5124.5,67621,485.21
8845.6,190.6,55013.4,4951.4,68311,485.21
9031.8,3.5,55200.5,4765.2,69001,485.21
