FN,FP,TN,TP,sr,t
14.3,33.3,3.7,128.7,1,3268
42.9,25.9,11.1,100.1,2,3268
28.6,29.6,7.4,114.4,3,3268
43.1,22.5,14.5,99.9,4,3268
57.4,17.6,19.4,85.6,5,3268
34.3,21.5,15.5,108.7,6,3268
32.7,17.5,19.5,110.3,7,3268
47.4,14.2,22.8,95.6,8,3268
32.8,20.6,16.4,110.2,9,3268
35.0,18.0,19.0,108.0,10,3268
34.7,22.7,14.3,108.3,11,3268
24.1,18.5,18.5,118.9,12,3268
19.8,21.6,15.4,123.2,13,3268
28.7,13.8,23.2,114.3,14,3268
18.0,9.8,27.2,125.0,15,3268
30.3,11.8,25.2,112.7,16,3268
13.6,15.2,21.8,129.4,17,3268
31.6,10.0,27.0,111.4,18,3268
16.6,9.6,27.4,126.4,19,3268
22.4,4.6,32.4,120.6,20,3268
22.0,12.2,24.8,121.0,21,3268
17.4,9.0,28.0,125.6,22,3268
18.1,12.2,24.8,124.9,23,3268
20.3,7.3,29.7,122.7,24,3268
19.8,6.9,30.1,123.2,25,3268
22.2,11.1,25.9,120.8,26,3268
18.8,10.2,26.8,124.2,27,3268
18.4,10.4,26.6,124.6,28,3268
17.0,11.0,26.0,126.0,29,3268
13.8,9.8,27.2,129.2,30,3268
18.8,8.4,28.6,124.2,31,3268
13.2,7.1,29.9,129.8,32,3268
15.5,5.5,31.5,127.5,33,3268
16.1,11.2,25.8,126.9,34,3268
12.1,9.5,27.5,130.9,35,3268
12.3,8.1,28.9,130.7,36,3268
16.0,7.4,29.6,127.0,37,3268
12.3,7.9,29.1,130.7,38,3268
14.7,8.9,28.1,128.3,39,3268
14.3,7.1,29.9,128.7,40,3268
12.9,7.9,29.1,130.1,41,3268
15.9,9.7,27.3,127.1,42,3268
10.2,11.2,25.8,132.8,43,3268
13.2,9.0,28.0,129.8,44,3268
9.5,10.0,27.0,133.5,45,3268
12.6,7.0,30.0,130.4,46,3268
13.9,9.2,27.8,129.1,47,3268
11.8,7.2,29.8,131.2,48,3268
14.8,4.8,32.2,128.2,49,3268
12.5,9.7,27.3,130.5,50,3268
14.9,4.9,32.1,128.1,51,3268
12.7,6.4,30.6,130.3,52,3268
10.4,8.8,28.2,132.6,53,3268
10.7,9.0,28.0,132.3,54,3268
10.3,7.6,29.4,132.7,55,3268
14.7,5.5,31.5,128.3,56,3268
10.5,9.1,27.9,132.5,57,3268
12.0,6.8,30.2,131.0,58,3268
14.5,4.7,32.3,128.5,59,3268
11.0,7.0,30.0,132.0,60,3268
11.0,7.5,29.5,132.0,61,3268
11.3,6.5,30.5,131.7,62,3268
9.0,8.3,28.7,134.0,63,3268
14.4,4.7,32.3,128.6,64,3268
11.8,4.8,32.2,131.2,65,3268
12.1,5.8,31.2,130.9,66,3268
12.0,5.9,31.1,131.0,67,3268
12.0,5.8,31.2,131.0,68,3268
13.0,6.4,30.6,130.0,69,3268
10.4,6.2,30.8,132.6,70,3268
12.1,6.7,30.3,130.9,71,3268
11.4,6.1,30.9,131.6,72,3268
10.1,7.9,29.1,132.9,73,3268
10.6,7.3,29.7,132.4,74,3268
11.7,5.5,31.5,131.3,75,3268
9.8,8.8,28.2,133.2,76,3268
11.5,6.5,30.5,131.5,77,3268
12.3,4.5,32.5,130.7,78,3268
10.7,5.6,31.4,132.3,79,3268
12.4,5.1,31.9,130.6,80,3268
12.7,4.6,32.4,130.3,81,3268
11.6,5.0,32.0,131.4,82,3268
10.4,5.5,31.5,132.6,83,3268
11.6,4.4,32.6,131.4,84,3268
12.0,5.0,32.0,131.0,85,3268
12.0,4.3,32.7,131.0,86,3268
10.4,6.7,30.3,132.6,87,3268
11.3,4.4,32.6,131.7,88,3268
10.4,6.1,30.9,132.6,89,3268
11.5,4.7,32.3,131.5,90,3268
10.6,5.5,31.5,132.4,91,3268
12.0,4.5,32.5,131.0,92,3268
9.8,4.0,33.0,133.2,93,3268
10.6,4.2,32.8,132.4,94,3268
10.3,5.7,31.3,132.7,95,3268
11.1,4.5,32.5,131.9,96,3268
10.1,5.2,31.8,132.9,97,3268
10.0,5.4,31.6,133.0,98,3268
10.3,4.9,32.1,132.7,99,3268
8.9,4.5,32.5,134.1,100,3268
