FN,FP,TN,TP,sr,t
26655.0,26960.0,6740.0,106620.0,1,555.5
5474.7,3826.9,29873.1,127800.3,1670,555.5
4767.9,3450.1,30249.9,128507.1,3339,555.5
4757.2,3224.7,30475.3,128517.8,5008,555.5
4650.3,3262.4,30437.6,128624.7,6677,555.5
4368.8,3125.9,30574.1,128906.2,8346,555.5
3978.7,3142.4,30557.6,129296.3,10015,555.5
4128.8,3037.9,30662.1,129146.2,11684,555.5
3985.6,3017.6,30682.4,129289.4,13353,555.5
3959.2,2926.8,30773.2,129315.8,15022,555.5
3967.7,2914.8,30785.2,129307.3,16691,555.5
3988.6,2864.0,30836.0,129286.4,18360,555.5
3688.1,2877.5,30822.5,129586.9,20029,555.5
3805.4,2821.7,30878.3,129469.6,21698,555.5
3777.9,2788.3,30911.7,129497.1,23367,555.5
3614.3,2770.9,30929.1,129660.7,25036,555.5
3591.4,2767.8,30932.2,129683.6,26705,555.5
3534.5,2739.7,30960.3,129740.5,28374,555.5
3518.4,2710.4,30989.6,129756.6,30043,555.5
3476.1,2663.5,31036.5,129798.9,31712,555.5
3413.3,2662.8,31037.2,129861.7,33381,555.5
3412.7,2662.6,31037.4,129862.3,35050,555.5
3409.2,2630.0,31070.0,129865.8,36719,555.5
3311.4,2644.2,31055.8,129963.6,38388,555.5
3199.2,2604.2,31095.8,130075.8,40057,555.5
3185.4,2557.9,31142.1,130089.6,41726,555.5
3181.0,2568.1,31131.9,130094.0,43395,555.5
3077.2,2562.9,31137.1,130197.8,45064,555.5
3006.4,2566.2,31133.8,130268.6,46733,555.5
3107.9,2498.7,31201.3,130167.1,48402,555.5
3094.7,2479.3,31220.7,130180.3,50071,555.5
3035.0,2507.1,31192.9,130240.0,51740,555.5
3007.6,2488.6,31211.4,130267.4,53409,555.5
3034.7,2455.7,31244.3,130240.3,55078,555.5
2839.9,2501.9,31198.1,130435.1,56747,555.5
2919.8,2460.2,31239.8,130355.2,58416,555.5
2867.4,2448.2,31251.8,130407.6,60085,555.5
2752.4,2447.3,31252.7,130522.6,61754,555.5
2642.8,2479.2,31220.8,130632.2,63423,555.5
2694.9,2456.8,31243.2,130580.1,65092,555.5
2605.9,2440.4,31259.6,130669.1,66761,555.5
2622.0,2395.7,31304.3,130653.0,68430,555.5
2587.7,2412.5,31287.5,130687.3,70099,555.5
2545.5,2418.0,31282.0,130729.5,71768,555.5
2656.7,2371.3,31328.7,130618.3,73437,555.5
2554.0,2355.0,31345.0,130721.0,75106,555.5
2503.7,2342.9,31357.1,130771.3,76775,555.5
2490.4,2362.6,31337.4,130784.6,78444,555.5
2346.1,2373.6,31326.4,130928.9,80113,555.5
2353.2,2336.6,31363.4,130921.8,81782,555.5
2245.3,2373.4,31326.6,131029.7,83451,555.5
2327.7,2313.0,31387.0,130947.3,85120,555.5
2319.7,2291.2,31408.8,130955.3,86789,555.5
2240.2,2293.6,31406.4,131034.8,88458,555.5
2236.9,2300.2,31399.8,131038.1,90127,555.5
2129.3,2341.6,31358.4,131145.7,91796,555.5
2175.6,2293.8,31406.2,131099.4,93465,555.5
2197.8,2281.9,31418.1,131077.2,95134,555.5
2186.8,2257.0,31443.0,131088.2,96803,555.5
2071.8,2270.1,31429.9,131203.2,98472,555.5
2095.7,2239.0,31461.0,131179.3,100141,555.5
2083.6,2240.1,31459.9,131191.4,101810,555.5
2151.9,2168.5,31531.5,131123.1,103479,555.5
2052.6,2204.1,31495.9,131222.4,105148,555.5
2013.1,2198.8,31501.2,131261.9,106817,555.5
1977.1,2194.5,31505.5,131297.9,108486,555.5
1877.0,2265.5,31434.5,131398.0,110155,555.5
1936.1,2190.9,31509.1,131338.9,111824,555.5
1934.0,2176.9,31523.1,131341.0,113493,555.5
1796.1,2231.1,31468.9,131478.9,115162,555.5
1848.5,2179.6,31520.4,131426.5,116831,555.5
1825.8,2197.5,31502.5,131449.2,118500,555.5
1810.6,2152.1,31547.9,131464.4,120169,555.5
1821.3,2136.8,31563.2,131453.7,121838,555.5
1791.1,2136.7,31563.3,131483.9,123507,555.5
1850.4,2074.1,31625.9,131424.6,125176,555.5
1746.2,2131.6,31568.4,131528.8,126845,555.5
1750.2,2104.9,31595.1,131524.8,128514,555.5
1738.3,2101.1,31598.9,131536.7,130183,555.5
1711.0,2111.5,31588.5,131564.0,131852,555.5
1642.9,2131.0,31569.0,131632.1,133521,555.5
1644.8,2110.2,31589.8,131630.2,135190,555.5
1727.4,2010.2,31689.8,131547.6,136859,555.5
1664.5,2035.2,31664.8,131610.5,138528,555.5
1630.5,2051.6,31648.4,131644.5,140197,555.5
1594.0,2061.7,31638.3,131681.0,141866,555.5
1548.2,2072.7,31627.3,131726.8,143535,555.5
1548.8,2060.9,31639.1,131726.2,145204,555.5
1570.8,2009.2,31690.8,131704.2,146873,555.5
1586.7,1967.8,31732.2,131688.3,148542,555.5
1465.8,2081.1,31618.9,131809.2,150211,555.5
1496.0,2019.4,31680.6,131779.0,151880,555.5
1548.5,1943.0,31757.0,131726.5,153549,555.5
1490.3,1954.4,31745.6,131784.7,155218,555.5
1491.0,1943.5,31756.5,131784.0,156887,555.5
1480.2,1925.5,31774.5,131794.8,158556,555.5
1375.8,2010.3,31689.7,131899.2,160225,555.5
1414.9,1947.7,31752.3,131860.1,161894,555.5
1409.3,1932.0,31768.0,131865.7,163563,555.5
1363.9,1961.9,31738.1,131911.1,165232,555.5
1327.2,1992.7,31707.3,131947.8,166901,555.5
