FN,FP,TN,TP,sr,t
0.0,205.0,0.0,819.0,1,219.62666666666698
197.4,82.4,122.6,621.6,11,219.62666666666698
115.6,51.8,153.2,703.4,21,219.62666666666698
77.7,71.5,133.5,741.3,31,219.62666666666698
31.8,32.0,173.0,787.2,41,219.62666666666698
77.2,19.8,185.2,741.8,51,219.62666666666698
36.1,29.9,175.1,782.9,61,219.62666666666698
46.3,33.7,171.3,772.7,71,219.62666666666698
34.4,15.4,189.6,784.6,81,219.62666666666698
31.1,12.1,192.9,787.9,91,219.62666666666698
32.6,13.6,191.4,786.4,101,219.62666666666698
38.5,9.1,195.9,780.5,111,219.62666666666698
23.9,12.1,192.9,795.1,121,219.62666666666698
18.7,12.5,192.5,800.3,131,219.62666666666698
30.6,14.8,190.2,788.4,141,219.62666666666698
23.5,14.1,190.9,795.5,151,219.62666666666698
24.3,10.1,194.9,794.7,161,219.62666666666698
28.6,8.8,196.2,790.4,171,219.62666666666698
24.3,13.7,191.3,794.7,181,219.62666666666698
27.8,9.6,195.4,791.2,191,219.62666666666698
20.6,11.2,193.8,798.4,201,219.62666666666698
28.1,8.7,196.3,790.9,211,219.62666666666698
20.3,12.1,192.9,798.7,221,219.62666666666698
18.0,12.6,192.4,801.0,231,219.62666666666698
15.2,13.0,192.0,803.8,241,219.62666666666698
17.9,8.5,196.5,801.1,251,219.62666666666698
19.7,9.5,195.5,799.3,261,219.62666666666698
15.3,10.3,194.7,803.7,271,219.62666666666698
18.9,9.9,195.1,800.1,281,219.62666666666698
17.3,12.7,192.3,801.7,291,219.62666666666698
18.3,10.9,194.1,800.7,301,219.62666666666698
20.1,9.9,195.1,798.9,311,219.62666666666698
16.9,9.5,195.5,802.1,321,219.62666666666698
17.6,10.2,194.8,801.4,331,219.62666666666698
19.1,7.7,197.3,799.9,341,219.62666666666698
21.8,10.0,195.0,797.2,351,219.62666666666698
21.1,9.7,195.3,797.9,361,219.62666666666698
19.0,9.0,196.0,800.0,371,219.62666666666698
18.7,9.5,195.5,800.3,381,219.62666666666698
19.3,8.5,196.5,799.7,391,219.62666666666698
14.7,9.7,195.3,804.3,401,219.62666666666698
17.4,8.0,197.0,801.6,411,219.62666666666698
17.0,10.0,195.0,802.0,421,219.62666666666698
17.6,6.6,198.4,801.4,431,219.62666666666698
17.2,6.6,198.4,801.8,441,219.62666666666698
18.6,7.8,197.2,800.4,451,219.62666666666698
19.3,8.9,196.1,799.7,461,219.62666666666698
17.8,9.4,195.6,801.2,471,219.62666666666698
18.2,9.4,195.6,800.8,481,219.62666666666698
13.7,9.5,195.5,805.3,491,219.62666666666698
16.3,7.5,197.5,802.7,501,219.62666666666698
18.0,8.2,196.8,801.0,511,219.62666666666698
15.8,8.6,196.4,803.2,521,219.62666666666698
12.9,6.9,198.1,806.1,531,219.62666666666698
14.0,7.6,197.4,805.0,541,219.62666666666698
15.1,8.9,196.1,803.9,551,219.62666666666698
14.6,8.2,196.8,804.4,561,219.62666666666698
13.4,8.4,196.6,805.6,571,219.62666666666698
13.0,8.4,196.6,806.0,581,219.62666666666698
12.1,7.7,197.3,806.9,591,219.62666666666698
11.4,7.6,197.4,807.6,601,219.62666666666698
17.4,6.4,198.6,801.6,611,219.62666666666698
15.7,5.1,199.9,803.3,621,219.62666666666698
13.3,5.1,199.9,805.7,631,219.62666666666698
14.1,6.7,198.3,804.9,641,219.62666666666698
17.4,6.0,199.0,801.6,651,219.62666666666698
10.9,5.9,199.1,808.1,661,219.62666666666698
11.9,7.5,197.5,807.1,671,219.62666666666698
12.7,5.9,199.1,806.3,681,219.62666666666698
13.2,6.4,198.6,805.8,691,219.62666666666698
12.5,5.5,199.5,806.5,701,219.62666666666698
12.9,5.1,199.9,806.1,711,219.62666666666698
11.8,6.0,199.0,807.2,721,219.62666666666698
13.1,5.7,199.3,805.9,731,219.62666666666698
14.5,4.5,200.5,804.5,741,219.62666666666698
11.6,5.0,200.0,807.4,751,219.62666666666698
12.0,4.6,200.4,807.0,761,219.62666666666698
12.7,4.5,200.5,806.3,771,219.62666666666698
10.5,4.9,200.1,808.5,781,219.62666666666698
10.2,4.8,200.2,808.8,791,219.62666666666698
12.5,5.1,199.9,806.5,801,219.62666666666698
11.4,4.8,200.2,807.6,811,219.62666666666698
8.5,4.3,200.7,810.5,821,219.62666666666698
9.2,4.2,200.8,809.8,831,219.62666666666698
9.2,4.4,200.6,809.8,841,219.62666666666698
9.3,4.3,200.7,809.7,851,219.62666666666698
8.7,4.1,200.9,810.3,861,219.62666666666698
10.9,3.3,201.7,808.1,871,219.62666666666698
9.2,3.6,201.4,809.8,881,219.62666666666698
9.4,2.6,202.4,809.6,891,219.62666666666698
10.1,2.7,202.3,808.9,901,219.62666666666698
8.4,3.0,202.0,810.6,911,219.62666666666698
9.4,3.2,201.8,809.6,921,219.62666666666698
7.8,3.4,201.6,811.2,931,219.62666666666698
7.5,2.7,202.3,811.5,941,219.62666666666698
8.1,2.1,202.9,810.9,951,219.62666666666698
7.2,2.4,202.6,811.8,961,219.62666666666698
8.5,1.5,203.5,810.5,971,219.62666666666698
7.0,2.6,202.4,812.0,981,219.62666666666698
8.4,1.2,203.8,810.6,991,219.62666666666698
7.1,1.5,203.5,811.9,1001,219.62666666666698
8.4,0.6,204.4,810.6,1011,219.62666666666698
8.0,0.2,204.8,811.0,1021,219.62666666666698
