FN,FP,TN,TP,sr,t
3.0,0.0,65421.0,0.0,1,0
3.0,0.0,65421.0,0.0,655,0
3.0,0.0,65421.0,0.0,1309,0
3.0,0.0,65421.0,0.0,1963,0
3.0,0.0,65421.0,0.0,2617,0
3.0,0.0,65421.0,0.0,3271,0
3.0,0.0,65421.0,0.0,3925,0
3.0,0.0,65421.0,0.0,4579,0
3.0,0.0,65421.0,0.0,5233,0
3.0,0.0,65421.0,0.0,5887,0
3.0,0.0,65421.0,0.0,6541,0
3.0,0.0,65421.0,0.0,7195,0
2.8,0.2,65420.8,0.2,7849,0
3.0,0.0,65421.0,0.0,8503,0
3.0,0.0,65421.0,0.0,9157,0
3.0,0.0,65421.0,0.0,9811,0
3.0,0.0,65421.0,0.0,10465,0
2.8,0.4,65420.6,0.2,11119,0
2.8,0.4,65420.6,0.2,11773,0
3.0,0.0,65421.0,0.0,12427,0
3.0,0.0,65421.0,0.0,13081,0
2.8,0.4,65420.6,0.2,13735,0
2.8,0.4,65420.6,0.2,14389,0
2.8,0.4,65420.6,0.2,15043,0
2.6,0.6,65420.4,0.4,15697,0
2.4,0.6,65420.4,0.6,16351,0
2.6,0.6,65420.4,0.4,17005,0
3.0,0.0,65421.0,0.0,17659,0
3.0,0.0,65421.0,0.0,18313,0
2.6,0.4,65420.6,0.4,18967,0
2.0,1.6,65419.4,1.0,19621,0
3.0,0.0,65421.0,0.0,20275,0
3.0,0.0,65421.0,0.0,20929,0
2.8,0.2,65420.8,0.2,21583,0
3.0,0.0,65421.0,0.0,22237,0
3.0,0.0,65421.0,0.0,22891,0
2.6,0.6,65420.4,0.4,23545,0
2.8,0.2,65420.8,0.2,24199,0
2.2,1.2,65419.8,0.8,24853,0
2.6,0.4,65420.6,0.4,25507,0
2.4,0.6,65420.4,0.6,26161,0
2.8,0.2,65420.8,0.2,26815,0
2.2,1.2,65419.8,0.8,27469,0
2.4,1.0,65420.0,0.6,28123,0
2.4,1.2,65419.8,0.6,28777,0
2.6,0.6,65420.4,0.4,29431,0
2.6,0.6,65420.4,0.4,30085,0
2.8,0.4,65420.6,0.2,30739,0
2.4,0.8,65420.2,0.6,31393,0
2.8,0.2,65420.8,0.2,32047,0
2.4,0.6,65420.4,0.6,32701,0
2.4,0.8,65420.2,0.6,33355,0
2.6,0.4,65420.6,0.4,34009,0
2.4,0.8,65420.2,0.6,34663,0
2.0,1.4,65419.6,1.0,35317,0
2.4,0.8,65420.2,0.6,35971,0
2.8,0.2,65420.8,0.2,36625,0
2.2,0.8,65420.2,0.8,37279,0
2.4,0.6,65420.4,0.6,37933,0
2.6,0.4,65420.6,0.4,38587,0
2.8,0.2,65420.8,0.2,39241,0
2.8,0.4,65420.6,0.2,39895,0
2.8,0.2,65420.8,0.2,40549,0
2.2,0.8,65420.2,0.8,41203,0
2.8,0.4,65420.6,0.2,41857,0
2.2,0.8,65420.2,0.8,42511,0
3.0,0.0,65421.0,0.0,43165,0
2.8,0.2,65420.8,0.2,43819,0
2.4,0.8,65420.2,0.6,44473,0
2.2,0.8,65420.2,0.8,45127,0
2.6,0.4,65420.6,0.4,45781,0
3.0,0.0,65421.0,0.0,46435,0
3.0,0.0,65421.0,0.0,47089,0
2.8,0.4,65420.6,0.2,47743,0
2.2,1.2,65419.8,0.8,48397,0
2.8,0.2,65420.8,0.2,49051,0
2.2,0.8,65420.2,0.8,49705,0
2.4,0.6,65420.4,0.6,50359,0
2.2,0.8,65420.2,0.8,51013,0
2.6,0.4,65420.6,0.4,51667,0
2.6,0.4,65420.6,0.4,52321,0
3.0,0.0,65421.0,0.0,52975,0
2.6,0.4,65420.6,0.4,53629,0
2.4,0.6,65420.4,0.6,54283,0
2.8,0.2,65420.8,0.2,54937,0
2.8,0.2,65420.8,0.2,55591,0
2.4,0.6,65420.4,0.6,56245,0
2.8,0.2,65420.8,0.2,56899,0
2.0,1.0,65420.0,1.0,57553,0
2.8,0.2,65420.8,0.2,58207,0
2.6,0.6,65420.4,0.4,58861,0
3.0,0.0,65421.0,0.0,59515,0
2.6,0.4,65420.6,0.4,60169,0
2.6,0.4,65420.6,0.4,60823,0
2.6,0.4,65420.6,0.4,61477,0
2.6,0.4,65420.6,0.4,62131,0
2.6,0.4,65420.6,0.4,62785,0
3.0,0.0,65421.0,0.0,63439,0
3.0,0.0,65421.0,0.0,64093,0
2.8,0.2,65420.8,0.2,64747,0
3.0,0.0,65421.0,0.0,65401,0
