FN,FP,TN,TP,sr,t
19275.2,10341.6,6894.4,28912.8,1,1304
2636.7,1651.4,15584.6,45551.3,655,1304
1245.8,925.7,16310.3,46942.2,1309,1304
913.4,542.7,16693.3,47274.6,1963,1304
771.2,507.7,16728.3,47416.8,2617,1304
652.3,445.1,16790.9,47535.7,3271,1304
648.2,417.4,16818.6,47539.8,3925,1304
556.0,391.7,16844.3,47632.0,4579,1304
546.5,296.4,16939.6,47641.5,5233,1304
431.1,292.2,16943.8,47756.9,5887,1304
369.9,287.6,16948.4,47818.1,6541,1304
354.1,223.1,17012.9,47833.9,7195,1304
301.8,241.1,16994.9,47886.2,7849,1304
322.0,206.9,17029.1,47866.0,8503,1304
265.4,171.3,17064.7,47922.6,9157,1304
284.8,169.7,17066.3,47903.2,9811,1304
254.8,135.8,17100.2,47933.2,10465,1304
210.7,163.3,17072.7,47977.3,11119,1304
229.8,120.5,17115.5,47958.2,11773,1304
228.5,110.5,17125.5,47959.5,12427,1304
214.0,108.6,17127.4,47974.0,13081,1304
210.6,96.4,17139.6,47977.4,13735,1304
188.2,112.9,17123.1,47999.8,14389,1304
181.6,82.3,17153.7,48006.4,15043,1304
180.0,81.9,17154.1,48008.0,15697,1304
160.8,97.0,17139.0,48027.2,16351,1304
178.0,80.6,17155.4,48010.0,17005,1304
155.6,72.4,17163.6,48032.4,17659,1304
154.0,63.2,17172.8,48034.0,18313,1304
134.6,56.6,17179.4,48053.4,18967,1304
148.8,52.5,17183.5,48039.2,19621,1304
133.6,52.9,17183.1,48054.4,20275,1304
112.2,55.4,17180.6,48075.8,20929,1304
123.1,39.0,17197.0,48064.9,21583,1304
105.0,37.1,17198.9,48083.0,22237,1304
113.4,39.7,17196.3,48074.6,22891,1304
101.9,31.7,17204.3,48086.1,23545,1304
103.9,31.2,17204.8,48084.1,24199,1304
87.7,41.8,17194.2,48100.3,24853,1304
87.2,30.6,17205.4,48100.8,25507,1304
72.6,27.5,17208.5,48115.4,26161,1304
64.5,22.7,17213.3,48123.5,26815,1304
74.3,25.5,17210.5,48113.7,27469,1304
66.3,27.9,17208.1,48121.7,28123,1304
55.8,20.4,17215.6,48132.2,28777,1304
56.9,21.2,17214.8,48131.1,29431,1304
42.6,16.5,17219.5,48145.4,30085,1304
45.7,22.5,17213.5,48142.3,30739,1304
44.2,18.0,17218.0,48143.8,31393,1304
38.4,17.1,17218.9,48149.6,32047,1304
44.6,19.2,17216.8,48143.4,32701,1304
34.5,13.0,17223.0,48153.5,33355,1304
35.4,14.0,17222.0,48152.6,34009,1304
32.2,14.7,17221.3,48155.8,34663,1304
21.3,16.3,17219.7,48166.7,35317,1304
22.7,12.1,17223.9,48165.3,35971,1304
26.2,9.3,17226.7,48161.8,36625,1304
20.9,8.6,17227.4,48167.1,37279,1304
20.1,9.6,17226.4,48167.9,37933,1304
20.7,7.2,17228.8,48167.3,38587,1304
18.2,5.3,17230.7,48169.8,39241,1304
20.8,3.4,17232.6,48167.2,39895,1304
21.2,5.5,17230.5,48166.8,40549,1304
17.8,8.1,17227.9,48170.2,41203,1304
11.6,6.6,17229.4,48176.4,41857,1304
14.2,3.9,17232.1,48173.8,42511,1304
10.7,7.2,17228.8,48177.3,43165,1304
7.6,3.8,17232.2,48180.4,43819,1304
13.0,4.6,17231.4,48175.0,44473,1304
7.9,3.6,17232.4,48180.1,45127,1304
9.5,4.1,17231.9,48178.5,45781,1304
7.5,4.3,17231.7,48180.5,46435,1304
9.4,4.2,17231.8,48178.6,47089,1304
7.2,3.1,17232.9,48180.8,47743,1304
5.2,4.2,17231.8,48182.8,48397,1304
4.8,2.7,17233.3,48183.2,49051,1304
5.9,3.4,17232.6,48182.1,49705,1304
6.1,2.2,17233.8,48181.9,50359,1304
6.3,3.8,17232.2,48181.7,51013,1304
6.0,2.3,17233.7,48182.0,51667,1304
5.8,3.0,17233.0,48182.2,52321,1304
5.0,2.8,17233.2,48183.0,52975,1304
4.7,2.8,17233.2,48183.3,53629,1304
4.5,2.3,17233.7,48183.5,54283,1304
5.9,2.2,17233.8,48182.1,54937,1304
5.4,2.2,17233.8,48182.6,55591,1304
5.0,2.0,17234.0,48183.0,56245,1304
5.3,2.0,17234.0,48182.7,56899,1304
4.8,2.3,17233.7,48183.2,57553,1304
4.8,2.2,17233.8,48183.2,58207,1304
4.3,2.3,17233.7,48183.7,58861,1304
4.7,2.1,17233.9,48183.3,59515,1304
4.8,2.1,17233.9,48183.2,60169,1304
4.7,2.1,17233.9,48183.3,60823,1304
4.5,2.3,17233.7,48183.5,61477,1304
3.9,2.3,17233.7,48184.1,62131,1304
4.3,2.1,17233.9,48183.7,62785,1304
4.3,2.0,17234.0,48183.7,63439,1304
4.0,2.1,17233.9,48184.0,64093,1304
4.1,2.0,17234.0,48183.9,64747,1304
4.0,2.0,17234.0,48184.0,65401,1304
