FN,FP,TN,TP,sr,t
20933.6,7854.0,5236.0,31400.4,1,234672
1593.9,892.9,12197.1,50740.1,655,234672
1022.8,650.1,12439.9,51311.2,1309,234672
871.8,480.5,12609.5,51462.2,1963,234672
734.6,409.0,12681.0,51599.4,2617,234672
557.7,310.1,12779.9,51776.3,3271,234672
524.1,270.3,12819.7,51809.9,3925,234672
406.5,227.2,12862.8,51927.5,4579,234672
348.8,225.4,12864.6,51985.2,5233,234672
292.0,207.6,12882.4,52042.0,5887,234672
271.4,185.6,12904.4,52062.6,6541,234672
268.3,181.8,12908.2,52065.7,7195,234672
187.6,178.6,12911.4,52146.4,7849,234672
170.5,172.4,12917.6,52163.5,8503,234672
174.3,160.5,12929.5,52159.7,9157,234672
163.0,153.7,12936.3,52171.0,9811,234672
156.7,145.2,12944.8,52177.3,10465,234672
135.1,162.3,12927.7,52198.9,11119,234672
148.6,145.1,12944.9,52185.4,11773,234672
130.7,138.2,12951.8,52203.3,12427,234672
115.8,147.5,12942.5,52218.2,13081,234672
117.2,145.8,12944.2,52216.8,13735,234672
114.7,131.3,12958.7,52219.3,14389,234672
122.0,124.0,12966.0,52212.0,15043,234672
118.9,126.2,12963.8,52215.1,15697,234672
109.9,119.7,12970.3,52224.1,16351,234672
100.3,112.5,12977.5,52233.7,17005,234672
98.8,106.8,12983.2,52235.2,17659,234672
104.9,104.0,12986.0,52229.1,18313,234672
105.7,105.8,12984.2,52228.3,18967,234672
98.7,102.4,12987.6,52235.3,19621,234672
97.1,102.2,12987.8,52236.9,20275,234672
94.0,87.1,13002.9,52240.0,20929,234672
91.4,91.1,12998.9,52242.6,21583,234672
82.6,90.8,12999.2,52251.4,22237,234672
79.6,82.1,13007.9,52254.4,22891,234672
74.2,72.5,13017.5,52259.8,23545,234672
74.6,83.1,13006.9,52259.4,24199,234672
74.1,73.2,13016.8,52259.9,24853,234672
70.0,79.2,13010.8,52264.0,25507,234672
66.1,64.2,13025.8,52267.9,26161,234672
69.1,60.2,13029.8,52264.9,26815,234672
74.3,61.4,13028.6,52259.7,27469,234672
67.1,65.6,13024.4,52266.9,28123,234672
60.5,60.4,13029.6,52273.5,28777,234672
65.4,49.4,13040.6,52268.6,29431,234672
63.9,55.7,13034.3,52270.1,30085,234672
59.3,42.9,13047.1,52274.7,30739,234672
58.5,51.2,13038.8,52275.5,31393,234672
54.4,44.1,13045.9,52279.6,32047,234672
56.3,47.5,13042.5,52277.7,32701,234672
55.2,43.1,13046.9,52278.8,33355,234672
53.0,37.7,13052.3,52281.0,34009,234672
54.8,41.1,13048.9,52279.2,34663,234672
52.4,34.1,13055.9,52281.6,35317,234672
50.1,31.4,13058.6,52283.9,35971,234672
52.5,31.1,13058.9,52281.5,36625,234672
48.5,31.6,13058.4,52285.5,37279,234672
43.7,35.1,13054.9,52290.3,37933,234672
50.3,25.1,13064.9,52283.7,38587,234672
42.6,22.7,13067.3,52291.4,39241,234672
45.7,29.2,13060.8,52288.3,39895,234672
41.6,24.7,13065.3,52292.4,40549,234672
43.4,20.0,13070.0,52290.6,41203,234672
38.3,21.5,13068.5,52295.7,41857,234672
40.8,22.9,13067.1,52293.2,42511,234672
42.7,21.8,13068.2,52291.3,43165,234672
46.2,17.8,13072.2,52287.8,43819,234672
40.9,18.4,13071.6,52293.1,44473,234672
40.3,17.6,13072.4,52293.7,45127,234672
37.3,16.4,13073.6,52296.7,45781,234672
38.8,14.8,13075.2,52295.2,46435,234672
37.9,14.9,13075.1,52296.1,47089,234672
36.6,13.8,13076.2,52297.4,47743,234672
39.5,12.6,13077.4,52294.5,48397,234672
38.6,10.9,13079.1,52295.4,49051,234672
34.7,13.1,13076.9,52299.3,49705,234672
36.2,12.4,13077.6,52297.8,50359,234672
33.6,13.1,13076.9,52300.4,51013,234672
32.1,12.2,13077.8,52301.9,51667,234672
36.0,10.5,13079.5,52298.0,52321,234672
31.3,12.4,13077.6,52302.7,52975,234672
32.3,10.2,13079.8,52301.7,53629,234672
30.2,11.5,13078.5,52303.8,54283,234672
31.8,10.8,13079.2,52302.2,54937,234672
29.2,10.6,13079.4,52304.8,55591,234672
31.5,9.9,13080.1,52302.5,56245,234672
29.2,9.6,13080.4,52304.8,56899,234672
27.5,9.7,13080.3,52306.5,57553,234672
27.9,9.5,13080.5,52306.1,58207,234672
28.3,9.6,13080.4,52305.7,58861,234672
28.9,8.9,13081.1,52305.1,59515,234672
27.6,8.2,13081.8,52306.4,60169,234672
26.6,9.0,13081.0,52307.4,60823,234672
25.8,8.9,13081.1,52308.2,61477,234672
27.1,8.5,13081.5,52306.9,62131,234672
25.6,8.2,13081.8,52308.4,62785,234672
24.7,8.3,13081.7,52309.3,63439,234672
23.8,8.1,13081.9,52310.2,64093,234672
24.1,8.3,13081.7,52309.9,64747,234672
23.2,8.0,13082.0,52310.8,65401,234672
