FN,FP,TN,TP,sr,t
10345.0,10959.2,2739.8,41380.0,1,0.8
5814.7,3935.4,9763.6,45910.3,655,0.8
5572.8,3429.6,10269.4,46152.2,1309,0.8
4730.2,3334.7,10364.3,46994.8,1963,0.8
4498.2,3198.0,10501.0,47226.8,2617,0.8
4088.3,3265.4,10433.6,47636.7,3271,0.8
3718.5,3147.9,10551.1,48006.5,3925,0.8
3705.5,3071.1,10627.9,48019.5,4579,0.8
3666.8,3009.1,10689.9,48058.2,5233,0.8
3405.1,3017.3,10681.7,48319.9,5887,0.8
3310.1,3002.5,10696.5,48414.9,6541,0.8
3264.3,2896.3,10802.7,48460.7,7195,0.8
3261.2,2806.1,10892.9,48463.8,7849,0.8
3093.9,2818.8,10880.2,48631.1,8503,0.8
2903.5,2904.0,10795.0,48821.5,9157,0.8
3004.5,2848.1,10850.9,48720.5,9811,0.8
2817.9,2849.4,10849.6,48907.1,10465,0.8
2910.8,2776.3,10922.7,48814.2,11119,0.8
2799.6,2734.2,10964.8,48925.4,11773,0.8
2766.3,2773.5,10925.5,48958.7,12427,0.8
2851.4,2631.6,11067.4,48873.6,13081,0.8
2832.0,2642.7,11056.3,48893.0,13735,0.8
2825.0,2619.1,11079.9,48900.0,14389,0.8
2772.3,2679.0,11020.0,48952.7,15043,0.8
2709.6,2607.9,11091.1,49015.4,15697,0.8
2710.9,2544.2,11154.8,49014.1,16351,0.8
2678.5,2536.5,11162.5,49046.5,17005,0.8
2597.3,2606.5,11092.5,49127.7,17659,0.8
2641.6,2491.8,11207.2,49083.4,18313,0.8
2595.4,2522.9,11176.1,49129.6,18967,0.8
2540.0,2471.8,11227.2,49185.0,19621,0.8
2474.3,2481.7,11217.3,49250.7,20275,0.8
2515.8,2434.1,11264.9,49209.2,20929,0.8
2548.3,2402.7,11296.3,49176.7,21583,0.8
2514.2,2414.5,11284.5,49210.8,22237,0.8
2477.9,2360.1,11338.9,49247.1,22891,0.8
2392.7,2396.6,11302.4,49332.3,23545,0.8
2439.4,2358.8,11340.2,49285.6,24199,0.8
2396.2,2324.4,11374.6,49328.8,24853,0.8
2334.6,2356.1,11342.9,49390.4,25507,0.8
2404.6,2277.9,11421.1,49320.4,26161,0.8
2323.8,2317.6,11381.4,49401.2,26815,0.8
2322.3,2266.6,11432.4,49402.7,27469,0.8
2304.8,2241.8,11457.2,49420.2,28123,0.8
2386.7,2187.2,11511.8,49338.3,28777,0.8
2319.2,2190.0,11509.0,49405.8,29431,0.8
2307.9,2171.8,11527.2,49417.1,30085,0.8
2260.4,2171.5,11527.5,49464.6,30739,0.8
2273.9,2144.6,11554.4,49451.1,31393,0.8
2275.9,2160.1,11538.9,49449.1,32047,0.8
2259.0,2104.0,11595.0,49466.0,32701,0.8
2228.5,2087.3,11611.7,49496.5,33355,0.8
2247.4,2043.5,11655.5,49477.6,34009,0.8
2240.6,2039.7,11659.3,49484.4,34663,0.8
2205.9,2027.1,11671.9,49519.1,35317,0.8
2193.0,1996.5,11702.5,49532.0,35971,0.8
2139.1,2021.5,11677.5,49585.9,36625,0.8
2190.5,1966.9,11732.1,49534.5,37279,0.8
2195.2,1913.4,11785.6,49529.8,37933,0.8
2174.8,1917.0,11782.0,49550.2,38587,0.8
2162.7,1910.7,11788.3,49562.3,39241,0.8
2084.2,1936.2,11762.8,49640.8,39895,0.8
2098.0,1869.0,11830.0,49627.0,40549,0.8
2115.9,1859.1,11839.9,49609.1,41203,0.8
2019.7,1859.6,11839.4,49705.3,41857,0.8
2021.6,1862.3,11836.7,49703.4,42511,0.8
2036.5,1812.5,11886.5,49688.5,43165,0.8
2009.9,1802.6,11896.4,49715.1,43819,0.8
1981.8,1806.0,11893.0,49743.2,44473,0.8
1998.9,1789.2,11909.8,49726.1,45127,0.8
1939.1,1783.8,11915.2,49785.9,45781,0.8
1980.7,1731.7,11967.3,49744.3,46435,0.8
1936.0,1735.3,11963.7,49789.0,47089,0.8
1935.7,1704.4,11994.6,49789.3,47743,0.8
1890.3,1728.4,11970.6,49834.7,48397,0.8
1919.2,1673.9,12025.1,49805.8,49051,0.8
1895.4,1640.8,12058.2,49829.6,49705,0.8
1875.0,1633.4,12065.6,49850.0,50359,0.8
1925.5,1565.8,12133.2,49799.5,51013,0.8
1884.8,1566.7,12132.3,49840.2,51667,0.8
1821.0,1599.9,12099.1,49904.0,52321,0.8
1836.9,1533.6,12165.4,49888.1,52975,0.8
1817.6,1547.4,12151.6,49907.4,53629,0.8
1823.7,1499.4,12199.6,49901.3,54283,0.8
1783.3,1510.9,12188.1,49941.7,54937,0.8
1818.4,1455.6,12243.4,49906.6,55591,0.8
1761.3,1463.2,12235.8,49963.7,56245,0.8
1770.9,1419.7,12279.3,49954.1,56899,0.8
1723.4,1445.5,12253.5,50001.6,57553,0.8
1725.4,1408.1,12290.9,49999.6,58207,0.8
1756.4,1352.1,12346.9,49968.6,58861,0.8
1719.9,1361.6,12337.4,50005.1,59515,0.8
1710.4,1336.6,12362.4,50014.6,60169,0.8
1687.2,1336.1,12362.9,50037.8,60823,0.8
1696.8,1275.1,12423.9,50028.2,61477,0.8
1661.7,1304.4,12394.6,50063.3,62131,0.8
1615.8,1283.1,12415.9,50109.2,62785,0.8
1662.3,1227.1,12471.9,50062.7,63439,0.8
1605.8,1248.9,12450.1,50119.2,64093,0.8
1610.9,1232.5,12466.5,50114.1,64747,0.8
1595.7,1211.2,12487.8,50129.3,65401,0.8
