FN,FP,TN,TP,sr,t
14034.0,13050.8,5593.2,32746.0,1,192
24.8,0.0,18644.0,46755.2,655,192
20.8,0.0,18644.0,46759.2,1309,192
15.2,0.0,18644.0,46764.8,1963,192
9.6,0.0,18644.0,46770.4,2617,192
11.6,0.0,18644.0,46768.4,3271,192
4.8,0.0,18644.0,46775.2,3925,192
1.6,0.0,18644.0,46778.4,4579,192
8.0,0.0,18644.0,46772.0,5233,192
4.8,0.0,18644.0,46775.2,5887,192
1.6,0.0,18644.0,46778.4,6541,192
4.8,0.0,18644.0,46775.2,7195,192
1.6,0.0,18644.0,46778.4,7849,192
1.6,0.0,18644.0,46778.4,8503,192
0.0,0.0,18644.0,46780.0,9157,192
0.0,0.0,18644.0,46780.0,9811,192
0.0,0.0,18644.0,46780.0,10465,192
0.0,0.0,18644.0,46780.0,11119,192
0.0,0.0,18644.0,46780.0,11773,192
1.6,0.0,18644.0,46778.4,12427,192
0.0,0.0,18644.0,46780.0,13081,192
0.0,0.0,18644.0,46780.0,13735,192
0.0,0.0,18644.0,46780.0,14389,192
1.6,0.0,18644.0,46778.4,15043,192
0.0,0.0,18644.0,46780.0,15697,192
0.0,0.0,18644.0,46780.0,16351,192
0.0,0.0,18644.0,46780.0,17005,192
0.0,0.0,18644.0,46780.0,17659,192
0.0,0.0,18644.0,46780.0,18313,192
0.0,0.0,18644.0,46780.0,18967,192
0.0,0.0,18644.0,46780.0,19621,192
0.0,0.0,18644.0,46780.0,20275,192
0.0,0.0,18644.0,46780.0,20929,192
0.0,0.0,18644.0,46780.0,21583,192
0.0,0.0,18644.0,46780.0,22237,192
0.0,0.0,18644.0,46780.0,22891,192
0.0,0.0,18644.0,46780.0,23545,192
0.0,0.0,18644.0,46780.0,24199,192
0.0,0.0,18644.0,46780.0,24853,192
0.0,0.0,18644.0,46780.0,25507,192
0.0,0.0,18644.0,46780.0,26161,192
0.0,0.0,18644.0,46780.0,26815,192
0.0,0.0,18644.0,46780.0,27469,192
0.0,0.0,18644.0,46780.0,28123,192
0.0,0.0,18644.0,46780.0,28777,192
0.0,0.0,18644.0,46780.0,29431,192
0.0,0.0,18644.0,46780.0,30085,192
0.0,0.0,18644.0,46780.0,30739,192
0.0,0.0,18644.0,46780.0,31393,192
0.0,0.0,18644.0,46780.0,32047,192
0.0,0.0,18644.0,46780.0,32701,192
0.0,0.0,18644.0,46780.0,33355,192
0.0,0.0,18644.0,46780.0,34009,192
0.0,0.0,18644.0,46780.0,34663,192
0.0,0.0,18644.0,46780.0,35317,192
0.0,0.0,18644.0,46780.0,35971,192
0.0,0.0,18644.0,46780.0,36625,192
0.0,0.0,18644.0,46780.0,37279,192
0.0,0.0,18644.0,46780.0,37933,192
0.0,0.0,18644.0,46780.0,38587,192
0.0,0.0,18644.0,46780.0,39241,192
0.0,0.0,18644.0,46780.0,39895,192
0.0,0.0,18644.0,46780.0,40549,192
0.0,0.0,18644.0,46780.0,41203,192
0.0,0.0,18644.0,46780.0,41857,192
0.0,0.0,18644.0,46780.0,42511,192
0.0,0.0,18644.0,46780.0,43165,192
0.0,0.0,18644.0,46780.0,43819,192
0.0,0.0,18644.0,46780.0,44473,192
0.0,0.0,18644.0,46780.0,45127,192
0.0,0.0,18644.0,46780.0,45781,192
0.0,0.0,18644.0,46780.0,46435,192
0.0,0.0,18644.0,46780.0,47089,192
0.0,0.0,18644.0,46780.0,47743,192
0.0,0.0,18644.0,46780.0,48397,192
0.0,0.0,18644.0,46780.0,49051,192
0.0,0.0,18644.0,46780.0,49705,192
0.0,0.0,18644.0,46780.0,50359,192
0.0,0.0,18644.0,46780.0,51013,192
0.0,0.0,18644.0,46780.0,51667,192
0.0,0.0,18644.0,46780.0,52321,192
0.0,0.0,18644.0,46780.0,52975,192
0.0,0.0,18644.0,46780.0,53629,192
0.0,0.0,18644.0,46780.0,54283,192
0.0,0.0,18644.0,46780.0,54937,192
0.0,0.0,18644.0,46780.0,55591,192
0.0,0.0,18644.0,46780.0,56245,192
0.0,0.0,18644.0,46780.0,56899,192
0.0,0.0,18644.0,46780.0,57553,192
0.0,0.0,18644.0,46780.0,58207,192
0.0,0.0,18644.0,46780.0,58861,192
0.0,0.0,18644.0,46780.0,59515,192
0.0,0.0,18644.0,46780.0,60169,192
0.0,0.0,18644.0,46780.0,60823,192
0.0,0.0,18644.0,46780.0,61477,192
0.0,0.0,18644.0,46780.0,62131,192
0.0,0.0,18644.0,46780.0,62785,192
0.0,0.0,18644.0,46780.0,63439,192
0.0,0.0,18644.0,46780.0,64093,192
0.0,0.0,18644.0,46780.0,64747,192
0.0,0.0,18644.0,46780.0,65401,192
