FN,FP,TN,TP,sr,t
14016.0,13092.8,5611.2,32704.0,1,3
21.2,0.0,18704.0,46698.8,655,3
10.6,0.0,18704.0,46709.4,1309,3
10.6,0.0,18704.0,46709.4,1963,3
10.6,0.0,18704.0,46709.4,2617,3
0.0,0.0,18704.0,46720.0,3271,3
5.3,0.0,18704.0,46714.7,3925,3
10.6,0.0,18704.0,46709.4,4579,3
0.0,0.0,18704.0,46720.0,5233,3
0.0,0.0,18704.0,46720.0,5887,3
0.0,0.0,18704.0,46720.0,6541,3
0.0,0.0,18704.0,46720.0,7195,3
0.0,0.0,18704.0,46720.0,7849,3
0.0,0.0,18704.0,46720.0,8503,3
0.0,0.0,18704.0,46720.0,9157,3
0.0,0.0,18704.0,46720.0,9811,3
0.0,0.0,18704.0,46720.0,10465,3
0.0,0.0,18704.0,46720.0,11119,3
0.0,0.0,18704.0,46720.0,11773,3
0.0,0.0,18704.0,46720.0,12427,3
0.0,0.0,18704.0,46720.0,13081,3
0.0,0.0,18704.0,46720.0,13735,3
0.0,0.0,18704.0,46720.0,14389,3
0.0,0.0,18704.0,46720.0,15043,3
0.0,0.0,18704.0,46720.0,15697,3
0.0,0.0,18704.0,46720.0,16351,3
0.0,0.0,18704.0,46720.0,17005,3
0.0,0.0,18704.0,46720.0,17659,3
0.0,0.0,18704.0,46720.0,18313,3
0.0,0.0,18704.0,46720.0,18967,3
0.0,0.0,18704.0,46720.0,19621,3
0.0,0.0,18704.0,46720.0,20275,3
0.0,0.0,18704.0,46720.0,20929,3
0.0,0.0,18704.0,46720.0,21583,3
0.0,0.0,18704.0,46720.0,22237,3
0.0,0.0,18704.0,46720.0,22891,3
0.0,0.0,18704.0,46720.0,23545,3
0.0,0.0,18704.0,46720.0,24199,3
0.0,0.0,18704.0,46720.0,24853,3
0.0,0.0,18704.0,46720.0,25507,3
0.0,0.0,18704.0,46720.0,26161,3
0.0,0.0,18704.0,46720.0,26815,3
0.0,0.0,18704.0,46720.0,27469,3
0.0,0.0,18704.0,46720.0,28123,3
0.0,0.0,18704.0,46720.0,28777,3
0.0,0.0,18704.0,46720.0,29431,3
0.0,0.0,18704.0,46720.0,30085,3
0.0,0.0,18704.0,46720.0,30739,3
0.0,0.0,18704.0,46720.0,31393,3
0.0,0.0,18704.0,46720.0,32047,3
0.0,0.0,18704.0,46720.0,32701,3
0.0,0.0,18704.0,46720.0,33355,3
0.0,0.0,18704.0,46720.0,34009,3
0.0,0.0,18704.0,46720.0,34663,3
0.0,0.0,18704.0,46720.0,35317,3
0.0,0.0,18704.0,46720.0,35971,3
0.0,0.0,18704.0,46720.0,36625,3
0.0,0.0,18704.0,46720.0,37279,3
0.0,0.0,18704.0,46720.0,37933,3
0.0,0.0,18704.0,46720.0,38587,3
0.0,0.0,18704.0,46720.0,39241,3
0.0,0.0,18704.0,46720.0,39895,3
0.0,0.0,18704.0,46720.0,40549,3
0.0,0.0,18704.0,46720.0,41203,3
0.0,0.0,18704.0,46720.0,41857,3
0.0,0.0,18704.0,46720.0,42511,3
0.0,0.0,18704.0,46720.0,43165,3
0.0,0.0,18704.0,46720.0,43819,3
0.0,0.0,18704.0,46720.0,44473,3
0.0,0.0,18704.0,46720.0,45127,3
0.0,0.0,18704.0,46720.0,45781,3
0.0,0.0,18704.0,46720.0,46435,3
0.0,0.0,18704.0,46720.0,47089,3
0.0,0.0,18704.0,46720.0,47743,3
0.0,0.0,18704.0,46720.0,48397,3
0.0,0.0,18704.0,46720.0,49051,3
0.0,0.0,18704.0,46720.0,49705,3
0.0,0.0,18704.0,46720.0,50359,3
0.0,0.0,18704.0,46720.0,51013,3
0.0,0.0,18704.0,46720.0,51667,3
0.0,0.0,18704.0,46720.0,52321,3
0.0,0.0,18704.0,46720.0,52975,3
0.0,0.0,18704.0,46720.0,53629,3
0.0,0.0,18704.0,46720.0,54283,3
0.0,0.0,18704.0,46720.0,54937,3
0.0,0.0,18704.0,46720.0,55591,3
0.0,0.0,18704.0,46720.0,56245,3
0.0,0.0,18704.0,46720.0,56899,3
0.0,0.0,18704.0,46720.0,57553,3
0.0,0.0,18704.0,46720.0,58207,3
0.0,0.0,18704.0,46720.0,58861,3
0.0,0.0,18704.0,46720.0,59515,3
0.0,0.0,18704.0,46720.0,60169,3
0.0,0.0,18704.0,46720.0,60823,3
0.0,0.0,18704.0,46720.0,61477,3
0.0,0.0,18704.0,46720.0,62131,3
0.0,0.0,18704.0,46720.0,62785,3
0.0,0.0,18704.0,46720.0,63439,3
0.0,0.0,18704.0,46720.0,64093,3
0.0,0.0,18704.0,46720.0,64747,3
0.0,0.0,18704.0,46720.0,65401,3
