FN,FP,TN,TP,sr,t
3925.0,0.0,61499.0,0.0,1,-1.0
183.5,130.1,61368.9,3741.5,655,-1.0
199.6,85.5,61413.5,3725.4,1309,-1.0
223.3,61.3,61437.7,3701.7,1963,-1.0
179.9,49.6,61449.4,3745.1,2617,-1.0
148.7,62.1,61436.9,3776.3,3271,-1.0
97.1,38.0,61461.0,3827.9,3925,-1.0
82.3,40.5,61458.5,3842.7,4579,-1.0
99.8,33.5,61465.5,3825.2,5233,-1.0
64.2,45.0,61454.0,3860.8,5887,-1.0
76.6,23.1,61475.9,3848.4,6541,-1.0
70.7,52.4,61446.6,3854.3,7195,-1.0
64.4,47.4,61451.6,3860.6,7849,-1.0
74.0,20.9,61478.1,3851.0,8503,-1.0
60.2,52.7,61446.3,3864.8,9157,-1.0
64.8,31.4,61467.6,3860.2,9811,-1.0
63.8,32.6,61466.4,3861.2,10465,-1.0
59.5,73.0,61426.0,3865.5,11119,-1.0
62.1,40.2,61458.8,3862.9,11773,-1.0
63.5,44.8,61454.2,3861.5,12427,-1.0
62.1,51.7,61447.3,3862.9,13081,-1.0
57.2,57.7,61441.3,3867.8,13735,-1.0
59.7,51.0,61448.0,3865.3,14389,-1.0
55.7,64.5,61434.5,3869.3,15043,-1.0
54.5,53.1,61445.9,3870.5,15697,-1.0
59.9,40.9,61458.1,3865.1,16351,-1.0
58.1,42.3,61456.7,3866.9,17005,-1.0
60.2,40.2,61458.8,3864.8,17659,-1.0
59.7,34.5,61464.5,3865.3,18313,-1.0
59.4,37.9,61461.1,3865.6,18967,-1.0
59.6,41.5,61457.5,3865.4,19621,-1.0
61.4,35.4,61463.6,3863.6,20275,-1.0
59.6,39.0,61460.0,3865.4,20929,-1.0
59.6,34.9,61464.1,3865.4,21583,-1.0
61.7,24.9,61474.1,3863.3,22237,-1.0
60.4,29.4,61469.6,3864.6,22891,-1.0
62.2,25.5,61473.5,3862.8,23545,-1.0
59.1,27.4,61471.6,3865.9,24199,-1.0
59.7,33.3,61465.7,3865.3,24853,-1.0
62.0,25.4,61473.6,3863.0,25507,-1.0
61.3,23.2,61475.8,3863.7,26161,-1.0
61.8,24.0,61475.0,3863.2,26815,-1.0
60.2,26.4,61472.6,3864.8,27469,-1.0
61.8,22.0,61477.0,3863.2,28123,-1.0
60.8,21.7,61477.3,3864.2,28777,-1.0
60.8,24.7,61474.3,3864.2,29431,-1.0
61.9,18.7,61480.3,3863.1,30085,-1.0
61.9,21.7,61477.3,3863.1,30739,-1.0
61.5,20.7,61478.3,3863.5,31393,-1.0
62.0,19.3,61479.7,3863.0,32047,-1.0
61.2,19.5,61479.5,3863.8,32701,-1.0
62.3,16.6,61482.4,3862.7,33355,-1.0
60.6,17.6,61481.4,3864.4,34009,-1.0
61.5,16.5,61482.5,3863.5,34663,-1.0
61.7,19.0,61480.0,3863.3,35317,-1.0
61.1,17.4,61481.6,3863.9,35971,-1.0
61.5,15.8,61483.2,3863.5,36625,-1.0
61.0,14.4,61484.6,3864.0,37279,-1.0
61.2,14.4,61484.6,3863.8,37933,-1.0
60.9,17.8,61481.2,3864.1,38587,-1.0
61.9,14.7,61484.3,3863.1,39241,-1.0
61.4,13.2,61485.8,3863.6,39895,-1.0
60.6,14.1,61484.9,3864.4,40549,-1.0
60.7,13.1,61485.9,3864.3,41203,-1.0
61.5,12.9,61486.1,3863.5,41857,-1.0
61.4,13.8,61485.2,3863.6,42511,-1.0
62.1,11.9,61487.1,3862.9,43165,-1.0
60.8,14.6,61484.4,3864.2,43819,-1.0
62.6,12.1,61486.9,3862.4,44473,-1.0
61.8,12.7,61486.3,3863.2,45127,-1.0
60.5,12.0,61487.0,3864.5,45781,-1.0
60.5,11.7,61487.3,3864.5,46435,-1.0
62.3,10.5,61488.5,3862.7,47089,-1.0
62.0,9.8,61489.2,3863.0,47743,-1.0
61.5,9.0,61490.0,3863.5,48397,-1.0
62.5,8.6,61490.4,3862.5,49051,-1.0
61.5,9.7,61489.3,3863.5,49705,-1.0
61.6,8.3,61490.7,3863.4,50359,-1.0
61.9,7.4,61491.6,3863.1,51013,-1.0
61.9,7.2,61491.8,3863.1,51667,-1.0
62.5,6.6,61492.4,3862.5,52321,-1.0
62.4,6.6,61492.4,3862.6,52975,-1.0
60.8,7.1,61491.9,3864.2,53629,-1.0
61.8,7.4,61491.6,3863.2,54283,-1.0
61.3,6.3,61492.7,3863.7,54937,-1.0
61.6,5.2,61493.8,3863.4,55591,-1.0
61.4,5.3,61493.7,3863.6,56245,-1.0
61.7,5.7,61493.3,3863.3,56899,-1.0
61.6,4.9,61494.1,3863.4,57553,-1.0
60.9,5.2,61493.8,3864.1,58207,-1.0
61.2,4.3,61494.7,3863.8,58861,-1.0
61.9,4.1,61494.9,3863.1,59515,-1.0
61.7,4.5,61494.5,3863.3,60169,-1.0
61.7,3.2,61495.8,3863.3,60823,-1.0
61.5,3.4,61495.6,3863.5,61477,-1.0
61.8,3.0,61496.0,3863.2,62131,-1.0
61.1,3.7,61495.3,3863.9,62785,-1.0
61.8,2.4,61496.6,3863.2,63439,-1.0
61.3,3.0,61496.0,3863.7,64093,-1.0
61.0,2.5,61496.5,3864.0,64747,-1.0
60.7,2.3,61496.7,3864.3,65401,-1.0
