FN,FP,TN,TP,sr,t
284.0,0.0,65140.0,0.0,1,0
248.7,168.8,64971.2,35.3,655,0
212.4,70.0,65070.0,71.6,1309,0
158.0,51.3,65088.7,126.0,1963,0
158.8,24.1,65115.9,125.2,2617,0
99.3,43.5,65096.5,184.7,3271,0
90.1,31.8,65108.2,193.9,3925,0
74.9,31.7,65108.3,209.1,4579,0
51.6,39.2,65100.8,232.4,5233,0
47.5,31.3,65108.7,236.5,5887,0
46.5,33.1,65106.9,237.5,6541,0
54.6,26.8,65113.2,229.4,7195,0
44.3,33.2,65106.8,239.7,7849,0
32.3,37.0,65103.0,251.7,8503,0
40.5,25.6,65114.4,243.5,9157,0
33.4,29.9,65110.1,250.6,9811,0
44.1,25.4,65114.6,239.9,10465,0
44.0,25.5,65114.5,240.0,11119,0
34.2,25.4,65114.6,249.8,11773,0
45.6,27.2,65112.8,238.4,12427,0
41.8,22.8,65117.2,242.2,13081,0
38.5,22.2,65117.8,245.5,13735,0
30.9,29.3,65110.7,253.1,14389,0
48.6,22.8,65117.2,235.4,15043,0
29.0,25.3,65114.7,255.0,15697,0
34.7,23.9,65116.1,249.3,16351,0
32.2,23.9,65116.1,251.8,17005,0
24.4,20.8,65119.2,259.6,17659,0
27.2,21.4,65118.6,256.8,18313,0
26.8,21.6,65118.4,257.2,18967,0
22.4,22.9,65117.1,261.6,19621,0
21.5,23.3,65116.7,262.5,20275,0
31.1,20.5,65119.5,252.9,20929,0
22.8,17.9,65122.1,261.2,21583,0
22.0,21.4,65118.6,262.0,22237,0
27.9,17.0,65123.0,256.1,22891,0
20.5,16.2,65123.8,263.5,23545,0
24.8,17.9,65122.1,259.2,24199,0
25.4,16.3,65123.7,258.6,24853,0
25.5,18.4,65121.6,258.5,25507,0
19.8,16.8,65123.2,264.2,26161,0
20.1,15.2,65124.8,263.9,26815,0
20.1,15.8,65124.2,263.9,27469,0
24.2,13.1,65126.9,259.8,28123,0
19.2,12.6,65127.4,264.8,28777,0
19.6,13.2,65126.8,264.4,29431,0
18.5,11.7,65128.3,265.5,30085,0
14.8,12.5,65127.5,269.2,30739,0
19.9,10.5,65129.5,264.1,31393,0
17.0,12.4,65127.6,267.0,32047,0
15.5,13.1,65126.9,268.5,32701,0
21.5,7.6,65132.4,262.5,33355,0
12.6,12.4,65127.6,271.4,34009,0
19.1,10.2,65129.8,264.9,34663,0
14.5,10.4,65129.6,269.5,35317,0
17.1,7.9,65132.1,266.9,35971,0
15.1,9.1,65130.9,268.9,36625,0
15.4,11.0,65129.0,268.6,37279,0
14.4,10.3,65129.7,269.6,37933,0
13.7,10.2,65129.8,270.3,38587,0
12.4,10.2,65129.8,271.6,39241,0
15.5,8.9,65131.1,268.5,39895,0
12.8,9.5,65130.5,271.2,40549,0
12.6,9.1,65130.9,271.4,41203,0
10.9,7.2,65132.8,273.1,41857,0
11.5,8.4,65131.6,272.5,42511,0
11.9,8.2,65131.8,272.1,43165,0
11.3,8.4,65131.6,272.7,43819,0
12.9,8.2,65131.8,271.1,44473,0
13.7,7.8,65132.2,270.3,45127,0
12.7,6.2,65133.8,271.3,45781,0
11.1,5.5,65134.5,272.9,46435,0
11.7,6.6,65133.4,272.3,47089,0
11.0,5.3,65134.7,273.0,47743,0
11.2,6.1,65133.9,272.8,48397,0
11.6,5.4,65134.6,272.4,49051,0
9.5,7.9,65132.1,274.5,49705,0
10.2,5.7,65134.3,273.8,50359,0
10.7,4.8,65135.2,273.3,51013,0
9.6,5.5,65134.5,274.4,51667,0
10.3,4.3,65135.7,273.7,52321,0
9.6,4.9,65135.1,274.4,52975,0
8.8,4.4,65135.6,275.2,53629,0
7.7,4.2,65135.8,276.3,54283,0
7.6,4.7,65135.3,276.4,54937,0
7.2,3.5,65136.5,276.8,55591,0
7.9,2.9,65137.1,276.1,56245,0
8.4,2.6,65137.4,275.6,56899,0
7.6,3.4,65136.6,276.4,57553,0
7.8,2.9,65137.1,276.2,58207,0
7.4,2.1,65137.9,276.6,58861,0
7.3,2.1,65137.9,276.7,59515,0
6.5,2.5,65137.5,277.5,60169,0
6.5,2.1,65137.9,277.5,60823,0
6.5,2.5,65137.5,277.5,61477,0
6.0,1.4,65138.6,278.0,62131,0
5.6,1.5,65138.5,278.4,62785,0
5.2,1.5,65138.5,278.8,63439,0
5.2,1.4,65138.6,278.8,64093,0
5.4,1.0,65139.0,278.6,64747,0
5.0,1.0,65139.0,279.0,65401,0
