FN,FP,TN,TP,sr,t
10428.2,10626.4,2656.6,41712.8,1,1.54
8782.7,6162.7,7120.3,43358.3,655,1.54
8247.7,5924.6,7358.4,43893.3,1309,1.54
7913.5,5888.8,7394.2,44227.5,1963,1.54
7941.9,5704.9,7578.1,44199.1,2617,1.54
7999.2,5594.8,7688.2,44141.8,3271,1.54
7802.6,5586.7,7696.3,44338.4,3925,1.54
7598.4,5630.2,7652.8,44542.6,4579,1.54
7566.9,5540.3,7742.7,44574.1,5233,1.54
7714.7,5329.6,7953.4,44426.3,5887,1.54
7442.7,5506.9,7776.1,44698.3,6541,1.54
7466.2,5331.6,7951.4,44674.8,7195,1.54
7237.2,5428.8,7854.2,44903.8,7849,1.54
7110.0,5396.6,7886.4,45031.0,8503,1.54
7185.7,5320.3,7962.7,44955.3,9157,1.54
7042.1,5304.2,7978.8,45098.9,9811,1.54
6897.9,5326.2,7956.8,45243.1,10465,1.54
6805.2,5340.0,7943.0,45335.8,11119,1.54
6865.8,5191.7,8091.3,45275.2,11773,1.54
6810.1,5240.4,8042.6,45330.9,12427,1.54
6691.1,5218.2,8064.8,45449.9,13081,1.54
6549.1,5201.4,8081.6,45591.9,13735,1.54
6489.9,5164.7,8118.3,45651.1,14389,1.54
6509.1,5138.6,8144.4,45631.9,15043,1.54
6420.8,5112.1,8170.9,45720.2,15697,1.54
6486.7,5020.2,8262.8,45654.3,16351,1.54
6480.4,4972.5,8310.5,45660.6,17005,1.54
6454.2,4944.5,8338.5,45686.8,17659,1.54
6332.2,4929.5,8353.5,45808.8,18313,1.54
6265.5,4924.3,8358.7,45875.5,18967,1.54
6099.7,4996.7,8286.3,46041.3,19621,1.54
6156.3,4887.4,8395.6,45984.7,20275,1.54
6101.1,4874.5,8408.5,46039.9,20929,1.54
6075.9,4827.1,8455.9,46065.1,21583,1.54
6106.0,4739.5,8543.5,46035.0,22237,1.54
6003.7,4767.2,8515.8,46137.3,22891,1.54
5932.6,4745.6,8537.4,46208.4,23545,1.54
5890.5,4710.0,8573.0,46250.5,24199,1.54
5819.5,4729.5,8553.5,46321.5,24853,1.54
5781.2,4644.4,8638.6,46359.8,25507,1.54
5787.8,4630.8,8652.2,46353.2,26161,1.54
5784.6,4547.8,8735.2,46356.4,26815,1.54
5563.1,4691.9,8591.1,46577.9,27469,1.54
5701.1,4547.0,8736.0,46439.9,28123,1.54
5643.3,4504.2,8778.8,46497.7,28777,1.54
5621.2,4465.2,8817.8,46519.8,29431,1.54
5523.5,4477.4,8805.6,46617.5,30085,1.54
5532.4,4406.5,8876.5,46608.6,30739,1.54
5414.5,4470.3,8812.7,46726.5,31393,1.54
5409.3,4375.3,8907.7,46731.7,32047,1.54
5344.1,4373.1,8909.9,46796.9,32701,1.54
5334.2,4348.6,8934.4,46806.8,33355,1.54
5275.1,4314.8,8968.2,46865.9,34009,1.54
5213.4,4281.4,9001.6,46927.6,34663,1.54
5215.1,4247.6,9035.4,46925.9,35317,1.54
5179.5,4232.4,9050.6,46961.5,35971,1.54
5105.9,4222.8,9060.2,47035.1,36625,1.54
5008.1,4197.6,9085.4,47132.9,37279,1.54
5053.0,4193.5,9089.5,47088.0,37933,1.54
4923.5,4178.2,9104.8,47217.5,38587,1.54
4913.5,4112.0,9171.0,47227.5,39241,1.54
4935.7,4069.5,9213.5,47205.3,39895,1.54
4894.8,4080.4,9202.6,47246.2,40549,1.54
4881.8,4027.0,9256.0,47259.2,41203,1.54
4762.9,3979.0,9304.0,47378.1,41857,1.54
4733.8,3981.4,9301.6,47407.2,42511,1.54
4755.3,3934.4,9348.6,47385.7,43165,1.54
4737.5,3905.9,9377.1,47403.5,43819,1.54
4635.5,3896.5,9386.5,47505.5,44473,1.54
4595.6,3828.4,9454.6,47545.4,45127,1.54
4585.8,3793.5,9489.5,47555.2,45781,1.54
4525.3,3785.7,9497.3,47615.7,46435,1.54
4450.7,3815.4,9467.6,47690.3,47089,1.54
4463.6,3709.2,9573.8,47677.4,47743,1.54
4434.0,3686.2,9596.8,47707.0,48397,1.54
4410.5,3698.6,9584.4,47730.5,49051,1.54
4343.2,3637.4,9645.6,47797.8,49705,1.54
4344.5,3614.1,9668.9,47796.5,50359,1.54
4303.6,3564.5,9718.5,47837.4,51013,1.54
4253.8,3566.1,9716.9,47887.2,51667,1.54
4221.9,3520.8,9762.2,47919.1,52321,1.54
4201.1,3497.5,9785.5,47939.9,52975,1.54
4172.2,3442.4,9840.6,47968.8,53629,1.54
4087.7,3410.5,9872.5,48053.3,54283,1.54
4049.5,3395.4,9887.6,48091.5,54937,1.54
4061.4,3333.3,9949.7,48079.6,55591,1.54
3971.1,3366.4,9916.6,48169.9,56245,1.54
4051.8,3194.4,10088.6,48089.2,56899,1.54
3928.5,3229.3,10053.7,48212.5,57553,1.54
3909.2,3238.7,10044.3,48231.8,58207,1.54
3884.4,3215.9,10067.1,48256.6,58861,1.54
3830.4,3175.5,10107.5,48310.6,59515,1.54
3750.8,3145.3,10137.7,48390.2,60169,1.54
3738.2,3055.2,10227.8,48402.8,60823,1.54
3752.9,3010.0,10273.0,48388.1,61477,1.54
3629.9,3035.8,10247.2,48511.1,62131,1.54
3663.2,3005.4,10277.6,48477.8,62785,1.54
3647.5,2887.2,10395.8,48493.5,63439,1.54
3571.4,2945.8,10337.2,48569.6,64093,1.54
3540.1,2929.6,10353.4,48600.9,64747,1.54
3519.7,2851.9,10431.1,48621.3,65401,1.54
