FN,FP,TN,TP,sr,t
19781.2,9582.6,6388.4,29671.8,1,1.52
8800.8,7173.4,8797.6,40652.2,655,1.52
8709.0,6249.4,9721.6,40744.0,1309,1.52
8429.5,6285.0,9686.0,41023.5,1963,1.52
8275.3,6135.2,9835.8,41177.7,2617,1.52
8154.6,5952.4,10018.6,41298.4,3271,1.52
8258.4,5809.1,10161.9,41194.6,3925,1.52
8222.4,5704.0,10267.0,41230.6,4579,1.52
8102.6,5704.2,10266.8,41350.4,5233,1.52
7906.3,5712.4,10258.6,41546.7,5887,1.52
7877.5,5574.0,10397.0,41575.5,6541,1.52
7855.2,5575.2,10395.8,41597.8,7195,1.52
7644.8,5697.9,10273.1,41808.2,7849,1.52
7570.2,5594.7,10376.3,41882.8,8503,1.52
7676.2,5431.0,10540.0,41776.8,9157,1.52
7629.1,5431.0,10540.0,41823.9,9811,1.52
7404.6,5405.9,10565.1,42048.4,10465,1.52
7376.3,5457.3,10513.7,42076.7,11119,1.52
7360.7,5396.6,10574.4,42092.3,11773,1.52
7498.0,5219.8,10751.2,41955.0,12427,1.52
7344.1,5300.3,10670.7,42108.9,13081,1.52
7331.4,5193.4,10777.6,42121.6,13735,1.52
7232.6,5174.1,10796.9,42220.4,14389,1.52
7128.5,5242.4,10728.6,42324.5,15043,1.52
7100.9,5184.7,10786.3,42352.1,15697,1.52
6934.3,5189.1,10781.9,42518.7,16351,1.52
7018.8,5093.8,10877.2,42434.2,17005,1.52
6961.1,5083.8,10887.2,42491.9,17659,1.52
6927.7,5040.6,10930.4,42525.3,18313,1.52
6814.5,5043.9,10927.1,42638.5,18967,1.52
6816.2,4946.4,11024.6,42636.8,19621,1.52
6756.1,4926.3,11044.7,42696.9,20275,1.52
6690.7,4947.2,11023.8,42762.3,20929,1.52
6695.6,4887.1,11083.9,42757.4,21583,1.52
6708.8,4797.9,11173.1,42744.2,22237,1.52
6551.3,4855.7,11115.3,42901.7,22891,1.52
6520.6,4861.2,11109.8,42932.4,23545,1.52
6538.2,4782.0,11189.0,42914.8,24199,1.52
6518.0,4676.2,11294.8,42935.0,24853,1.52
6426.6,4742.4,11228.6,43026.4,25507,1.52
6387.0,4733.9,11237.1,43066.0,26161,1.52
6358.7,4657.6,11313.4,43094.3,26815,1.52
6298.4,4657.2,11313.8,43154.6,27469,1.52
6243.1,4620.4,11350.6,43209.9,28123,1.52
6259.9,4574.9,11396.1,43193.1,28777,1.52
6199.9,4537.2,11433.8,43253.1,29431,1.52
6123.0,4545.5,11425.5,43330.0,30085,1.52
6067.3,4528.8,11442.2,43385.7,30739,1.52
6037.6,4536.6,11434.4,43415.4,31393,1.52
6050.6,4412.8,11558.2,43402.4,32047,1.52
5954.3,4467.9,11503.1,43498.7,32701,1.52
5949.4,4367.7,11603.3,43503.6,33355,1.52
5903.1,4392.1,11578.9,43549.9,34009,1.52
5842.2,4372.4,11598.6,43610.8,34663,1.52
5879.6,4200.2,11770.8,43573.4,35317,1.52
5801.3,4252.6,11718.4,43651.7,35971,1.52
5762.7,4201.2,11769.8,43690.3,36625,1.52
5613.8,4302.2,11668.8,43839.2,37279,1.52
5642.6,4205.0,11766.0,43810.4,37933,1.52
5673.8,4114.8,11856.2,43779.2,38587,1.52
5593.8,4116.7,11854.3,43859.2,39241,1.52
5551.2,4116.1,11854.9,43901.8,39895,1.52
5512.2,4093.6,11877.4,43940.8,40549,1.52
5461.1,4018.4,11952.6,43991.9,41203,1.52
5368.0,4025.2,11945.8,44085.0,41857,1.52
5406.8,3968.9,12002.1,44046.2,42511,1.52
5363.6,3944.1,12026.9,44089.4,43165,1.52
5315.6,3918.1,12052.9,44137.4,43819,1.52
5273.3,3857.9,12113.1,44179.7,44473,1.52
5260.6,3863.0,12108.0,44192.4,45127,1.52
5159.0,3807.3,12163.7,44294.0,45781,1.52
5192.5,3791.5,12179.5,44260.5,46435,1.52
5133.8,3801.9,12169.1,44319.2,47089,1.52
5163.5,3644.0,12327.0,44289.5,47743,1.52
5030.5,3676.4,12294.6,44422.5,48397,1.52
5037.0,3696.4,12274.6,44416.0,49051,1.52
4904.5,3660.7,12310.3,44548.5,49705,1.52
4976.4,3614.2,12356.8,44476.6,50359,1.52
4878.4,3588.0,12383.0,44574.6,51013,1.52
4828.7,3611.7,12359.3,44624.3,51667,1.52
4803.4,3530.6,12440.4,44649.6,52321,1.52
4849.7,3452.5,12518.5,44603.3,52975,1.52
4812.6,3458.1,12512.9,44640.4,53629,1.52
4725.1,3457.3,12513.7,44727.9,54283,1.52
4717.2,3361.2,12609.8,44735.8,54937,1.52
4653.4,3356.3,12614.7,44799.6,55591,1.52
4613.0,3331.4,12639.6,44840.0,56245,1.52
4654.8,3259.5,12711.5,44798.2,56899,1.52
4556.8,3248.6,12722.4,44896.2,57553,1.52
4473.9,3209.7,12761.3,44979.1,58207,1.52
4469.2,3137.0,12834.0,44983.8,58861,1.52
4472.1,3238.9,12732.1,44980.9,59515,1.52
4403.9,3035.6,12935.4,45049.1,60169,1.52
4416.7,3125.7,12845.3,45036.3,60823,1.52
4383.3,2964.4,13006.6,45069.7,61477,1.52
4320.0,2946.0,13025.0,45133.0,62131,1.52
4257.9,2984.4,12986.6,45195.1,62785,1.52
4227.1,2896.6,13074.4,45225.9,63439,1.52
4168.4,2887.1,13083.9,45284.6,64093,1.52
4125.8,2895.6,13075.4,45327.2,64747,1.52
4087.8,2799.2,13171.8,45365.2,65401,1.52
