FN,FP,TN,TP,sr,t
639.5,640.5,640.5,639.5,1,2.08937425641026
213.6,67.4,1213.6,1065.4,26,2.08937425641026
48.0,93.8,1187.2,1231.0,51,2.08937425641026
48.5,30.3,1250.7,1230.5,76,2.08937425641026
42.2,4.8,1276.2,1236.8,101,2.08937425641026
1.0,2.0,1279.0,1278.0,126,2.08937425641026
16.5,1.5,1279.5,1262.5,151,2.08937425641026
1.0,2.0,1279.0,1278.0,176,2.08937425641026
1.0,2.0,1279.0,1278.0,201,2.08937425641026
1.0,2.0,1279.0,1278.0,226,2.08937425641026
1.0,2.0,1279.0,1278.0,251,2.08937425641026
4.1,1.9,1279.1,1274.9,276,2.08937425641026
1.0,2.0,1279.0,1278.0,301,2.08937425641026
1.0,2.0,1279.0,1278.0,326,2.08937425641026
2.5,1.9,1279.1,1276.5,351,2.08937425641026
3.2,1.8,1279.2,1275.8,376,2.08937425641026
3.2,1.8,1279.2,1275.8,401,2.08937425641026
4.7,1.7,1279.3,1274.3,426,2.08937425641026
7.3,1.5,1279.5,1271.7,451,2.08937425641026
3.2,1.8,1279.2,1275.8,476,2.08937425641026
1.7,1.9,1279.1,1277.3,501,2.08937425641026
2.5,1.9,1279.1,1276.5,526,2.08937425641026
7.0,1.6,1279.4,1272.0,551,2.08937425641026
2.7,1.7,1279.3,1276.3,576,2.08937425641026
3.9,1.7,1279.3,1275.1,601,2.08937425641026
5.5,1.7,1279.3,1273.5,626,2.08937425641026
2.5,1.9,1279.1,1276.5,651,2.08937425641026
3.8,1.6,1279.4,1275.2,676,2.08937425641026
2.7,1.7,1279.3,1276.3,701,2.08937425641026
3.7,1.5,1279.5,1275.3,726,2.08937425641026
3.4,1.6,1279.4,1275.6,751,2.08937425641026
3.2,1.8,1279.2,1275.8,776,2.08937425641026
5.2,1.4,1279.6,1273.8,801,2.08937425641026
3.3,1.5,1279.5,1275.7,826,2.08937425641026
3.0,1.6,1279.4,1276.0,851,2.08937425641026
2.2,1.8,1279.2,1276.8,876,2.08937425641026
4.2,1.6,1279.4,1274.8,901,2.08937425641026
4.3,1.5,1279.5,1274.7,926,2.08937425641026
3.8,1.6,1279.4,1275.2,951,2.08937425641026
4.7,1.5,1279.5,1274.3,976,2.08937425641026
4.8,1.4,1279.6,1274.2,1001,2.08937425641026
3.4,1.6,1279.4,1275.6,1026,2.08937425641026
2.3,1.7,1279.3,1276.7,1051,2.08937425641026
4.4,1.4,1279.6,1274.6,1076,2.08937425641026
3.3,1.3,1279.7,1275.7,1101,2.08937425641026
3.7,1.5,1279.5,1275.3,1126,2.08937425641026
2.7,1.5,1279.5,1276.3,1151,2.08937425641026
2.4,1.8,1279.2,1276.6,1176,2.08937425641026
3.5,1.5,1279.5,1275.5,1201,2.08937425641026
5.1,1.1,1279.9,1273.9,1226,2.08937425641026
4.8,1.2,1279.8,1274.2,1251,2.08937425641026
4.2,1.0,1280.0,1274.8,1276,2.08937425641026
3.0,1.6,1279.4,1276.0,1301,2.08937425641026
4.9,1.1,1279.9,1274.1,1326,2.08937425641026
2.3,1.7,1279.3,1276.7,1351,2.08937425641026
2.9,1.5,1279.5,1276.1,1376,2.08937425641026
4.2,1.0,1280.0,1274.8,1401,2.08937425641026
3.5,1.3,1279.7,1275.5,1426,2.08937425641026
3.9,1.1,1279.9,1275.1,1451,2.08937425641026
3.0,1.4,1279.6,1276.0,1476,2.08937425641026
4.0,1.2,1279.8,1275.0,1501,2.08937425641026
3.6,1.0,1280.0,1275.4,1526,2.08937425641026
2.3,1.5,1279.5,1276.7,1551,2.08937425641026
2.5,1.3,1279.7,1276.5,1576,2.08937425641026
2.9,1.3,1279.7,1276.1,1601,2.08937425641026
2.6,1.4,1279.6,1276.4,1626,2.08937425641026
2.2,1.4,1279.6,1276.8,1651,2.08937425641026
2.5,1.3,1279.7,1276.5,1676,2.08937425641026
2.9,1.1,1279.9,1276.1,1701,2.08937425641026
2.9,1.1,1279.9,1276.1,1726,2.08937425641026
3.4,1.0,1280.0,1275.6,1751,2.08937425641026
3.0,0.8,1280.2,1276.0,1776,2.08937425641026
2.9,1.1,1279.9,1276.1,1801,2.08937425641026
3.3,0.9,1280.1,1275.7,1826,2.08937425641026
3.8,1.0,1280.0,1275.2,1851,2.08937425641026
3.4,1.0,1280.0,1275.6,1876,2.08937425641026
2.0,1.4,1279.6,1277.0,1901,2.08937425641026
2.3,1.3,1279.7,1276.7,1926,2.08937425641026
2.3,1.3,1279.7,1276.7,1951,2.08937425641026
2.7,1.1,1279.9,1276.3,1976,2.08937425641026
2.1,1.3,1279.7,1276.9,2001,2.08937425641026
2.7,0.7,1280.3,1276.3,2026,2.08937425641026
2.3,0.9,1280.1,1276.7,2051,2.08937425641026
2.3,0.9,1280.1,1276.7,2076,2.08937425641026
2.9,0.7,1280.3,1276.1,2101,2.08937425641026
2.5,1.1,1279.9,1276.5,2126,2.08937425641026
2.7,0.7,1280.3,1276.3,2151,2.08937425641026
2.6,0.8,1280.2,1276.4,2176,2.08937425641026
3.8,0.3,1280.7,1275.2,2201,2.08937425641026
2.6,0.6,1280.4,1276.4,2226,2.08937425641026
2.9,0.5,1280.5,1276.1,2251,2.08937425641026
1.9,1.1,1279.9,1277.1,2276,2.08937425641026
2.5,0.7,1280.3,1276.5,2301,2.08937425641026
2.4,0.6,1280.4,1276.6,2326,2.08937425641026
2.5,0.5,1280.5,1276.5,2351,2.08937425641026
2.8,0.6,1280.4,1276.2,2376,2.08937425641026
2.4,0.6,1280.4,1276.6,2401,2.08937425641026
2.6,0.4,1280.6,1276.4,2426,2.08937425641026
2.8,0.2,1280.8,1276.2,2451,2.08937425641026
2.8,0.2,1280.8,1276.2,2476,2.08937425641026
3.0,0.2,1280.8,1276.0,2501,2.08937425641026
2.9,0.1,1280.9,1276.1,2526,2.08937425641026
3.0,0.0,1281.0,1276.0,2551,2.08937425641026
