FN,FP,TN,TP,sr,t
115.1,1037.7,115.3,1035.9,1,10259.974999999997
272.9,279.7,873.3,878.1,24,10259.974999999997
360.2,197.2,955.8,790.8,47,10259.974999999997
236.5,210.9,942.1,914.5,70,10259.974999999997
231.2,173.5,979.5,919.8,93,10259.974999999997
225.1,162.0,991.0,925.9,116,10259.974999999997
195.8,139.8,1013.2,955.2,139,10259.974999999997
190.0,122.7,1030.3,961.0,162,10259.974999999997
189.7,147.3,1005.7,961.3,185,10259.974999999997
173.9,113.8,1039.2,977.1,208,10259.974999999997
190.7,104.9,1048.1,960.3,231,10259.974999999997
162.8,108.6,1044.4,988.2,254,10259.974999999997
155.2,110.2,1042.8,995.8,277,10259.974999999997
154.3,109.4,1043.6,996.7,300,10259.974999999997
151.2,89.4,1063.6,999.8,323,10259.974999999997
147.4,79.5,1073.5,1003.6,346,10259.974999999997
149.9,76.3,1076.7,1001.1,369,10259.974999999997
144.3,80.8,1072.2,1006.7,392,10259.974999999997
122.2,83.7,1069.3,1028.8,415,10259.974999999997
136.4,85.0,1068.0,1014.6,438,10259.974999999997
123.6,78.4,1074.6,1027.4,461,10259.974999999997
122.1,81.2,1071.8,1028.9,484,10259.974999999997
122.2,80.6,1072.4,1028.8,507,10259.974999999997
122.6,73.0,1080.0,1028.4,530,10259.974999999997
113.8,67.8,1085.2,1037.2,553,10259.974999999997
122.1,70.6,1082.4,1028.9,576,10259.974999999997
113.6,65.1,1087.9,1037.4,599,10259.974999999997
114.1,71.0,1082.0,1036.9,622,10259.974999999997
102.8,59.6,1093.4,1048.2,645,10259.974999999997
109.3,60.8,1092.2,1041.7,668,10259.974999999997
97.9,54.1,1098.9,1053.1,691,10259.974999999997
108.0,57.9,1095.1,1043.0,714,10259.974999999997
96.6,63.0,1090.0,1054.4,737,10259.974999999997
105.3,57.1,1095.9,1045.7,760,10259.974999999997
100.1,57.0,1096.0,1050.9,783,10259.974999999997
98.5,55.6,1097.4,1052.5,806,10259.974999999997
102.1,54.6,1098.4,1048.9,829,10259.974999999997
91.8,52.9,1100.1,1059.2,852,10259.974999999997
93.8,47.1,1105.9,1057.2,875,10259.974999999997
100.2,46.7,1106.3,1050.8,898,10259.974999999997
95.5,48.9,1104.1,1055.5,921,10259.974999999997
89.7,49.7,1103.3,1061.3,944,10259.974999999997
87.6,50.8,1102.2,1063.4,967,10259.974999999997
95.6,45.7,1107.3,1055.4,990,10259.974999999997
91.9,42.9,1110.1,1059.1,1013,10259.974999999997
83.1,46.2,1106.8,1067.9,1036,10259.974999999997
86.1,42.0,1111.0,1064.9,1059,10259.974999999997
81.5,43.3,1109.7,1069.5,1082,10259.974999999997
75.1,42.4,1110.6,1075.9,1105,10259.974999999997
78.1,42.3,1110.7,1072.9,1128,10259.974999999997
81.8,39.2,1113.8,1069.2,1151,10259.974999999997
82.1,40.1,1112.9,1068.9,1174,10259.974999999997
71.7,40.0,1113.0,1079.3,1197,10259.974999999997
74.4,38.1,1114.9,1076.6,1220,10259.974999999997
75.6,36.6,1116.4,1075.4,1243,10259.974999999997
73.3,37.0,1116.0,1077.7,1266,10259.974999999997
67.4,41.2,1111.8,1083.6,1289,10259.974999999997
67.7,36.4,1116.6,1083.3,1312,10259.974999999997
72.0,38.9,1114.1,1079.0,1335,10259.974999999997
70.6,34.7,1118.3,1080.4,1358,10259.974999999997
72.2,31.5,1121.5,1078.8,1381,10259.974999999997
65.8,34.6,1118.4,1085.2,1404,10259.974999999997
68.1,33.5,1119.5,1082.9,1427,10259.974999999997
64.9,33.1,1119.9,1086.1,1450,10259.974999999997
64.5,31.3,1121.7,1086.5,1473,10259.974999999997
62.7,27.8,1125.2,1088.3,1496,10259.974999999997
63.1,27.0,1126.0,1087.9,1519,10259.974999999997
64.2,29.5,1123.5,1086.8,1542,10259.974999999997
62.1,30.8,1122.2,1088.9,1565,10259.974999999997
59.7,29.2,1123.8,1091.3,1588,10259.974999999997
59.1,25.6,1127.4,1091.9,1611,10259.974999999997
59.5,28.1,1124.9,1091.5,1634,10259.974999999997
62.3,23.2,1129.8,1088.7,1657,10259.974999999997
57.7,25.7,1127.3,1093.3,1680,10259.974999999997
60.6,22.8,1130.2,1090.4,1703,10259.974999999997
56.1,24.0,1129.0,1094.9,1726,10259.974999999997
54.3,26.0,1127.0,1096.7,1749,10259.974999999997
58.7,19.5,1133.5,1092.3,1772,10259.974999999997
53.4,22.1,1130.9,1097.6,1795,10259.974999999997
53.2,21.6,1131.4,1097.8,1818,10259.974999999997
51.5,23.5,1129.5,1099.5,1841,10259.974999999997
52.0,19.4,1133.6,1099.0,1864,10259.974999999997
51.3,21.7,1131.3,1099.7,1887,10259.974999999997
52.4,19.8,1133.2,1098.6,1910,10259.974999999997
53.4,17.1,1135.9,1097.6,1933,10259.974999999997
52.3,17.1,1135.9,1098.7,1956,10259.974999999997
48.4,18.5,1134.5,1102.6,1979,10259.974999999997
52.9,16.5,1136.5,1098.1,2002,10259.974999999997
48.1,17.9,1135.1,1102.9,2025,10259.974999999997
46.1,17.6,1135.4,1104.9,2048,10259.974999999997
50.5,13.1,1139.9,1100.5,2071,10259.974999999997
47.3,15.7,1137.3,1103.7,2094,10259.974999999997
52.8,12.3,1140.7,1098.2,2117,10259.974999999997
49.5,12.2,1140.8,1101.5,2140,10259.974999999997
48.8,13.4,1139.6,1102.2,2163,10259.974999999997
49.8,10.7,1142.3,1101.2,2186,10259.974999999997
48.9,11.7,1141.3,1102.1,2209,10259.974999999997
47.8,9.9,1143.1,1103.2,2232,10259.974999999997
48.9,8.8,1144.2,1102.1,2255,10259.974999999997
49.3,7.9,1145.1,1101.7,2278,10259.974999999997
49.6,7.5,1145.5,1101.4,2301,10259.974999999997
