FN,FP,TN,TP,sr,t
10350.0,24150.7,10350.3,24150.0,1,1244.48
11385.0,7760.8,26740.2,23115.0,691,1244.48
11142.2,7862.2,26638.8,23357.8,1381,1244.48
11203.0,7775.3,26725.7,23297.0,2071,1244.48
11106.3,7722.1,26778.9,23393.7,2761,1244.48
11112.2,7620.1,26880.9,23387.8,3451,1244.48
11086.4,7657.5,26843.5,23413.6,4141,1244.48
11114.1,7489.6,27011.4,23385.9,4831,1244.48
11186.7,7393.0,27108.0,23313.3,5521,1244.48
11030.3,7493.3,27007.7,23469.7,6211,1244.48
11118.0,7382.7,27118.3,23382.0,6901,1244.48
11109.2,7352.2,27148.8,23390.8,7591,1244.48
11111.1,7301.7,27199.3,23388.9,8281,1244.48
11178.3,7241.2,27259.8,23321.7,8971,1244.48
11155.3,7241.3,27259.7,23344.7,9661,1244.48
11211.1,7176.5,27324.5,23288.9,10351,1244.48
11116.2,7260.1,27240.9,23383.8,11041,1244.48
11220.4,7083.8,27417.2,23279.6,11731,1244.48
11164.0,7160.6,27340.4,23336.0,12421,1244.48
11251.6,7059.2,27441.8,23248.4,13111,1244.48
11270.3,6996.4,27504.6,23229.7,13801,1244.48
11289.3,6957.0,27544.0,23210.7,14491,1244.48
11371.0,6876.0,27625.0,23129.0,15181,1244.48
11357.3,6872.7,27628.3,23142.7,15871,1244.48
11217.8,6983.5,27517.5,23282.2,16561,1244.48
11357.0,6848.9,27652.1,23143.0,17251,1244.48
11326.7,6837.1,27663.9,23173.3,17941,1244.48
11355.1,6809.0,27692.0,23144.9,18631,1244.48
11402.7,6726.6,27774.4,23097.3,19321,1244.48
11384.8,6744.8,27756.2,23115.2,20011,1244.48
11344.3,6761.2,27739.8,23155.7,20701,1244.48
11373.7,6720.6,27780.4,23126.3,21391,1244.48
11435.3,6660.8,27840.2,23064.7,22081,1244.48
11410.3,6665.8,27835.2,23089.7,22771,1244.48
11375.9,6696.1,27804.9,23124.1,23461,1244.48
11401.1,6647.8,27853.2,23098.9,24151,1244.48
11418.9,6628.1,27872.9,23081.1,24841,1244.48
11553.7,6491.9,28009.1,22946.3,25531,1244.48
11437.2,6585.9,27915.1,23062.8,26221,1244.48
11498.8,6521.2,27979.8,23001.2,26911,1244.48
11526.2,6474.5,28026.5,22973.8,27601,1244.48
11461.6,6536.7,27964.3,23038.4,28291,1244.48
11546.0,6457.6,28043.4,22954.0,28981,1244.48
11546.7,6443.4,28057.6,22953.3,29671,1244.48
11531.7,6442.6,28058.4,22968.3,30361,1244.48
11635.5,6326.1,28174.9,22864.5,31051,1244.48
11642.6,6317.1,28183.9,22857.4,31741,1244.48
11603.7,6346.0,28155.0,22896.3,32431,1244.48
11606.7,6330.8,28170.2,22893.3,33121,1244.48
11680.1,6264.5,28236.5,22819.9,33811,1244.48
11689.4,6246.5,28254.5,22810.6,34501,1244.48
11698.3,6227.2,28273.8,22801.7,35191,1244.48
11740.9,6179.3,28321.7,22759.1,35881,1244.48
11763.7,6151.1,28349.9,22736.3,36571,1244.48
11763.3,6149.1,28351.9,22736.7,37261,1244.48
11822.6,6074.0,28427.0,22677.4,37951,1244.48
11876.6,6017.5,28483.5,22623.4,38641,1244.48
11858.6,6043.5,28457.5,22641.4,39331,1244.48
11924.3,5957.5,28543.5,22575.7,40021,1244.48
11931.9,5953.4,28547.6,22568.1,40711,1244.48
12012.9,5857.2,28643.8,22487.1,41401,1244.48
11987.2,5882.9,28618.1,22512.8,42091,1244.48
12075.8,5780.3,28720.7,22424.2,42781,1244.48
12095.0,5760.0,28741.0,22405.0,43471,1244.48
12092.7,5761.4,28739.6,22407.3,44161,1244.48
12199.3,5651.7,28849.3,22300.7,44851,1244.48
12235.7,5611.2,28889.8,22264.3,45541,1244.48
12293.7,5545.7,28955.3,22206.3,46231,1244.48
12328.5,5508.0,28993.0,22171.5,46921,1244.48
12413.0,5426.5,29074.5,22087.0,47611,1244.48
12510.6,5323.9,29177.1,21989.4,48301,1244.48
12566.8,5257.7,29243.3,21933.2,48991,1244.48
12601.7,5219.7,29281.3,21898.3,49681,1244.48
12676.1,5140.0,29361.0,21823.9,50371,1244.48
12788.7,5028.8,29472.2,21711.3,51061,1244.48
12866.5,4946.6,29554.4,21633.5,51751,1244.48
12984.1,4823.0,29678.0,21515.9,52441,1244.48
13076.0,4731.1,29769.9,21424.0,53131,1244.48
13190.7,4608.7,29892.3,21309.3,53821,1244.48
13281.4,4520.1,29980.9,21218.6,54511,1244.48
13377.8,4416.3,30084.7,21122.2,55201,1244.48
13573.0,4224.1,30276.9,20927.0,55891,1244.48
13685.2,4107.7,30393.3,20814.8,56581,1244.48
13813.1,3974.6,30526.4,20686.9,57271,1244.48
13963.6,3819.9,30681.1,20536.4,57961,1244.48
14091.6,3691.9,30809.1,20408.4,58651,1244.48
14296.2,3485.2,31015.8,20203.8,59341,1244.48
14462.3,3315.5,31185.5,20037.7,60031,1244.48
14640.4,3135.0,31366.0,19859.6,60721,1244.48
14839.2,2937.1,31563.9,19660.8,61411,1244.48
15052.1,2722.6,31778.4,19447.9,62101,1244.48
15265.3,2508.3,31992.7,19234.7,62791,1244.48
15471.6,2299.6,32201.4,19028.4,63481,1244.48
15721.3,2048.9,32452.1,18778.7,64171,1244.48
15984.1,1783.3,32717.7,18515.9,64861,1244.48
16190.8,1576.7,32924.3,18309.2,65551,1244.48
16496.0,1269.6,33231.4,18004.0,66241,1244.48
16776.1,988.3,33512.7,17723.9,66931,1244.48
17074.5,689.6,33811.4,17425.5,67621,1244.48
17405.2,355.8,34145.2,17094.8,68311,1244.48
17735.1,25.3,34475.7,16764.9,69001,1244.48
