FN,FP,TN,TP,sr,t
17177.5,17323.0,17323.0,17177.5,1,45.933
3270.9,1955.9,32690.1,31084.1,691,45.933
2934.1,1873.4,32772.6,31420.9,1381,45.933
2774.2,1882.0,32764.0,31580.8,2071,45.933
2717.6,1813.1,32832.9,31637.4,2761,45.933
2766.5,1765.0,32881.0,31588.5,3451,45.933
2611.3,1789.4,32856.6,31743.7,4141,45.933
2612.3,1708.0,32938.0,31742.7,4831,45.933
2603.8,1704.0,32942.0,31751.2,5521,45.933
2562.4,1711.3,32934.7,31792.6,6211,45.933
2584.4,1658.9,32987.1,31770.6,6901,45.933
2518.3,1698.4,32947.6,31836.7,7591,45.933
2561.3,1624.9,33021.1,31793.7,8281,45.933
2595.7,1555.5,33090.5,31759.3,8971,45.933
2501.3,1629.8,33016.2,31853.7,9661,45.933
2493.9,1593.2,33052.8,31861.1,10351,45.933
2463.3,1571.8,33074.2,31891.7,11041,45.933
2473.7,1601.8,33044.2,31881.3,11731,45.933
2533.5,1530.5,33115.5,31821.5,12421,45.933
2498.4,1548.8,33097.2,31856.6,13111,45.933
2473.2,1555.6,33090.4,31881.8,13801,45.933
2496.5,1551.1,33094.9,31858.5,14491,45.933
2495.0,1538.4,33107.6,31860.0,15181,45.933
2518.7,1506.9,33139.1,31836.3,15871,45.933
2461.7,1545.7,33100.3,31893.3,16561,45.933
2479.0,1500.5,33145.5,31876.0,17251,45.933
2465.3,1505.7,33140.3,31889.7,17941,45.933
2446.1,1511.7,33134.3,31908.9,18631,45.933
2450.3,1514.0,33132.0,31904.7,19321,45.933
2480.7,1472.1,33173.9,31874.3,20011,45.933
2472.4,1480.9,33165.1,31882.6,20701,45.933
2534.3,1426.0,33220.0,31820.7,21391,45.933
2495.3,1445.0,33201.0,31859.7,22081,45.933
2432.8,1500.2,33145.8,31922.2,22771,45.933
2468.7,1458.1,33187.9,31886.3,23461,45.933
2479.8,1441.7,33204.3,31875.2,24151,45.933
2498.9,1423.7,33222.3,31856.1,24841,45.933
2473.2,1449.2,33196.8,31881.8,25531,45.933
2451.4,1466.1,33179.9,31903.6,26221,45.933
2484.2,1435.6,33210.4,31870.8,26911,45.933
2502.3,1404.1,33241.9,31852.7,27601,45.933
2510.7,1392.4,33253.6,31844.3,28291,45.933
2501.8,1406.4,33239.6,31853.2,28981,45.933
2497.1,1400.8,33245.2,31857.9,29671,45.933
2494.5,1398.2,33247.8,31860.5,30361,45.933
2498.7,1393.1,33252.9,31856.3,31051,45.933
2515.3,1374.0,33272.0,31839.7,31741,45.933
2505.3,1378.0,33268.0,31849.7,32431,45.933
2527.7,1352.7,33293.3,31827.3,33121,45.933
2519.4,1357.2,33288.8,31835.6,33811,45.933
2534.1,1349.5,33296.5,31820.9,34501,45.933
2529.9,1351.8,33294.2,31825.1,35191,45.933
2559.4,1322.2,33323.8,31795.6,35881,45.933
2512.6,1362.9,33283.1,31842.4,36571,45.933
2520.0,1354.3,33291.7,31835.0,37261,45.933
2537.4,1337.4,33308.6,31817.6,37951,45.933
2543.8,1327.8,33318.2,31811.2,38641,45.933
2566.8,1310.2,33335.8,31788.2,39331,45.933
2565.7,1307.9,33338.1,31789.3,40021,45.933
2573.3,1291.7,33354.3,31781.7,40711,45.933
2574.4,1293.3,33352.7,31780.6,41401,45.933
2592.3,1273.1,33372.9,31762.7,42091,45.933
2586.2,1280.2,33365.8,31768.8,42781,45.933
2619.4,1245.0,33401.0,31735.6,43471,45.933
2605.1,1258.9,33387.1,31749.9,44161,45.933
2622.9,1240.1,33405.9,31732.1,44851,45.933
2627.7,1234.4,33411.6,31727.3,45541,45.933
2644.8,1216.9,33429.1,31710.2,46231,45.933
2686.8,1174.2,33471.8,31668.2,46921,45.933
2669.6,1188.0,33458.0,31685.4,47611,45.933
2708.4,1149.2,33496.8,31646.6,48301,45.933
2706.9,1150.7,33495.3,31648.1,48991,45.933
2722.9,1139.0,33507.0,31632.1,49681,45.933
2747.7,1109.9,33536.1,31607.3,50371,45.933
2740.9,1115.3,33530.7,31614.1,51061,45.933
2768.9,1086.6,33559.4,31586.1,51751,45.933
2811.7,1041.6,33604.4,31543.3,52441,45.933
2796.1,1058.5,33587.5,31558.9,53131,45.933
2850.3,1003.1,33642.9,31504.7,53821,45.933
2863.9,989.3,33656.7,31491.1,54511,45.933
2904.7,946.9,33699.1,31450.3,55201,45.933
2914.3,938.8,33707.2,31440.7,55891,45.933
2960.3,889.5,33756.5,31394.7,56581,45.933
2996.7,855.0,33791.0,31358.3,57271,45.933
3009.1,839.8,33806.2,31345.9,57961,45.933
3047.4,802.8,33843.2,31307.6,58651,45.933
3083.8,764.9,33881.1,31271.2,59341,45.933
3135.5,714.2,33931.8,31219.5,60031,45.933
3150.3,699.8,33946.2,31204.7,60721,45.933
3196.9,652.8,33993.2,31158.1,61411,45.933
3256.3,591.6,34054.4,31098.7,62101,45.933
3302.0,547.2,34098.8,31053.0,62791,45.933
3339.8,508.0,34138.0,31015.2,63481,45.933
3388.7,458.9,34187.1,30966.3,64171,45.933
3459.6,386.7,34259.3,30895.4,64861,45.933
3498.7,347.8,34298.2,30856.3,65551,45.933
3563.0,283.3,34362.7,30792.0,66241,45.933
3628.0,218.6,34427.4,30727.0,66931,45.933
3687.3,158.2,34487.8,30667.7,67621,45.933
3761.5,84.6,34561.4,30593.5,68311,45.933
3839.0,7.3,34638.7,30516.0,69001,45.933
