FN,FP,TN,TP,sr,t
24144.4,10352.7,24156.3,10347.6,1,0.9885573
4590.7,3181.5,31327.5,29901.3,691,0.9885573
4161.8,2917.0,31592.0,30330.2,1381,0.9885573
4108.4,2815.9,31693.1,30383.6,2071,0.9885573
3915.9,2705.1,31803.9,30576.1,2761,0.9885573
3983.5,2680.1,31828.9,30508.5,3451,0.9885573
3926.4,2554.9,31954.1,30565.6,4141,0.9885573
3899.9,2504.4,32004.6,30592.1,4831,0.9885573
3825.7,2521.8,31987.2,30666.3,5521,0.9885573
3806.7,2455.3,32053.7,30685.3,6211,0.9885573
3737.0,2480.5,32028.5,30755.0,6901,0.9885573
3805.1,2366.0,32143.0,30686.9,7591,0.9885573
3761.1,2383.7,32125.3,30730.9,8281,0.9885573
3784.5,2310.2,32198.8,30707.5,8971,0.9885573
3623.1,2404.5,32104.5,30868.9,9661,0.9885573
3657.6,2342.3,32166.7,30834.4,10351,0.9885573
3703.0,2309.2,32199.8,30789.0,11041,0.9885573
3647.5,2313.5,32195.5,30844.5,11731,0.9885573
3661.0,2281.0,32228.0,30831.0,12421,0.9885573
3596.9,2274.9,32234.1,30895.1,13111,0.9885573
3569.3,2246.5,32262.5,30922.7,13801,0.9885573
3578.0,2249.8,32259.2,30914.0,14491,0.9885573
3612.6,2203.2,32305.8,30879.4,15181,0.9885573
3579.4,2186.2,32322.8,30912.6,15871,0.9885573
3535.9,2201.5,32307.5,30956.1,16561,0.9885573
3554.1,2164.0,32345.0,30937.9,17251,0.9885573
3552.3,2163.8,32345.2,30939.7,17941,0.9885573
3607.5,2117.4,32391.6,30884.5,18631,0.9885573
3558.1,2118.6,32390.4,30933.9,19321,0.9885573
3580.9,2081.6,32427.4,30911.1,20011,0.9885573
3508.7,2141.5,32367.5,30983.3,20701,0.9885573
3552.0,2076.3,32432.7,30940.0,21391,0.9885573
3498.6,2127.0,32382.0,30993.4,22081,0.9885573
3527.0,2103.2,32405.8,30965.0,22771,0.9885573
3525.0,2081.9,32427.1,30967.0,23461,0.9885573
3537.5,2068.8,32440.2,30954.5,24151,0.9885573
3530.9,2044.9,32464.1,30961.1,24841,0.9885573
3470.3,2089.8,32419.2,31021.7,25531,0.9885573
3547.8,2008.4,32500.6,30944.2,26221,0.9885573
3496.8,2057.4,32451.6,30995.2,26911,0.9885573
3552.9,2003.2,32505.8,30939.1,27601,0.9885573
3529.5,2002.7,32506.3,30962.5,28291,0.9885573
3574.5,1970.2,32538.8,30917.5,28981,0.9885573
3531.2,1992.2,32516.8,30960.8,29671,0.9885573
3529.9,1986.9,32522.1,30962.1,30361,0.9885573
3537.6,1995.3,32513.7,30954.4,31051,0.9885573
3542.5,1971.9,32537.1,30949.5,31741,0.9885573
3577.1,1934.9,32574.1,30914.9,32431,0.9885573
3539.1,1963.8,32545.2,30952.9,33121,0.9885573
3502.5,1999.5,32509.5,30989.5,33811,0.9885573
3545.8,1952.3,32556.7,30946.2,34501,0.9885573
3587.6,1909.5,32599.5,30904.4,35191,0.9885573
3551.9,1940.6,32568.4,30940.1,35881,0.9885573
3558.9,1931.5,32577.5,30933.1,36571,0.9885573
3580.3,1892.4,32616.6,30911.7,37261,0.9885573
3554.9,1921.4,32587.6,30937.1,37951,0.9885573
3575.2,1902.7,32606.3,30916.8,38641,0.9885573
3582.9,1881.8,32627.2,30909.1,39331,0.9885573
3592.4,1886.6,32622.4,30899.6,40021,0.9885573
3600.3,1864.4,32644.6,30891.7,40711,0.9885573
3642.3,1821.0,32688.0,30849.7,41401,0.9885573
3637.5,1826.2,32682.8,30854.5,42091,0.9885573
3654.4,1813.1,32695.9,30837.6,42781,0.9885573
3653.6,1804.9,32704.1,30838.4,43471,0.9885573
3677.4,1776.8,32732.2,30814.6,44161,0.9885573
3703.1,1754.3,32754.7,30788.9,44851,0.9885573
3707.4,1749.0,32760.0,30784.6,45541,0.9885573
3699.0,1753.6,32755.4,30793.0,46231,0.9885573
3746.7,1704.9,32804.1,30745.3,46921,0.9885573
3739.5,1708.6,32800.4,30752.5,47611,0.9885573
3807.1,1638.3,32870.7,30684.9,48301,0.9885573
3831.2,1610.2,32898.8,30660.8,48991,0.9885573
3801.0,1642.2,32866.8,30691.0,49681,0.9885573
3845.1,1593.7,32915.3,30646.9,50371,0.9885573
3864.7,1576.8,32932.2,30627.3,51061,0.9885573
3894.8,1547.1,32961.9,30597.2,51751,0.9885573
3924.3,1513.3,32995.7,30567.7,52441,0.9885573
3965.4,1472.8,33036.2,30526.6,53131,0.9885573
3987.4,1451.3,33057.7,30504.6,53821,0.9885573
4022.3,1412.5,33096.5,30469.7,54511,0.9885573
4066.2,1368.7,33140.3,30425.8,55201,0.9885573
4091.6,1338.6,33170.4,30400.4,55891,0.9885573
4131.7,1301.8,33207.2,30360.3,56581,0.9885573
4164.3,1266.7,33242.3,30327.7,57271,0.9885573
4214.4,1216.3,33292.7,30277.6,57961,0.9885573
4256.6,1169.3,33339.7,30235.4,58651,0.9885573
4319.6,1107.4,33401.6,30172.4,59341,0.9885573
4376.5,1050.9,33458.1,30115.5,60031,0.9885573
4404.0,1021.6,33487.4,30088.0,60721,0.9885573
4510.4,915.8,33593.2,29981.6,61411,0.9885573
4530.3,892.4,33616.6,29961.7,62101,0.9885573
4608.4,813.3,33695.7,29883.6,62791,0.9885573
4674.1,746.7,33762.3,29817.9,63481,0.9885573
4751.6,671.3,33837.7,29740.4,64171,0.9885573
4832.2,588.1,33920.9,29659.8,64861,0.9885573
4902.6,516.2,33992.8,29589.4,65551,0.9885573
4985.0,432.9,34076.1,29507.0,66241,0.9885573
5086.4,331.1,34177.9,29405.6,66931,0.9885573
5184.5,231.2,34277.8,29307.5,67621,0.9885573
5289.9,125.1,34383.9,29202.1,68311,0.9885573
5404.1,11.6,34497.4,29087.9,69001,0.9885573
