FN,FP,TN,TP,sr,t
17244.0,17256.5,17256.5,17244.0,1,28.11
11008.0,8018.1,26494.9,23480.0,691,28.11
10954.1,7757.5,26755.5,23533.9,1381,28.11
10822.8,7794.2,26718.8,23665.2,2071,28.11
10926.9,7646.5,26866.5,23561.1,2761,28.11
10993.2,7498.4,27014.6,23494.8,3451,28.11
10972.7,7493.7,27019.3,23515.3,4141,28.11
10917.2,7515.6,26997.4,23570.8,4831,28.11
11102.0,7331.0,27182.0,23386.0,5521,28.11
11028.8,7373.3,27139.7,23459.2,6211,28.11
11054.3,7317.9,27195.1,23433.7,6901,28.11
11040.0,7314.4,27198.6,23448.0,7591,28.11
11075.1,7267.4,27245.6,23412.9,8281,28.11
10998.5,7304.1,27208.9,23489.5,8971,28.11
11113.0,7203.7,27309.3,23375.0,9661,28.11
11013.2,7278.8,27234.2,23474.8,10351,28.11
11089.5,7178.5,27334.5,23398.5,11041,28.11
11158.3,7092.7,27420.3,23329.7,11731,28.11
11098.4,7125.4,27387.6,23389.6,12421,28.11
11199.0,7009.9,27503.1,23289.0,13111,28.11
11095.1,7087.6,27425.4,23392.9,13801,28.11
11246.7,6940.2,27572.8,23241.3,14491,28.11
11182.7,6985.6,27527.4,23305.3,15181,28.11
11227.4,6933.6,27579.4,23260.6,15871,28.11
11192.1,6972.4,27540.6,23295.9,16561,28.11
11192.0,6940.1,27572.9,23296.0,17251,28.11
11305.4,6818.8,27694.2,23182.6,17941,28.11
11324.0,6807.6,27705.4,23164.0,18631,28.11
11296.4,6823.8,27689.2,23191.6,19321,28.11
11258.8,6833.6,27679.4,23229.2,20011,28.11
11326.6,6759.4,27753.6,23161.4,20701,28.11
11376.9,6718.9,27794.1,23111.1,21391,28.11
11362.3,6722.4,27790.6,23125.7,22081,28.11
11360.2,6707.5,27805.5,23127.8,22771,28.11
11314.3,6758.9,27754.1,23173.7,23461,28.11
11392.1,6661.8,27851.2,23095.9,24151,28.11
11440.9,6608.1,27904.9,23047.1,24841,28.11
11333.4,6700.4,27812.6,23154.6,25531,28.11
11436.5,6601.4,27911.6,23051.5,26221,28.11
11441.8,6583.1,27929.9,23046.2,26911,28.11
11528.1,6509.0,28004.0,22959.9,27601,28.11
11422.5,6595.9,27917.1,23065.5,28291,28.11
11529.2,6482.6,28030.4,22958.8,28981,28.11
11533.4,6473.1,28039.9,22954.6,29671,28.11
11552.9,6445.0,28068.0,22935.1,30361,28.11
11577.2,6424.2,28088.8,22910.8,31051,28.11
11614.5,6381.3,28131.7,22873.5,31741,28.11
11586.7,6407.5,28105.5,22901.3,32431,28.11
11579.0,6405.3,28107.7,22909.0,33121,28.11
11639.9,6344.1,28168.9,22848.1,33811,28.11
11678.4,6299.0,28214.0,22809.6,34501,28.11
11723.3,6242.8,28270.2,22764.7,35191,28.11
11688.5,6283.8,28229.2,22799.5,35881,28.11
11746.5,6219.7,28293.3,22741.5,36571,28.11
11786.4,6178.6,28334.4,22701.6,37261,28.11
11811.2,6141.3,28371.7,22676.8,37951,28.11
11831.0,6120.3,28392.7,22657.0,38641,28.11
11877.1,6075.1,28437.9,22610.9,39331,28.11
11886.3,6054.1,28458.9,22601.7,40021,28.11
11916.3,6021.4,28491.6,22571.7,40711,28.11
11950.0,5990.5,28522.5,22538.0,41401,28.11
11975.2,5960.4,28552.6,22512.8,42091,28.11
12005.6,5924.8,28588.2,22482.4,42781,28.11
12069.1,5860.7,28652.3,22418.9,43471,28.11
12090.7,5832.8,28680.2,22397.3,44161,28.11
12197.4,5727.8,28785.2,22290.6,44851,28.11
12203.2,5714.3,28798.7,22284.8,45541,28.11
12283.4,5630.6,28882.4,22204.6,46231,28.11
12362.8,5559.0,28954.0,22125.2,46921,28.11
12413.7,5496.8,29016.2,22074.3,47611,28.11
12479.6,5430.0,29083.0,22008.4,48301,28.11
12523.5,5388.0,29125.0,21964.5,48991,28.11
12645.3,5258.4,29254.6,21842.7,49681,28.11
12711.8,5185.0,29328.0,21776.2,50371,28.11
12841.6,5060.9,29452.1,21646.4,51061,28.11
12883.9,5013.2,29499.8,21604.1,51751,28.11
12980.9,4912.9,29600.1,21507.1,52441,28.11
13074.5,4821.5,29691.5,21413.5,53131,28.11
13182.6,4707.8,29805.2,21305.4,53821,28.11
13301.5,4588.0,29925.0,21186.5,54511,28.11
13465.9,4424.8,30088.2,21022.1,55201,28.11
13582.5,4304.5,30208.5,20905.5,55891,28.11
13668.4,4213.4,30299.6,20819.6,56581,28.11
13831.9,4046.0,30467.0,20656.1,57271,28.11
14052.3,3828.0,30685.0,20435.7,57961,28.11
14146.7,3731.2,30781.8,20341.3,58651,28.11
14352.1,3526.9,30986.1,20135.9,59341,28.11
14536.9,3335.8,31177.2,19951.1,60031,28.11
14681.7,3191.4,31321.6,19806.3,60721,28.11
14920.8,2949.7,31563.3,19567.2,61411,28.11
15118.2,2751.5,31761.5,19369.8,62101,28.11
15337.5,2531.2,31981.8,19150.5,62791,28.11
15578.6,2289.1,32223.9,18909.4,63481,28.11
15799.4,2066.4,32446.6,18688.6,64171,28.11
16071.2,1794.3,32718.7,18416.8,64861,28.11
16327.8,1535.4,32977.6,18160.2,65551,28.11
16618.5,1243.7,33269.3,17869.5,66241,28.11
16911.4,951.0,33562.0,17576.6,66931,28.11
17186.4,674.8,33838.2,17301.6,67621,28.11
17514.9,344.4,34168.6,16973.1,68311,28.11
17850.9,8.2,34504.8,16637.1,69001,28.11
