FN,FP,TN,TP,sr,t
3445.2,31094.1,3454.9,31006.8,1,190.94
4030.7,2403.8,32145.2,30421.3,691,190.94
3586.1,2533.3,32015.7,30865.9,1381,190.94
3532.4,2467.7,32081.3,30919.6,2071,190.94
3455.4,2571.6,31977.4,30996.6,2761,190.94
3613.4,2310.4,32238.6,30838.6,3451,190.94
3501.0,2400.7,32148.3,30951.0,4141,190.94
3541.8,2325.1,32223.9,30910.2,4831,190.94
3518.5,2380.2,32168.8,30933.5,5521,190.94
3549.0,2310.8,32238.2,30903.0,6211,190.94
3548.7,2298.1,32250.9,30903.3,6901,190.94
3531.6,2324.8,32224.2,30920.4,7591,190.94
3583.0,2249.4,32299.6,30869.0,8281,190.94
3533.2,2308.4,32240.6,30918.8,8971,190.94
3553.5,2260.6,32288.4,30898.5,9661,190.94
3485.8,2311.1,32237.9,30966.2,10351,190.94
3500.2,2294.2,32254.8,30951.8,11041,190.94
3549.9,2273.0,32276.0,30902.1,11731,190.94
3510.7,2277.2,32271.8,30941.3,12421,190.94
3535.7,2248.5,32300.5,30916.3,13111,190.94
3498.0,2256.6,32292.4,30954.0,13801,190.94
3537.1,2226.3,32322.7,30914.9,14491,190.94
3543.3,2204.4,32344.6,30908.7,15181,190.94
3574.3,2175.5,32373.5,30877.7,15871,190.94
3547.1,2201.7,32347.3,30904.9,16561,190.94
3595.4,2147.7,32401.3,30856.6,17251,190.94
3507.1,2227.7,32321.3,30944.9,17941,190.94
3625.6,2111.1,32437.9,30826.4,18631,190.94
3545.7,2187.0,32362.0,30906.3,19321,190.94
3569.0,2154.2,32394.8,30883.0,20011,190.94
3561.1,2165.0,32384.0,30890.9,20701,190.94
3572.5,2148.3,32400.7,30879.5,21391,190.94
3583.9,2131.4,32417.6,30868.1,22081,190.94
3618.6,2097.6,32451.4,30833.4,22771,190.94
3595.7,2119.3,32429.7,30856.3,23461,190.94
3578.7,2123.5,32425.5,30873.3,24151,190.94
3619.0,2083.7,32465.3,30833.0,24841,190.94
3596.7,2110.3,32438.7,30855.3,25531,190.94
3630.5,2061.7,32487.3,30821.5,26221,190.94
3655.1,2037.1,32511.9,30796.9,26911,190.94
3606.5,2089.3,32459.7,30845.5,27601,190.94
3635.1,2055.8,32493.2,30816.9,28291,190.94
3675.1,2013.0,32536.0,30776.9,28981,190.94
3649.9,2037.0,32512.0,30802.1,29671,190.94
3654.0,2027.3,32521.7,30798.0,30361,190.94
3636.0,2051.4,32497.6,30816.0,31051,190.94
3667.9,2009.7,32539.3,30784.1,31741,190.94
3654.0,2025.5,32523.5,30798.0,32431,190.94
3655.4,2026.5,32522.5,30796.6,33121,190.94
3699.3,1978.5,32570.5,30752.7,33811,190.94
3680.1,1995.0,32554.0,30771.9,34501,190.94
3663.6,2016.5,32532.5,30788.4,35191,190.94
3714.9,1953.6,32595.4,30737.1,35881,190.94
3707.6,1964.6,32584.4,30744.4,36571,190.94
3715.0,1959.5,32589.5,30737.0,37261,190.94
3706.1,1962.1,32586.9,30745.9,37951,190.94
3764.3,1902.4,32646.6,30687.7,38641,190.94
3754.2,1911.0,32638.0,30697.8,39331,190.94
3734.2,1930.3,32618.7,30717.8,40021,190.94
3796.2,1871.0,32678.0,30655.8,40711,190.94
3799.9,1864.1,32684.9,30652.1,41401,190.94
3811.1,1850.8,32698.2,30640.9,42091,190.94
3815.0,1849.5,32699.5,30637.0,42781,190.94
3839.6,1820.0,32729.0,30612.4,43471,190.94
3835.5,1826.8,32722.2,30616.5,44161,190.94
3863.1,1797.8,32751.2,30588.9,44851,190.94
3887.2,1774.9,32774.1,30564.8,45541,190.94
3891.2,1768.7,32780.3,30560.8,46231,190.94
3915.4,1742.8,32806.2,30536.6,46921,190.94
3948.1,1711.1,32837.9,30503.9,47611,190.94
3933.2,1722.0,32827.0,30518.8,48301,190.94
3959.1,1697.6,32851.4,30492.9,48991,190.94
4011.1,1645.5,32903.5,30440.9,49681,190.94
4000.4,1655.8,32893.2,30451.6,50371,190.94
4060.8,1593.9,32955.1,30391.2,51061,190.94
4055.6,1597.6,32951.4,30396.4,51751,190.94
4115.9,1538.0,33011.0,30336.1,52441,190.94
4151.3,1502.2,33046.8,30300.7,53131,190.94
4171.1,1482.4,33066.6,30280.9,53821,190.94
4205.9,1445.6,33103.4,30246.1,54511,190.94
4262.4,1388.2,33160.8,30189.6,55201,190.94
4289.0,1362.8,33186.2,30163.0,55891,190.94
4348.4,1301.5,33247.5,30103.6,56581,190.94
4389.2,1261.6,33287.4,30062.8,57271,190.94
4447.2,1201.4,33347.6,30004.8,57961,190.94
4477.9,1171.8,33377.2,29974.1,58651,190.94
4520.9,1127.0,33422.0,29931.1,59341,190.94
4603.8,1041.6,33507.4,29848.2,60031,190.94
4648.3,999.1,33549.9,29803.7,60721,190.94
4715.9,932.6,33616.4,29736.1,61411,190.94
4791.0,855.5,33693.5,29661.0,62101,190.94
4849.7,796.9,33752.1,29602.3,62791,190.94
4918.8,727.6,33821.4,29533.2,63481,190.94
4990.3,655.4,33893.6,29461.7,64171,190.94
5072.2,571.9,33977.1,29379.8,64861,190.94
5146.4,498.0,34051.0,29305.6,65551,190.94
5252.1,390.3,34158.7,29199.9,66241,190.94
5336.6,306.4,34242.6,29115.4,66931,190.94
5434.8,207.6,34341.4,29017.2,67621,190.94
5533.8,108.6,34440.4,28918.2,68311,190.94
5639.0,3.0,34546.0,28813.0,69001,190.94
