FN,FP,TN,TP,sr,t
17083.0,17417.5,17417.5,17083.0,1,8.0
11126.2,7804.5,27030.5,23039.8,691,8.0
10949.2,7586.2,27248.8,23216.8,1381,8.0
10849.1,7531.4,27303.6,23316.9,2071,8.0
10810.3,7514.8,27320.2,23355.7,2761,8.0
10772.8,7419.2,27415.8,23393.2,3451,8.0
10743.4,7442.1,27392.9,23422.6,4141,8.0
10813.9,7365.6,27469.4,23352.1,4831,8.0
10851.8,7243.4,27591.6,23314.2,5521,8.0
10829.0,7252.5,27582.5,23337.0,6211,8.0
10832.1,7232.3,27602.7,23333.9,6901,8.0
10804.3,7197.6,27637.4,23361.7,7591,8.0
10924.9,7060.5,27774.5,23241.1,8281,8.0
10897.7,7054.8,27780.2,23268.3,8971,8.0
10884.4,7067.9,27767.1,23281.6,9661,8.0
10877.6,7009.8,27825.2,23288.4,10351,8.0
10841.3,7015.0,27820.0,23324.7,11041,8.0
10992.7,6865.9,27969.1,23173.3,11731,8.0
10801.4,7017.8,27817.2,23364.6,12421,8.0
10804.5,6979.5,27855.5,23361.5,13111,8.0
10903.1,6892.6,27942.4,23262.9,13801,8.0
10952.3,6806.3,28028.7,23213.7,14491,8.0
10957.5,6759.5,28075.5,23208.5,15181,8.0
10957.1,6729.4,28105.6,23208.9,15871,8.0
10982.3,6729.6,28105.4,23183.7,16561,8.0
11002.8,6672.9,28162.1,23163.2,17251,8.0
11060.7,6611.3,28223.7,23105.3,17941,8.0
10981.0,6683.4,28151.6,23185.0,18631,8.0
10967.1,6682.0,28153.0,23198.9,19321,8.0
11031.7,6609.4,28225.6,23134.3,20011,8.0
11010.9,6602.1,28232.9,23155.1,20701,8.0
11039.2,6571.1,28263.9,23126.8,21391,8.0
11027.5,6558.7,28276.3,23138.5,22081,8.0
11104.8,6475.0,28360.0,23061.2,22771,8.0
11083.1,6473.2,28361.8,23082.9,23461,8.0
11100.6,6462.7,28372.3,23065.4,24151,8.0
11084.7,6460.4,28374.6,23081.3,24841,8.0
11103.8,6420.6,28414.4,23062.2,25531,8.0
11125.8,6388.4,28446.6,23040.2,26221,8.0
11140.9,6376.2,28458.8,23025.1,26911,8.0
11119.0,6397.1,28437.9,23047.0,27601,8.0
11164.0,6325.5,28509.5,23002.0,28291,8.0
11198.1,6289.3,28545.7,22967.9,28981,8.0
11216.3,6261.7,28573.3,22949.7,29671,8.0
11241.3,6211.0,28624.0,22924.7,30361,8.0
11220.6,6230.8,28604.2,22945.4,31051,8.0
11302.7,6157.2,28677.8,22863.3,31741,8.0
11291.2,6161.5,28673.5,22874.8,32431,8.0
11287.6,6144.2,28690.8,22878.4,33121,8.0
11353.2,6079.0,28756.0,22812.8,33811,8.0
11346.2,6081.9,28753.1,22819.8,34501,8.0
11369.2,6053.6,28781.4,22796.8,35191,8.0
11432.2,5977.1,28857.9,22733.8,35881,8.0
11451.9,5966.5,28868.5,22714.1,36571,8.0
11418.5,5987.0,28848.0,22747.5,37261,8.0
11476.1,5920.5,28914.5,22689.9,37951,8.0
11543.7,5840.6,28994.4,22622.3,38641,8.0
11563.7,5825.4,29009.6,22602.3,39331,8.0
11547.9,5829.6,29005.4,22618.1,40021,8.0
11579.9,5791.9,29043.1,22586.1,40711,8.0
11652.2,5713.8,29121.2,22513.8,41401,8.0
11679.0,5689.4,29145.6,22487.0,42091,8.0
11694.7,5670.8,29164.2,22471.3,42781,8.0
11722.9,5629.0,29206.0,22443.1,43471,8.0
11770.2,5579.1,29255.9,22395.8,44161,8.0
11816.4,5531.9,29303.1,22349.6,44851,8.0
11880.7,5465.7,29369.3,22285.3,45541,8.0
11998.6,5332.5,29502.5,22167.4,46231,8.0
11993.1,5342.3,29492.7,22172.9,46921,8.0
12051.9,5269.2,29565.8,22114.1,47611,8.0
12138.9,5183.3,29651.7,22027.1,48301,8.0
12190.2,5131.4,29703.6,21975.8,48991,8.0
12221.4,5091.2,29743.8,21944.6,49681,8.0
12339.4,4974.8,29860.2,21826.6,50371,8.0
12386.3,4921.9,29913.1,21779.7,51061,8.0
12520.7,4785.8,30049.2,21645.3,51751,8.0
12573.6,4731.2,30103.8,21592.4,52441,8.0
12702.5,4594.6,30240.4,21463.5,53131,8.0
12792.9,4505.0,30330.0,21373.1,53821,8.0
12912.7,4383.9,30451.1,21253.3,54511,8.0
13010.2,4283.0,30552.0,21155.8,55201,8.0
13142.6,4145.1,30689.9,21023.4,55891,8.0
13266.7,4020.5,30814.5,20899.3,56581,8.0
13431.7,3854.5,30980.5,20734.3,57271,8.0
13553.1,3728.8,31106.2,20612.9,57961,8.0
13718.1,3563.7,31271.3,20447.9,58651,8.0
13857.3,3419.6,31415.4,20308.7,59341,8.0
14081.4,3193.0,31642.0,20084.6,60031,8.0
14220.8,3051.0,31784.0,19945.2,60721,8.0
14423.5,2848.4,31986.6,19742.5,61411,8.0
14615.6,2651.9,32183.1,19550.4,62101,8.0
14834.5,2436.7,32398.3,19331.5,62791,8.0
15041.8,2225.0,32610.0,19124.2,63481,8.0
15290.7,1973.9,32861.1,18875.3,64171,8.0
15488.0,1773.8,33061.2,18678.0,64861,8.0
15752.7,1508.6,33326.4,18413.3,65551,8.0
16007.5,1252.9,33582.1,18158.5,66241,8.0
16302.4,956.7,33878.3,17863.6,66931,8.0
16585.6,672.9,34162.1,17580.4,67621,8.0
16896.3,361.2,34473.8,17269.7,68311,8.0
17229.6,27.5,34807.5,16936.4,69001,8.0
