FN,FP,TN,TP,sr,t
3232.8,6183.2,55648.8,359.2,1,-1.0
372.9,448.8,61383.2,3219.1,655,-1.0
459.6,440.5,61391.5,3132.4,1309,-1.0
490.9,460.5,61371.5,3101.1,1963,-1.0
632.3,404.6,61427.4,2959.7,2617,-1.0
595.6,415.0,61417.0,2996.4,3271,-1.0
535.0,410.6,61421.4,3057.0,3925,-1.0
484.5,417.4,61414.6,3107.5,4579,-1.0
525.2,413.6,61418.4,3066.8,5233,-1.0
458.1,417.8,61414.2,3133.9,5887,-1.0
443.0,415.7,61416.3,3149.0,6541,-1.0
407.2,415.4,61416.6,3184.8,7195,-1.0
443.9,379.9,61452.1,3148.1,7849,-1.0
359.7,435.7,61396.3,3232.3,8503,-1.0
386.4,402.6,61429.4,3205.6,9157,-1.0
435.7,416.9,61415.1,3156.3,9811,-1.0
419.7,387.5,61444.5,3172.3,10465,-1.0
452.9,406.9,61425.1,3139.1,11119,-1.0
379.6,410.3,61421.7,3212.4,11773,-1.0
395.0,409.6,61422.4,3197.0,12427,-1.0
366.9,420.1,61411.9,3225.1,13081,-1.0
352.1,406.6,61425.4,3239.9,13735,-1.0
358.1,413.7,61418.3,3233.9,14389,-1.0
325.0,427.9,61404.1,3267.0,15043,-1.0
307.2,432.2,61399.8,3284.8,15697,-1.0
327.2,412.4,61419.6,3264.8,16351,-1.0
256.7,440.7,61391.3,3335.3,17005,-1.0
259.5,428.4,61403.6,3332.5,17659,-1.0
284.8,414.7,61417.3,3307.2,18313,-1.0
256.0,429.1,61402.9,3336.0,18967,-1.0
247.5,439.1,61392.9,3344.5,19621,-1.0
257.9,423.2,61408.8,3334.1,20275,-1.0
231.7,428.9,61403.1,3360.3,20929,-1.0
214.7,429.4,61402.6,3377.3,21583,-1.0
210.9,431.5,61400.5,3381.1,22237,-1.0
219.1,424.3,61407.7,3372.9,22891,-1.0
220.4,417.6,61414.4,3371.6,23545,-1.0
228.8,416.5,61415.5,3363.2,24199,-1.0
181.7,419.6,61412.4,3410.3,24853,-1.0
179.6,430.5,61401.5,3412.4,25507,-1.0
170.1,427.6,61404.4,3421.9,26161,-1.0
206.1,414.1,61417.9,3385.9,26815,-1.0
178.8,419.6,61412.4,3413.2,27469,-1.0
200.5,409.6,61422.4,3391.5,28123,-1.0
167.9,423.6,61408.4,3424.1,28777,-1.0
155.7,428.5,61403.5,3436.3,29431,-1.0
171.8,417.6,61414.4,3420.2,30085,-1.0
171.0,414.7,61417.3,3421.0,30739,-1.0
159.7,413.1,61418.9,3432.3,31393,-1.0
156.8,417.4,61414.6,3435.2,32047,-1.0
151.5,418.9,61413.1,3440.5,32701,-1.0
166.8,406.1,61425.9,3425.2,33355,-1.0
166.2,404.2,61427.8,3425.8,34009,-1.0
164.3,403.2,61428.8,3427.7,34663,-1.0
174.6,399.1,61432.9,3417.4,35317,-1.0
144.1,412.0,61420.0,3447.9,35971,-1.0
161.8,394.8,61437.2,3430.2,36625,-1.0
162.4,398.0,61434.0,3429.6,37279,-1.0
172.1,386.0,61446.0,3419.9,37933,-1.0
182.0,384.9,61447.1,3410.0,38587,-1.0
156.0,395.6,61436.4,3436.0,39241,-1.0
171.7,388.0,61444.0,3420.3,39895,-1.0
150.2,398.3,61433.7,3441.8,40549,-1.0
178.8,373.2,61458.8,3413.2,41203,-1.0
166.3,379.8,61452.2,3425.7,41857,-1.0
168.1,373.7,61458.3,3423.9,42511,-1.0
142.5,400.8,61431.2,3449.5,43165,-1.0
173.7,370.5,61461.5,3418.3,43819,-1.0
150.7,388.0,61444.0,3441.3,44473,-1.0
180.6,354.2,61477.8,3411.4,45127,-1.0
165.5,371.7,61460.3,3426.5,45781,-1.0
168.3,358.2,61473.8,3423.7,46435,-1.0
155.0,373.7,61458.3,3437.0,47089,-1.0
170.4,359.3,61472.7,3421.6,47743,-1.0
172.9,353.0,61479.0,3419.1,48397,-1.0
153.9,370.3,61461.7,3438.1,49051,-1.0
173.8,345.7,61486.3,3418.2,49705,-1.0
173.2,350.5,61481.5,3418.8,50359,-1.0
173.3,344.8,61487.2,3418.7,51013,-1.0
170.0,346.0,61486.0,3422.0,51667,-1.0
176.3,343.2,61488.8,3415.7,52321,-1.0
173.2,336.0,61496.0,3418.8,52975,-1.0
161.0,353.3,61478.7,3431.0,53629,-1.0
172.7,333.8,61498.2,3419.3,54283,-1.0
177.1,328.5,61503.5,3414.9,54937,-1.0
166.5,339.0,61493.0,3425.5,55591,-1.0
173.5,325.5,61506.5,3418.5,56245,-1.0
179.6,323.2,61508.8,3412.4,56899,-1.0
183.1,313.8,61518.2,3408.9,57553,-1.0
181.5,318.5,61513.5,3410.5,58207,-1.0
178.9,317.9,61514.1,3413.1,58861,-1.0
176.6,313.1,61518.9,3415.4,59515,-1.0
184.9,306.9,61525.1,3407.1,60169,-1.0
180.5,308.9,61523.1,3411.5,60823,-1.0
187.2,295.4,61536.6,3404.8,61477,-1.0
181.1,300.5,61531.5,3410.9,62131,-1.0
195.3,282.1,61549.9,3396.7,62785,-1.0
196.7,280.3,61551.7,3395.3,63439,-1.0
190.9,284.7,61547.3,3401.1,64093,-1.0
196.9,270.3,61561.7,3395.1,64747,-1.0
205.7,258.9,61573.1,3386.3,65401,-1.0
