FN,FP,TN,TP,sr,t
2617.0,0.0,62807.0,0.0,1,0
239.1,56.7,62750.3,2377.9,655,0
168.7,85.5,62721.5,2448.3,1309,0
121.3,46.5,62760.5,2495.7,1963,0
112.3,33.9,62773.1,2504.7,2617,0
99.4,33.2,62773.8,2517.6,3271,0
61.2,31.4,62775.6,2555.8,3925,0
27.0,11.2,62795.8,2590.0,4579,0
66.9,26.6,62780.4,2550.1,5233,0
47.5,15.9,62791.1,2569.5,5887,0
27.8,8.5,62798.5,2589.2,6541,0
28.7,16.4,62790.6,2588.3,7195,0
37.8,2.4,62804.6,2579.2,7849,0
25.9,7.3,62799.7,2591.1,8503,0
18.7,9.2,62797.8,2598.3,9157,0
12.0,4.9,62802.1,2605.0,9811,0
15.9,0.8,62806.2,2601.1,10465,0
15.0,3.4,62803.6,2602.0,11119,0
13.9,0.9,62806.1,2603.1,11773,0
14.4,4.8,62802.2,2602.6,12427,0
12.2,2.7,62804.3,2604.8,13081,0
8.7,4.1,62802.9,2608.3,13735,0
12.0,8.1,62798.9,2605.0,14389,0
10.9,3.3,62803.7,2606.1,15043,0
13.1,3.6,62803.4,2603.9,15697,0
10.3,1.5,62805.5,2606.7,16351,0
6.1,0.6,62806.4,2610.9,17005,0
8.0,2.0,62805.0,2609.0,17659,0
7.7,1.4,62805.6,2609.3,18313,0
8.0,2.0,62805.0,2609.0,18967,0
7.9,2.6,62804.4,2609.1,19621,0
7.0,0.9,62806.1,2610.0,20275,0
6.8,0.4,62806.6,2610.2,20929,0
7.0,1.2,62805.8,2610.0,21583,0
5.3,1.4,62805.6,2611.7,22237,0
3.3,2.2,62804.8,2613.7,22891,0
6.2,2.1,62804.9,2610.8,23545,0
4.8,1.0,62806.0,2612.2,24199,0
5.1,2.0,62805.0,2611.9,24853,0
4.1,0.6,62806.4,2612.9,25507,0
7.3,1.3,62805.7,2609.7,26161,0
5.3,0.9,62806.1,2611.7,26815,0
3.6,0.7,62806.3,2613.4,27469,0
3.0,1.4,62805.6,2614.0,28123,0
2.2,0.7,62806.3,2614.8,28777,0
3.2,0.7,62806.3,2613.8,29431,0
3.6,1.6,62805.4,2613.4,30085,0
4.1,0.2,62806.8,2612.9,30739,0
2.7,1.0,62806.0,2614.3,31393,0
5.8,1.1,62805.9,2611.2,32047,0
2.1,1.1,62805.9,2614.9,32701,0
2.7,0.3,62806.7,2614.3,33355,0
4.2,0.5,62806.5,2612.8,34009,0
1.7,0.9,62806.1,2615.3,34663,0
0.9,0.8,62806.2,2616.1,35317,0
0.8,1.3,62805.7,2616.2,35971,0
1.2,0.7,62806.3,2615.8,36625,0
0.4,0.7,62806.3,2616.6,37279,0
1.5,0.5,62806.5,2615.5,37933,0
1.3,0.6,62806.4,2615.7,38587,0
1.2,0.4,62806.6,2615.8,39241,0
1.1,0.5,62806.5,2615.9,39895,0
0.6,0.7,62806.3,2616.4,40549,0
0.8,0.6,62806.4,2616.2,41203,0
2.3,0.3,62806.7,2614.7,41857,0
0.8,0.6,62806.4,2616.2,42511,0
0.6,0.6,62806.4,2616.4,43165,0
1.1,0.4,62806.6,2615.9,43819,0
1.5,0.3,62806.7,2615.5,44473,0
1.3,0.1,62806.9,2615.7,45127,0
1.4,0.2,62806.8,2615.6,45781,0
1.3,0.1,62806.9,2615.7,46435,0
0.7,0.4,62806.6,2616.3,47089,0
0.9,0.4,62806.6,2616.1,47743,0
1.8,0.1,62806.9,2615.2,48397,0
0.9,0.3,62806.7,2616.1,49051,0
0.9,0.5,62806.5,2616.1,49705,0
1.1,0.0,62807.0,2615.9,50359,0
0.8,0.3,62806.7,2616.2,51013,0
0.9,0.5,62806.5,2616.1,51667,0
0.9,0.2,62806.8,2616.1,52321,0
0.8,0.4,62806.6,2616.2,52975,0
1.6,0.0,62807.0,2615.4,53629,0
1.0,0.2,62806.8,2616.0,54283,0
1.2,0.2,62806.8,2615.8,54937,0
1.1,0.1,62806.9,2615.9,55591,0
1.3,0.1,62806.9,2615.7,56245,0
1.4,0.0,62807.0,2615.6,56899,0
1.2,0.0,62807.0,2615.8,57553,0
0.9,0.2,62806.8,2616.1,58207,0
0.9,0.3,62806.7,2616.1,58861,0
0.9,0.1,62806.9,2616.1,59515,0
1.3,0.0,62807.0,2615.7,60169,0
1.2,0.1,62806.9,2615.8,60823,0
1.0,0.0,62807.0,2616.0,61477,0
1.0,0.0,62807.0,2616.0,62131,0
0.8,0.2,62806.8,2616.2,62785,0
1.1,0.0,62807.0,2615.9,63439,0
1.0,0.0,62807.0,2616.0,64093,0
1.0,0.0,62807.0,2616.0,64747,0
1.0,0.0,62807.0,2616.0,65401,0
