FN,FP,TN,TP,sr,t
10195.2,5409.6,48686.4,1132.8,1,90865
4276.0,2894.2,51201.8,7052.0,655,90865
4022.8,2502.7,51593.3,7305.2,1309,90865
3824.5,2224.3,51871.7,7503.5,1963,90865
3368.9,2161.5,51934.5,7959.1,2617,90865
2927.6,2108.2,51987.8,8400.4,3271,90865
3013.0,2004.6,52091.4,8315.0,3925,90865
2775.6,1835.4,52260.6,8552.4,4579,90865
2790.0,1770.4,52325.6,8538.0,5233,90865
2659.9,1805.6,52290.4,8668.1,5887,90865
2587.8,1701.7,52394.3,8740.2,6541,90865
2436.9,1679.6,52416.4,8891.1,7195,90865
2329.9,1690.9,52405.1,8998.1,7849,90865
2177.2,1617.4,52478.6,9150.8,8503,90865
2201.5,1612.2,52483.8,9126.5,9157,90865
2196.4,1550.7,52545.3,9131.6,9811,90865
2036.5,1585.1,52510.9,9291.5,10465,90865
1941.3,1611.8,52484.2,9386.7,11119,90865
1932.2,1558.1,52537.9,9395.8,11773,90865
1925.9,1530.8,52565.2,9402.1,12427,90865
1894.3,1486.7,52609.3,9433.7,13081,90865
1862.4,1490.9,52605.1,9465.6,13735,90865
1779.9,1513.4,52582.6,9548.1,14389,90865
1764.7,1467.3,52628.7,9563.3,15043,90865
1793.0,1443.3,52652.7,9535.0,15697,90865
1699.2,1486.9,52609.1,9628.8,16351,90865
1721.7,1435.5,52660.5,9606.3,17005,90865
1619.6,1420.9,52675.1,9708.4,17659,90865
1610.0,1420.0,52676.0,9718.0,18313,90865
1640.9,1380.0,52716.0,9687.1,18967,90865
1614.8,1363.5,52732.5,9713.2,19621,90865
1611.8,1342.2,52753.8,9716.2,20275,90865
1534.7,1377.9,52718.1,9793.3,20929,90865
1582.5,1328.0,52768.0,9745.5,21583,90865
1571.9,1280.0,52816.0,9756.1,22237,90865
1527.6,1304.4,52791.6,9800.4,22891,90865
1483.2,1277.6,52818.4,9844.8,23545,90865
1506.8,1253.5,52842.5,9821.2,24199,90865
1460.1,1245.4,52850.6,9867.9,24853,90865
1503.1,1228.3,52867.7,9824.9,25507,90865
1460.6,1214.0,52882.0,9867.4,26161,90865
1403.8,1200.3,52895.7,9924.2,26815,90865
1423.6,1199.0,52897.0,9904.4,27469,90865
1412.8,1167.9,52928.1,9915.2,28123,90865
1426.3,1154.0,52942.0,9901.7,28777,90865
1384.8,1147.9,52948.1,9943.2,29431,90865
1372.6,1119.0,52977.0,9955.4,30085,90865
1364.9,1125.4,52970.6,9963.1,30739,90865
1358.1,1114.3,52981.7,9969.9,31393,90865
1352.9,1070.6,53025.4,9975.1,32047,90865
1336.6,1083.8,53012.2,9991.4,32701,90865
1302.9,1063.2,53032.8,10025.1,33355,90865
1338.1,1026.6,53069.4,9989.9,34009,90865
1303.1,1015.0,53081.0,10024.9,34663,90865
1287.9,1016.3,53079.7,10040.1,35317,90865
1265.4,1013.8,53082.2,10062.6,35971,90865
1265.7,987.5,53108.5,10062.3,36625,90865
1242.1,961.7,53134.3,10085.9,37279,90865
1225.9,967.7,53128.3,10102.1,37933,90865
1237.4,953.7,53142.3,10090.6,38587,90865
1214.0,949.4,53146.6,10114.0,39241,90865
1184.9,927.2,53168.8,10143.1,39895,90865
1213.5,909.2,53186.8,10114.5,40549,90865
1188.3,903.5,53192.5,10139.7,41203,90865
1170.9,868.3,53227.7,10157.1,41857,90865
1154.1,866.9,53229.1,10173.9,42511,90865
1178.5,835.8,53260.2,10149.5,43165,90865
1178.5,816.9,53279.1,10149.5,43819,90865
1114.5,825.0,53271.0,10213.5,44473,90865
1153.8,788.6,53307.4,10174.2,45127,90865
1139.1,778.3,53317.7,10188.9,45781,90865
1127.4,756.5,53339.5,10200.6,46435,90865
1137.5,747.0,53349.0,10190.5,47089,90865
1105.5,745.5,53350.5,10222.5,47743,90865
1091.3,734.0,53362.0,10236.7,48397,90865
1105.7,703.4,53392.6,10222.3,49051,90865
1072.5,702.3,53393.7,10255.5,49705,90865
1077.2,694.0,53402.0,10250.8,50359,90865
1070.8,665.7,53430.3,10257.2,51013,90865
1058.1,651.7,53444.3,10269.9,51667,90865
1022.9,628.6,53467.4,10305.1,52321,90865
1042.3,636.9,53459.1,10285.7,52975,90865
1015.8,628.7,53467.3,10312.2,53629,90865
1004.5,592.4,53503.6,10323.5,54283,90865
1020.5,570.3,53525.7,10307.5,54937,90865
992.6,574.2,53521.8,10335.4,55591,90865
991.1,555.4,53540.6,10336.9,56245,90865
980.7,542.8,53553.2,10347.3,56899,90865
970.2,527.9,53568.1,10357.8,57553,90865
975.1,497.0,53599.0,10352.9,58207,90865
969.2,499.0,53597.0,10358.8,58861,90865
945.2,480.8,53615.2,10382.8,59515,90865
934.6,480.6,53615.4,10393.4,60169,90865
937.0,462.6,53633.4,10391.0,60823,90865
912.6,454.4,53641.6,10415.4,61477,90865
903.0,446.8,53649.2,10425.0,62131,90865
922.9,417.9,53678.1,10405.1,62785,90865
889.6,414.2,53681.8,10438.4,63439,90865
888.0,398.8,53697.2,10440.0,64093,90865
884.4,379.9,53716.1,10443.6,64747,90865
875.7,373.8,53722.2,10452.3,65401,90865
