FN,FP,TN,TP,sr,t
11344.2,18606.8,27910.2,7562.8,1,5808
3959.1,2440.7,44076.3,14947.9,655,5808
3751.1,2038.1,44478.9,15155.9,1309,5808
3405.2,1953.9,44563.1,15501.8,1963,5808
3229.9,1933.3,44583.7,15677.1,2617,5808
3171.8,1810.9,44706.1,15735.2,3271,5808
3052.0,1587.4,44929.6,15855.0,3925,5808
3079.5,1546.5,44970.5,15827.5,4579,5808
2990.3,1282.8,45234.2,15916.7,5233,5808
3001.6,1317.4,45199.6,15905.4,5887,5808
2983.9,1122.6,45394.4,15923.1,6541,5808
2960.1,1079.9,45437.1,15946.9,7195,5808
2936.3,1043.2,45473.8,15970.7,7849,5808
2927.4,1005.0,45512.0,15979.6,8503,5808
2923.5,930.7,45586.3,15983.5,9157,5808
2924.3,945.7,45571.3,15982.7,9811,5808
2915.8,835.1,45681.9,15991.2,10465,5808
2903.1,863.5,45653.5,16003.9,11119,5808
2870.7,851.8,45665.2,16036.3,11773,5808
2882.8,804.4,45712.6,16024.2,12427,5808
2881.6,735.4,45781.6,16025.4,13081,5808
2868.5,753.4,45763.6,16038.5,13735,5808
2865.2,662.8,45854.2,16041.8,14389,5808
2873.7,650.1,45866.9,16033.3,15043,5808
2855.9,596.6,45920.4,16051.1,15697,5808
2837.8,642.5,45874.5,16069.2,16351,5808
2819.0,660.9,45856.1,16088.0,17005,5808
2819.2,589.3,45927.7,16087.8,17659,5808
2828.7,576.7,45940.3,16078.3,18313,5808
2814.2,574.3,45942.7,16092.8,18967,5808
2798.6,562.3,45954.7,16108.4,19621,5808
2806.7,525.0,45992.0,16100.3,20275,5808
2819.0,475.8,46041.2,16088.0,20929,5808
2785.9,516.0,46001.0,16121.1,21583,5808
2780.0,497.9,46019.1,16127.0,22237,5808
2777.2,457.2,46059.8,16129.8,22891,5808
2765.1,487.8,46029.2,16141.9,23545,5808
2788.4,394.3,46122.7,16118.6,24199,5808
2744.0,471.8,46045.2,16163.0,24853,5808
2744.0,448.0,46069.0,16163.0,25507,5808
2730.6,454.3,46062.7,16176.4,26161,5808
2724.3,472.8,46044.2,16182.7,26815,5808
2729.3,419.2,46097.8,16177.7,27469,5808
2716.8,423.0,46094.0,16190.2,28123,5808
2724.9,394.5,46122.5,16182.1,28777,5808
2709.0,393.9,46123.1,16198.0,29431,5808
2678.8,415.9,46101.1,16228.2,30085,5808
2711.2,350.1,46166.9,16195.8,30739,5808
2683.0,383.3,46133.7,16224.0,31393,5808
2660.8,395.2,46121.8,16246.2,32047,5808
2675.9,357.7,46159.3,16231.1,32701,5808
2655.3,369.9,46147.1,16251.7,33355,5808
2673.1,348.0,46169.0,16233.9,34009,5808
2649.0,349.1,46167.9,16258.0,34663,5808
2636.9,345.7,46171.3,16270.1,35317,5808
2635.4,340.4,46176.6,16271.6,35971,5808
2625.6,347.1,46169.9,16281.4,36625,5808
2608.6,342.8,46174.2,16298.4,37279,5808
2627.8,317.2,46199.8,16279.2,37933,5808
2589.9,342.9,46174.1,16317.1,38587,5808
2572.2,331.7,46185.3,16334.8,39241,5808
2616.0,298.9,46218.1,16291.0,39895,5808
2576.6,312.8,46204.2,16330.4,40549,5808
2569.5,319.3,46197.7,16337.5,41203,5808
2556.5,310.2,46206.8,16350.5,41857,5808
2578.8,280.6,46236.4,16328.2,42511,5808
2540.1,309.3,46207.7,16366.9,43165,5808
2532.2,290.7,46226.3,16374.8,43819,5808
2512.4,304.7,46212.3,16394.6,44473,5808
2526.0,276.3,46240.7,16381.0,45127,5808
2513.7,281.2,46235.8,16393.3,45781,5808
2548.0,246.7,46270.3,16359.0,46435,5808
2509.4,259.3,46257.7,16397.6,47089,5808
2500.2,266.8,46250.2,16406.8,47743,5808
2498.7,245.1,46271.9,16408.3,48397,5808
2485.7,250.3,46266.7,16421.3,49051,5808
2477.5,248.2,46268.8,16429.5,49705,5808
2466.1,235.3,46281.7,16440.9,50359,5808
2447.6,245.2,46271.8,16459.4,51013,5808
2448.0,226.1,46290.9,16459.0,51667,5808
2437.9,226.3,46290.7,16469.1,52321,5808
2471.0,203.0,46314.0,16436.0,52975,5808
2437.2,209.6,46307.4,16469.8,53629,5808
2425.1,201.1,46315.9,16481.9,54283,5808
2408.2,205.6,46311.4,16498.8,54937,5808
2406.8,200.1,46316.9,16500.2,55591,5808
2387.0,198.2,46318.8,16520.0,56245,5808
2393.8,195.6,46321.4,16513.2,56899,5808
2409.7,176.0,46341.0,16497.3,57553,5808
2361.5,176.7,46340.3,16545.5,58207,5808
2379.6,170.6,46346.4,16527.4,58861,5808
2368.9,157.9,46359.1,16538.1,59515,5808
2387.6,148.7,46368.3,16519.4,60169,5808
2361.2,146.0,46371.0,16545.8,60823,5808
2333.7,146.9,46370.1,16573.3,61477,5808
2322.2,140.3,46376.7,16584.8,62131,5808
2328.3,133.6,46383.4,16578.7,62785,5808
2335.0,125.0,46392.0,16572.0,63439,5808
2319.3,122.1,46394.9,16587.7,64093,5808
2315.1,114.2,46402.8,16591.9,64747,5808
2305.1,104.0,46413.0,16601.9,65401,5808
