FN,FP,TN,TP,sr,t
14.0,94.2,62.8,21.0,1,1980
31.5,15.7,141.3,3.5,2,1980
31.5,15.7,141.3,3.5,3,1980
32.9,7.5,149.5,2.1,4,1980
35.0,0.0,157.0,0.0,5,1980
26.5,20.3,136.7,8.5,6,1980
28.0,26.6,130.4,7.0,7,1980
21.6,31.4,125.6,13.4,8,1980
23.4,23.6,133.4,11.6,9,1980
17.7,14.7,142.3,17.3,10,1980
23.3,10.7,146.3,11.7,11,1980
26.9,15.9,141.1,8.1,12,1980
15.6,22.2,134.8,19.4,13,1980
11.6,16.6,140.4,23.4,14,1980
18.0,13.4,143.6,17.0,15,1980
18.7,14.1,142.9,16.3,16,1980
23.2,11.4,145.6,11.8,17,1980
21.1,12.5,144.5,13.9,18,1980
19.7,11.9,145.1,15.3,19,1980
18.3,10.5,146.5,16.7,20,1980
19.1,9.7,147.3,15.9,21,1980
18.7,11.7,145.3,16.3,22,1980
14.3,11.3,145.7,20.7,23,1980
14.8,13.4,143.6,20.2,24,1980
15.8,13.6,143.4,19.2,25,1980
16.4,13.4,143.6,18.6,26,1980
12.3,11.7,145.3,22.7,27,1980
10.1,12.7,144.3,24.9,28,1980
13.9,10.1,146.9,21.1,29,1980
14.0,12.6,144.4,21.0,30,1980
13.1,10.1,146.9,21.9,31,1980
11.9,8.1,148.9,23.1,32,1980
14.1,9.1,147.9,20.9,33,1980
14.8,4.6,152.4,20.2,34,1980
15.1,8.1,148.9,19.9,35,1980
14.3,7.3,149.7,20.7,36,1980
12.9,6.7,150.3,22.1,37,1980
10.7,8.1,148.9,24.3,38,1980
15.8,4.8,152.2,19.2,39,1980
13.6,9.0,148.0,21.4,40,1980
15.1,6.1,150.9,19.9,41,1980
11.7,6.9,150.1,23.3,42,1980
12.2,8.4,148.6,22.8,43,1980
12.9,5.9,151.1,22.1,44,1980
16.2,4.8,152.2,18.8,45,1980
12.8,5.8,151.2,22.2,46,1980
13.7,7.5,149.5,21.3,47,1980
9.4,8.0,149.0,25.6,48,1980
10.6,6.8,150.2,24.4,49,1980
10.9,8.7,148.3,24.1,50,1980
11.0,5.6,151.4,24.0,51,1980
8.2,6.4,150.6,26.8,52,1980
9.6,7.4,149.6,25.4,53,1980
10.7,6.1,150.9,24.3,54,1980
7.1,10.9,146.1,27.9,55,1980
10.7,6.1,150.9,24.3,56,1980
11.9,7.3,149.7,23.1,57,1980
9.9,5.7,151.3,25.1,58,1980
9.6,5.0,152.0,25.4,59,1980
11.7,3.9,153.1,23.3,60,1980
8.1,5.1,151.9,26.9,61,1980
9.1,6.9,150.1,25.9,62,1980
7.6,7.0,150.0,27.4,63,1980
8.9,5.9,151.1,26.1,64,1980
9.5,5.7,151.3,25.5,65,1980
8.5,6.7,150.3,26.5,66,1980
6.4,5.8,151.2,28.6,67,1980
9.1,4.9,152.1,25.9,68,1980
9.2,4.6,152.4,25.8,69,1980
8.6,3.6,153.4,26.4,70,1980
8.2,2.4,154.6,26.8,71,1980
5.8,6.4,150.6,29.2,72,1980
6.7,4.9,152.1,28.3,73,1980
8.8,3.8,153.2,26.2,74,1980
5.3,4.3,152.7,29.7,75,1980
8.1,2.7,154.3,26.9,76,1980
9.0,3.2,153.8,26.0,77,1980
7.9,3.7,153.3,27.1,78,1980
6.6,5.0,152.0,28.4,79,1980
5.3,7.1,149.9,29.7,80,1980
7.0,2.4,154.6,28.0,81,1980
6.3,4.5,152.5,28.7,82,1980
6.1,3.9,153.1,28.9,83,1980
6.8,3.8,153.2,28.2,84,1980
6.8,3.4,153.6,28.2,85,1980
6.2,4.0,153.0,28.8,86,1980
10.2,2.0,155.0,24.8,87,1980
7.1,3.3,153.7,27.9,88,1980
8.2,2.4,154.6,26.8,89,1980
6.9,3.1,153.9,28.1,90,1980
6.5,3.5,153.5,28.5,91,1980
7.3,1.9,155.1,27.7,92,1980
6.3,3.3,153.7,28.7,93,1980
6.1,4.3,152.7,28.9,94,1980
5.3,3.1,153.9,29.7,95,1980
5.9,2.5,154.5,29.1,96,1980
5.9,3.9,153.1,29.1,97,1980
6.2,2.8,154.2,28.8,98,1980
5.9,2.9,154.1,29.1,99,1980
5.9,3.7,153.3,29.1,100,1980
7.0,3.0,154.0,28.0,101,1980
6.2,1.6,155.4,28.8,102,1980
6.8,2.4,154.6,28.2,103,1980
5.1,3.3,153.7,29.9,104,1980
6.3,3.7,153.3,28.7,105,1980
6.3,2.5,154.5,28.7,106,1980
6.6,2.4,154.6,28.4,107,1980
6.9,1.9,155.1,28.1,108,1980
7.3,1.5,155.5,27.7,109,1980
6.4,2.8,154.2,28.6,110,1980
5.1,3.3,153.7,29.9,111,1980
6.5,2.7,154.3,28.5,112,1980
5.0,4.2,152.8,30.0,113,1980
5.8,2.8,154.2,29.2,114,1980
5.5,2.1,154.9,29.5,115,1980
6.5,2.9,154.1,28.5,116,1980
6.0,1.6,155.4,29.0,117,1980
5.9,2.1,154.9,29.1,118,1980
5.9,3.1,153.9,29.1,119,1980
4.9,2.1,154.9,30.1,120,1980
6.0,2.4,154.6,29.0,121,1980
6.3,2.1,154.9,28.7,122,1980
5.7,1.9,155.1,29.3,123,1980
4.7,1.9,155.1,30.3,124,1980
4.4,2.4,154.6,30.6,125,1980
4.0,3.6,153.4,31.0,126,1980
5.0,1.6,155.4,30.0,127,1980
4.9,2.3,154.7,30.1,128,1980
4.9,2.1,154.9,30.1,129,1980
4.2,2.2,154.8,30.8,130,1980
4.2,2.0,155.0,30.8,131,1980
6.1,1.7,155.3,28.9,132,1980
3.9,2.5,154.5,31.1,133,1980
5.1,1.7,155.3,29.9,134,1980
4.4,1.6,155.4,30.6,135,1980
5.0,1.8,155.2,30.0,136,1980
4.2,2.2,154.8,30.8,137,1980
3.8,2.4,154.6,31.2,138,1980
4.3,2.3,154.7,30.7,139,1980
4.0,2.2,154.8,31.0,140,1980
5.7,1.5,155.5,29.3,141,1980
4.3,1.9,155.1,30.7,142,1980
4.2,1.8,155.2,30.8,143,1980
3.9,2.1,154.9,31.1,144,1980
4.6,2.0,155.0,30.4,145,1980
5.1,1.9,155.1,29.9,146,1980
3.4,2.4,154.6,31.6,147,1980
4.4,2.0,155.0,30.6,148,1980
3.8,1.6,155.4,31.2,149,1980
4.6,2.2,154.8,30.4,150,1980
4.2,1.8,155.2,30.8,151,1980
4.2,2.4,154.6,30.8,152,1980
4.0,1.4,155.6,31.0,153,1980
4.0,2.2,154.8,31.0,154,1980
4.2,1.2,155.8,30.8,155,1980
3.6,1.4,155.6,31.4,156,1980
3.6,1.6,155.4,31.4,157,1980
3.5,1.1,155.9,31.5,158,1980
4.6,0.6,156.4,30.4,159,1980
2.4,1.6,155.4,32.6,160,1980
4.4,1.2,155.8,30.6,161,1980
2.6,1.8,155.2,32.4,162,1980
3.8,1.8,155.2,31.2,163,1980
3.0,1.6,155.4,32.0,164,1980
2.8,1.6,155.4,32.2,165,1980
3.4,1.6,155.4,31.6,166,1980
3.0,2.0,155.0,32.0,167,1980
2.4,2.0,155.0,32.6,168,1980
2.6,1.6,155.4,32.4,169,1980
3.0,0.8,156.2,32.0,170,1980
3.0,1.8,155.2,32.0,171,1980
2.2,1.6,155.4,32.8,172,1980
2.4,1.4,155.6,32.6,173,1980
2.6,1.2,155.8,32.4,174,1980
2.2,1.8,155.2,32.8,175,1980
2.2,1.0,156.0,32.8,176,1980
2.4,0.6,156.4,32.6,177,1980
2.0,0.8,156.2,33.0,178,1980
2.4,1.0,156.0,32.6,179,1980
1.8,0.6,156.4,33.2,180,1980
1.6,1.4,155.6,33.4,181,1980
1.4,0.2,156.8,33.6,182,1980
2.0,1.2,155.8,33.0,183,1980
1.2,1.0,156.0,33.8,184,1980
2.0,0.8,156.2,33.0,185,1980
1.2,1.0,156.0,33.8,186,1980
1.4,1.0,156.0,33.6,187,1980
1.4,0.4,156.6,33.6,188,1980
1.4,0.0,157.0,33.6,189,1980
1.4,0.2,156.8,33.6,190,1980
1.0,0.0,157.0,34.0,191,1980
1.0,0.0,157.0,34.0,192,1980
