FN,FP,TN,TP,sr,t
414.6,1106.0,1659.0,276.4,1,515.107
139.2,85.4,2679.6,551.8,35,515.107
107.5,111.7,2653.3,583.5,69,515.107
139.4,62.5,2702.5,551.6,103,515.107
81.9,63.2,2701.8,609.1,137,515.107
75.7,57.9,2707.1,615.3,171,515.107
81.9,52.1,2712.9,609.1,205,515.107
73.9,36.9,2728.1,617.1,239,515.107
68.2,37.4,2727.6,622.8,273,515.107
79.0,35.5,2729.5,612.0,307,515.107
64.5,30.9,2734.1,626.5,341,515.107
60.7,30.4,2734.6,630.3,375,515.107
48.9,38.2,2726.8,642.1,409,515.107
59.1,26.9,2738.1,631.9,443,515.107
34.6,35.5,2729.5,656.4,477,515.107
47.5,22.7,2742.3,643.5,511,515.107
43.4,33.9,2731.1,647.6,545,515.107
48.4,23.0,2742.0,642.6,579,515.107
44.2,22.1,2742.9,646.8,613,515.107
43.8,23.0,2742.0,647.2,647,515.107
40.3,26.8,2738.2,650.7,681,515.107
34.6,20.8,2744.2,656.4,715,515.107
35.4,23.9,2741.1,655.6,749,515.107
34.0,18.6,2746.4,657.0,783,515.107
31.0,21.1,2743.9,660.0,817,515.107
37.4,19.0,2746.0,653.6,851,515.107
33.0,26.0,2739.0,658.0,885,515.107
30.3,24.6,2740.4,660.7,919,515.107
32.9,18.3,2746.7,658.1,953,515.107
31.6,16.9,2748.1,659.4,987,515.107
28.4,15.4,2749.6,662.6,1021,515.107
29.0,16.5,2748.5,662.0,1055,515.107
30.6,16.4,2748.6,660.4,1089,515.107
29.6,21.6,2743.4,661.4,1123,515.107
33.0,14.5,2750.5,658.0,1157,515.107
29.3,11.8,2753.2,661.7,1191,515.107
30.9,16.6,2748.4,660.1,1225,515.107
25.1,10.4,2754.6,665.9,1259,515.107
26.7,12.8,2752.2,664.3,1293,515.107
24.4,12.9,2752.1,666.6,1327,515.107
23.3,13.5,2751.5,667.7,1361,515.107
24.3,10.7,2754.3,666.7,1395,515.107
23.4,10.8,2754.2,667.6,1429,515.107
27.8,13.4,2751.6,663.2,1463,515.107
20.6,11.4,2753.6,670.4,1497,515.107
20.6,10.6,2754.4,670.4,1531,515.107
23.0,9.4,2755.6,668.0,1565,515.107
23.1,12.2,2752.8,667.9,1599,515.107
20.2,9.9,2755.1,670.8,1633,515.107
21.4,11.4,2753.6,669.6,1667,515.107
18.2,9.1,2755.9,672.8,1701,515.107
17.6,8.1,2756.9,673.4,1735,515.107
17.0,9.0,2756.0,674.0,1769,515.107
19.5,7.3,2757.7,671.5,1803,515.107
15.3,7.3,2757.7,675.7,1837,515.107
20.0,6.9,2758.1,671.0,1871,515.107
15.2,13.4,2751.6,675.8,1905,515.107
16.9,8.9,2756.1,674.1,1939,515.107
15.2,8.4,2756.6,675.8,1973,515.107
16.7,8.5,2756.5,674.3,2007,515.107
15.8,7.7,2757.3,675.2,2041,515.107
14.1,7.8,2757.2,676.9,2075,515.107
14.3,7.8,2757.2,676.7,2109,515.107
15.0,7.6,2757.4,676.0,2143,515.107
13.5,8.5,2756.5,677.5,2177,515.107
13.1,8.3,2756.7,677.9,2211,515.107
13.5,7.1,2757.9,677.5,2245,515.107
12.3,7.4,2757.6,678.7,2279,515.107
12.2,6.8,2758.2,678.8,2313,515.107
13.6,4.8,2760.2,677.4,2347,515.107
14.2,5.2,2759.8,676.8,2381,515.107
10.8,6.7,2758.3,680.2,2415,515.107
12.9,5.9,2759.1,678.1,2449,515.107
11.0,6.6,2758.4,680.0,2483,515.107
13.3,6.6,2758.4,677.7,2517,515.107
10.7,4.7,2760.3,680.3,2551,515.107
11.7,6.2,2758.8,679.3,2585,515.107
10.3,6.1,2758.9,680.7,2619,515.107
10.9,4.4,2760.6,680.1,2653,515.107
10.9,5.0,2760.0,680.1,2687,515.107
11.3,5.0,2760.0,679.7,2721,515.107
11.1,4.7,2760.3,679.9,2755,515.107
10.4,3.8,2761.2,680.6,2789,515.107
9.3,3.9,2761.1,681.7,2823,515.107
10.2,3.8,2761.2,680.8,2857,515.107
9.3,4.7,2760.3,681.7,2891,515.107
8.4,4.4,2760.6,682.6,2925,515.107
9.9,4.0,2761.0,681.1,2959,515.107
9.3,4.0,2761.0,681.7,2993,515.107
8.9,3.0,2762.0,682.1,3027,515.107
8.2,2.9,2762.1,682.8,3061,515.107
8.9,3.1,2761.9,682.1,3095,515.107
9.4,1.9,2763.1,681.6,3129,515.107
8.3,2.5,2762.5,682.7,3163,515.107
8.6,1.9,2763.1,682.4,3197,515.107
8.7,2.1,2762.9,682.3,3231,515.107
8.3,1.3,2763.7,682.7,3265,515.107
8.9,0.7,2764.3,682.1,3299,515.107
9.1,1.4,2763.6,681.9,3333,515.107
8.5,0.9,2764.1,682.5,3367,515.107
9.0,0.8,2764.2,682.0,3401,515.107
8.9,0.1,2764.9,682.1,3435,515.107
