FN,FP,TN,TP,sr,t
728.0,728.6,2914.4,182.0,1,15.222434323308498
720.4,498.1,3144.9,189.6,46,15.222434323308498
578.8,502.3,3140.7,331.2,91,15.222434323308498
545.3,431.2,3211.8,364.7,136,15.222434323308498
545.6,395.4,3247.6,364.4,181,15.222434323308498
564.1,356.5,3286.5,345.9,226,15.222434323308498
501.2,305.6,3337.4,408.8,271,15.222434323308498
498.4,331.6,3311.4,411.6,316,15.222434323308498
558.6,274.1,3368.9,351.4,361,15.222434323308498
531.2,239.5,3403.5,378.8,406,15.222434323308498
536.4,261.3,3381.7,373.6,451,15.222434323308498
484.3,242.4,3400.6,425.7,496,15.222434323308498
500.9,251.9,3391.1,409.1,541,15.222434323308498
483.8,243.7,3399.3,426.2,586,15.222434323308498
489.4,235.7,3407.3,420.6,631,15.222434323308498
476.3,246.4,3396.6,433.7,676,15.222434323308498
460.9,255.7,3387.3,449.1,721,15.222434323308498
461.1,236.8,3406.2,448.9,766,15.222434323308498
438.1,270.7,3372.3,471.9,811,15.222434323308498
432.6,238.2,3404.8,477.4,856,15.222434323308498
435.8,251.3,3391.7,474.2,901,15.222434323308498
439.3,227.2,3415.8,470.7,946,15.222434323308498
410.5,253.6,3389.4,499.5,991,15.222434323308498
428.7,236.7,3406.3,481.3,1036,15.222434323308498
423.4,248.6,3394.4,486.6,1081,15.222434323308498
381.4,279.3,3363.7,528.6,1126,15.222434323308498
397.8,261.3,3381.7,512.2,1171,15.222434323308498
393.2,240.5,3402.5,516.8,1216,15.222434323308498
399.5,235.7,3407.3,510.5,1261,15.222434323308498
393.0,220.6,3422.4,517.0,1306,15.222434323308498
370.6,255.7,3387.3,539.4,1351,15.222434323308498
366.6,241.5,3401.5,543.4,1396,15.222434323308498
365.0,250.8,3392.2,545.0,1441,15.222434323308498
355.2,232.7,3410.3,554.8,1486,15.222434323308498
365.8,231.4,3411.6,544.2,1531,15.222434323308498
362.4,232.3,3410.7,547.6,1576,15.222434323308498
346.5,234.4,3408.6,563.5,1621,15.222434323308498
336.6,238.3,3404.7,573.4,1666,15.222434323308498
337.9,244.0,3399.0,572.1,1711,15.222434323308498
354.8,218.1,3424.9,555.2,1756,15.222434323308498
345.3,228.7,3414.3,564.7,1801,15.222434323308498
337.7,235.6,3407.4,572.3,1846,15.222434323308498
336.4,224.5,3418.5,573.6,1891,15.222434323308498
326.6,228.7,3414.3,583.4,1936,15.222434323308498
333.8,224.2,3418.8,576.2,1981,15.222434323308498
315.1,230.2,3412.8,594.9,2026,15.222434323308498
336.9,197.5,3445.5,573.1,2071,15.222434323308498
311.7,231.1,3411.9,598.3,2116,15.222434323308498
322.8,201.7,3441.3,587.2,2161,15.222434323308498
311.2,224.2,3418.8,598.8,2206,15.222434323308498
323.7,209.3,3433.7,586.3,2251,15.222434323308498
309.5,209.1,3433.9,600.5,2296,15.222434323308498
